Line_number,source_type,Year,customs_region,custom_office,partner,export_import,Product,origin,width_in_line,value (annoncée),Value (calculée),value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,Source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
58,Local,1716,Saint-Domingue,Léogane,,Import,Vin de Madère,,,21000,11000,,100,pipe,110,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
59,Local,1716,Saint-Domingue,Léogane,,Import,Vin de Bordeaux,,,273790,273790,,2489,barrique,110,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
60,Local,1716,Saint-Domingue,Léogane,,Import,Eau de vie,,,30305,30305,,551,baril,55,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
61,Local,1716,Saint-Domingue,Léogane,,Import,Farine,,,55775,44775,,1194,baril,37.5,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
62,Local,1716,Saint-Domingue,Léogane,,Import,Viande salée,,,12160,12350,,380,baril,32.5,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
63,Local,1716,Saint-Domingue,Léogane,,Import,Beurre,,,8937.5,8937.5,,13750,livre,0.65,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
64,Local,1716,Saint-Domingue,Léogane,,Import,Chandelle,,,12123,12123,,20205,livre,0.6,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
65,Local,1716,Saint-Domingue,Léogane,,Import,Huile d'olive,,,4500,4400,,880,pot,5,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
66,Local,1716,Saint-Domingue,Léogane,,Import,Savon,,,1638,1638,,2520,livre,0.65,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
67,Local,1716,Saint-Domingue,Léogane,,Import,Fer en barre,,,10002.3,10002.3,,66682,livre,0.15,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
68,Local,1716,Saint-Domingue,Léogane,,Import,Marchandises sèches et mercerie,,,9600,9600,,8,boucaud et pipe,1200,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
69,Local,1716,Saint-Domingue,Léogane,,Import,Marchandises sèches et mercerie,,,130200,130200,,217,barrique et grand coffre,600,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
70,Local,1716,Saint-Domingue,Léogane,,Import,Marchandises sèches et mercerie,,,223850,223850,,407,balle et ballot,550,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
71,Local,1716,Saint-Domingue,Léogane,,Import,Marchandises sèches et mercerie,,,18750,18750,,75,baril et caisse,250,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
72,Local,1716,Saint-Domingue,Léogane,,Import,Bariques en botte,,,3982,3982.5,,1770,pièce,2.25,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
73,Local,1716,Saint-Domingue,Léogane,,Import,Grisons pour sucreries,,,3576,3576,,894,pièce,4,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
74,Local,1716,Saint-Domingue,Léogane,,Import,Liqueur,,,800,800,,10,caisse,80,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
75,Local,1716,Saint-Domingue,Léogane,,Import,Fromage,,,1000,1000,,4,barrique,250,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
76,Local,1716,Saint-Domingue,Léogane,,Import,Carreaux et briques,,,1797.5,1787.5,,55000,pièce,0.0325,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
77,Local,1716,Saint-Domingue,Léogane,,Import,Plomb en rouleau,,,28050,28050,,110000,livre,0.255,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
78,Local,1716,Saint-Domingue,Léogane,,Import,Chaudières à sucre,,,13200,13200,,12000,livre,1.1,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
79,Local,1716,Saint-Domingue,Léogane,,Import,Acier,,,2100,2100,,6000,livre,0.35,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
80,Local,1716,Saint-Domingue,Léogane,,Import,Poudre à tirer,,,590.625,590.625,,225,livre,2.625,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
81,Local,1716,Saint-Domingue,Léogane,,Import,Cordage,,,9500,9500,,20000,livre,0.475,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
82,Local,1716,Saint-Domingue,Le Cap,,Import,Vin,,,421560,421560,,3513,barrique,120,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
83,Local,1716,Saint-Domingue,Le Cap,,Import,Eau de vie,,,20625,20625,,375,baril,55,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
84,Local,1716,Saint-Domingue,Le Cap,,Import,Farine,,,78690,78690,,2623,baril,30,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
