line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1758,Marseille,,Angleterre,Exports,huile d’olive,,,108584,,271460,livres,0.4,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
2,Local,1758,Marseille,,Angleterre,Exports,Vin rouge,,,216,,27,millerolles,8,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
3,Local,1758,Marseille,,Espagne,Exports,acier,,,252,,721,livres,0.35,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,-0.349999999999994,,,,,,,,,
4,Local,1758,Marseille,,Espagne,Exports,ajamis,,,38655,,4295,pièces,9,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
5,Local,1758,Marseille,,Espagne,Exports,alun,,,3159,,26313,livres,0.12,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,1.44000000000005,,,,,,,,,
6,Local,1758,Marseille,,Espagne,Exports,amadou,,,407,,407,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
7,Local,1758,Marseille,,Espagne,Exports,amandes,,,3360,,13441,livres,0.25,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,-0.25,,,,,,,,,
8,Local,1758,Marseille,,Espagne,Exports,amidon,,,2732,,13664,livres,0.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,-0.800000000000182,,,,,,,,,
9,Local,1758,Marseille,,Espagne,Exports,anis,,,240,,1200,livres,0.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
10,Local,1758,Marseille,,Espagne,Exports,arcenic,,,90,,300,livres,0.3,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
11,Local,1758,Marseille,,Espagne,Exports,aristoloche,,,73,,365,livres,0.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
12,Local,1758,Marseille,,Espagne,Exports,avoine,,,900,,60,charges,15,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
13,Local,1758,Marseille,,Espagne,Exports,bas de coton,,,2460,,82,douzaines,30,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
14,Local,1758,Marseille,,Espagne,Exports,bas de fil,,,2000,,400,douzaines,5,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
15,Local,1758,Marseille,,Espagne,Exports,ban de filozelle,,,3675,,245,livres,15,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
16,Local,1758,Marseille,,Espagne,Exports,bas de laine,,,132936,,22156,livres,6,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
17,Local,1758,Marseille,,Espagne,Exports,bas de soye,,,594720,,14868,livres,40,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
18,Local,1758,Marseille,,Espagne,Exports,batanonis,,,600,,200,pièces,3,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
19,Local,1758,Marseille,,Espagne,Exports,bazannes tannées,,,240,,400,livres,0.6,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
20,Local,1758,Marseille,,Espagne,Exports,bazin,,,3780,,126,pièces,30,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
21,Local,1758,Marseille,,Espagne,Exports,bazin,,,3900,,650,livres,6,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
22,Local,1758,Marseille,,Espagne,Exports,beuf salé,,,310,,1240,livres,0.25,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
23,Local,1758,Marseille,,Espagne,Exports,bierre,,,800,,8000,livres,0.1,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
24,Local,1758,Marseille,,Espagne,Exports,bijouterie,,,10000,,100,livres,100,sources/Local/Archives_de_la_CCI_de_Marseille_I_23_Marseille_Exports_1758.csv,Archives de la CCI de Marseille - I 33,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
