line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,absurd_value,value_part_of_bundle,quantity,quantity_unit,absurd_quantity,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
3374,Local,1766,Bordeaux,,Angleterre,Exports,Bas de soye,,,1416,,,118,Paires,,12,sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3375,Local,1766,Bordeaux,,Angleterre,Exports,Caffé des Isles,,,1287,,,1716,Livres,,"0,75",sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3376,Local,1766,Bordeaux,,Angleterre,Exports,Cotonille,,,910,,,520,Aunes,,"1,75",sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3377,Local,1766,Bordeaux,,Angleterre,Exports,Eau de vie,,,55320,,,461,Barriques,,120,sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3378,Local,1766,Bordeaux,,Angleterre,Exports,Indigo,,,106284,,,17714,Livres,,6,sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3379,Local,1766,Bordeaux,,Angleterre,Exports,Toile baptiste,,,6225,,,415,Aunes,,15,sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3380,Local,1766,Bordeaux,,Angleterre,Exports,Vin de Bordeaux ; de haut,,,70700,,,"176,75",Tonneaux,,400,sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3381,Local,1766,Bordeaux,,Angleterre,Exports,Vin de Bordeaux ; de ville,,,853000,,,"1066,25",Tonneaux,,800,sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3382,Local,1766,Bordeaux,,Angleterre,Exports,Vin de Bordeaux ; de ville,,,503400,,,"419,5",Tonneaux,,1200,sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3383,Local,1766,Bordeaux,,Angleterre,Exports,Vinaigre,,,1400,,,7,Tonneaux,,200,sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3384,Local,1766,Bordeaux,,Danemark,Exports,Caffé des Isles,,,23223,,,30964,Livres,,"0,75",sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3385,Local,1766,Bordeaux,,Danemark,Exports,Cacao,,,846,,,1410,Livres,,"0,6",sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3386,Local,1766,Bordeaux,,Danemark,Exports,Eau de vie,,,133560,,,1113,Barriques,,120,sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
3387,Local,1766,Bordeaux,,Danemark,Exports,Indigo,,,36600,,,6100,Livres,,6,sources/Local/AD33_C4388_Bordeaux_Exports_1766.csv,AD33 C4388,1,,,,,Pascal Fontaine,,,,,,,,,,,
