source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1766,La Rochelle,,L'Angleterre,Exports,Caffé,,,3388.45,0,,Livres,.65,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Eau de vie,,,40800,0,,Grosses barriques,200,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,20000,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Eau de vie,,,718740,0,,Barriques,90,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Eau de vie,,,443.33,0,,Veltes,4.5,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,-155.17,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Etoupe,,,100,0,,Livres,.1,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Graine de lin,,,34310,0,,Livres,.05,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Indigo,,,50870,0,,Livres,5,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Marons,,,297.5,0,,Tonneaux,70,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Marons,,,205,0,,Boisseaux,2.5,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Noix,,,4858,0,,Tonneaux,84,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Noix,,,740,0,,Boisseaux,2,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Papier blanc,,,1300,0,,Ballots,50,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Papier blanc,,,24520,0,,Rames,5,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Peaux de mouton aprêtées,,,4301.1,0,,Nombre,1.35,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Saffran,,,480,0,,Livres,24,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Sel,,,45066.67,0,,Muids,25,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Sirop capilaire,,,37000,0,,Livres,1,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,1,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Vin de Bordeaux,,,750,0,,Tonneaux,300,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,2,,,,,,Laura Moutou,,,0,,,,,,,,
Local,1766,La Rochelle,,L'Angleterre,Exports,Vin de champagne,,,720,0,,Bariques,480,sources/Local/AD17_41_ETP_271_9488_La_Rochelle_Exports_1766.csv,AD17 41 ETP 271/9488,2,,,,,,Laura Moutou,,,0,,,,,,,,
