line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,absurd_value,value_part_of_bundle,quantity,quantity_unit,absurd_quantity,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1771,Bordeaux,,Angleterre,Imports,Beurre,,,896402,,,1792804,Livres,,.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
2,Local,1771,Bordeaux,,Angleterre,Imports,Bœuf ; sallé,,,251360.9,,,2513609,Livres,,.1,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
3,Local,1771,Bordeaux,,Angleterre,Imports,Chandelle,,,519780,,,1039560,Livres,,.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
4,Local,1771,Bordeaux,,Angleterre,Imports,Charbon ; de terre,,,790275,,,2634.25,Tonneaux,,300,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
5,Local,1771,Bordeaux,,Angleterre,Imports,Langues ; salées,,,1271.3,,,12713,Livres,,.1,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
6,Local,1771,Bordeaux,,Angleterre,Imports,Patates,,,300,,,60,Boisseaux,,5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
7,Local,1771,Bordeaux,,Angleterre,Imports,Suif,,,3497427.1,,,7772038,Livres,,.45,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,10 erreur calcul ?,,,,,,,,,
8,Local,1771,Bordeaux,,Angleterre,Imports,Tabac ; en feuilles,,,625441,,,3127205,Livres,,.2,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
9,Local,1771,Bordeaux,,Dannemarc,Imports,Acier,,,232635,,,465270,Livres,,.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
10,Local,1771,Bordeaux,,Dannemarc,Imports,Azur,,,15564.5,,,31129,Livres,,.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
