line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_value,absurd_quantity,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
2698,Local,1774,Rennes,,Angleterre,Imports,Beuf ; salé,,,,0,27,barils,40,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2699,Local,1774,Rennes,,Angleterre,Imports,Bois ; de campeche,,,,0,42420,livres,.096,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2700,Local,1774,Rennes,,Angleterre,Imports,Charbon de terre,,,,0,650,tonaux,30,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2701,Local,1774,Rennes,,Angleterre,Imports,Etain ; en bloc,,,,0,630,livres,.9,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2702,Local,1774,Rennes,,Angleterre,Imports,Lard,,,,0,42,barils,35,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2703,Local,1774,Rennes,,Angleterre,Imports,Plomb en saumons,,,,0,288,nombre,7,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2704,Local,1774,Rennes,,Angleterre,Imports,Plomb en saumons,,,,0,680270,livres,.2,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2705,Local,1774,Rennes,,Angleterre,Imports,Plocq,,,,0,25660,livres,.05,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2706,Local,1774,Rennes,,Angleterre,Imports,Tabac ; en feuilles,,,,0,1823240,livres,.3,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2707,Local,1774,Rennes,,Danemark,Imports,Gaudron,,,,0,33,barils,18,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2708,Local,1774,Rennes,,Danemark,Imports,Planches ; de sapin,,,,0,73308,pièces,.9,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2709,Local,1774,Rennes,,Danemark,Imports,Rogues ; de stocfiche,,,,0,3678,barils,45,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,1,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2710,Local,1774,Rennes,,Espagne,Imports,Avirons,,,,0,311,traques,7,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,2,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2711,Local,1774,Rennes,,Espagne,Imports,Canelle,,,,0,50,livres,7,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,2,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2712,Local,1774,Rennes,,Espagne,Imports,Chocolat,,,,0,53,livres,2,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,2,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2713,Local,1774,Rennes,,Espagne,Imports,Citrons,,,,0,33,miliers,10,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,2,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2714,Local,1774,Rennes,,Espagne,Imports,Eau de vie,,,,0,596,barils,150,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,2,,,,,Pascal Fontaine,,0 150 livres le barique de 30 veltes,0,,,,,,,,,,
2715,Local,1774,Rennes,,Espagne,Imports,Fer ; en ancres,,,,0,156780,livres,.325,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,2,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2716,Local,1774,Rennes,,Espagne,Imports,Fer ; en barres,,,,0,182540,livres,.2,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,2,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2717,Local,1774,Rennes,,Espagne,Imports,Fer ; en cercles,,,,0,42000,livres,.325,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,2,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
2718,Local,1774,Rennes,,Espagne,Imports,Figues,,,,0,15,barils,7.5,sources/Local/AD44_C717_Rennes_Imports_1774.csv,AD44 C717,2,,,,,Pascal Fontaine,,0,0,,,,,,,,,,
