line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1714,Rennes,,Angleterre,Imports,Acier,,,0,,9360,Livres,,sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,,,,,,,,,
2,Local,1714,Rennes,,Angleterre,Imports,Afut de canon,,,0,,18,Nombres,,sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,,,,,,,,,
3,Local,1714,Rennes,,Angleterre,Imports,Amidon,,,0,,3100,Livres,,sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,,,,,,,,,
4,Local,1714,Rennes,,Angleterre,Imports,Ancre de fer,,,0,,8700,Livres,,sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,,,,,,,,,
5,Local,1714,Rennes,,Angleterre,Imports,Armoire de bois,,,0,,1,Nombres,,sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,,,,,,,,,
6,Local,1714,Rennes,,Angleterre,Imports,Avoine,,,0,,538,Boisseaux,,sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,,,,,,,,,
7,Local,1714,Rennes,,Angleterre,Imports,Avoine,,,0,,3,Tonneaux,,sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,,,,,,,,,
8,Local,1714,Rennes,,Angleterre,Imports,Beuf salé,,,0,,162,Barils,,sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,,,,,,,,,
9,Local,1714,Rennes,,Angleterre,Imports,Beuf salé,,,0,,246460,Livres,,sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,,,,,,,,,
10,Local,1714,Rennes,,Angleterre,Imports,Beuf salé,,,240,,1200,Livres,"0,2",sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,0,,,,,,,,
11,Local,1714,Rennes,,Angleterre,Imports,Beure,,,0,,96765,Livres,,sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,,,,,,,,,
12,Local,1714,Rennes,,Angleterre,Imports,Beure,,,893.75,,3575,Livres,"0,25",sources/Local/AD44_C706_Rennes_Imports_1714.csv,AD44 C706,,,,,,,,,0,,,,,,,,
