line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1752,Nantes,,Angleterre,Imports,beuf salé,,,93624,,3901,barils,24,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
2,Local,1752,Nantes,,Angleterre,Imports,beuf salé,,,54180,,1505,tierçons,36,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
3,Local,1752,Nantes,,Angleterre,Imports,beuf salé,,,33634.9,,336349,livres,0.1,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
4,Local,1752,Nantes,,Angleterre,Imports,beure sallé,,,62856,,2619,barils,24,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
5,Local,1752,Nantes,,Angleterre,Imports,beure sallé,,,1648,,91,frequins,18,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,10,,,,,,,,,
6,Local,1752,Nantes,,Angleterre,Imports,beure sallé,,,83130.3,,277101,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
7,Local,1752,Nantes,,Angleterre,Imports,bled fromen,,,583605,,3537,tonneaux,165,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
8,Local,1752,Nantes,,Angleterre,Imports,bled seigle,,,113400,,1260,tonneaux,90,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
9,Local,1752,Nantes,,Angleterre,Imports,bierre,,,90,,6,Barique,15,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
10,Local,1752,Nantes,,Angleterre,Imports,chandelle,,,1100,,110,caisses,10,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
11,Local,1752,Nantes,,Angleterre,Imports,chandelle,,,13316,,33290,livres,0.4,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
12,Local,1752,Nantes,,Angleterre,Imports,charbon de terre,,,3800,,95,tonneaux,40,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
13,Local,1752,Nantes,,Angleterre,Imports,charbon de terre,,,32822.5,,3282,bariques,10,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,2.5,,,,,,,,,
14,Local,1752,Nantes,,Angleterre,Imports,crin de cheval,,,673.8,,1123,livres,0.6,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
15,Local,1752,Nantes,,Angleterre,Imports,cuirs verts en poil,,,170820,,9490,pièces,18,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
16,Local,1752,Nantes,,Angleterre,Imports,farine,,,4000,,50,bariques,80,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
17,Local,1752,Nantes,,Angleterre,Imports,farine,,,28600,,1300,barils,22,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
18,Local,1752,Nantes,,Angleterre,Imports,farine,,,15300,,510,sacs à proportion du poids,30,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,1,,,,,Marion Mercier & Jules Oudot,,erreur de calcul (valeur originale notée 1530),0,,,,,,,,,
19,Local,1752,Nantes,,Angleterre,Imports,feves,,,4770,,53,Tonneaux,90,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,prix donné comme un intervalle 80-100 livres,0,,,,,,,,,
20,Local,1752,Nantes,,Angleterre,Imports,fromages de chester,,,450,,750,livres,0.6,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,quantité originale donnée en nombre et valeur originale en livres,0,,,,,,,,,
21,Local,1752,Nantes,,Angleterre,Imports,fromage commun,,,966.75,,3867,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
22,Local,1752,Nantes,,Angleterre,Imports,laine filée,,,598,,260,livres,2.3,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
23,Local,1752,Nantes,,Angleterre,Imports,laine peignée,,,8793.4,,6281,livres,1.4,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
24,Local,1752,Nantes,,Angleterre,Imports,laine en toison,,,16500,,55000,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,quantité originale donnée en balles de 500 livres,0,,,,,,,,,
25,Local,1752,Nantes,,Angleterre,Imports,laine en toison,,,7171,,26078,livres,0.275,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,prix donné comme un intervalle 5-6 sous,-0.450000000000728,,,,,,,,,
26,Local,1752,Nantes,,Angleterre,Imports,langues de beuf,,,1750,,50,barils,35,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
27,Local,1752,Nantes,,Angleterre,Imports,langues de beuf,,,2399,,9589,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,1.75,,,,,,,,,
28,Local,1752,Nantes,,Angleterre,Imports,lard,,,1210,,55,barils,22,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
29,Local,1752,Nantes,,Angleterre,Imports,lard,,,1728,,5760,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
30,Local,1752,Nantes,,Angleterre,Imports,moelle de bœuf,,,83.85,,258,livres,0.325,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,prix donné comme un intervalle 6-7 sous,0,,,,,,,,,
31,Local,1752,Nantes,,Angleterre,Imports,nattes,,,180,,120,en nombre,1.5,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
32,Local,1752,Nantes,,Angleterre,Imports,orge,,,35420,,506,Tonneaux,70,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
33,Local,1752,Nantes,,Angleterre,Imports,plomb en saumons,,,3745,,18725,livres,0.2,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
34,Local,1752,Nantes,,Angleterre,Imports,saumon salé,,,15,,60,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
35,Local,1752,Nantes,,Angleterre,Imports,saumure ,,,12,,2,tierçons,3,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,prix unitaire déduit,6,,,,,,,,,
36,Local,1752,Nantes,,Angleterre,Imports,stocfiche,,,1000,,5000,livres,0.2,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
37,Local,1752,Nantes,,Angleterre,Imports,suif,,,7696.5,,25655,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
38,Local,1752,Nantes,,Angleterre,Imports,vieux oing,,,980.7,,3269,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
39,Local,1752,Nantes,,Danemark,Imports,bled fromens,,,10800,,60,tonneaux,180,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
40,Local,1752,Nantes,,Danemark,Imports,bled seigle,,,18400,,230,tonneaux,80,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
41,Local,1752,Nantes,,Danemark,Imports,Bray gras,,,4830,,210,Baril,23,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
42,Local,1752,Nantes,,Danemark,Imports,fer en barres,,,1200.5,,8575,livres,0.14,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
43,Local,1752,Nantes,,Danemark,Imports,planches de sapin,,,,1,3709,pièces,140,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,à discuter,-519260,,,,,,,,,
44,Local,1752,Nantes,,Danemark,Imports,planches de sapin,,,,2,3258,pièces,,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,lecture,0,,,,,,,,,
45,Local,1752,Nantes,,Danemark,Imports,planches de sapin,,,,3,145,pièces,0.225,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,Lecture ; prix donné comme un intervalle 5-6,-32.625,,,,,,,,,
46,Local,1752,Nantes,,Danemark,Imports,planches de sapin,,,5609,4,7012,pièces,0.8,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,2,,,,,Marion Mercier & Jules Oudot,,ligne de total ?,-0.600000000000364,,,,,,,,,
47,Local,1752,Nantes,,Danemark,Imports,Avirons,,,198,,49.5,traques,2,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,,,,,,Marion Mercier & Jules Oudot,,Intitulé produit,99,,,,,,,,,
48,Local,1752,Nantes,,Espagne,Imports,Citrons Verts,,,480,,48,milliers,10,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
49,Local,1752,Nantes,,Espagne,Imports,fer en barres,,,112979.75,,869075,livres,0.13,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
50,Local,1752,Nantes,,Espagne,Imports,fer en perlermons,,,2148.75,,14325,livres,0.15,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
51,Local,1752,Nantes,,Espagne,Imports,goudron,,,205,,20,Baril,20,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,incohérence,-195,,,,,,,,,
52,Local,1752,Nantes,,Espagne,Imports,huile d’olive,,,3706.5,,4942,livres,0.75,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
53,Local,1752,Nantes,,Espagne,Imports,Jambons,,,704,,176,livres,0.4,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,lecture,633.6,,,,,,,,,
54,Local,1752,Nantes,,Espagne,Imports,laine d’espagne,,,469977,,313318,livres,1.5,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
55,Local,1752,Nantes,,Espagne,Imports,laine surge,,,24721.5,,53443,livres,0.5,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,lecture,-2000,,,,,,,,,
56,Local,1752,Nantes,,Espagne,Imports,noisettes,,,25000,,300,tonneaux,,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,lecture,25000,,,,,,,,,
57,Local,1752,Nantes,,Espagne,Imports,noisettes,,,25000,,2000,boisseaux,0.5,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,lecture,24000,,,,,,,,,
58,Local,1752,Nantes,,Espagne,Imports,oranges aigres,,,580,,58,milliers,10,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
59,Local,1752,Nantes,,Espagne,Imports,oranges douces,,,750,,75,milliers,10,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
60,Local,1752,Nantes,,Espagne,Imports,vin d’espagne,,,495,,120,bouteilles,,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,Inversion ?,495,,,,,,,,,
61,Local,1752,Nantes,,Espagne,Imports,vin d’espagne,,,495,,270,pots,,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,Inversion ?,495,,,,,,,,,
62,Local,1752,Nantes,,Espagne,Imports,vin de Ramis,,,60,,30,pots,2,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
63,Local,1752,Nantes,,Flandre autrichienne,Imports,cabarets vernis,,,200,,20,livres,10,sources/Local/AD44_C716_Nantes_Imports_1752.csv,AD44 C716,3,,,,,Marion Mercier & Jules Oudot,,,0,,,,,,,,,
