line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_value,absurd_quantity,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
431,Local,1731,Marseille,,Pour la Hollande,Exports,Anchois,,,296,,74,barils,4,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
432,Local,1731,Marseille,,Pour la Hollande,Exports,Anchois,,,116,,116,pots,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
433,Local,1731,Marseille,,Pour la Hollande,Exports,Amandes cassées,,,102608,,466400,livres,.22,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
434,Local,1731,Marseille,,Pour la Hollande,Exports,Amandes en coques,,,2318.75,,33125,livres,.07,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
435,Local,1731,Marseille,,Pour la Hollande,Exports,Agarie,,,108,,60,livres,1.8,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
436,Local,1731,Marseille,,Pour la Hollande,Exports,Bazannes tannées,,,2760,,184,douzaines,15,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
437,Local,1731,Marseille,,Pour la Hollande,Exports,Confitures,,,150,,200,livres,.75,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
438,Local,1731,Marseille,,Pour la Hollande,Exports,Capres,,,9782.5,,37625,livres,.26,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
439,Local,1731,Marseille,,Pour la Hollande,Exports,Chataignes fraiches,,,1494,,49800,livres,.03,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
440,Local,1731,Marseille,,Pour la Hollande,Exports,Esprit de vin,,,196,,980,livres,.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
441,Local,1731,Marseille,,Pour la Hollande,Exports,Eau de vie,,,524805,,3498700,livres,.15,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
442,Local,1731,Marseille,,Pour la Hollande,Exports,Eau de la Reyne d'hongrie,,,66,,300,livres,.22,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
443,Local,1731,Marseille,,Pour la Hollande,Exports,Eaux de fleur d'orange,,,24,,24,bouteilles,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
444,Local,1731,Marseille,,Pour la Hollande,Exports,"Etoffe or, argent et soye",,,9200,,115,livres,80,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
445,Local,1731,Marseille,,Pour la Hollande,Exports,Etoffe de soye,,,12880,,322,livres,40,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
446,Local,1731,Marseille,,Pour la Hollande,Exports,Etoffe soye et filozelle,,,600,,30,livres,20,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
447,Local,1731,Marseille,,Pour la Hollande,Exports,Figues,,,1485,,9900,livres,.15,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
448,Local,1731,Marseille,,Pour la Hollande,Exports,Graine de jardin,,,2910,,2910,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
449,Local,1731,Marseille,,Pour la Hollande,Exports,Huile d'olive,,,29850,,995,milleroles,30,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
450,Local,1731,Marseille,,Pour la Hollande,Exports,Huile de senteur,,,2404,,2404,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
451,Local,1731,Marseille,,Pour la Hollande,Exports,Huile d'aspic,,,130,,650,livres,.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
452,Local,1731,Marseille,,Pour la Hollande,Exports,Liqueurs a boire,,,850,,1700,livres,.5,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
453,Local,1731,Marseille,,Pour la Hollande,Exports,Liege,,,2835,,28350,livres,.1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
454,Local,1731,Marseille,,Pour la Hollande,Exports,Miel,,,8262,,34425,livres,.24,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
455,Local,1731,Marseille,,Pour la Hollande,Exports,Maniquettes,,,195,,1300,livres,.15,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
456,Local,1731,Marseille,,Pour la Hollande,Exports,Noisettes,,,88.5,,1475,livres,.06,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
457,Local,1731,Marseille,,Pour la Hollande,Exports,Olives,,,6690,,22300,livres,.3,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
458,Local,1731,Marseille,,Pour la Hollande,Exports,Prunes Brignolles,,,75000,,75000,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
459,Local,1731,Marseille,,Pour la Hollande,Exports,Pruneaux,,,28175,,201250,livres,.14,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
460,Local,1731,Marseille,,Pour la Hollande,Exports,Pommade de Senteur,,,366,,122,livres,3,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
461,Local,1731,Marseille,,Pour la Hollande,Exports,Peaux de maroquin,,,990,,55,douzaines,18,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
462,Local,1731,Marseille,,Pour la Hollande,Exports,Raisin sec,,,36600,,305000,livres,.12,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
463,Local,1731,Marseille,,Pour la Hollande,Exports,Ris,,,107.5,,1075,livres,.1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
464,Local,1731,Marseille,,Pour la Hollande,Exports,Saffran,,,3080,,154,livres,20,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
465,Local,1731,Marseille,,Pour la Hollande,Exports,Soye greze de Provence,,,32040,,2670,livres,12,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
466,Local,1731,Marseille,,Pour la Hollande,Exports,Savon,,,6540,,32700,livres,.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
467,Local,1731,Marseille,,Pour la Hollande,Exports,Savonettes de Senteur,,,6,,25,livres,.24,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
468,Local,1731,Marseille,,Pour la Hollande,Exports,Souffre,,,35,,350,livres,.1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
469,Local,1731,Marseille,,Pour la Hollande,Exports,Thon mariné,,,2120,,2120,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1731.csv,Archives de la CCI de Marseille - I 21,3,,,,,Demba,,,0,,,,,,,,,,
