quantity_unit,u_conv,q_conv,remarque_unit,nbr_occ_qu_unit
,,,,88100
#,,,,
# Valeur,,,,
(1) Milliers,,,,
(10) Milliers,,,,
(109)Milliers,,,,
(12) Milles carreaux,,,,
(12) Milliers,,,,
(128) Milliers,,,,
(15) Milliers,,,,
"(15,5) Douzaines de paires",,,,
(17941) Milliers,,,,
(18) Milliers,,,,
(2) Douzaines,,,,
(20) Milliers,,,,
(222) Milliers,,,,
(233) Milliers,,,,
(240) Milliers,,,,
(25) Douzaines,,,,
(25) Milliers,,,,
(25)Milliers,,,,
(28) Milliers,,,,
(280) Milliers,,,,
(3) Milliers,,,,
(38) Milliers,,,,
(4) Douzaines de paires,,,,
(44) Milliers,,,,
(4461) Milliers,,,,
(48) Milliers,,,,
(5) Milliers,,,,
(59) Milliers,,,,
(6) Milliers,,,,
(60) Milliers,,,,
(600) Milliers,,,,
(651) Milliers,,,,
"(685,5) Milliers",,,,
(75) Milliers,,,,
(76) Milliers,,,,
(89) Milliers,,,,
(95) Milliers,,,,
10  pieds,,,,
10 a 11 pieds,,,,
10 a 12 pieds,,,,
10 a 18 pieds,,,,
10 a11  pieds,,,,
10 a12 pieds,,,,
10 pied,,,,
10 pieds,,,,
10 à 11 pied,,,,
10 à 12 palmes,,,,
10 à 12 pied,,,,
10 à 12 pieds,,,,
"10,12 a 14 pieds",,,,
11 a 12 pieds,,,,
11 a 13 palmes,,,,
11 let=132 baril,,,,
11 pieds,,,,
12 a 13 palmes,,,,
12 flacons,,,,
12 palmes,,,,
12 paumes de grosseur,,,,
12 pied,,,,
12 pieds,,,,
12 à 14 pieds,,,,
12 à 16 pieds,,,,
12 à 18 pieds,,,,
12 à 20 pieds,,,,
13 a 20 palmes,,,,
13 a 25 palmes,,,,
13 pieds,,,,
13 à 16 pieds,,,,
130 (Millier),,,,
14 a 16 pieds,,,,
14 palmes,,,,
14 pieds,,,,
15 a 16 pieds,,,,
15 a 20 pieds,,,,
15 pieds,,,,
15 pieds de long,,,,
16 a 18 pieds,,,,
16 pieds,,,,
16 à 17 paume de grosseur,,,,
18 a 21 pieds,,,,
18 pieds,,,,
20 a 22 pieds,,,,
20 a 25 palmes,,,,
20 a 30 pieds,,,,
20 pieces,,,,
20 pieds,,,,
21  pieds,,,,
21 à 22 pieds,,,,
22 pieds,,,,
24 pieds,,,,
24 à 30 pieds,,,,
25 a 30 pieds,,,,
25 pieces,,,,
25 pieds,,,,
25 à 30 pieds,,,,
26 pieds,,,,
27 pieds,,,,
3 a 4 pieds,,,,
3 petits Barils,,,,
30 a 40 pieds,,,,
30 pied,,,,
30 pieds,,,,
30 à 35 pieds,,,,
30 à 36 pieds,,,,
31 pieds,,,,
33 pieds,,,,
36 pieds,,,,
4 (Milliers),,,,
40 pieds,,,,
42 pieds,,,,
450 Feuilles,,,,
48 pieds,,,,
48 à 50 pieds,,,,
5 a 6 pieds,,,,
5 douzaines,,,,
5 pieds,,,,
50 pieds,,,,
52 pieds,,,,
6 a 15 pieds,,,,
6 a 7 pieds,,,,
6 flacons,,,,
6 pieds,,,,
6 à 7 paume de grosseur,,,,
6 à 7 pieds,,,,
600 Feuilles,,,,
66 pieds,,,,
"7 Feuilles a 7,5 pieds de chars",,,,
7 a 11 palmes,,,,
7 a 13 palmes,,,,
7 a 8 pieds,,,,
7 a 9 palmes,,,,
7 a 9 pieds,,,,
7 pieds,,,,
8 a 12 pieds,,,,
8 a 9 pieds,,,,
8 flacons,,,,
8 pieds,,,,
8 à 12 pieds,,,,
8 à 9 pieds,,,,
9 a 10 pieds,,,,
9 a 10-11 pieds,,,,
9 a 12 palmes,,,,
9 a 18 pied,,,,
9 a10  pieds,,,,
9 flacons,,,,
9 pieds,,,,
