exportsimports,quantity_unit,marchandises_normalisees,N3_quantity_unit_ajustees,pays_corriges,pays_regroupes,N3_u_conv,N3_q_conv,N3_Remarque_unit,incertitude_unit
Imports,barils,Braule,,,,,,,
Imports,barils,Bœufs et langues salées,,,,,,,
Imports,barils,Goudron,,,,,,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Poisson ; Hareng ; Blanc,,,,,,comme chez Werner (baril d'anchoixà londres),
Imports,barils,Poisson ; Hareng ; saur,,,,,,"p549 doursther, +8àà harengs=1230kg (voir signets conso alimentaire pologne)",
Imports,barils,Poisson ; de mer ; morue ;  de Hollande,,,,,,,
Imports,barils,Saumon ; salé,,,,,,p546 doursther,
Imports,barils,Cendre ; commune,,Allemagne,Allemagne,,,,
Imports,barils,Drogue ; pour la peinture et la teinture ; ocre ; rouge,,Allemagne,Allemagne,,,,
Imports,barils,Fer ; blanc,,Allemagne,Allemagne,,,,
Imports,barils,Fer ; noir,,Allemagne,Allemagne,,,,
Imports,barils,Fruits ; crus,,Allemagne,Allemagne,,,p60 doursther,
Imports,barils,Poisson ; de mer ; morue ; Verte,,Allemagne,Allemagne,,,p549 doursther,
Imports,barils,Beurre,,Angleterre,Angleterre,,,p546 doursther,
Imports,barils,Brai et goudron,,Angleterre,Angleterre,,,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Braule,,Angleterre,Angleterre,,,,
Imports,barils,Bœuf ; salé,,Angleterre,Angleterre,,,p550 doursther,
Imports,barils,Drogue ; térébenthine,,Angleterre,Angleterre,,,,
Imports,barils,Farine,,Angleterre,Angleterre,,,,
Imports,barils,Huître ; fraîches,,Angleterre,Angleterre,,,Comme chez Werner (Baril d'anchoix à Londres ?),
Imports,barils,Langue ; salée,,Angleterre,Angleterre,,,,
Imports,barils,Lard,,Angleterre,Angleterre,,,p546 doursther,
