simplification,occurrences_simplification,metric,conversion_orthographic_to_metric,incertitude_unit,source_hambourg,missing,needs_more_details,remarque_unit
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
charretées,19,litres,1920,,,,,"www.genefourneau.com/mesure.html , =1,92 stères"
boisseau,15,litres,12.695,,,,,Wikipédia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
,855,,,,,,1,nécessite le lieu d'émission
en valeur,17,,,,,,,
livres,22,kg,.48949999,,,,,
milliers,15,pièces,1000,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
aunes de paris,13,cm,118.84,,0,,0,Wikipedia
,855,,,,,,,
ballot,11,contenant,1,,,,,
,855,,,,,,1,
,855,,,,,,,
setier,11,litres,152.343,,,,,wikipédia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
canevette,10,contenant,,,,,,"Canevette = petit coffre pour le vin ou les liqueurs, voir Wikipédia"
douelles,10,pièces,1,,,,,
grosses,11,pièces,144,,,,,"p175 doursther, 12 douzaines"
panier,12,contenant,1,,,,,
paquets,11,contenant,1,,,,,
poinçons,10,litres,201.16,,,,,Doursther page 447
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,1,nécessite le contenu et le lieu d'émission
paires,10,pièces,2,,,,,
,855,,,,,,,
boîtes,16,contenant,1,,,,,
boîtes,16,contenant,1,,,,,
caisses,9,contenant,1,,,,,
,855,,,,,1,,"p107 doursther, 10.2833 stères, 300 pieds cubes de paris"
en nombre,15,pièces,1,,,,,
malles,8,contenant,1,,0,,0,
marcs,9,kg,.244749995,,,,,
balles,9,contenant,1,,,,,p56 doursther
ballon,7,contenant,1,,,,,
carreaux,7,litres,102.831,,,,1,"Doursther : voir page 102, 1 carreau = 3 pieds cubes de Paris = 3*34,277 L (voir Wikipédia pied cube)"
demi pièces,16,pièces,.5,,0,,0,
feuilles,8,pièces,1,,,,,
,855,,,,,,,Cnrtl : 1 rasière correspond à 50 litres environ
services,7,pièces,1,,0,1,0,
barils,11,feuilles,450,,,,,
,855,,,,,,1,
,855,,,,,,,"il semble qu'il s'agisse de chaldres, une unité de mesure du charbon selon le cnrtl"
,855,,,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
douzaines,12,pièces,12,,,,,
douzaines de paires,6,pièces,24,,,,,
,855,,,,,,,nécessite le lieu d'émission
,855,,,,0,1,0,nécessite le contenu
