marchandises_normalisees,marchandises_simplifies,sitc_rev1,sitc_rev2,classificationproduitsmdicinaux,remarques_marchandises,wallislist,exclusion_not_medical_primarily,nom_wallis,large,narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,commestibles_eur_grainsetsubstit,grains_ou_farine,categories_de_grains,v9,source_bdc,nbr_bdc_marchandises_normalisees,nbr_bdc_marchandises_simplifies
,,,,,,,,,,,,,,,,,,,,,1,5761,63124
? ; Licances,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
???,?,???,???,0,,0,,,0,0,,,132,,,,0,0,0,,1,90,90
??? Bois ; de buis,,2,2,0,,0,,,0,0,,,,,,,0,0,0,,1,1,63124
??? Bois ;,,2,2,0,,0,,,0,0,,,,Bois ; de Pernambouc,Bois ; de Pernambouc,,0,0,0,,0,0,0
??? Tanabare,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
??? Toile ; de Pologne,Toile,6,6b,0,,0,,,0,0,,,,,,,0,0,0,,0,0,0
Abaci,Abaque,8,8,0,"Abaque (Abacus en latin, Abaci au pluriel)Abaque (Abacus en latin, Abaci au pluriel)",0,,,0,0,,,1,,,,0,0,0,,1,1,1
Acacia,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Acacia ; germanica,,,,,,,,,,,,,,,,,,,,,1,1,63124
Accorus,,,,,,,,,,,,,,,,,,,,,1,1,63124
Achia,,0,0b,0,"Savary, volume 1, 1748 : «  Achia : sorte de canne qui croît dans les Indes Orientales, que l'on confit en verd dans le pays avec du fort vinaigre, du poivre quelques épices et autres ingrédients. »",0,,,0,0,,,4,,,,0,0,0,,1,5,63124
Acier,Acier,6,6,0,,0,,,0,0,,,296,,,,0,0,0,,1,797,806
Acier ; brun,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Acier ; brut,Acier,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,6,806
Acier ; en barres,Acier,6,6,0,,0,,,0,0,,,4,,,,0,0,0,,1,3,806
Acier ; ouvré,Acier ; ouvré,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,5,5
Acons démonté,Acons démonté,7,7,0,Embarcation à fond plat utilisé pour charger ou décharger des bateaux ou pour aller sur les vases (source : Wikitionnaire),0,,,0,0,,,2,,,,0,0,0,,1,8,8
Acorus,Acorus,2,2,1,"Savary, volume 1, 1748 : « La racine de l'acorus est de quelque usage dans la médecine étant un des ingrédients qui entrent dans la composition du Thériaque. Les parfumeurs en emploient aussi beaucoup »",1,0,Acorus,1,0,,,2,,,,0,0,0,,1,4,4
Acuirson,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Affut de fusils,Affut de fusils,9,9,0,,0,,,0,0,,,,,,,0,0,0,,0,0,0
Affût de canon,Affût de canon,9,9,0,,0,,,0,0,,,19,,,,0,0,0,,1,4,4
Affût de fusils,,,,,,,,,,,,,,,,,,,,,1,1,63124
Agaric,Agaric,5,5,1,"Savary, volume 1, 1748 : Sorte de champignon. Trois sortes, l'agaric mâle (colorant), femelle et faux (pas d'utilité). A propos de l'agaric femelle : « est le plus estimé car il a beaucoup d'usage dans la médecine ». Selon Rober J James, Dictio",1,0,Agaric,0,1,5,5,30,,,,0,0,0,,1,22,22
Agathe montée,,,,,,,,,,,,,,,,,,,,,1,1,63124
Agneaux,Bestiaux,9,9,0,,0,,,0,0,,,1,,,,0,0,0,,1,51,805
Agoutals,,6,6,0,"C. Tisseur, Dictionnaire étymologique du patois lyonnais: «Agottiau (pour agoutal) : Ecope »",,,,0,0,,,,,,,0,0,0,,1,1,63124
Agoutals ; de bois,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Agrès,Agrès,7,7,0,,0,,,0,0,,,68,,,,0,0,0,,1,2,9
Agrès ; de navires,Agrès,7,7,0,,0,,,0,0,,,1,,,,0,0,0,,1,6,9
Agrès ; de navires ; en voiles,Agrès,7,7,0,,0,,,0,0,,,4,,,,0,0,0,,1,1,9
Agrément,Agréments,6,6,0,,0,,,0,0,,,7,,,,0,0,0,,1,4,59
Agrément ; au quart,Agréments,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,2,59
Agrément ; d'argent,Agréments,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,1,59
Agrément ; d'or,Agréments,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,1,59
Agrément ; d'or et d'argent,Agréments,6,6,0,,0,,,0,0,,,4,,,,0,0,0,,1,4,59
Agrément ; de fil,Agréments,6,6a,0,,0,,,0,0,,,8,,,,0,0,0,,1,7,59
Agrément ; de soie,Agréments,6,6c,0,,0,,,0,0,,,17,,,,0,0,0,,1,39,59
Agrément ; de soie et d'argent,,,,,,,,,,,,,,,,,,,,,1,1,63124
Agréments,,,,,,,,,,,,,,,,,,,,,1,12,63124
Agréments ; d'argent,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
