numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bœuf salé,Angleterre,"11 446,00",barils,"21,0000000",,,Pas de valeur totale indiquée
2,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bœuf salé,Angleterre,"363,00",tierçons,"32,0000000",,,Pas de valeur totale indiquée
3,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,beure,Angleterre,"456 645,00",livres,"0,2800000",,,Pas de valeur totale indiquée
4,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,chandelle,Angleterre,"15 624,00",livres,"0,4500000",,,Pas de valeur totale indiquée
5,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,charbon de terre,Angleterre,"1 123,00",bariques,"0,5500000",,,Pas de valeur totale indiquée
6,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,crin de cheval,Angleterre,"2 103,00",livres,"0,6000000",,,Pas de valeur totale indiquée
7,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,cuirs verts en poil,Angleterre,"1 301,00",livres,"18,0000000",,,Pas de valeur totale indiquée
8,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,etaim en bloc,Angleterre,"2 700,00",livres,"1,0500000",,,Pas de valeur totale indiquée
9,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,fromage,Angleterre,"56 797,00",livres,"0,1200000",,,Pas de valeur totale indiquée
10,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,gaudron,Angleterre,"325,00",barils,"16,0000000",,,Pas de valeur totale indiquée
11,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,laine peignée,Angleterre,"3 869,00",livres,"1,4000000",,,Pas de valeur totale indiquée
12,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,quincaille de fer,Angleterre,"715,00",livres,"1,4000000",,,Pas de valeur totale indiquée
13,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,saumon salé,Angleterre,"23,00",tierçons,"60,0000000",,,Pas de valeur totale indiquée
14,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,suif,Angleterre,"38 050,00",livres,"0,4000000",,,Pas de valeur totale indiquée
15,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,biere,Flandre,"76,00",bariques,"24,0000000",,,Pas de valeur totale indiquée
16,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,charbon de terre,Flandre,"110,00",tonneaux,"18,0000000",,,Pas de valeur totale indiquée
17,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,stocfiche,Flandre,"32 985,00",livres,"0,1400000",,,Pas de valeur totale indiquée
18,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,acier,Hollande,"11 875,00",livres,"0,2400000",,,Pas de valeur totale indiquée
19,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,alun ,Hollande,"19 600,00",livres,"0,1600000",,,Pas de valeur totale indiquée
20,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,amidon,Hollande,"46 375,00",livres,"0,2000000",,,Pas de valeur totale indiquée
21,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,anabas,Hollande,"6 515,00",pieces,"1,2000000",,,Pas de valeur totale indiquée
22,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,ancres de fer,Hollande,"24 184,00",livres,"0,3000000",,,4 sous au départ
23,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,antichiabanis,Hollande,"385,00",pieces,"11,0000000",,,Pas de valeur totale indiquée
24,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,armes a feu,Hollande,"4 400,00",livres,"4,0000000",,,Pas de valeur totale indiquée
25,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,arsenic,Hollande,"425,00",livres,"0,2400000",,,Pas de valeur totale indiquée
26,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,azur commun,Hollande,"1 780,00",livres,"0,6400000",,,Pas de valeur totale indiquée
27,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bajutapau,Hollande,"55,00",pieces,"22,0000000",,,Pas de valeur totale indiquée
28,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,baleine coupée,Hollande,"3 192,00",livres,"3,0000000",,,Pas de valeur totale indiquée
29,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,baleine en fanon,Hollande,"1 913,00",livres,"2,5000000",,,Pas de valeur totale indiquée
30,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,barbançons de terre,Hollande,"1 130,00",livres,"0,2000000",,,Pas de valeur totale indiquée
31,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,barils vuides,Hollande,"160,00",nombre,"1,0000000",,,Pas de valeur totale indiquée
32,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,barres d'anspects,Hollande,"600,00",nombre,"0,3000000",,,Pas de valeur totale indiquée
33,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bassins de cuivre,Hollande,"25 522,00",livres,"1,2500000",,,Pas de valeur totale indiquée
34,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,batons de sapin,Hollande,"4 170,00",livres,"0,2500000",,,Pas de valeur totale indiquée
35,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bayette,Hollande,"29,00",pieces,"62,0000000",,,Pas de valeur totale indiquée
36,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bayette,Hollande,"315,00",aunes,"5,0000000",,,Pas de valeur totale indiquée
37,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bœuf salé,Hollande,"4 005,00",barils,"21,0000000",,,Pas de valeur totale indiquée
