numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,unverified
1,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bled froment,Angleterre,100,tonneaux,100,10000,0,,1
2,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bœuf salé,Angleterre,27855,barils,0.22,6128.1,0,,1
3,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,beurre salé,Angleterre,1235050,livres,0.3,370515,0,,1
4,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bierres,Angleterre,6,tierions ?,18,108,0,,1
5,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,barils vuides,Angleterre,100,nombre,2,200,0,,1
6,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,cuirs vert en poil ?,Angleterre,13388,nombre,10,,,absence de prix total,1
7,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,crin,Angleterre,55,livres,1.5,82.5,0,,1
8,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,chandele,Angleterre,200,cartes ?,20,4000,0,,1
9,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,chandele,Angleterre,2230,livres,0.4,892,0,,1
10,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,charbon de terre,Angleterre,776.5,bariques,20,15530,0,,1
11,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,fromage,Angleterre,75500,livres,0.35,26425,0,,1
12,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,foin,Angleterre,5000,livres,0.4,200,-1800,erreur de calcul,1
13,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,huile de poisson,Angleterre,28700,livres,0.25,7175,0,,1
14,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,lard,Angleterre,41,barils,30,1230,0,,1
15,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,lard,Angleterre,1100,livres,0.15,165,0,,1
16,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,laine en suin,Angleterre,49800,livres,0.8,39840,0,,1
17,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,plomb en saumon,Angleterre,18740,livres,0.24,4497.6,0,,1
18,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,pommes de terre,Angleterre,2,bariques,5,10,0,,1
19,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,saumon salé,Angleterre,208,dierons ?,70,14560,0,,1
20,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,saumon salé,Angleterre,56,barils,70,3920,0,,1
21,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,suif,Angleterre,48880,livres,0.35,17108,0,,1
22,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bierres,Flandre Imperial,16,barriques,25,400,0,,1
23,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bois a bruller,Flandre Imperial,2,cordes,12,24,0,,1
24,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,planches de sapin commune,Flandre Imperial,5370,nombre,0.7,3759,0,,1
25,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,perches de sapin,Flandre Imperial,870,nombre,1.5,1305,0,,1
26,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,patins ?,Flandre Imperial,12,paires,3,36,0,,1
27,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,argens en lingots,Hollande,1100,mare ?,46.9,51590,0,,1
28,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,aiguilles a voile,Hollande,4,livres,6,24,0,,1
29,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,ancres de fer,Hollande,14,nombre,200,2800,0,,1
30,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,ancres de fer,Hollande,38225,livres,0.25,9556.25,0,,1
31,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,acier,Hollande,244,barils,110,26840,0,,1
32,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,ambre jaune,Hollande,460,livres,300,590,-137410,erreur de calcul,1
33,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,azur commun,Hollande,8435,livres,0.55,4639.25,0,,1
34,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,amidon,Hollande,38550,livres,0.35,13492.5,0,,1
35,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,avoine,Hollande,150,tonneaux,70,10500,0,,1
36,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,anabas,Hollande,5000,pieces,20,100000,0,,1
37,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bul ?,Hollande,2276,pieces,14,31864,0,,1
38,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bafs ?,Hollande,151,pieces,12,1812,0,,1
39,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,brosserie,Hollande,1200,livres,1,1200,0,,1
40,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bourres de bœuf,Hollande,10100,livres,0.05,505,0,,1
41,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bray gras,Hollande,86,barils,20,1720,0,,1
42,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bassins d'estain,Hollande,300,nombre,1.5,450,0,,1
43,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bassins de cuivre jaune,Hollande,2238,nombre,3,6714,0,,1
44,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,1,bassins de cuivre jaune,Hollande,32670,livres,1.4,45738,0,,1
45,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,brique,Hollande,600,cent,0.0125,7.5,0,"6 cent à 0,25 sous ",1
46,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,brun rouge,Hollande,1300,livres,0.04,52,0,,1
47,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,balaine coupée,Hollande,1240,livres,6,7440,0,,1
48,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,bois d'inde rapé,Hollande,18450,livres,0.3,5535,0,,1
49,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,bois de brezil,Hollande,11400,livres,0.3,3420,0,,1
50,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,bois de campêche,Hollande,72800,livres,0.1,7280,0,,1
51,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,bois de sapin,Hollande,63700,livres,11,7644,-693056,prix unitaire illisible,1
52,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,bourdillon,Hollande,1620,pieces,2,3240,0,,1
53,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,bariques vuides,Hollande,40,nombre,10,400,0,,1
54,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,bois a bruller,Hollande,12,cordes,12,144,0,,1
55,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,bouchons de liege,Hollande,19150,nombre,0.05,957.5,0,,1
56,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,bled froment,Hollande,8,tonneaux,100,800,0,,1
57,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,beurre ,Hollande,100,livres,30,30,-2970,erreur de calcul,1
58,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,bierre ,Hollande,242.5,barils,25,6062.5,0,,1
59,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,canelle,Hollande,1184,livres,7,8288,0,,1
60,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,cacao,Hollande,300,livres,1.75,525,0,,1
61,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,cabillau,Hollande,15,barils,25,375,0,,1
62,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,coroote ?,Hollande,1395,pieces,6,8370,0,,1
63,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,?,Hollande,416,aunes,0.75,312,0,,1
64,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,cartes marines,Hollande,155,livres,2,310,0,,1
65,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,cordages,Hollande,49775,livres,0.25,12443.75,0,,1
66,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,canvre cru,Hollande,247450,livres,0.22,54439,0,,1
67,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,cire jaune,Hollande,4900,livres,1.55,7595,0,,1
68,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,colle de poisson,Hollande,40,livres,0.3,12,0,,1
69,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,colle forte,Hollande,400,livres,0.35,140,0,,1
70,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,corail,Hollande,42,livres,100,4200,0,,1
71,Hasna,AD44 C706,Local/Nantes/Nantes – Imports – 1731.csv,Local,1731,Imports,Nantes,2,cauris,Hollande,29665,livres,1.2,35598,0, ,1
