numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Amidon,Marseille,Holande,2500,livres,"0,2",500,0,
2,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Arquifou,Marseille,Holande,84600,livres,"0,15",12690,0,
3,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Azur commun,Marseille,Holande,11390,livres,"0,6",6834,0,
4,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Baleine coupée,Marseille,Holande,8800,livres,"4,75",41800,0,
5,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Beurre,Marseille,Holande,3300,livres,"0,3",990,0,
6,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Biere,Marseille,Holande,203000,livres,"0,05",10150,0,
7,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Bled froment,Marseille,Holande,3118,charges,25,77950,0,
8,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Bois de Brezil,Marseille,Holande,14500,livres,"0,25",3625,0,
9,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Bois de campech,Marseille,Holande,37000,livres,"0,15",5550,0,
10,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Bois de fernambourg,Marseille,Holande,6000,livres,"0,45",2700,0,
11,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Bois jaune,Marseille,Holande,10000,livres,"0,1",1000,0,
12,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Bois de Sainte Marthe,Marseille,Holande,10000,livres,"0,25",2500,0,
13,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Bois de sandal moulu,Marseille,Holande,24600,livres,"0,3",7380,0,
14,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Borax,Marseille,Holande,2600,livres,5,13000,0,
15,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Brosses,Marseille,Holande,250,livres,"0,6",150,0,
16,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Cabarets de caffé,Marseille,Holande,60,en nombre,4,240,0,
17,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Cacao,Marseille,Holande,224880,livres,"1,3",292344,0,
18,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Caffé,Marseille,Holande,900,livres,"2,25",2025,0,
19,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Caffetières de fer blanc,Marseille,Holande,350,livres,1,350,0,
20,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,1,1746,Imports,Camphre,Marseille,Holande,2400,livres,4,9600,0,
21,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Canelle,Marseille,Holande,8900,livres,6,53400,0,
22,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Carreaux de brique,Marseille,Holande,250,en nombre,"0,015",3,"-0,75",
23,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Ceruze,Marseille,Holande,103400,livres,"0,2",20680,0,
24,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Chair salée,Marseille,Holande,12600,livres,"0,25",3150,0,
25,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Chanvre cru,Marseille,Holande,600,livres,"0,18",108,0,
26,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Cire blanche,Marseille,Holande,200,livres,"1,8",360,0,
27,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Cire jaune,Marseille,Holande,1000,livres,"1,35",1350,0,
28,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Colle forte,Marseille,Holande,131600,livres,"0,4",52640,0,
29,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Cornes de mouton,Marseille,Holande,150,paires,"0,05",7,"-0,5",
30,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Couperose verte,Marseille,Holande,429000,livres,"0,1",42900,0,
31,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Couteaux communs,Marseille,Holande,150,douzaines,3,450,0,
32,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Cuirs de vache de Russie,Marseille,Holande,1800,livres,1,1800,0,
33,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Cuivre en platine,Marseille,Holande,10500,livres,"1,6",16800,0,
34,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Drogueries,Marseille,Holande,14900,livres,1,14900,0,
35,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Etain en bloc,Marseille,Holande,38280,livres,1,38280,0,
36,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Etoffe de soye,Marseille,Holande,600,livres,40,24000,0,
37,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Fer en barres,Marseille,Holande,2000,livres,"0,145",290,0,
38,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Fer blanc,Marseille,Holande,117500,livres,"0,6",70500,0,
39,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Fer en plaques,Marseille,Holande,55775,livres,"0,125",6971,"-0,88",
40,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Fil de fer,Marseille,Holande,7500,livres,"0,5",3750,0,
41,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Fil de tisserand,Marseille,Holande,1800,livres,"0,75",1350,0,
42,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Fromage,Marseille,Holande,96750,livres,"0,3",29025,0,
43,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Garence,Marseille,Holande,232400,livres,"0,4",92960,0,
44,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Gaudron,Marseille,Holande,65000,livres,"0,15",9750,0,
45,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Geroffle,Marseille,Holande,15300,livres,8,122400,0,
46,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Glu,Marseille,Holande,2500,livres,"0,6",1500,0,
47,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Harangs blancs,Marseille,Holande,666,barils,16,10656,0,
48,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1746.csv,Local,2,1746,Imports,Harangs blancs,Marseille,Holande,3550,livres,"0,2",710,0,
