numrodeligne,dataentryby,sources,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Ajamis,Marseille,Angleterre,"54,00",pièces,"9,0000000","486,00","0,00",
2,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Alun,Marseille,Angleterre,"5 218,00",livres,"0,1000000","521,80","-0,80",
3,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Amidon,Marseille,Angleterre,"230,00",livres,"0,2000000","46,00","0,00",
4,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Anis,Marseille,Angleterre,"5 119,00",livres,"0,2000000","1 023,80","-0,80",
5,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Bas de soye,Marseille,Angleterre,"25,00",livres,"40,0000000","1 000,00","0,00",
6,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Batanony,Marseille,Angleterre,"400,00",pièces,"4,0000000","1 600,00","0,00",
7,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Beurre,Marseille,Angleterre,"7 500,00",livres,"0,4000000","3 000,00","0,00",
8,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Bois de campeche,Marseille,Angleterre,"900,00",livres,"0,1500000","135,00","0,00",
9,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Bouchon de liege,Marseille,Angleterre,"2 000,00",livres,"3,0000000","6 000,00","0,00",
10,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Cacao,Marseille,Angleterre,"1 104,00",livres,"1,4000000","1 545,60","-0,60",
11,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Canefice,Marseille,Angleterre,"200,00",livres,"0,3000000","60,00","0,00",
