line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Objet Général,1769,,,Levant,Exports,Acier,,,1116,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,3,18080,,,,Jérémy Hervelin,,,,,,,,,,,,
2,Objet Général,1769,,,Suisse,Exports,Acier,,,1757,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,3,18080,,,,Jérémy Hervelin,,,,,,,,,,,,
3,Objet Général,1769,,,Isles,Exports,Acier,,,11594,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,3,18080,,,,Jérémy Hervelin,,,,,,,,,,,,
4,Objet Général,1769,,,Guinée,Exports,Acier,,,3613,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,3,18080,,,,Jérémy Hervelin,,,,,,,,,,,,
5,Objet Général,1769,,,Indes,Exports,Acons démonté,,,6000,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,3,6000,,,,Jérémy Hervelin,,,,,,,,,,,,
6,Objet Général,1769,,,Allemagne,Exports,Agneaux,,,1116,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,3,1116,,,,Jérémy Hervelin,,,,,,,,,,,,
7,Objet Général,1769,,,Flandre,Exports,Aiguilles,,,1987,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,3,1987,,,,Jérémy Hervelin,,,,,,,,,,,,
8,Objet Général,1769,,,Allemagne,Exports,Ajustements,,,20039,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,3,20039,,,,Jérémy Hervelin,,,,,,,,,,,,
10,Objet Général,1769,,,Indes,Exports,Alambics,,,2258,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,3,2258,,,,Jérémy Hervelin,,,,,,,,,,,,
11,Objet Général,1769,,,Hollande,Exports,Alun,,,1373,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,3,49570,,,,Jérémy Hervelin,,,,,,,,,,,,
12,Objet Général,1769,,,Italie,Exports,Alun,,,13480,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,3,49570,,,,Jérémy Hervelin,,,,,,,,,,,,
13,Objet Général,1769,,,Naples,Exports,Alun,,,2595,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,4,49570,,,,Jérémy Hervelin,,,,,,,,,,,,
14,Objet Général,1769,,,Genes,Exports,Alun,,,3521,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,4,49570,,,,Jérémy Hervelin,,,,,,,,,,,,
15,Objet Général,1769,,,Levant,Exports,Alun,,,18951,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,4,49570,,,,Jérémy Hervelin,,,,,,,,,,,,
16,Objet Général,1769,,,Savoye,Exports,Alun,,,2987,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,4,49570,,,,Jérémy Hervelin,,,,,,,,,,,,
17,Objet Général,1769,,,Suisse,Exports,Alun,,,6663,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,4,49570,,,,Jérémy Hervelin,,,,,,,,,,,,
18,Objet Général,1769,,,Levant,Exports,Ambre,,,95850,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,4,95850,,,,Jérémy Hervelin,,,,,,,,,,,,
19,Objet Général,1769,,,Flandre,Exports,Amidon,,,50943,0,,,,sources/Objet General/IIHS-122C_Exports_1769.csv,IIHS-122C,4,80474,,,,Jérémy Hervelin,,,,,,,,,,,,
