numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Acons démontés,,5700,7,,,en nombres,7100,,,,,,0
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Acons démontés,,1400,2,,,en nombres,7100,,,,,,0
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Ardoises,,44300,1772,,,en nombres,47300,,,,,,0
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Ardoises,,3000,120,,,en nombres,47300,,,,,,0
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Argenterie et bijouterie,,48820,,,,,56362,,,,,,0
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Argenterie et bijouterie,,1716,,,,,56362,,,,,,0
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Argenterie et bijouterie,,5826,,,,,56362,,,,,,0
8,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Argenterie et bijouterie,,2685,,,,en nombres,,,,,,,0
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Armes ; fusils,,6100,184,,,en nombres,7950,,,,,,0
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Armes ; fusils,,1530,51,,,en nombres,7950,,,,,,0
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Armes ; fusils,,320,10,,,en nombres,7950,,,,,,0
12,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Armes ; fusils,,149452,18864,,,en nombres,,,,,,,0
13,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Armes ; pistolets,,360,18,,,en nombres,,,,,,,0
14,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Armes ; pistolets,,3460,173,,,en nombres,,,,,,,0
15,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Armes ; sabres,,9752,3901,,,en nombres,,,,,,,0
16,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Avoine,,289,4815,,,livres,2794,,,,,,0
17,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Avoine,,57,960,,,livres,2794,,,,,,0
18,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Avoine,,2448,40800,,,livres,2794,,,,,,0
19,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Bois ; à brûler,,1755,65,,,cercles,1876,,,,,,0
20,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Bois ; à brûler,,121,"4,5",,,cercles,1876,,,,,,0
21,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Bois ; à brûler,,1863,69,,,cercles,,,,,,,0
22,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Bois ; merrain,,30760,123,,,???,,,,,,Doute sur l'unité,0
23,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Bois ; feuillard,,147270,4909,,,???,153757,,,,,Doute sur l'unité,0
24,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Bois ; feuillard,,327,109,,,???,153757,,,,,Doute sur l'unité,0
25,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Bois ; feuillard,,6160,205,,,???,153757,,,,,Doute sur l'unité,0
26,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Bois ; feuillard,,120,4,,,???,,,,,,Doute sur l'unité,0
27,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Bois ; ozier,,8440,211,,,???,9080,,,,,Doute sur l'unité,0
28,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Bois ; ozier,,280,"7,5",,,???,9080,,,,,Doute sur l'unité,0
29,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Bois ; ozier,,360,9,,,???,9080,,,,,Doute sur l'unité,0
30,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Bois ; ozier,,720,18,,,???,,,,,,Doute sur l'unité,0
31,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Bois ; de sapin en planches,,14746,12289,,,en nombres,14820,,,,,,0
32,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Bois ; de sapin en planches,,74,62,,,en nombres,14820,,,,,,0
33,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Bois ; de sapin en planches,,2072,1727,,,en nombres,,,,,,,0
34,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Bonneterie ; de fil en bas,,17289,407,,,douzaines,38730,,,,,,0
35,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Bonneterie ; de fil en bas,,15246,363,,,douzaines,38730,,,,,,0
36,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Bonneterie ; de fil en bas,,6195,"147,5",,,douzaines,38730,,,,,,0
37,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Bonneterie ; de soye en bas,,9792,816,,,pièces,9936,,,,,,0
38,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Bonneterie ; de soye en bas,,144,12,,,pièces,9936,,,,,,0
39,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Bonneterie ; de laine des bonnets ???,,12060,1206,,,douzaines,,,,,,,0
40,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Boutons divers,,2444,,,,,,,,,,,0
41,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Boutons divers,,696,,,,,,,,,,,0
42,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Bray et goudron,,12696,145032,,,livres,12712,,,,,,0
43,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Bray et goudron,,3,75,,,livres,12712,,,,,,0
44,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Bray et goudron,,13,300,,,livres,12712,,,,,,0
45,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Bray et goudron,,2430,24600,,,livres,,,,,,,0
46,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Cartes à jouer,,3499,1944,,,sizains,,,,,,,0
47,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Cave de six flacons pour mettre eau de vie,,35538,5932,,,en nombres,,,,,,,0
48,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Cauris,,293281,244401,,,livres,,,,,,,0
49,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Chapeaux ; de laine communs,,29272,19515,,,en nombres,34603,,,,,,0
50,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Chapeaux ; de laine communs,,4734,3156,,,en nombres,34603,,,,,,0
51,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Chapeaux ; de laine communs,,597,398,,,en nombres,34603,,,,,,0
52,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Chapeaux ; de laine communs,,18336,6568,,,en nombres,,,,,,,0
53,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Chapeaux ; demi-castor,,48078,3221,,,en nombres,51810,,,,,,0
54,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Chapeaux ; demi-castor,,3732,264,,,en nombres,51810,,,,,,0
55,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Chapeaux ; demi-castor,,81,1163,,,en nombres,,,,,,,0
56,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Chapeaux ; poil et laine,,8442,1206,,,en nombres,9282,,,,,,0
57,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Chapeaux ; poil et laine,,840,120,,,en nombres,9282,,,,,,0
58,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Chapeaux ; poil et laine,,1624,232,,,en nombres,,,,,,,0
59,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Chapeaux ; de paille communs,,1016,508,,,en nombres,1364,,,,,,0
60,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Chapeaux ; de paille communs,,288,144,,,en nombres,1364,,,,,,0
61,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Chapeaux ; de paille communs,,60,30,,,en nombres,1364,,,,,,0
62,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Charbon de terre,,11445,763000,,,livres,12514,,,,,,0
63,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Charbon de terre,,612,41500,,,livres,12514,,,,,,0
64,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Charbon de terre,,457,30500,,,livres,12514,,,,,,0
65,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Charbon de terre,,502,33500,,,livres,,,,,,,0
66,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Chaux éteinte,,29345,2934500,,,livres,29597,,,,,,0
67,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Chaux éteinte,,252,25250,,,livres,29597,,,,,,0
68,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,10,Cire en bougie,,47181,18589,,,livres,47893,,,,,,0
69,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,10,Cire en bougie,,687,275,,,livres,47893,,,,,,0
70,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,10,Cire en bougie,,25,100,,,livres,47893,,,,,,0
71,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,10,Cire en bougie,,2506,1000,,,livres,,,,,,,0
