numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Armes blanches et à feu,,17764,,,,,,,,,,,0
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,31,Argenterie et bijouterie,,2080,,,,,,,,,,,0
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Argenterie et bijouterie,,1634,,,,,,,,,,,0
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,31,Bois feuillard,,3950,1580,,,paquets,4200,,,,,,0
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,31,Bois feuillard,,250,100,,,paquets,4200,,,,,,0
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,31,Bonneterie divers,,1500,,,,,3432,,,,,,0
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,31,Bonneterie divers,,1932,,,,,3432,,,,,,0
8,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Bonneterie divers,,1284,,,,,,,,,,,0
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,31,Bray et goudron,,5070,33800,,,livres,,,,,,,0
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Bray et goudron,,60,400,,,livres,,,,,,,0
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Cauris,,79159,65966,,,,,,,,,Pas d'unité indiquée,0
12,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,31,Chapeaux divers communs,,10423,2862,,,en nombre,12555,,,,,,0
13,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,31,Chapeaux divers communs,,2132,1066,,,en nombre,12555,,,,,,0
14,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Chapeaux divers communs,,6832,1068,,,en nombre,,,,,,,0
15,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,31,Comestibles divers,,2701,,,,,3941,,,,,,0
16,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,31,Comestibles divers,,1240,,,,,3941,,,,,,0
17,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Comestibles divers,,1950,,,,,,,,,,,0
18,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,31,Comestibles beurre,,4349,5952,,,livres,,,,,,,0
19,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Comestibles beurre,,4284,6120,,,livres,,,,,,,0
20,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,31,Comestibles bière,,1440,33,,,muids,1872,,,,,,1
21,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,31,Comestibles bière,,1440,96,,,pintes,1872,,,,,,2
22,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,31,Comestibles bière,,432,10,,,muids,1872,,,,,,0
23,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Comestibles bière,,72,1,,,muids,,,,,,,1
24,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Comestibles bière,,72,192,,,pintes,,,,,,,2
25,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,31,Comestibles farine,,510,3400,,,livres,,,,,,,0
26,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Comestibles farine,,2040,13600,,,livres,,,,,,,0
27,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Comestibles ris,,7750,31000,,,livres,,,,,,,0
28,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,31,Chairs salées bœuf salé,,315,900,,,livres,,,,,,,0
29,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Chairs salées bœuf salé,,4200,12000,,,livres,,,,,,,0
30,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,31,Chairs salées lard salé,,2265,5033,,,livres,3405,,,,,,0
31,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,31,Chairs salées lard salé,,1140,2535,,,livres,3405,,,,,,0
32,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Chairs salées lard salé,,3510,7800,,,livres,,,,,,,0
33,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,31,Corail ouvré,,4137,,,,,,,,,,,0
