numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,destination,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte,
16,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Armes divers ; à feux,,,26953,,,,33195,33195,,,,,,0
17,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Armes divers ; à feux,,,712,,,,33195,,,,,,,0
18,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Armes divers ; à feux,,,3326,,,,33195,,,,,,,0
19,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Armes divers ; à feux,,,2204,,,,33195,,,,,,,0
20,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Armes divers ; à feux,,,74599,,,,33195,,,,,,,
21,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Armes divers ; blanches,,,3062,,,,3861,3862,,,,,,
22,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Armes divers ; blanches,,,800,,,,3861,,,,,,,
23,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Armes divers ; blanches,,,4332,,,,3861,,,,,,,
24,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Avoine,,78,1280,,,livres,1734,1734,,,,,0,
25,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Avoine,,48,800,,,livres,1734,,,,,,0,
26,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Avoine,,1608,26800,,,livres,1734,,,,,,0,
27,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Batterie de cuisine,,1350,,,,,1350,,,,,,0,
28,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Bijouterie,,209880,,,,,242854,242854,,,,,0,
29,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Bijouterie,,19724,,,,,242854,,,,,,0,
30,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Bijouterie,,13250,,,,,242854,,,,,,0,
31,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Bijouterie,,160,,,,,242854,,,,,,0,
32,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Bois ; de construction de toutes sortes,,,62057,,,,85933,85933,,,,,,0
33,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Bois ; de construction de toutes sortes,,,15052,,,,85933,,,,,,,0
34,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Bois ; de construction de toutes sortes,,,7614,,,,85933,,,,,,,0
35,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Bois ; de construction de toutes sortes,,,1210,,,,85933,,,,,,,0
36,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Bois ; de construction de toutes sortes,,,5700,,,,85933,,,,,,,0
37,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Bois ; de merain,,,20056,,,,21136,21136,,,,,,0
38,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Bois ; de merain,,,495,,,,21136,,,,,,,0
39,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Bois ; de merain,,,585,,,,21136,,,,,,,0
40,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Bois ; de merain,,,390,,,,21136,,,,,,,0
41,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Bois ; de feuillard,,,168816,,,,220616,220616,,,,,,0
42,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Bois ; de feuillard,,,31912,,,,220616,,,,,,,0
43,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Bois ; de feuillard,,,18168,,,,220616,,,,,,,0
44,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Bois ; de feuillard,,,1720,,,,220616,,,,,,,0
45,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Bois ; de feuillard,,,6000,,,,220616,,,,,,,0
46,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Bois ; ozier,,,10276,,,,14686,14686,,,,,,1
47,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Bois ; ozier,,,3000,,,,14686,,,,,,,2
48,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Bois ; ozier,,,1260,,,,14686,,,,,,,2
49,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Bois ; ozier,,,150,,,,14686,,,,,,,1
50,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Bois ; ozier,,,750,,,,14686,,,,,,,2
51,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Bonneterie ; diverses,,,1860,,,,2196,2196,,,,,,0
52,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Bonneterie ; diverses,,,336,,,,2196,,,,,,,1
53,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Bonneterie ; de fil,,,70611,,,,85287,85287,,,,,,2
54,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Bonneterie ; de fil,,,4434,,,,85287,,,,,,,2
55,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Bonneterie ; de fil,,,10098,,,,85287,,,,,,,1
56,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Bonneterie ; de fil,,,144,,,,85287,,,,,,,2
57,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Bonneterie ; de laine,,,32,,,,32,,,,,,,1
58,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Bonneterie ; de laine,,,2232,,,,32,,,,,,,2
59,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Bonneterie ; de soye,,,297838,,,,336763,336763,,,,,,0
60,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Bonneterie ; de soye,,,16176,,,,336763,,,,,,,0
61,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Bonneterie ; de soye,,,22461,,,,336763,,,,,,,0
62,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Bonneterie ; de soye,,,288,,,,336763,,,,,,,0
63,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Bonneterie ; de soye,,,1440,,,,336763,,,,,,,0
64,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Boucaniers ,,13104,624,,,nombre,19488,,,,,,0,
65,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Boucaniers ,,4032,192,,,nombre,19488,,,,,,0,
66,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Boucaniers ,,2016,96,,,nombre,19488,,,,,,0,
67,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Boucaniers ,,336,16,,,nombre,19488,,,,,,0,
68,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Boucaniers ,,1260,60,,,nombre,19488,,,,,,0,
69,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Boutons divers,,3482,,,,,3602,3602,,,,,0,
70,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Boutons divers,,120,,,,,3602,,,,,,0,
71,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Bray en goudrons,,32983,371450,,,livres,52226,52226,,,,,0,
72,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Bray en goudrons,,15685,182450,,,livres,52226,,,,,,0,
73,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Bray en goudrons,,3118,34900,,,livres,52226,,,,,,0,
74,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Bray en goudrons,,440,5000,,,livres,52226,,,,,,0,
75,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Bray en goudrons,,9705,32355,,,livres,52226,,,,,,0,
76,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Caisse a finance ,,3300,19,,,nombre,3500,3500,,,,,0,
77,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Caisse a finance ,,200,1,,,nombre,3500,,,,,,0,
78,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Caractères à imprimerie,,2000,,,,,2000,,,,,,0,
79,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Cartes à jouer,,35543,10710,,,sizains,46472,46472,,,,,0,
80,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Cartes à jouer,,2851,364,,,sizains,46472,,,,,,0,
81,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Cartes à jouer,,5227,1584,,,sizains,46472,,,,,,0,
82,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Cartes à jouer,,2851,864,,,sizains,46472,,,,,,0,
83,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Cartes à jouer,,2851,864,,,sizains,46472,,,,,,0,
84,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Cauris,,97106,80921,,,livres,97106,,,,,,,
85,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Cendres potasse,,2900,5800,,,milliers,2900,,,,,,0,
86,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Chapeaux ; divers,,1782,,,,nombre,1782,,,,,,,0
87,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Chapeaux ; divers,,42,,,,nombre,1782,,,,,,,0
88,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Chapeaux ; demi castor,,66021,5502,,,nombre,80544,80541,,,,,,0
89,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Chapeaux ; demi castor,,6492,541,,,nombre,80544,,,,,,,0
90,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Chapeaux ; demi castor,,8028,669,,,nombre,80544,,,,,,,0
91,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Chapeaux ; demi castor,,2340,780,,,nombre,80544,,,,,,,0
92,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Chapeaux ; de laine,,32562,10854,,,nombre,39807,39807,,,,,,0
93,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Chapeaux ; de laine,,1152,384,,,nombre,39807,,,,,,,0
94,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Chapeaux ; de laine,,3951,1767,,,nombre,39807,,,,,,,0
95,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Chapeaux ; de laine,,2142,714,,,nombre,39807,,,,,,,0
96,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Chapeaux ; de laine,,2340,7080,,,nombre,39807,,,,,,,0
97,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Chapeaux ; poil et laine,,151344,25224,,,nombre,181230,181230,,,,,,0
98,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Chapeaux ; poil et laine,,12012,2002,,,nombre,181230,,,,,,,0
99,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Chapeaux ; poil et laine,,17154,2859,,,nombre,181230,,,,,,,0
100,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Chapeaux ; poil et laine,,720,120,,,nombre,181230,,,,,,,0
101,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Chapeaux ; poil et laine,,3462,577,,,nombre,181230,,,,,,,0
102,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Chapeaux ; à nègres,,3162,3162,,,nombre,3234,3234,,,,,,0
