numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,destination,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte,
169,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Chaires salées ; bœuf salé,,2862,9540,,,livres,1023138,,,,,,,0
170,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Chaires salées ; bœuf salé,,12312,41040,,,livres,1023138,,,,,,,0
171,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Chaires salées ; cochon salé et petit salé,,442982,1107460,,,livres,559429,559429,,,,,,0
172,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Chaires salées ; cochon salé et petit salé,,80619,201552,,,livres,559429,,,,,,,0
173,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Chaires salées ; cochon salé et petit salé,,34472,86180,,,livres,559429,,,,,,,0
174,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Chaires salées ; cochon salé et petit salé,,1356,3391,,,livres,559429,,,,,,,0
175,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Chaires salées ; cochon salé et petit salé,,10091,25223,,,livres,559429,,,,,,,0
176,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Chaires salées ; jambon,,337494,562492,,,livres,474753,474753,,,,,,0
177,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Chaires salées ; jambon,,82518,137531,,,livres,474753,,,,,,,0
178,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Chaires salées ; jambon,,52719,87866,,,livres,474753,,,,,,,0
179,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Chaires salées ; jambon,,2022,3370,,,livres,474753,,,,,,,0
180,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Chaires salées ; jambon,,4017,6695,,,livres,474753,,,,,,,0
181,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Chaires salées ; lard salé ,,79208,198020,,,livres,115892,115892,,,,,,0
182,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Chaires salées ; lard salé ,,15124,37808,,,livres,115892,,,,,,,0
183,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Chaires salées ; lard salé ,,21160,52900,,,livres,115892,,,,,,,0
184,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Chaires salées ; lard salé ,,400,1000,,,livres,115892,,,,,,,0
185,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Chaires salées ; lard salé ,,1624,4060,,,livres,115892,,,,,,,0
186,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Chaires salées ; cuisses d'oye,,85464,7122,,,douzaines,109320,109320,,,,,,0
187,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Chaires salées ; cuisses d'oye,,14376,1198,,,douzaines,109320,,,,,,,0
188,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Chaires salées ; cuisses d'oye,,9000,750,,,douzaines,109320,,,,,,,0
189,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Chaires salées ; cuisses d'oye,,480,40,,,douzaines,109320,,,,,,,0
190,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Chaires salées ; cuisses d'oye,,1716,143,,,douzaines,109320,,,,,,,0
191,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Corail ouvré,,13200,88,,,livres,,,,,,,0,
192,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Cordages divers,,402164,1149252,,,livres,670908,670908,,,,,0,
193,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Cordages divers,,187894,522307,,,livres,670908,,,,,,0,
194,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Cordages divers,,69482,195946,,,livres,670908,,,,,,0,
195,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Cordages divers,,11368,32481,,,livres,670908,,,,,,0,
196,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Cordages divers,,47761,136462,,,livres,670908,,,,,,0,
197,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Coutellerie,,1637,,,,,338,3308,,,,,0,
198,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Coutellerie,,1158,,,,,338,,,,,,0,
199,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Coutellerie,,18,,,,,338,,,,,,0,
200,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Coutellerie,,495,,,,,338,,,,,,0,
201,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Coutellerie,,14222,,,,,338,,,,,,0,
202,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Couverture de laine et de cotons,,20732,1484,,,nombre,21434,21384,,,,,0,
203,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Couverture de laine et de cotons,,652,30,,,nombre,21434,,,,,,0,
204,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Couverture de laine et de cotons,,1840,204,,,nombre,21434,,,,,,0,
205,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Crin frisé,,1350,1360,,,livres,1750,1750,,,,,0,
206,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Crin frisé,,400,400,,,livres,1750,,,,,Doute sur la marchandises,0,
207,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Cuirs de bœuf tannés,,9848,8207,,,livres,22592,22592,,,,Doute sur la marchandises,0,
208,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Cuirs de bœuf tannés,,8568,7140,,,livres,22592,,,,,,0,
209,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Cuirs de bœuf tannés,,4176,4380,,,livres,22592,,,,,,0,
210,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Cuirs de bœuf tannés,,240,200,,,livres,22592,,,,,,0,
211,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Cuivre en feuilles et planches et ???,,35355,23345,,,livres,54272,54272,,,,On arrive pas a lire la fine,0,
212,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Cuivre en feuilles et planches et ???,,14479,7283,,,livres,54272,,,,,,0,
213,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Cuivre en feuilles et planches et ???,,3838,2488,,,livres,54272,,,,,,0,
214,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Cuivre en feuilles et planches et ???,,600,400,,,livres,54272,,,,,,0,
215,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Cuivre en feuilles et planches et ???,,8992,5308,,,livres,54272,,,,,,0,
216,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Dentelle ;  de fil et valencienne,,104400,87,,,livres,124200,124200,,,,,,0
217,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Dentelle ;  de fil et valencienne,,15000,"12,5",,,livres,124200,,,,,,,0
218,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Dentelle ;  de fil et valencienne,,4800,4,,,livres,124200,,,,,,,0
219,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Dentelle ;  de fil du puy et ???,,32000,160,,,livres,32800,32800,,,,,On arrive pas a lire la fine,0
220,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Dentelle ;  de fil du puy et ???,,800,4,,,livres,32800,,,,,,,0
221,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Dentelle ;  de fil de ??? et Reims,,36167,72,,,livres,36167,,,,,,"On arrive pas a lire la deuxie,e ville",0
222,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Dentelle ;  de fil de ??? et Reims,,36167,6,,,onces,36167,,,,,,,0
223,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Dentelle de soye de Rouen,,800,,,,livres,14900,14900,,,,,,0
224,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Dentelle de soye de Rouen,,6300,,,,livres,14900,,,,,,,0
225,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Dentelle de soye de Rouen,,7800,,,,livres,14900,,,,,,,0
226,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Dessus de souliers brodés,,400,,,,livres,400,,,,,,0,
227,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Dessus de souliers brodés,,2200,,,,livres,400,,,,,,0,
228,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Dorure fine,,31932,166,,,livres,32316,32316,,,,,1,
229,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Dorure fine,,31932,5,,,onces,32316,,,,,,2,
230,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Dorure fine,,384,2,,,livres,32316,,,,,,0,
231,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Drap de laine,,189718,40,,,livres,3044495,304495,,,,,0,
232,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Drap de laine,,67603,38,,,livres,3044495,,,,,,0,
233,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Drap de laine,,43646,661,,,livres,3044495,,,,,,0,
234,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Drap de laine,,3528,160,,,livres,3044495,,,,,,0,
235,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Drap de laine,,116634,22,,,livres,3044495,,,,,,0,
236,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Drogueries ;  pour la peinture et coiffure,,26750,,,,,37586,37586,,,,,,0
237,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Drogueries ;  pour la peinture et coiffure,,7020,,,,,37586,,,,,,,0
238,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Drogueries ;  pour la peinture et coiffure,,3096,,,,,37586,,,,,,,1
239,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Drogueries ;  pour la peinture et coiffure,,720,,,,,37586,,,,,,,2
240,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Drogueries ;  pour la peinture et coiffure,,2307,,,,,37586,,,,,,,0
241,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Drogueries ;  pour la médecine,,33283,,,,,38368,38369,,,,,,0
242,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Drogueries ;  pour la médecine,,1926,,,,,38368,,,,,,,0
243,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Drogueries ;  pour la médecine,,2810,,,,,38368,,,,,,,0
244,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Drogueries ;  pour la médecine,,350,,,,,38368,,,,,,,0
245,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Drogueries ;  pour la médecine,,450,,,,,38368,,,,,,,0
246,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Eaux de vie,,97880,675,,,muids,204995,204995,,,,,0,
247,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Eaux de vie,,9788,96,,,pintes,204995,,,,,,0,
248,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Eaux de vie,,72792,505,,,muids,204995,,,,,,0,
249,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Eaux de vie,,72792,144,,,pintes,204995,,,,,,0,
250,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Eaux de vie,,34051,22,,,muids,204995,,,,,,0,
251,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Eaux de vie,,34051,97,,,pintes,204995,,,,,,0,
252,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Eaux de vie,,272,1,,,muids,204995,,,,,,0,
253,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Eaux de vie,,272,156,,,pintes,204995,,,,,,0,
254,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Eaux de vie,,144776,1002,,,muids,204995,,,,,,0,
255,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Eaux de vie,,144776,67,,,pintes,204995,,,,,,0,
256,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Epicerie divers,,32088,,,,,38358,38358,,,,,0,
257,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Epicerie divers,,4262,,,,,38358,,,,,,0,
258,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Epicerie divers,,2008,,,,,38358,,,,,,0,
259,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Epicerie divers,,186,,,,,38358,,,,,,0,
260,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Estampes et cartes géographique,,3730,,,,,6360,6360,,,,,0,
261,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Estampes et cartes géographique,,1500,,,,,6360,,,,,,0,
262,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Estampes et cartes géographique,,630,,,,,6360,,,,,,0,
263,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Estampes et cartes géographique,,500,,,,,6360,,,,,,0,
264,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Etain ouvré,,6178,4413,,,livres,8417,8418,,,,,0,
265,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Etain ouvré,,1636,1168,,,livres,8417,,,,,,0,
266,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Etain ouvré,,604,432,,,livres,8417,,,,,,0,
267,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Etain ouvré,,1764,1253,,,livres,8417,,,,,Le pdf donne aussi la quantité en livres,0,
268,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Etoffe divers ; de coton,,8270,,,,,8790,8790,,,,,0,
269,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Etoffe divers ; de coton,,370,,,,,8790,,,,,,0,
270,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Etoffe divers ; de coton,,150,,,,,8790,,,,,,0,
271,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Etoffe divers ; de coton,,300,,,,,8790,,,,,,0,
272,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Etoffe divers ; de laine,,47365,,,,,67796,67796,,,,,0,
273,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Etoffe divers ; de laine,,4219,,,,,67796,,,,,,1,
274,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Etoffe divers ; de laine,,15365,,,,,67796,,,,,,2,
275,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Etoffe divers ; de laine,,847,,,,,67796,,,,,,0,
276,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Etoffe divers ; de soye,,348224,,,,,382949,382949,,,,,0,
277,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Etoffe divers ; de soye,,15600,,,,,382949,,,,,Le pdf donne aussi la quantité en livres,0,
278,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Etoffe divers ; de soye,,17625,,,,,382949,,,,,Le pdf donne aussi la quantité en livres,0,
279,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Etoffe divers ; de soye,,1500,,,,,382949,,,,,Le pdf donne aussi la quantité en livres,0,
280,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Etoffe divers ; de soye,,48494,,,,,382949,,,,,Le pdf donne aussi la quantité en livres,0,
281,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Etoffe divers ; mêlée de soye,,33882,,,,,37602,37604,,,,Le pdf donne aussi la quantité en livres,0,
282,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Etoffe divers ; mêlée de soye,,1846,,,,,37602,,,,,Le pdf donne aussi la quantité en livres,0,
283,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Etoffe divers ; mêlée de soye,,1066,,,,,37602,,,,,Le pdf donne aussi la quantité en livres,0,
284,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Etoffe divers ; mêlée de soye,,810,,,,,37602,,,,,Le pdf donne aussi la quantité en livres,0,
285,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Etoffe divers ; mêlée de soye,,8236,,,,,37602,,,,,Le pdf donne aussi la quantité en livres,0,
286,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Etoupes,,4320,28800,,,livres,5995,5991,,,,Le pdf donne aussi la quantité en livres,0,
287,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Etoupes,,1164,7760,,,livres,5995,,,,,Le pdf donne aussi la quantité en livres,0,
288,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Etoupes,,435,2900,,,livres,5995,,,,,Le pdf donne aussi la quantité en livres,0,
289,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Etoupes,,72,480,,,livres,5995,,,,,Le pdf donne aussi la quantité en livres,0,
290,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Etoupes,,523,1692,,,livres,5995,,,,,Le pdf donne aussi la quantité en livres,0,
291,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fayence,,10378,,,,,12403,12404,,,,,0,
292,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fayence,,600,,,,,12403,,,,,,0,
293,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fayence,,700,,,,,12403,,,,,,0,
294,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Fayence,,726,,,,,12403,,,,,,0,
295,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Fayence,,3517,,,,,12403,,,,,,0,
296,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fers ; en barres et verge,,43098,289823,,,livres,65388,65388,,,,,0,
297,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fers ; en barres et verge,,15385,107501,,,livres,65388,,,,,,0,
298,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fers ; en barres et verge,,6785,45900,,,livres,65388,,,,,,0,
299,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Fers ; en barres et verge,,120,800,,,livres,65388,,,,,,0,
300,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Fers ; en barres et verge,,31660,211075,,,livres,65388,,,,,,0,
301,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fers ; de fonte brute,,1684,21059,,,livres,5540,5540,,,,,0,
302,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fers ; de fonte brute,,2864,35805,,,livres,5540,,,,,,0,
303,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fers ; de fonte brute,,992,12400,,,livres,5540,,,,,,0,
304,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fers ; de fonte ouvré en chaudières,,2717096,18109380,,,livres,2741653,2741653,,,,,0,
305,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fers ; de fonte ouvré en chaudières,,12157,80586,,,livres,2741653,,,,,,0,
306,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fers ; de fonte ouvré en chaudières,,12400,88000,,,livres,2741653,,,,,,0,
307,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Fers ; de fonte ouvré en chaudières,,5512,27562,,,livres,2741653,,,,,,0,
308,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fers ; de fonte en boulets et canons,,7651,,,,,16422,16422,,,,,0,
309,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fers ; de fonte en boulets et canons,,8771,,,,,16422,,,,,,0,
310,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Fers ; de fonte en boulets et canons,,1232,,,,,16422,,,,,,0,
311,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fers ; feuillard et tôle,,2061,10480,,,livres,4454,4454,,,,,1,
312,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fers ; feuillard et tôle,,952,5200,,,livres,4454,,,,,,2,
313,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fers ; feuillard et tôle,,1386,7700,,,livres,4454,,,,,,2,
314,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Fers ; feuillard et tôle,,55,250,,,livres,4454,,,,,,1,
315,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Fers ; feuillard et tôle,,2502,13900,,,livres,4454,,,,,,2,
316,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fers ; en clous,,250893,627234,,,livres,322139,322139,,,,,1,
317,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fers ; en clous,,38365,95913,,,livres,322139,,,,,,2,
318,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fers ; en clous,,31441,78603,,,livres,322139,,,,,,1,
319,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Fers ; en clous,,1440,3600,,,livres,322139,,,,,,2,
320,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Fers ; en clous,,2523,8410,,,livres,322139,,,,,,1,
321,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fers ; ouvré,,51991,172247,,,livres,67470,67473,,,,,2,
322,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fers ; ouvré,,8960,29668,,,livres,67470,,,,,,1,
323,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fers ; ouvré,,5847,19492,,,livres,67470,,,,,,2,
324,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Fers ; ouvré,,675,2150,,,livres,67470,,,,,,1,
325,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fers ; blanc en feuilles,,1638,2660,,,livres,2223,2223,,,,,2,
326,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fers ; blanc en feuilles,,468,760,,,livres,2223,,,,,,1,
327,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Fers ; blanc en feuilles,,117,190,,,livres,2223,,,,,,2,
328,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fers ; blanc ouvré,,12978,,,,,14474,14474,,,,,0,
329,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fers ; blanc ouvré,,894,,,,,14474,,,,,,1,
330,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fers ; blanc ouvré,,562,,,,,14474,,,,,,2,
331,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Fers ; blanc ouvré,,40,,,,,14474,,,,,,0,
332,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Fers ; blanc ouvré,,380,,,,,14474,,,,,,0,
333,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fils ; commun,,8992,5811,,,livres,11574,11574,,,,,0,
334,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fils ; commun,,2172,2835,,,livres,11574,,,,,,0,
335,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fils ; commun,,115,50,,,livres,11574,,,,,,0,
336,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Fils ; commun,,295,200,,,livres,11574,,,,,,0,
