product,orthographic,note,sourceFR,sourceFR_nbr,sourceBEL,sourceBEL_nbr,sourceSUND,sourceSUND_nbr,sourceNAVIGO_nbr,_merge,sourceNAVIGO
Bois d' ebêne,ébène,,,,,,,,1,Using only (2),1
Bois d' ébène,ébène,,,,,,,,4,Using only (2),1
Bois d' ébéne,ébène,,,,,,,,1,Using only (2),1
Bois de Construction,bois de construction,,,,,,,,1,Using only (2),1
Bois de Sassafras,sassafras,,,,,,,,1,Using only (2),1
Bois de bresillette,bois brésil,,,,,,,,1,Using only (2),1
Bolles [Bols] de terre anglais,bol de poterie (anglais),,,,,,,,1,Using only (2),1
Boulets à canon,boulet,,,,,,,,1,Using only (2),1
Bourdes de retour,bourdes de retour,,,,,,,,1,Using only (2),1
Bouteilles noires,bouteilles (noires),,,,,,,,2,Using only (2),1
Bray et godron,brai et goudron,,,,,,,,10,Using only (2),1
Brays,"brai, poix",,,,,,,,1,Using only (2),1
Buftas,baffetas,,,,,,,,1,Using only (2),1
Bœufs sallés,boeuf salé,,,,,,,,4,Using only (2),1
Cacaos,cacao,,,,,,,,1,Using only (2),1
Cafetieres,café,,,,,,,,1,Using only (2),1
Café Bourbon,café bourbon,,,,,,,,37,Using only (2),1
Cambrais,cambrai,,,,,,,,2,Using only (2),1
Canons de fonte de fer,canons,,,,,,,,1,Using only (2),1
Cargaison,"divers, assortiment",,,,,,,,1,Using only (2),1
Cauris en sac,cauri,,,,,,,,1,Using only (2),1
Cercles de barrique,cercles de barriques,,,,,,,,1,Using only (2),1
Cercles et ozier,cercles d' osier,,,,,,,,79,Using only (2),1
Chanvre chiné,chanvre (coloré),,,,,,,,1,Using only (2),1
Charbon de Bois,charbon de bois,,,,,,,,1,Using only (2),1
Charcuteries,charcuterie,,,,,,,,102,Using only (2),1
Chasselas toiles de l' Inde,chasselas,,,,,,,,1,Using only (2),1
Chassetala,chasselas,,,,,,,,1,Using only (2),1
Confitures et fruits à l' eau-de-vie,confitures et fruits à l' eau-de-vie,,,,,,,,6,Using only (2),1
Confitures et fruits à l'eau-de-vie,confitures et fruits à l' eau-de-vie,,,,,,,,94,Using only (2),1
Cordouans en lest,cuir,,,,,,,,1,Using only (2),1
Corduans,cordouan,,,,,,,,1,Using only (2),1
Coreaux,corail,,,,,,,,6,Using only (2),1
Coris [cauris],cauri,,,,,,,,1,Using only (2),1
Cornes de Mouton,cornes de mouton,,,,,,,,1,Using only (2),1
Cotonage,bourre de soie,,,,,,,,1,Using only (2),1
Couvertures chinées laine,couverture colorée de laine,,,,,,,,1,Using only (2),1
Croisière de la Ferme,croisière des douanes,,,,,,,,1,Using only (2),1
Croisière des fermes,croisière des douanes,,,,,,,,2,Using only (2),1
Cuirs Salés,cuir salé,,,,,,,,1,Using only (2),1
Cuirs d' Hollande,cuir de hollande,,,,,,,,1,Using only (2),1
Cuivre en plaque et travaillé,cuivre (planches),,,,,,,,9,Using only (2),1
Céréales,céréales,,,,,,,,1,Using only (2),1
Demies-Jeannes,dame-jeanne,,,,,,,,2,Using only (2),1
Denrées des Colonies,denrées des colonies,,,,,,,,4,Using only (2),1
Depeches,dépêches,,,,,,,,1,Using only (2),1
Differentes marchandises,"divers, assortiment",,,,,,,,2,Using only (2),1
Différentes Marchandises,"divers, assortiment",,,,,,,,16,Using only (2),1
Diligence complete,diligence,,,,,,,,1,Using only (2),1
Divers effets et matériel de ménage,effets de maison,,,,,,,,1,Using only (2),1
Divers objets de menage,effets de maison,,,,,,,,4,Using only (2),1
Diverses terrailles,"poterie, céramique",,,,,,,,1,Using only (2),1
Douëlles,douelle,,,,,,,,3,Using only (2),1
Drague aux huitres,pêche aux huitres,,,,,,,,1,Using only (2),1
Draperies et autres étoffes en laine ou fil de chevre,drap,,,,,,,,47,Using only (2),1
Draperies et autres étoffes en laine ou fil de chèvre,drap,,,,,,,,1,Using only (2),1
Drogues et Teintures,drogue et teinture,,,,,,,,1,Using only (2),1
Drogues et teintures,drogue et teinture,,,,,,,,82,Using only (2),1
Eau de fleur d' orange,eau de fleurs d' orange,,,,,,,,1,Using only (2),1
Effets d' imprimerie,effets,,,,,,,,1,Using only (2),1
Effets de maison,effets,,,,,,,,1,Using only (2),1
Effets de naufrages,effets de naufrage,,,,,,,,1,Using only (2),1
Effets du régiment de l' Isle de France,effets militaires,,,,,,,,1,Using only (2),1
En caravane,en caravane,,,,,,,,15,Using only (2),1
Equipages disgrâciés des vaisseaux du Roy,equipage,,,,,,,,2,Using only (2),1
Escaiolle,"alpiste, escayole",,,,,,,,1,Using only (2),1
Esprot pressé,sprat pressé,,,,,,,,1,Using only (2),1
Estocfiches [stockfish],stockfish,,,,,,,,1,Using only (2),1
Etoffes de retour,etoffe,,,,,,,,1,Using only (2),1
"Etoffes, dorures et effets de mode","étoffes, dorures et tissus de mode",,,,,,,,3,Using only (2),1
"Etoffes, dorures et effets de modes","étoffes, dorures et tissus de mode",,,,,,,,75,Using only (2),1
Fanelle,flanelle,,,,,,,,1,Using only (2),1
Fanon de balaine,"fanon de baleine, barbes de baleine",,,,,,,,1,Using only (2),1
Fanon de baleine,"fanon de baleine, barbes de baleine",,,,,,,,1,Using only (2),1
Farine de pois,farine de pois,,,,,,,,1,Using only (2),1
Fayance anglaise,faïence (anglaise),,,,,,,,2,Using only (2),1
Fayence anglaise,faïence (anglaise),,,,,,,,2,Using only (2),1
Fayots [Fagots],fagots,,,,,,,,1,Using only (2),1
Fer de calibre de 24 livres,fer,,,,,,,,1,Using only (2),1
Fer travaillé et Cloux,fer travaillé et cloux,,,,,,,,1,Using only (2),1
