product,orthographic,note,sourceFR,sourceFR_nbr,sourceBEL,sourceBEL_nbr,sourceSUND,sourceSUND_nbr,sourceNAVIGO_nbr,_merge,sourceNAVIGO
Vieux linge lessivé,"vieux effets, vieux linge",,,,,,,,10,Using only (2),1
Vieux menage,"vieux effets, vieux linge",,,,,,,,2,Using only (2),1
Vieux meubles et effets,meubles (vieux),,,,,,,,1,Using only (2),1
Vieuxcanons,canons,,,,,,,,1,Using only (2),1
Vin Bordeaux,vin de bordeaux,,,,,,,,1,Using only (2),1
Vin Mader [de Madère],vin de madère,,,,,,,,1,Using only (2),1
Vin d' Alicante,vin d' alicante,,,,,,,,1,Using only (2),1
Vin d' Espagne,vin espagnol,,,,,,,,1,Using only (2),1
Vin de Crevence,vin de creverece,,,,,,,,1,Using only (2),1
Vin restant,vin,,,,,,,,1,Using only (2),1
Vin rouge restant de sa cargaison,vin rouge,,,,,,,,1,Using only (2),1
Vinateriex,vinaterie,,,,,,,,1,Using only (2),1
Vivres pour l' équipage,vivres,,,,,,,,1,Using only (2),1
a vide,a vide,,,,,,,,2,Using only (2),1
acier,acier,,,,,,,,1,Using only (2),1
agobilles,"divers, assortiment",,,,,,,,1,Using only (2),1
agrais,agrès,,,,,,,,3,Using only (2),1
agraix,agrès,,,,,,,,1,Using only (2),1
agres,agrès,,,,,,,,1,Using only (2),1
agro [agraix],agrès,,,,,,,,1,Using only (2),1
agrès,agrès,,,,,,,,2,Using only (2),1
ail,ail,,,,,,,,28,Using only (2),1
ailles [ail],ail,,,,,,,,1,Using only (2),1
ails,ail,,,,,,,,24,Using only (2),1
ailx,ail,,,,,,,,1,Using only (2),1
algues marines,algue marine,,,,,,,,1,Using only (2),1
alisari,alizari,,,,,,,,3,Using only (2),1
alisaris,alizari,,,,,,,,1,Using only (2),1
alisary,alizari,,,,,,,,1,Using only (2),1
alizari,alizari,,,,,,,,1,Using only (2),1
alun,alun,,,,,,,,23,Using only (2),1
amandes,amandes,,,,,,,,17,Using only (2),1
amendes [amandes],amandes,,,,,,,,9,Using only (2),1
amesson [hameçon],hameçon,,,,,,,,1,Using only (2),1
amidon,amidon,,,,,,,,4,Using only (2),1
anchois,anchois,,,,,,,,14,Using only (2),1
anchoix,anchois,,,,,,,,57,Using only (2),1
ancres,ancre,,,,,,,,2,Using only (2),1
anis,anis,,,,,,,,5,Using only (2),1
ardoize,ardoise,,,,,,,,1,Using only (2),1
argent,argent,,,,,,,,1,Using only (2),1
argent vif,argent vif,,,,,,,,5,Using only (2),1
aricots,haricots,,,,,,,,3,Using only (2),1
aricots [haricots],haricots,,,,,,,,2,Using only (2),1
arquifou,alquifoux,,,,,,,,1,Using only (2),1
arquifoux,alquifoux,,,,,,,,2,Using only (2),1
art de pêche,effets de pêche,,,,,,,,12,Using only (2),1
art[icle]s de pêche,effets de pêche,,,,,,,,1,Using only (2),1
arts de pêche,effets de pêche,,,,,,,,4,Using only (2),1
arts. de pêche,effets de pêche,,,,,,,,2,Using only (2),1
audevie [eau de vie],eau de vie,,,,,,,,3,Using only (2),1
autres,"divers, assortiment",,,,,,,,1,Using only (2),1
autres [marchandises],"divers, assortiment",,,,,,,,1,Using only (2),1
autres articles,"divers, assortiment",,,,,,,,3,Using only (2),1
autres effets,"divers, assortiment",,,,,,,,2,Using only (2),1
autres effets de la foire de Beaucaire,"divers, assortiment (foire de beaucaire)",,,,,,,,1,Using only (2),1
autres marchandises,"divers, assortiment",,,,,,,,88,Using only (2),1
autres marchandises de la foire de Beaucaire,"divers, assortiment (foire de beaucaire)",,,,,,,,1,Using only (2),1
autres marchandises permises,diverses marchandises autorisées,,,,,,,,14,Using only (2),1
autres marels,"divers, assortiment",,,,,,,,1,Using only (2),1
autres ustensilles provenant de la péche,effets de pêche,,,,,,,,2,Using only (2),1
avec son reste [reste de marchandises],"divers, assortiment",,,,,,,,3,Using only (2),1
avelanier,vallonée,,,,,,,,1,Using only (2),1
avirons,aviron,,,,,,,,3,Using only (2),1
avoine,avoine,,,,,,,,111,Using only (2),1
avoine de retour,avoine,,,,,,,,1,Using only (2),1
avoines,avoine,,,,,,,,1,Using only (2),1
azur,azur,,,,,,,,1,Using only (2),1
baillarge,orge,,,,,,,,1,Using only (2),1
balai,balai,,,,,,,,1,Using only (2),1
balais,balai,,,,,,,,9,Using only (2),1
balets,balai,,,,,,,,3,Using only (2),1
balles,"divers, assortiment",,,,,,,,1,Using only (2),1
ballet,balai,,,,,,,,1,Using only (2),1
ballets,balai,,,,,,,,3,Using only (2),1
balloteries,"divers, assortiment",,,,,,,,2,Using only (2),1
ballots de toiles,toile,,,,,,,,1,Using only (2),1
barres de bois,bois,,,,,,,,2,Using only (2),1
barres de cabestran,cabestran,,,,,,,,1,Using only (2),1
barrille,barille,,,,,,,,23,Using only (2),1
barrilles,barille,,,,,,,,1,Using only (2),1
barriques vides,"tonneaux vides, futailles vides",,,,,,,,3,Using only (2),1
beurre,beurre,,,,,,,,11,Using only (2),1
beurre salé,beurre salé,,,,,,,,2,Using only (2),1
bierres,bière,,,,,,,,1,Using only (2),1
billons,bois,,,,,,,,5,Using only (2),1
billons de bois,bois,,,,,,,,4,Using only (2),1
biscuits,biscuit,,,,,,,,7,Using only (2),1
bière,bière,,,,,,,,4,Using only (2),1
bières,bière,,,,,,,,1,Using only (2),1
bièrre,bière,,,,,,,,1,Using only (2),1
bled,blé,,,,,,,,312,Using only (2),1
bled [blé],blé,,,,,,,,229,Using only (2),1
bled avarié,blé,,,,,,,,1,Using only (2),1
bled de Turquie,blé,,,,,,,,1,Using only (2),1
bled froment,blé,,,,,,,,1,Using only (2),1
bled meture,"méteil, méture",,,,,,,,1,Using only (2),1
bled étranger,blé,,,,,,,,2,Using only (2),1
bleds,blé,,,,,,,,10,Using only (2),1
bleds froment,blé,,,,,,,,14,Using only (2),1
bleds seigle,seigle,,,,,,,,3,Using only (2),1
blé,blé,,,,,,,,785,Using only (2),1
blé baillarge,orge,,,,,,,,1,Using only (2),1
blé de retour,blé,,,,,,,,3,Using only (2),1
bléd,blé,,,,,,,,119,Using only (2),1
blés,blé,,,,,,,,1,Using only (2),1
boeuf [salé],boeuf salé,,,,,,,,1,Using only (2),1
boeuf salé,boeuf salé,,,,,,,,11,Using only (2),1
boeuffles [buffles],buffle,,,,,,,,1,Using only (2),1
boeure [beurre],beurre,,,,,,,,1,Using only (2),1
boeurs [beurre],beurre,,,,,,,,1,Using only (2),1
bois,bois,,,,,,,,41,Using only (2),1
bois a batisse,bois de construction,,,,,,,,1,Using only (2),1
bois a bruler,bois à brûler,,,,,,,,19,Using only (2),1
bois a bruler chauffage,bois à brûler,,,,,,,,2,Using only (2),1
bois chaufage,bois de chauffage,,,,,,,,1,Using only (2),1
bois chauffage,bois de chauffage,,,,,,,,4,Using only (2),1
bois chauffages,bois de chauffage,,,,,,,,1,Using only (2),1
bois d' olivier,bois d' olivier,,,,,,,,1,Using only (2),1
bois d' ormaux,bois d' ormeau,,,,,,,,1,Using only (2),1
bois de Bresil,bois brésil,,,,,,,,1,Using only (2),1
bois de Campeche,campeche,,,,,,,,2,Using only (2),1
bois de Campêche,campeche,,,,,,,,1,Using only (2),1
bois de Fernambourg,bois brésil (pernambouc),,,,,,,,1,Using only (2),1
bois de batisse,bois de construction,,,,,,,,5,Using only (2),1
bois de batisses,bois de construction,,,,,,,,1,Using only (2),1
bois de brésil,bois brésil,,,,,,,,1,Using only (2),1
bois de bâtisse,bois de construction,,,,,,,,2,Using only (2),1
bois de cabestran,cabestran,,,,,,,,1,Using only (2),1
bois de campech,campeche,,,,,,,,2,Using only (2),1
bois de campech [campêche],campeche,,,,,,,,1,Using only (2),1
bois de campeche,campeche,,,,,,,,14,Using only (2),1
bois de campèches,campeche,,,,,,,,1,Using only (2),1
bois de charpente,bois de construction,,,,,,,,9,Using only (2),1
bois de charron,bois à charron,,,,,,,,4,Using only (2),1
bois de charronage,bois à charron,,,,,,,,1,Using only (2),1
bois de chauffage,bois de chauffage,,,,,,,,815,Using only (2),1
bois de compeche [campêche],campeche,,,,,,,,1,Using only (2),1
bois de construction,bois de construction,,,,,,,,241,Using only (2),1
bois de fustel,sumac,,,,,,,,2,Using only (2),1
bois de fustels,sumac,,,,,,,,1,Using only (2),1
bois de fustet,sumac,,,,,,,,3,Using only (2),1
bois de gaillac,bois de gayac,,,,,,,,1,Using only (2),1
bois de mature,matures,,,,,,,,3,Using only (2),1
bois de merrain,merrain,,,,,,,,1,Using only (2),1
bois de navires,bois de construction,,,,,,,,1,Using only (2),1
bois de pin,pin,,,,,,,,9,Using only (2),1
bois de sapin,sapin,,,,,,,,5,Using only (2),1
bois de teinture,bois de teinture,,,,,,,,8,Using only (2),1
bois de teinture en poudre,bois de teinture (poudre),,,,,,,,1,Using only (2),1
bois merrain,merrain,,,,,,,,20,Using only (2),1
bois moulu,bois moulu,,,,,,,,1,Using only (2),1
bois noyer,bois de noyer,,,,,,,,1,Using only (2),1
bois pour aviron,bois de construction,,,,,,,,1,Using only (2),1
bois pour charronage,bois à charron,,,,,,,,1,Using only (2),1
bois pour des talons,bois pour chaussure,,,,,,,,1,Using only (2),1
bois pour matures,matures,,,,,,,,1,Using only (2),1
bois à batisse,bois de construction,,,,,,,,5,Using only (2),1
bois à batisses,bois de construction,,,,,,,,1,Using only (2),1
bois à bruler,bois à brûler,,,,,,,,35,Using only (2),1
bois à bruller,bois à brûler,,,,,,,,1,Using only (2),1
bois à brulé,bois à brûler,,,,,,,,1,Using only (2),1
bois à brûler,bois à brûler,,,,,,,,59,Using only (2),1
bois à bâtisse,bois de construction,,,,,,,,19,Using only (2),1
bois à charron,bois à charron,,,,,,,,1,Using only (2),1
boisa bruler,bois à brûler,,,,,,,,1,Using only (2),1
bordage,bordage,,,,,,,,1,Using only (2),1
bouchon de liège,bouchon,,,,,,,,1,Using only (2),1
bouchons,bouchon,,,,,,,,3,Using only (2),1
bouchons de liege,bouchon,,,,,,,,2,Using only (2),1
bouchons de liège,bouchon,,,,,,,,6,Using only (2),1
boulets,boulet,,,,,,,,1,Using only (2),1
bourde,batons,,,,,,,,1,Using only (2),1
bourdes,batons,,,,,,,,4,Using only (2),1
bourre de soye,bourre de soie,,,,,,,,1,Using only (2),1
bouteilles,bouteilles,,,,,,,,14,Using only (2),1
bouteilles vides,bouteilles,,,,,,,,17,Using only (2),1
bouteilles vuide,bouteilles,,,,,,,,1,Using only (2),1
bouteilles vuides,bouteilles,,,,,,,,1,Using only (2),1
bray,"brai, poix",,,,,,,,18,Using only (2),1
brayes,"brai, poix",,,,,,,,1,Using only (2),1
braï,"brai, poix",,,,,,,,1,Using only (2),1
briques,briques,,,,,,,,14,Using only (2),1
briques vernisées,briques vernie,,,,,,,,1,Using only (2),1
buche,bois à brûler,,,,,,,,8,Using only (2),1
buches,bois à brûler,,,,,,,,96,Using only (2),1
bûches,bois à brûler,,,,,,,,4,Using only (2),1
bœuf,boeuf,,,,,,,,1,Using only (2),1
bœuf salé,boeuf salé,,,,,,,,5,Using only (2),1
bœuf salés,boeuf salé,,,,,,,,1,Using only (2),1
cabestrans,cabestran,,,,,,,,1,Using only (2),1
cable,câble,,,,,,,,1,Using only (2),1
cacao,cacao,,,,,,,,37,Using only (2),1
cafe,café,,,,,,,,1,Using only (2),1
caffé,café,,,,,,,,27,Using only (2),1
caffé [café],café,,,,,,,,35,Using only (2),1
caffé [café] des isles de retour,"café (antilles, de retour)",,,,,,,,1,Using only (2),1
caffés,café,,,,,,,,1,Using only (2),1
café,café,,,,,,,,69,Using only (2),1
café de retour,café (de retour),,,,,,,,2,Using only (2),1
cambrai,cambrai,,,,,,,,1,Using only (2),1
cambrais,cambrai,,,,,,,,1,Using only (2),1
campeche,campeche,,,,,,,,1,Using only (2),1
canefice,cassia,,,,,,,,4,Using only (2),1
cannes,roseau,,,,,,,,6,Using only (2),1
canon,canons,,,,,,,,2,Using only (2),1
canons,canons,,,,,,,,1,Using only (2),1
canéfice,cassia,,,,,,,,1,Using only (2),1
capres,capres,,,,,,,,1,Using only (2),1
cargaison,"divers, assortiment",,,,,,,,8,Using only (2),1
cargaison en huile,huile,,,,,,,,1,Using only (2),1
carouge,caroubes,,,,,,,,1,Using only (2),1
carreaux,carreaux de pierre,,,,,,,,1,Using only (2),1
cendre,cendres,,,,,,,,2,Using only (2),1
cendres,cendres,,,,,,,,20,Using only (2),1
cendres de marc d' olive,cendres de marc d' olive,,,,,,,,1,Using only (2),1
cendres lessiviere,cendres,,,,,,,,5,Using only (2),1
cendres pour les verreries,cendres,,,,,,,,1,Using only (2),1
cerceaux pour les tamis,cercles de bois,,,,,,,,1,Using only (2),1
cercle,cercles de bois,,,,,,,,1,Using only (2),1
cercles,cercles de bois,,,,,,,,222,Using only (2),1
cercles de bois,cercles de bois,,,,,,,,12,Using only (2),1
cercles de bois pour tamis,cercles de bois,,,,,,,,1,Using only (2),1
cercles de fer,cercles de fer,,,,,,,,1,Using only (2),1
cercles de retour,cercles de bois,,,,,,,,1,Using only (2),1
cercles pour les tamis,cercles de bois,,,,,,,,1,Using only (2),1
cercles à tamis,cercles de bois,,,,,,,,1,Using only (2),1
cerles,cercles de bois,,,,,,,,1,Using only (2),1
chair salée,viande salée,,,,,,,,9,Using only (2),1
chaises,"chaise, siège",,,,,,,,2,Using only (2),1
chaloupe [sic],chaloupe,,,,,,,,1,Using only (2),1
champignon,champignon,,,,,,,,1,Using only (2),1
chandelle,chandelle,,,,,,,,1,Using only (2),1
chandelles,chandelle,,,,,,,,2,Using only (2),1
chanvre,chanvre,,,,,,,,51,Using only (2),1
chanvre de retour,chanvre,,,,,,,,2,Using only (2),1
chanvres,chanvre,,,,,,,,2,Using only (2),1
chapelets,chapelet,,,,,,,,1,Using only (2),1
charbon,charbon,,,,,,,,52,Using only (2),1
charbon de bois,charbon de bois,,,,,,,,100,Using only (2),1
charbon de terre,charbon de terre,,,,,,,,80,Using only (2),1
chasse à la morue [faire la pêche],pêche à la morue,,,,,,,,1,Using only (2),1
chatagnes,chataignes,,,,,,,,1,Using only (2),1
chataignes,chataignes,,,,,,,,13,Using only (2),1
chaufage,bois de chauffage,,,,,,,,1,Using only (2),1
chauffage [bois de],bois de chauffage,,,,,,,,214,Using only (2),1
chaux,chaux,,,,,,,,183,Using only (2),1
chaux vive,chaux vive,,,,,,,,9,Using only (2),1
chevaux,cheval,,,,,,,,3,Using only (2),1
cheville de bois,cheville de bois,,,,,,,,1,Using only (2),1
châtaignes,chataignes,,,,,,,,125,Using only (2),1
châtaignes blanches,chataignes blanches,,,,,,,,3,Using only (2),1
cinaba,cinabre,,,,,,,,1,Using only (2),1
cire,cire,,,,,,,,80,Using only (2),1
cires,cire,,,,,,,,15,Using only (2),1
citron,citron,,,,,,,,6,Using only (2),1
citrons,citron,,,,,,,,31,Using only (2),1
cloux,clou,,,,,,,,3,Using only (2),1
cochenille,cochenille,,,,,,,,2,Using only (2),1
cochenilles,cochenille,,,,,,,,1,Using only (2),1
cochinille,cochenille,,,,,,,,1,Using only (2),1
cochon salé,porc salé,,,,,,,,3,Using only (2),1
collombrine,couleuvrine,,,,,,,,1,Using only (2),1
colombines,couleuvrine,,,,,,,,1,Using only (2),1
colombrine,couleuvrine,,,,,,,,9,Using only (2),1
colombrines,couleuvrine,,,,,,,,9,Using only (2),1
complète son chargement,pour compléter son chargement,,,,,,,,1,Using only (2),1
confit[ure],confitures,,,,,,,,1,Using only (2),1
confitures,confitures,,,,,,,,1,Using only (2),1
contarie,perles de verre,,,,,,,,1,Using only (2),1
conterie,perles de verre,,,,,,,,1,Using only (2),1
copeaux,copeaux ou pièces de bois,,,,,,,,1,Using only (2),1
coquillages,coquillage,,,,,,,,7,Using only (2),1
corail,corail,,,,,,,,31,Using only (2),1
corail de retour,corail de retour,,,,,,,,1,Using only (2),1
corbeille,panier,,,,,,,,1,Using only (2),1
cordage,"corde, cordage",,,,,,,,1,Using only (2),1
cordes,"corde, cordage",,,,,,,,1,Using only (2),1
cordouan,cordouan,,,,,,,,3,Using only (2),1
cordouens,cordouan,,,,,,,,1,Using only (2),1
corinthe,raisin de corinthe,,,,,,,,4,Using only (2),1
corinthes,raisin de corinthe,,,,,,,,1,Using only (2),1
corne de mouton,cornes de mouton,,,,,,,,1,Using only (2),1
cornes,cornes,,,,,,,,2,Using only (2),1
cornes de beufs,cornes de boeuf,,,,,,,,1,Using only (2),1
cornes de mouton,cornes de mouton,,,,,,,,46,Using only (2),1
cornes de moutons,cornes de mouton,,,,,,,,3,Using only (2),1
cornes du moutons,cornes de mouton,,,,,,,,1,Using only (2),1
coton en laine,coton en laine,,,,,,,,1,Using only (2),1
coton filé,coton filé,,,,,,,,1,Using only (2),1
cottes de tabac,tabac (côte),,,,,,,,2,Using only (2),1
cotton,coton,,,,,,,,1,Using only (2),1
cotton [coton],coton,,,,,,,,1,Using only (2),1
cotton [coton] filé,coton filé,,,,,,,,1,Using only (2),1
coufins,panier,,,,,,,,1,Using only (2),1
coupe rose,vitriol,,,,,,,,2,Using only (2),1
couperose,vitriol,,,,,,,,9,Using only (2),1
cray,craie,,,,,,,,1,Using only (2),1
craye,craie,,,,,,,,1,Using only (2),1
cuir en lest,cuir,,,,,,,,1,Using only (2),1
cuirs,cuir,,,,,,,,55,Using only (2),1
cuirs de beufs,cuir de boeuf,,,,,,,,1,Using only (2),1
cuirs en lest,cuir,,,,,,,,31,Using only (2),1
cuirs en poil,cuirs en poil,,,,,,,,3,Using only (2),1
cuirs en poils,cuirs en poil,,,,,,,,2,Using only (2),1
cuirs sales,cuir salé,,,,,,,,1,Using only (2),1
cuirs sallés,cuir salé,,,,,,,,1,Using only (2),1
cuirs salé,cuir salé,,,,,,,,1,Using only (2),1
cuirs salés,cuir salé,,,,,,,,2,Using only (2),1
cuirs secs,cuirs secs,,,,,,,,5,Using only (2),1
cuirs tenés,cuir tanné,,,,,,,,1,Using only (2),1
cuivre,cuivre,,,,,,,,7,Using only (2),1
cuivre en planches,cuivre,,,,,,,,1,Using only (2),1
cuivre vieux,cuivre (vieux),,,,,,,,3,Using only (2),1
cuivres vieux,cuivre (vieux),,,,,,,,1,Using only (2),1
dalisary,alizari,,,,,,,,1,Using only (2),1
dame jeanne,dame-jeanne,,,,,,,,1,Using only (2),1
dame jeannes,dame-jeanne,,,,,,,,1,Using only (2),1
dames jeanne,dame-jeanne,,,,,,,,1,Using only (2),1
dames jeannes,dame-jeanne,,,,,,,,1,Using only (2),1
dames-jeannes,dame-jeanne,,,,,,,,3,Using only (2),1
date,dattes,,,,,,,,2,Using only (2),1
dates en barriques,dattes,,,,,,,,1,Using only (2),1
dattes,dattes,,,,,,,,10,Using only (2),1
denrées des colonies,denrées des colonies,,,,,,,,110,Using only (2),1
différentes marchandises,"divers, assortiment",,,,,,,,1,Using only (2),1
divers articles,"divers, assortiment",,,,,,,,1,Using only (2),1
divers effets,"divers, assortiment",,,,,,,,4,Using only (2),1
divers effets militaires,effets militaires,,,,,,,,1,Using only (2),1
divers légumes,légumes,,,,,,,,1,Using only (2),1
diverses agobilles,"divers, assortiment",,,,,,,,1,Using only (2),1
diverses denrées,"divers, assortiment",,,,,,,,1,Using only (2),1
diverses marchandises,"divers, assortiment",,,,,,,,18,Using only (2),1
diverses marchandises permises,diverses marchandises autorisées,,,,,,,,1,Using only (2),1
diverses salaisons,salaison,,,,,,,,1,Using only (2),1
domestique,domestique,,,,,,,,1,Using only (2),1
douelles,douelle,,,,,,,,2,Using only (2),1
douve,douve,,,,,,,,1,Using only (2),1
douves,douve,,,,,,,,237,Using only (2),1
douves de la foire de Beaucaire,douve,,,,,,,,1,Using only (2),1
draperies,drap,,,,,,,,1,Using only (2),1
draps,drap,,,,,,,,1,Using only (2),1
droguerie,droguerie,,,,,,,,2,Using only (2),1
drogueries,droguerie,,,,,,,,58,Using only (2),1
drogueries à teinture,teinture,,,,,,,,1,Using only (2),1
eau de citrons,eau de citron,,,,,,,,1,Using only (2),1
eau de vie,eau de vie,,,,,,,,174,Using only (2),1
eau-de-vie,eau de vie,,,,,,,,3,Using only (2),1
eaux de vie,eau de vie,,,,,,,,1,Using only (2),1
echalas,echalotte,,,,,,,,1,Using only (2),1
echalats,echalotte,,,,,,,,1,Using only (2),1
echallas,echalotte,,,,,,,,2,Using only (2),1
echalots,echalotte,,,,,,,,1,Using only (2),1
effets,effets,,,,,,,,4,Using only (2),1
effets d' artillerie,effets militaires,,,,,,,,1,Using only (2),1
effets d' hopitaux militaires,effets d' hopitaux militaires,,,,,,,,1,Using only (2),1
effets d' un commissaire ordonateur,effets personnels,,,,,,,,1,Using only (2),1
effets de la 11e 1/2 brigade d' infanterie,effets militaires,,,,,,,,1,Using only (2),1
effets de maison,effets de maison,,,,,,,,2,Using only (2),1
effets de retour,"divers, assortiment (de retour)",,,,,,,,1,Using only (2),1
effets militaires,effets militaires,,,,,,,,3,Using only (2),1
embalage,emballage,,,,,,,,1,Using only (2),1
en lest,lest,,,,,,,,620,Using only (2),1
engein de pêche,effets de pêche,,,,,,,,70,Using only (2),1
engeins de pêche,effets de pêche,,,,,,,,73,Using only (2),1
engeins de pêche à corail,effets de pêche,,,,,,,,1,Using only (2),1
escayole,"alpiste, escayole",,,,,,,,23,Using only (2),1
escayolle,"alpiste, escayole",,,,,,,,5,Using only (2),1
escayolles,"alpiste, escayole",,,,,,,,7,Using only (2),1
eschallas,echalotte,,,,,,,,1,Using only (2),1
espart,"sparterie, espart",,,,,,,,176,Using only (2),1
espart et autres esparteries,"sparterie, espart",,,,,,,,1,Using only (2),1
esparterie,"sparterie, espart",,,,,,,,2,Using only (2),1
esparteries,"sparterie, espart",,,,,,,,1,Using only (2),1
esparts,"sparterie, espart",,,,,,,,14,Using only (2),1
esponges,éponge,,,,,,,,1,Using only (2),1
espèces,espèces,,,,,,,,21,Using only (2),1
espèces d' argent,espèces (argent),,,,,,,,2,Using only (2),1
espèces en argent,espèces (argent),,,,,,,,1,Using only (2),1
etc.,"divers, assortiment",,,,,,,,1,Using only (2),1
etoupe,etoupe,,,,,,,,1,Using only (2),1
fagot,fagots,,,,,,,,1,Using only (2),1
fagots,fagots,,,,,,,,94,Using only (2),1
fagots de fourage,fourrage,,,,,,,,1,Using only (2),1
faince [faïence],"poterie, céramique",,,,,,,,2,Using only (2),1
faire la pêche,pêche,,,,,,,,64,Using only (2),1
faire la pêche [au poisson frais],pêche au poisson frais,,,,,,,,2,Using only (2),1
faire la pêche [du poisson frais],pêche au poisson frais,,,,,,,,12,Using only (2),1
faire la pêche au poisson frais,pêche au poisson frais,,,,,,,,1,Using only (2),1
faire la pêche de la morue,pêche à la morue,,,,,,,,2,Using only (2),1
faire la pêche à la morue verte,pêche à la morue,,,,,,,,1,Using only (2),1
farine,farine de blé,,,,,,,,144,Using only (2),1
farine de retour,farine de blé,,,,,,,,4,Using only (2),1
farine de seigle,farine de seigle,,,,,,,,1,Using only (2),1
farines,farine de blé,,,,,,,,5,Using only (2),1
fayance,"poterie, céramique",,,,,,,,12,Using only (2),1
fayence,"poterie, céramique",,,,,,,,3,Using only (2),1
faïence,"poterie, céramique",,,,,,,,1,Using only (2),1
fe[$],fèves,,,,,,,,1,Using only (2),1
feave [fèves],fèves,,,,,,,,3,Using only (2),1
feaves [fèves],fèves,,,,,,,,4,Using only (2),1
feouillard,feuillard,,,,,,,,1,Using only (2),1
fer,fer,,,,,,,,196,Using only (2),1
fer blanc,fer blanc,,,,,,,,3,Using only (2),1
feuillard,feuillard,,,,,,,,50,Using only (2),1
feuillards,feuillard,,,,,,,,3,Using only (2),1
feutaille [futaille],"tonneaux vides, futailles vides",,,,,,,,1,Using only (2),1
feves,fèves,,,,,,,,93,Using only (2),1
fiddeaux,"vermicelles, fideaux",,,,,,,,1,Using only (2),1
fideaux,"vermicelles, fideaux",,,,,,,,218,Using only (2),1
fideaux de retour,"vermicelles, fideaux",,,,,,,,1,Using only (2),1
fil de chèvre,fil (chèvre),,,,,,,,1,Using only (2),1
fil de ligne de pêche,filets de pêche,,,,,,,,1,Using only (2),1
fil à voile,fil à voile,,,,,,,,3,Using only (2),1
filet d' espart,filets d' espart,,,,,,,,3,Using only (2),1
filets d' espart,filets d' espart,,,,,,,,12,Using only (2),1
filets d' esparts,filets d' espart,,,,,,,,3,Using only (2),1
fillet d' espart,filets d' espart,,,,,,,,1,Using only (2),1
fils de voile,fil à voile,,,,,,,,1,Using only (2),1
fils du capitaine,fils du capitaine,,,,,,,,1,Using only (2),1
fleurs de boeuf,peau de boeuf,,,,,,,,1,Using only (2),1
foin,foin,,,,,,,,7,Using only (2),1
formes à sucre,forme à sucre,,,,,,,,1,Using only (2),1
fourage,fourrage,,,,,,,,1,Using only (2),1
fourages,fourrage,,,,,,,,7,Using only (2),1
fourrage,fourrage,,,,,,,,95,Using only (2),1
fourrages,fourrage,,,,,,,,15,Using only (2),1
fret,fret,,,,,,,,1,Using only (2),1
fromage,fromage,,,,,,,,64,Using only (2),1
fromages,fromage,,,,,,,,25,Using only (2),1
froment,blé,,,,,,,,1,Using only (2),1
fruiits secs,fruits sec,,,,,,,,1,Using only (2),1
fruit,fruits,,,,,,,,1,Using only (2),1
fruits,fruits,,,,,,,,21,Using only (2),1
fruits frais,fruits frais,,,,,,,,338,Using only (2),1
fruits fraits,fruits frais,,,,,,,,1,Using only (2),1
fruits fraix,fruits frais,,,,,,,,11,Using only (2),1
fruits secs,fruits sec,,,,,,,,114,Using only (2),1
frutis frais,fruits frais,,,,,,,,1,Using only (2),1
fuits secs,fruits sec,,,,,,,,1,Using only (2),1
futaille,"tonneaux vides, futailles vides",,,,,,,,3,Using only (2),1
futaille vuide,"tonneaux vides, futailles vides",,,,,,,,2,Using only (2),1
futailles,"tonneaux vides, futailles vides",,,,,,,,30,Using only (2),1
futailles vide,"tonneaux vides, futailles vides",,,,,,,,1,Using only (2),1
futailles vides,"tonneaux vides, futailles vides",,,,,,,,24,Using only (2),1
futailles vuide,"tonneaux vides, futailles vides",,,,,,,,4,Using only (2),1
futailles vuides,"tonneaux vides, futailles vides",,,,,,,,19,Using only (2),1
futs vides,"tonneaux vides, futailles vides",,,,,,,,6,Using only (2),1
fèves,fèves,,,,,,,,140,Using only (2),1
féves,fèves,,,,,,,,1,Using only (2),1
fêves,fèves,,,,,,,,1,Using only (2),1
gales,galle,,,,,,,,3,Using only (2),1
galle,galle,,,,,,,,1,Using only (2),1
galles,galle,,,,,,,,5,Using only (2),1
gamelles de bois,bol de bois,,,,,,,,1,Using only (2),1
genevre,genièvre,,,,,,,,137,Using only (2),1
genèvre,genièvre,,,,,,,,1,Using only (2),1
gerres [jarres],jarres (vides),,,,,,,,1,Using only (2),1
gingembre,gingembre,,,,,,,,2,Using only (2),1
glaces,mirroir,,,,,,,,2,Using only (2),1
gomme,gomme,,,,,,,,10,Using only (2),1
gommes,gomme,,,,,,,,3,Using only (2),1
goudron,goudron,,,,,,,,43,Using only (2),1
goudron bray,brai et goudron,,,,,,,,1,Using only (2),1
grabaud de cacao,cacao (grabeau),,,,,,,,1,Using only (2),1
grabeau de blé,wheat (grabeau),,,,,,,,1,Using only (2),1
grabeau de cire,cire,,,,,,,,1,Using only (2),1
grabeau de ris,riz (grabeau),,,,,,,,1,Using only (2),1
graiment de navire,gréement de navire,,,,,,,,3,Using only (2),1
graine d' avignon,graine d' avignon,,,,,,,,1,Using only (2),1
graine de lin,graine de lin,,,,,,,,4,Using only (2),1
graines,graines,,,,,,,,2,Using only (2),1
graines d' avignon,graine d' avignon,,,,,,,,1,Using only (2),1
graines de lin,graine de lin,,,,,,,,2,Using only (2),1
graines de teinture,graine pour teinture,,,,,,,,1,Using only (2),1
graines longues,graine (longue),,,,,,,,1,Using only (2),1
