"marchandises","nbr_occurences_navigo_G5"
" lest",3
" pêche à la morue",3
" Sel",1
" Ustensiles nécessaires à la pêche de la morue verte",1
" vin",1
"[¨Pêche aux huitres]",2
"[Illegible]",2
"[Illisible]",1
"[Pêche à la morue de Terre Neuve]",4
"[Pêche à la morue]",115
"[Pêche aux huitres]",36
"[Pêche aux] Huitres",57
"[Pêche du poisson frais]",1
"[Pêche]",110
"[Pour la pêche]",13
"[Sel en tonnes]",2
"A  vide",2
"A l'aventure",25
"A son lest",4
"A vide",472
"A vide ",2
"A vuide",4
"Acajou",5
"Agrés",1
"Agrès",1
"Agrés et apparaux",1
"Alicot",1
"Allun",1
"alun",1
"Amarinage",10
"Amidon",22
"Ancres",1
"Ancres de fer",5
"Apareaux",1
"Apprêts",2
"Ardoises",2
"Armes",2
"Au lest",311
"Autre (etc)",26
"Autre (etc.)",29
"Autres",444
"Autres  pour la pêche au poisson frais",1
"Autres comestibles",1
"Autres denrées",1
"Autres marchandises",412
"Autres marchandises anglaises",1
"Autres marchandises permises",14
"Autres pour la pêche au poisson frais",1
"Autres pour la pêche aux moules",25
"Autres pour pêche à la morue",2
"Aux sables et aux goemons",2
"Aux sables et goemons",4
"Aux travaux [du Roi]",1
"Aux travaux du Roi",5
"Avirons",9
"Avoine",31
"Bagages",3
"Balles de laine",1
"Balles de plumes",1
"Balloterie",50
"Balloteries",13
"Ballots",6
"Ballots d'étoffes",1
"Barbes de baleine",1
"Barils",1
"Bariques vides",1
"Barriques",1
"Barriques vides",81
"Barriques vuides",1
"Bestiaux",6
"Beurre",66
"Beurre en frequin",1
"Beurre salé",1
"Bière",13
"billetes",1
"billets",1
"Biscuit",1
"Blé",77
"Blé d'Inde",55
"Blé froment",2
"Bled",72
"Bled d'Espagne",1
"Bled froment",1
"Bleds seigle",1
"Blés",2
"Bœuf",3
"Boeuf",125
"Bœuf salé",2
"Boeuf salé",4
"Bœufs",5
"Bois",236
"Bois ",3
"Bois [à bruler]",2
"Bois [à brûler]",2
"bois à brulé",1
"Bois à bruler",6
"Bois à brûler",85
"bois à brûler ",1
"Bois à canne",1
"Bois à feu",4
"Bois d'acajou",4
"Bois de  construction",1
"Bois de Brésil",1
"Bois de Campeche",2
"Bois de Campêche",3
"bois de charpente",4
"Bois de chauffage",1
"Bois de chêne",1
"Bois de construction",80
"Bois de construction ",1
"Bois de corde",1
"bois de marine",2
"Bois de réglisse",3
"Bois de rouage",1
"Bois de roulage",1
"Bois de sap",3
"Bois de sape",1
"Bois de teinture",2
"Bois d'ebène",1
"Bois en bûches",1
"Bois en corde",5
"Bois Merrin",1
"Bois sapin",1
"bois, pierre",1
"Bonneterie",1
"Bouchons",2
"Bouteille",2
"Bouteilles",32
"Brai",179
"Brai ",20
"Brai gras",1
"Bray",1
"Briques",18
"Brois à bruler",1
"Buche",4
"buches",53
"bûches",43
"Buches ",1
"Bûches ",2
"Buches à bruler",1
"Buis",1
"Cable",1
"Cables",1
"Cabotage",5
"Cacao",8
"Cacao ",1
"Café",281
"Caisses",1
"Cambrai",4
"Cambray",1
"Canon",1
"Canons",7
"Carreaux",2
"Carreaux ",1
"Carreaux de Bidache",4
"Carreaux de pierre",3
"Cendre",9
"Cendre de Goëmon",1
"Cendre de goemond",1
"Cendre de Varech",3
"Cendre lessiveur",1
"Cendres",11
"Cendres de nark",1
"Cendres de varech",2
"Cercles de fer",1
"Chaises",6
"chandelle",1
"Chanvre",20
"Charbon",111
"Charbon de  bois",1
"Charbon de bois",21
"Charbon de terre",50
"Charbon de terre ",1
"Charette",1
"Chargé",33
"Charié ",1
"Charpente",3
"Châtaignes",1
"Chateignes",1
"Chaudiere à sucre",1
"Chaudiere de fer",1
"Chaudieres",2
"Chaudieres à sucre",1
"Chaux",114
"Chaux ",1
"Chaux vive",1
"Chevaux",1
"Chocolat",2
"Cidre",25
"Citrons",3
"Cloux",12
"Cochons",1
"Coffres",3
"Coffres à matelots",1
"Colle",1
"Comestible",1
"Comestible ",1
"Comestibles",4
"Cordage",2
"Cordages",3
"Corde de bois",1
"Cordes",1
"Corintes",1
"Corinthe",1
"Cotes de Tabac",1
"Côtes de tabac",1
"coton",35
"Cottes de tabac",1
"Craie",1
"Criblon",1
"Croisière de la Ferme générale",1
"Crosière de douane",1
"Cruches",1
"Cuir",1
"Cuirs",9
"Cuivre",5
"Cuivre en planche",1
"Dames-jeannes",13
"Demies Jeannes",3
"Demies-jeannes",3
"Denrées",1
"Des filets",1
"Différentes marchandises",36
"Différentes marchandises pour la traite des noirs",2
"Divers",3
"Divers grains",1
"Diverses marchandises",127
"Diverses Marchandises permises",5
"Diverses marchandises sèches",1
"Diverses terralles",1
"Douves",1
"Drogueries",1
"Eau de vie",709
"Eau de vie (reste de son chargement)",1
"Eau de vie de Hendaye",2
"Effets",3
"Effets de nauffrage",1
"Effets de pêche",92
"Effets du régiment de l'Isle de France",1
"Effets provenant du navire naufragé",1
"Engins",16
"Engins [de pêche]",2
"Etoffes",3
"Fagot",1
"Fagots",81
"Faïence",2
"Faire la course aux fraudeurs",1
"Fanons",1
"Farine",407
"Farine ",1
"Farines",3
"Fayots",1
"Fer",56
"fer blanc",2
"Feuillard",48
"Feuillards",14
"Feüillards",3
"Feuillards ",4
"Feve",4
"Fève",1
"féves",1
"Fèves",34
"fêves",1
"Fiente de pigeon",1
"Figues",1
"Filets",132
"Filets [de pêche]",20
"Filets de pêche",3
"Filets pour la pêche au poisson frais",1
"Foin",1
"formes à sucre",1
"Fourrages",7
"Fromage",4
"Fromages",1
"Froment",186
"Fruits",5
"Fumier",14
"Fusils",1
"Fut vide",1
"Fut vides",1
"Futaille",17
"Futaille vide",2
"Futaille vuide",1
"Futailles",65
"futailles vide",1
"Futailles vides",56
"futailles, beurre",1
"Futs",1
"Fûts",7
"Fûts merrains",1
"Futs vides",5
"Fûts vides",83
"G de lin",1
"Genevre",4
"Genèvre",56
"Geniévre",1
"Genièvre",1263
"Glaces",6
"Gomme",1
"Goudron",146
"Grain",25
"Graine de tremain",1
"Graines",2
"Graines de lin",26
"Graines de lin ",1
"Graines de trèfle",1
"Grains",73
"Graisse",1
"Graisse de baleine",1
"gras",1
"Gravelle",1
"gray",1
"Harde",1
"Hardes",10
"Hardes de gens de mer",4
"Hardes de matelots",2
"Hardes de mer",1
"Hareng",1
"Harengs",7
"Harengs de Nantes",1
"Haricots",1
"Haricots ",1
"Houblon",1
"huile",49
"huile [de morue]",4
"Huile de cachalot",1
"Huile de colza",1
"Huile de morue",4
"huile de poisson",2
"Huile de térébenthine",17
"Huiles",1
"Huitres",97
"Huîtres",5
"Instruments de pêche",1
"Jambon",3
"Jambons",9
"Jus de réglisse",3
"Laine",15
"Laines",12
"Lard",3
"Lard salé",1
"Le reste de son chargement",1
"Le reste de son chargement de vin",2
"Lège",1520
"Legumes",1
"Légumes",4
"Lentilles",6
"Lest",2226
"Lest ",2
"Lest en barriques d' eau",1
"Lest en bois",1
"Lest en briques",2
"Lest en charbon de terre",1
"Lest pour la pêche aux moules",3
"Lest pour pêche à la morue",1
"Libar",1
"Liege",1
"Liège",6
"Lin",2
"Liqueurs",3
"Machesie",1
"Madrier",1
"Madriers [en] planches ou poutrelles",1
"Mahis [Maïs]",1
"mahy [maïs?]",2
"Maïs",7
"Maqueraux salés",1
"Maquereaux",1
"Marbre ",1
"Marchandise",1
"Marchandise de foire",2
"Marchandises",148
"Marchandises coloniales",1
"Marchandises de foire",5
"Marchandises de retour",1
"Marchandises permises",7
"Marchandises pour la traite des Noirs",1
"Marregues",1
"Marrein",1
"Matereaux",1
"Matériaux [pour la rade]",3
"Matériaux pour la rade",9
"Matériaux[ pour la rade]",1
"Matreaux",1
"Mats",1
"mature",1
"Matures",1
"Méatériaux pour la rade",1
"Merain",2
"Mercerie",1
"Merceries",4
"mérin",2
"Merrain",17
"Merrains",5
"merrin",1
"Meubles",10
"Miel",7
"millet",1
"minot",4
"Mistre",1
"Mollue [Morue?]",1
"Morceaux",1
"Morue",63
"Morue ",6
"Morue sèche",10
"Morue verte",13
"Morues",1
"Morues sèches",1
"Morues vertes",1
"Moulage",1
"moulange",1
"Moules",12
"Moulles",1
"Mousqueterie",1
"Moutarde",2
"Moutons",7
"Moutons vivants",1
"Navaux",1
"Noisettes",1
"Noix",1
"Oignons",10
"Oranges",2
"Orge",16
"Osier",4
"Paniers",1
"Papier",11
"Papier ",1
"Papiers",1
"Paquets",1
"Particuliers français [passagers]",1
"Partie de son chargement pour Cherbourg",1
"Passagers",385
"Passagers ",2
"Pate de térebenthine",1
"Pavés",9
"Peau de cacao",4
"Peaux",1
"Peaux d'agneau",1
"peaux de boeuf",2
"Peaux sèches",1
"Peaux vertes",1
"Peche",99
"Pêche",65
"Pêche ",2
"Pêche [à la morue]",1
"Pêche [au banc de Terreneuve]",1
"Pêche [au poisson frais]",28
"Pêche [Banc de Terre Neuve]",12
"Pêche [banc de Terreneuve]",1
"Pêche [cotière]",18
"Pêche à la baleine",4
"Pêche à la morue",155
"Pêche à la morue ",1
"Pêche à la morue de Terre Neuve",17
"Pêche à la morue verte  de Terre Neuve",1
"Pêche à la morue verte de Terre Neuve",29
"Pêche à la raie",3
"Pêche à la sardine",2
"Pêche à Terreneuve",2
"Pêche annuelle",22
"Pêche au banc",15
"Pêche au cachalot",7
"Pêche au hareng",69
"Pêche au maquereau",71
"Pêche au poission frais",1
"Peche au poisson frais",1
"Pèche au poisson frais",1
"Pêche au poisson frais",369
"Pêche au poisson frais sur la côte de Bretagne",8
"Pêche au poisson le long des côtes",5
"Pêche aux cordes",10
"Pêche aux folles",27
"Pêche aux huitres",2
"Pêche aux huîtres",1
"Pêche aux moules",37
"Pêche de folles",1
"Pêche de la morue",44
"Pêche de la sardine",11
"Pêche de poisson frais",58
"Pêche de Terre Neuve",8
"Pêche des cordes",2
"Pêche des folles",24
"Pêche des moules",1
"Pêche du banc",1
"Pêche du cachalot",6
"Pêche du hareng",129
"Pêche du maquereau",99
"Pêche du poisson",2
