numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks,doubleaccounts
1,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Bœuf sallé,Angleterre,50280,2514,Baril,20,0,,0
2,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Beurre,Angleterre,251171.25,837237.5,livres,.3,0,,0
3,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Bière,Angleterre,45,3,barriques,15,0,,0
4,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Fromage,Angleterre,4530,15100,livres,.3,0,"6 sou = 0,3 livres et 1 sou= 0,05 livres",0
5,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Orge,Angleterre,200,5,tonneaux,40,0,,0
6,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Saumon Sallé,Angleterre,630,14,Barils,45,0,,0
7,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Barriques Vuiddes vielles,Angleterre,1251,417,en nombre,3,0,,0
8,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Chandelle,Angleterre,774,1935,livres,.4,0,,0
9,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Cuirs verts,Angleterre,864,108,en nombre,8,0,,0
10,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Crin,Angleterre,100,250,livres,.4,0,,0
11,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Charbon de Terre,Angleterre,9100,35,muids,260,0,,0
12,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Charbon de Terre,Angleterre,40500,675,Barils,60,0,,0
13,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,1,Huile de Parfum,Angleterre,240,1200,livres,.2,0,,0
14,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Laine en Suint,Angleterre,1000,1000,livres,1,0,,0
