numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,DoubleAccounts
1,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Acier,Espagne,5015,14330.0,31985,livres,,,,0
2,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Acier,Levant,1867,5336.0,31985,livres,,,,0
3,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Acier,Isles,10078,24292.0,31985,livres,,,,0
4,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Acier,Guinée,7082,12220.0,31985,livres,,,,0
5,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Acier,Indes,7943,20133.0,31985,livres,,,,0
6,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Acons demontés,Isles,4800,12.0,,en nombre,,,,0
7,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Agneaux,Allemagne,2673,395.0,,en nombre,,,,0
8,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Agremens,Allemagne,15507,,,,,,,0
9,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Aloës,Levant,1284,856.0,,livres,,,,0
10,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Alun,Italie,1145,5725.0,48122,livres,,,,0
11,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Alun,Naples,4970,24850.0,48122,livres,,,,0
12,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Alun,Genes,1111,5555.0,48122,livres,,,,0
13,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Alun,Venise,,,48122,,,,,0
14,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Alun,Levant,19484,99420.0,48122,livres,,,,0
15,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Alun,Nord,7285,27140.0,48122,livres,,,,0
16,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,3,Alun,Suisse,14127,47090.0,48122,livres,,,,0
17,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amandes,Allemagne,1805,3610.0,183542,livres,,,le nom de la marchandise est caché,0
18,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amandes,Angleterre,1063,42520.0,183542,livres,,,,0
19,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amandes,Hollande,6175,30875.0,183542,livres,,,,0
20,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amandes,Italie,8921,44605.0,183542,livres,,,,0
21,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amandes,Naples,1138,5690.0,183542,livres,,,,0
22,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amandes,Genes,40219,201095.0,183542,livres,,,,0
23,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amandes,Levant,19271,96357.0,183542,livres,,,,0
24,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amandes,Nord,24882,124410.0,183542,livres,,,,0
25,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amandes,Savoye,24043,68630.0,183542,livres,,,,0
26,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amandes,Suede,13211,66055.0,183542,livres,,,,0
27,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amandes,Isles,42814,210690.0,183542,livres,,,,0
28,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Ambre,Genes,2400,30.0,10400,livres,,,,0
29,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Ambre,Levant,8000,100.0,10400,livres,,,,0
30,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amidon,Allemagne,3520,8800.0,73495,livres,,,,0
31,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amidon,Flandre,39399,131330.0,73495,livres,,,,0
32,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amidon,Italie,7920,39602.0,73495,livres,,,,0
33,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amidon,Genes,7266,36330.0,73495,livres,,,,0
34,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amidon,Savoye,1157,5785.0,73495,livres,,,,0
35,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Amidon,Isles,14233,71167.0,73495,livres,,,,0
36,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Anchois,Hollande,2960,14800.0,9650,livres,,,,0
37,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Anchois,Suede,1253,6267.0,9650,livres,,,,0
38,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Anchois,Isles,3050,3050.0,9650,flacons,,,,0
39,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Anchois,Indes,2387,2387.0,9650,livres,,,,0
40,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Anis,Levant,,,1810,,,,,0
