numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Acier,Marseille,Angleterre,41015,Livres,"0,35",14355,"0,25",
2,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Ajamis,Marseille,Angleterre,150,Pièces,9,1350,0,
3,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Alun,Marseille,Angleterre,1540,Livres,"0,2",308,0,
4,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Bas de coton,Marseille,Angleterre,1500,Livres,5,7500,0,
5,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Bois du Bresil,Marseille,Angleterre,1000,Livres,"0,5",500,0,
6,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Bois de construction,Marseille,Angleterre,177,Pièces,20,3540,0,
7,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Bouchons de liége,Marseille,Angleterre,1800,Livres,3,5400,0,
8,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Bouteilles de verre,Marseille,Angleterre,2490,Livres,"0,2",498,0,
9,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Brun rouge,Marseille,Angleterre,5500,Livres,"0,1",550,0,
10,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Cacao,Marseille,Angleterre,1250,Livres,"1,3",1625,0,
11,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Caffé des Iles,Marseille,Angleterre,2633,Livres,"0,75",1974,"0,75",
12,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Carreaux de terre,Marseille,Angleterre,19600,Nombres,"0,025",440,50,erreur de calcul
13,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Ceruse,Marseille,Angleterre,3280,Livres,"0,2",656,0,
14,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Chaises de paille,Marseille,Angleterre,18,Douzaines,12,216,0,
15,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Chandelle,Marseille,Angleterre,1736,Livres,"0,5",868,0,
16,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Chanvre peigné,Marseille,Angleterre,1288,Livres,"0,75",966,0,
17,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Chapeaux poil et laine,Marseille,Angleterre,30,Douzaines,60,1800,0,
18,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,1,1773,Cire blanche,Marseille,Angleterre,400,Livres,2,800,0,
19,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Coton filé,Marseille,Angleterre,267,Livres,"1,1",293,"0,7",
20,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Coton en laine,Marseille,Angleterre,27767,Livres,1,27767,0,
21,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Cotonne,Marseille,Angleterre,650,Livres,3,1950,0,
22,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Couperose,Marseille,Angleterre,1770,Livres,"0,15",265,"0,5",
23,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Cuirs de bœuf tannés,Marseille,Angleterre,1650,Livres,"0,6",990,0,
24,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Draperie ordinaire,Marseille,Angleterre,409,Livres,6,2454,0,
25,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Drogueries,Marseille,Angleterre,455,Livres,1,455,0,
26,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Eau de la Reine d'hongrie,Marseille,Angleterre,625,Livres,1,625,0,
27,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Eau de vie,Marseille,Angleterre,139330,Livres,"0,25",34887,"-54,5",erreur de calcul
28,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Etoffe de soye,Marseille,Angleterre,150,Livres,40,6000,0,
29,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Extrait de genièvre,Marseille,Angleterre,92,Livres,"0,3",23,"4,6",erreur de calcul
30,Anthony Rebours,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille - Sorties - 1773.csv,Local,Exports,2,1773,Farine,Marseille,Angleterre,800,Livres,"0,25",200,0,
