numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,,
1,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,imports,45,"Allemagne, Lorraine et pais de Liege",Amiens,16685,,
2,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,imports,45,"Allemagne, Lorraine et pais de Liege",Bourgogne,333959,,
3,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,imports,45,"Allemagne, Lorraine et pais de Liege",Châlons,3672349,,
4,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,imports,45,"Allemagne, Lorraine et pais de Liege",Charleville,2780789,,
5,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,imports,45,"Allemagne, Lorraine et pais de Liege",Flandre,92510,,
6,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,imports,45,"Allemagne, Lorraine et pais de Liege",Langres,417020,,
7,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,exports,45,"Allemagne, Lorraine et pais de Liege",Amiens,634378,,
8,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,exports,45,"Allemagne, Lorraine et pais de Liege",Bayonne,179721,,
9,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,exports,45,"Allemagne, Lorraine et pais de Liege",Bourgogne,1676254,,
10,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,exports,45,"Allemagne, Lorraine et pais de Liege",Châlons,7682825,,
11,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,exports,45,"Allemagne, Lorraine et pais de Liege",Charleville,158587,,
12,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,exports,45,"Allemagne, Lorraine et pais de Liege",Flandre,222941,,
13,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,exports,45,"Allemagne, Lorraine et pais de Liege",Langres,579854,,
14,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,exports,45,"Allemagne, Lorraine et pais de Liege",Lyon,16719628,,
15,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,exports,45,"Allemagne, Lorraine et pais de Liege",Montpellier,32646,,
16,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,exports,45,"Allemagne, Lorraine et pais de Liege",Roüen,2174223,,
17,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,exports,45,"Allemagne, Lorraine et pais de Liege",Saint Quentin,624724,,
18,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,imports,46,Angleterre,Amiens,659167,,
19,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,imports,46,Angleterre,Bordeaux,6582246,,
20,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,imports,46,Angleterre,Caën,127322,,
21,Stephen Jackson,IIHS-123,National/Tableau Général par direction/Tableau Général par Direction 1771.csv,Tableau Général par direction,1771,imports,46,Angleterre,La Rochelle,337494,,
