numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Bled froment,Marseille,Angleterre,917750,Livres,"0,1",91775,0,
2,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Café,Marseille,Angleterre,2200,Livres,"0,75",1650,0,
3,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Chapeaux poil et laine,Marseille,Angleterre,250,Livres,6,1500,0,
4,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Cloux de fer,Marseille,Angleterre,3240,Livres,"0,3",972,0,
5,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Coton de laine,Marseille,Angleterre,112918,Livres,"1,5",169377,0,
6,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Cuirs de beuf en poil,Marseille,Angleterre,637,Livres,"0,2",127,"0,4",
7,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Etoffe ,Marseille,Angleterre,280,Livres,40,11200,0,
8,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Legumes,Marseille,Angleterre,3312,Livres,"0,2",662,"0,4",
9,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Librairie,Marseille,Angleterre,825,Livres,2,1650,0,
10,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Mercerie,Marseille,Angleterre,1866,Livres,"3,5",6531,0,
11,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Papier blanc,Marseille,Angleterre,10400,Livres,"0,6",6240,0,
12,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Peaux de veaux tannés,Marseille,Angleterre,2420,Livres,"1,25",3025,0,
13,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Poivre,Marseille,Angleterre,1122,Livres,"1,5",1683,0,
14,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Pomade,Marseille,Angleterre,200,Livres,2,400,0,
15,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Quincaille,Marseille,Angleterre,940,Livres,5,4700,0,
16,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Ris,Marseille,Angleterre,104015,Livres,"0,2",21803,-1000,Erreur de calcul
17,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Savon,Marseille,Angleterre,26500,Livres,"0,4",10600,0,
18,Laura,Archives de la CCI de Marseille - I 25,Local/Marseille/Archives_de_la_CCI_de_Marseille-I25/Marseille – Exports – 1777.csv,Local,1,1777,Exports,Souffre,Marseille,Angleterre,46964,Livres,"0,2",9392,"0,8",
