numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Alun,Marseille,Angleterre,"88 920,00",livres,"0,2000000","17784,00","0,00",
2,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Amandes,Marseille,Angleterre,"2 685,00",livres,"0,2000000","537,00","0,00",
3,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Arquifou,Marseille,Angleterre,"501 400,00",livres,"0,1500000","75210,00","0,00",
4,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bœuf ; salé,Marseille,Angleterre,"1 049,00",barils,"40,0000000","41960,00","0,00",
5,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bœuf ; salé,Marseille,Angleterre,"2 000,00",livres,"0,3000000","600,00","0,00",
6,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Beurre,Marseille,Angleterre,"20 000,00",livres,"0,3500000","6000,00","-1 000,00",erreur de calcul
7,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bleu ; de Prusse,Marseille,Angleterre,"560,00",livres,"1,0000000","560,00","0,00",
8,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bois ; d'accajou,Marseille,Angleterre,"137,00",pièces,"10,0000000","1370,00","0,00",
9,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bois ; de campeche,Marseille,Angleterre,"117 150,00",livres,"0,1500000","17122,00","-450,50",erreur de calcul
10,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bois ; de construction,Marseille,Angleterre,"300,00",pièces,"12,0000000","3600,00","0,00",
11,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Bois ; jaune,Marseille,Angleterre,"26 880,00",livres,"0,1000000","2688,00","0,00",
12,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Chapeaux,Marseille,Angleterre,"156,00",tonneaux,"300,0000000","46800,00","0,00",
13,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Chapeaux,Marseille,Angleterre,"13 216,00",chapeaux,"5,0000000","66080,00","0,00",
14,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Cire ; jaune,Marseille,Angleterre,"50 100,00",livres,"1,5000000","75150,00","0,00",
15,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Couperose,Marseille,Angleterre,"672 060,00",livres,"0,0800000","53764,00","-0,80",
16,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Cuirs ; de bœuf ; en poil,Marseille,Angleterre,"375,00",en nombre,"12,0000000","4500,00","0,00",
17,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Escayolles,Marseille,Angleterre,"2 500,00",livres,"0,1000000","250,00","0,00",
18,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1773.csv,Local,Imports,1,1773,Etain ; en bloc,Marseille,Angleterre,"269 240,00",livres,"0,7500000","201930,00","0,00",
