numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Alun,Marseille,Angleterre,72800,livres,"0,2",14560,0,
2,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Arquifou,Marseille,Angleterre,530040,livres,"0,15",79506,0,
3,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Bœuf ; salé,Marseille,Angleterre,802,barils,40,32080,0,
4,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Beurre,Marseille,Angleterre,420,livres,"0,35",147,0,
5,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Bierre,Marseille,Angleterre,10,barriques,40,400,0,
6,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Bled ; froment,Marseille,Angleterre,2415,charges,24,56960,-1000,erreur de calcul
7,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Bois ; de campeche,Marseille,Angleterre,545100,livres,"0,15",81765,0,
8,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Bois ; merrain,Marseille,Angleterre,50,tonneaux,5,250,0,
9,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Chandelle,Marseille,Angleterre,1800,livres,"0,4",720,0,
10,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Charbon ; de terre,Marseille,Angleterre,5120,chapeaux,5,25600,0,
11,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Cire ; jaune,Marseille,Angleterre,2800,livres,"1,5",4200,0,
12,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Cochenille,Marseille,Angleterre,230,livres,18,4140,0,
13,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Couperose,Marseille,Angleterre,171040,livres,"0,08",13683,"-0,2",
14,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Etain ; en bloc,Marseille,Angleterre,291855,livres,"0,75",218892,"0,75",
15,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Farine,Marseille,Angleterre,5000,livres,"0,2",1000,0,
16,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Feves,Marseille,Angleterre,2600,charges,12,19200,-12000,erreur de calcul
17,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Huile ; de vitriol,Marseille,Angleterre,1400,livres,4,5600,0,
18,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,1,1772,Legumes,Marseille,Angleterre,3600,livres,"0,15",540,0,
19,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,2,1772,Orge,Marseille,Angleterre,100,charges,12,1200,0,
20,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,2,1772,Peaux ; de chevre,Marseille,Angleterre,25,douzaines,12,180,-120,erreur de calcul
21,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,2,1772,Pignons ; d'inde,Marseille,Angleterre,540,livres,"2,5",1350,0,
22,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,2,1772,Plomb ; en saumon,Marseille,Angleterre,2010830,livres,"0,2",402166,0,
23,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,2,1772,Saumon ; salé,Marseille,Angleterre,236,barils,50,11800,0,
24,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,2,1772,Acier,Marseille,Espagne,11685,livres,"0,35",4089,"-0,75",
25,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,2,1772,Alun,Marseille,Espagne,653965,livres,"0,2",130793,0,
26,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,2,1772,Amandes,Marseille,Espagne,255445,livres,"0,2",51089,0,
27,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Entrées – 1772.csv,Local,Imports,2,1772,Ameçons,Marseille,Espagne,900,livres,"0,3",270,0,
