numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,17,Ambre et corail,,3200,20,,,livres,,,,,,,0
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,17,Bats à mulets,,6380,,,,,,,,,,,0
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,17,Batterie de cuisine,,2480,,,,,,,,,,,0
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,17,Bonneterie bas de fil,,39210,10934,,,pièces,88679,,,,,,0
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,17,Bonneterie bas de fil,,22234,5424,,,pièces,88679,,,,,,0
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,17,Bonneterie bas de fil,,25885,8424,,,pièces,88679,,,,,,0
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Tabago,,17,Bonneterie bas de fil,,1350,360,,,pièces,88679,,,,,,0
8,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,17,Bonneterie bas et bonnets de laine,,1200,324,,,bas,1236,,,,,,1
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,17,Bonneterie bas et bonnets de laine,,1200,168,,,bonnets,1236,,,,,,2
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,17,Bonneterie bas et bonnets de laine,,36,12,,,bas,1236,,,,,,0
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,17,Bonneterie bas et bonnets de laine,,3518,1920,,,bas,,,,,,,1
12,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,17,Bonneterie bas et bonnets de laine,,3518,3372,,,bonnets,,,,,,,2
