numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,24,Bois feuillard,,1157,771,,,paquets,1703,,,,,,0
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,24,Bois feuillard,,420,250,,,paquets,1703,,,,,,0
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,24,Bois feuillard,,126,84,,,paquets,1703,,,,,,0
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,24,Bonneterie de soye en bas,,1728,216,,,paires,,,,,,,0
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,24,Boucaud en bottes,,3100,620,,,en nombre,,,,,,,0
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,24,Bray et goudron,,5316,47510,,,livres,16062,,,,,,0
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,24,Bray et goudron,,5004,46560,,,livres,16062,,,,,,0
8,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,24,Bray et goudron,,5742,54420,,,livres,16062,,,,,,0
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,24,Chapeaux poil en laine,,2400,200,,,en nombre,,,,,,,0
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,24,Comestibles ; divers,,918,,,,,1911,,,,,,0
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,24,Comestibles ; divers,,993,,,,,1911,,,,,,0
