numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,prix_unitaire
1,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Amandes,Angleterre,"177,75",395,Livres,,"0,45"
2,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Amidon,Angleterre,60,200,Livres,,"0,3"
3,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Armoire,Angleterre,120,2,Pièce,,60
4,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Avoine,Angleterre,14060,140600,Livres,,"0,1"
5,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Auge de Carreaux,Angleterre,170,17,Pièce,,10
6,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Beuf,Angleterre,55200,460,Pièce,,120
7,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Beurre,Angleterre,"1618,5",3237,Livres,,"0,5"
8,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Biscuits de mer,Angleterre,"18411,2",92056,Livres,,"0,2"
9,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Bled ; froment,Angleterre,"184443,75",1229625,Livres,,"0,15"
10,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Bled ; seigle,Angleterre,20,200,Livres,,"0,1"
11,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Briques,Angleterre,350,1400,En nombre,"332,5 erreur calcul (modification du prix)","0,0125"
12,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Chaire salée,Angleterre,225,450,Livres,,"0,5"
13,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Chaises de paille,Angleterre,45,30,Pièce,,"1,5"
14,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Chandelle,Angleterre,"293,85",653,Livres,,"0,45"
15,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Charues,Angleterre,195,13,Pièce,,15
