numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks
1,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Amandes ; cassées,Angleterre,0,250,livres,0.45,"-112,5"
2,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Aigre ; de cidre,Angleterre,0,5,bariques,10,-50
3,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Amidon,Angleterre,0,300,livres,0.14,-42
4,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Beure,Angleterre,0,360,livres,0.4,-144
5,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Bougran,Angleterre,0,4,livres,1.25,-5
6,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Batterie ; de cuivre,Angleterre,0,5940,livres,1.6,-9504
7,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Batoirs ; à lessive,Angleterre,0,100,pièces,0.2,-20
8,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Bois ; travaillé,Angleterre,0,1,valeur,80.5,"-80,5"
9,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Cidre,Angleterre,0,81,tonneaux,100,-8100
10,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Cidre,Angleterre,0,453,muids,33,-14949
11,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Confitures,Angleterre,0,150,livres,1,-150
12,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Chataignes,Angleterre,0,300,livres,0.2,-60
13,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Coutil,Angleterre,0,200,livres,2,-400
14,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Cuir ; de vache ; tanné,Angleterre,0,51,pièces,25,-1275
15,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Cuivre ; en planches,Angleterre,0,100,livres,1.5,-150
16,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Chandelle,Angleterre,0,70,livres,0.5,-35
17,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Colliers ; de cheval,Angleterre,0,12,en nombre,3,-36
18,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Chaux,Angleterre,0,4,tonneaux,10,-40
19,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Carreaux ; moulage ; de Brie,Angleterre,0,200,pièces,1,-200
20,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Charuës,Angleterre,0,6,en nombre,30,-180
21,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Dentelle ; de fil ; commune,Angleterre,0,8,livres,360,-2880
22,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Etoffe ; de soye,Angleterre,0,1,valeur,40,-40
23,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,5,Fil ; teint,Angleterre,0,52,livres,2.25,-117
24,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Fil ; d'etoupe ; de lin,Angleterre,0,392,livres,1.5,-588
25,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Fayence ; en vaisselle,Angleterre,0,7,douzaines,12,-84
26,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Fer ; en barres,Angleterre,0,1000,livres,0.135,-135
27,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Fer ; ouvré,Angleterre,0,2640,livres,0.6,-1584
28,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Fûts ; à sas,Angleterre,0,12,douzaines,1.2,"-14,4"
29,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Fûts ; à sas,Angleterre,0,1,valeur,75,-75
30,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Fruits ; secs,Angleterre,0,150,livres,0.1,-15
31,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Huitres ; à l'écaille,Angleterre,0,100,miliers,8,-800
32,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Huile ; de rabette,Angleterre,0,300,livres,0.25,-75
33,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Lard ; sallé,Angleterre,0,23550,livres,0.5,-11775
