line_number;source_type;year;customs_region;customs_office;partner;export_import;product;origin;width_in_line;value;value_part_of_bundle;quantity;quantity_unit;value_per_unit;filepath;source;sheet;value_total;value_sub_total_1;value_sub_total_2;value_sub_total_3;data_collector;unverified;remarks;value_minus_unit_val_x_qty;absurd_observation;trade_deficit;trade_surplus;duty_quantity;duty_quantity_unit;duty_by_unit;duty_total;duty_part_of_bundle;duty_remarks
11;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Bois jaune;;;611,00;;4 075,00;Livres;0,1500000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;-0,25;;;;;;;;;
12;National toutes directions partenaires manquants;1789;Caen;Caen;Lorient;Imports;Cendre potasse;;;632,00;;1 150,00;Livres;0,5500000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;-0,50;;;;;;;;;
13;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Charbon de terre;;;3 150,00;;252 000,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
14;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Colle forte;;;1 115,00;;2 230,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
15;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Colle forte;;;250,00;;500,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;;;;;;;;;;
16;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Colle forte de poisson;;;672,00;;112,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
17;National toutes directions partenaires manquants;1789;Caen;Caen;Lorient;Imports;Cuivre en mitraille;;;2 358,00;;2 620,00;Livres;0,9000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
18;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Cuivre en planches;;;2 090,00;;2 090,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
19;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Drogues diverses;;;79,00;;;Valeurs;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
20;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Drogues chimiques Litarge;;;317,00;;1 270,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
21;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues chimiques Litarge;;;223,00;;895,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
22;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Drogues chimiques précipité;;;273,00;;39,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
23;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Drogues chimiques stil de grain;;;230,00;;230,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;;;;;;;;;;
24;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues médicinales Camphre;;;1 330,00;;266,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
