line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1600,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Lard à larder,Bretagne,,144,0,180,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,,,,Cyril Mouton,,,,,,,,,,,,
1601,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Petit salé,Bretagne,,26781,0,55794,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,27923,,,Cyril Mouton,,,,,,,,,,,,
1602,National toutes directions partenaires manquants,1789,Nantes,Nantes,La Martinique,Exports,Petit salé,Bretagne,,278,0,580,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,27923,,,Cyril Mouton,,,,,,,,,,,,
1603,National toutes directions partenaires manquants,1789,Nantes,Nantes,Cayenne et Guyanne,Exports,Petit salé,Bretagne,,864,0,1800,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,27923,,,Cyril Mouton,,,,,,,,,,,,
1604,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Petit salé,Bretagne,,5014,0,10503,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,,,,Cyril Mouton,,,,,,,,,,,,
1605,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Chapeaux de laines pour nègres,Bretagne,,17539,0,974.41669,douzaines,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,24205,,,Cyril Mouton,,,,,,,,,,,,
1606,National toutes directions partenaires manquants,1789,Nantes,Nantes,La Martinique,Exports,Chapeaux de laines pour nègres,Bretagne,,5706,0,317,douzaines,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,24205,,,Cyril Mouton,,,,,,,,,,,,
1607,National toutes directions partenaires manquants,1789,Nantes,Nantes,La Guadeloupe,Exports,Chapeaux de laines pour nègres,Bretagne,,195,0,10.833333,douzaines,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,24205,,,Cyril Mouton,,,,,,,,,,,,
1608,National toutes directions partenaires manquants,1789,Nantes,Nantes,Cayenne et Guyanne,Exports,Chapeaux de laines pour nègres,Bretagne,,765,0,42.5,douzaines,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,24205,,,Cyril Mouton,,,,,,,,,,,,
1609,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Chapeaux de laines pour nègres,Bretagne,,23772,0,1320.6666,douzaines,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,,,,Cyril Mouton,,,,,,,,,,,,
1610,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Chapeaux de poil et laine,Bretagne,,10908,0,151,douzaines,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,,,,Cyril Mouton,,,,,,,,,,,,
1611,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Chapeaux de poil et laine,Bretagne,,100,0,10,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,,,,Cyril Mouton,,,,,,,,,,,,
1612,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Chapeaux de poil et laine,Isle de France,,18816,0,2352,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,,,,Cyril Mouton,,,,,,,,,,,,
1613,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Chapeaux de poil et laine,Isle de France,,104,0,13,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,,,,Cyril Mouton,,,,,,,,,,,,
1614,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Chapeaux de demi-castor,Lyonnais,,8400,0,560,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),19,,8580,,,Cyril Mouton,,,,,,,,,,,,
