line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_value,absurd_quantity,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Amandes ; en coque,Provence,,2312,,46.25,quintal,50,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,-.5,,,,,,,,,,
2,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Bois ; divers,,,4237,,,,0,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,4237,,,,,,,,,,
3,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Bois ; de chêne,Bourgogne,,43631,,19394,?,2.25,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,-5.5,,,,,,,,,,
4,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Bois ; de sapin,Dauphiné,,1593,,177,pièce,9,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
5,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Bois ; d'ormeau,Provence,,2586,,2155,?,1.2,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
6,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Bois ; en perches,Bourgogne,,2634,,66,douzaine,40,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,-6,,,,,,,,,,
7,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Bois ; jonquette,Bourgogne,,2928,,81,douzaine,36,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,12,,,,,,,,,,
8,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Bois ; a bruler,Provence,,2790,,6200,quintal,.45,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
9,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Bois ; d'ozier,Provence,,1726,,,,0,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,1726,,,,,,,,,,
10,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Chanvre ; cru,Languedoc,,12950,,25900,livre,.5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
11,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Charbon ; de terre,Lyonnais,,24861,,16574,banne,1.5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
12,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Cordages ; de chanvre,Provence,,2300,,92,quintal,25,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
13,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Drogues ; chimiques ; sel ; de tamarin,Provence,,840,,28,quintal,30,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
14,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Drogues ; chimiques ; sel ; de prusse,Bourgogne,,1594,,12.75,quintal,125,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,.25,,,,,,,,,,
15,National toutes directions partenaires manquants,1789,Marseille,Arles,Angleterre,Exports,Drogues ; pour peinture et teinture ; garance,Etranger,,9048,,301.6,quintal,30,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
16,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Drogues ; pour peinture et teinture ; sumac,Provence,,840,,28,quintal,30,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
17,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Farine,Provence,,1178,,47.12,quintal,22.5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,117.8,,,,,,,,,,
18,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Fer ; vieux,Provence,,606,,101.2,quintal,5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,100,,,,,,,,,,
19,National toutes directions partenaires manquants,1789,Marseille,Arles,Angleterre,Exports,Fer ; vieux,Provence,,1270,,254.05,quintal,5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,-.25,,,,,,,,,,
20,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Fil ; écru,Languedoc,,5100,,51,quintal,100,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
21,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Fourage ; foin,Provence,,25641,,17094,quintal,1.5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
22,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Fourage ; foin,Languedoc,,1882,,1255,quintal,1.5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,-.5,,,,,,,,,,
23,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Fourage ; paille,Provence,,1392,,1392,quintal,1,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
24,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Fourage ; sou,Provence,,4340,,868,quintal,5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
25,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Fruits ; frais ; pomes,Dauphiné,,33314,,1665.7,quintal,20,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
26,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Grains ; avoine,Provence,,21090,,4218,quintal,5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
27,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Grains ; seigle,Bourgogne,,12352,,1372.5,quintal,9,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,-.5,,,,,,,,,,
28,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Grains ; seigle,Provence,,2250,,250,quintal,9,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
29,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Horlogerie ; pendule,Isle de France,,600,,6,pièce,100,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
30,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Huile ; d'olive,Provence,,1794,,27.6,quintal,65,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
31,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Liqueur,Provence,,787,,9.84,quintal,80,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,-.2,,,,,,,,,,
32,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Marchandises ; à la valeur,,,356,,,,0,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,356,,,,,,,,,,
33,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Ouvrages ; de bois ; divers,,,593,,,,0,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,593,,,,,,,,,,
34,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Pierres ; caprades ; blanches,Provence,,19114,,19114,pierre,1,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
35,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Pierres ; caprades ; blanches,Provence,,25748,,6437,pierre,4,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
36,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Poterie ; de terre,Languedoc,,912,,114,quintal,8,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,2,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
37,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Sable,Provence,,13975,,9317,quintal,1.5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,3,,,,,Jérémy Hervelin,,,-.5,,,,,,,,,,
38,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Sable,Dauphiné,,525,,350,quintal,1.5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,3,,,,,Jérémy Hervelin,,,0,,,,,,,,,,
39,National toutes directions partenaires manquants,1789,Marseille,Arles,Marseille,Exports,Terre ; grasse,Dauphiné,,1210,,807,quintal,1.5,sources/National toutes directions partenaires manquants/AN_F12_1666_Marseille_Exports_1789.csv,AN F12 1666,3,,,,,Jérémy Hervelin,,,-.5,,,,,,,,,,
