line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,National toutes directions partenaires manquants,1789,Toulon,Saint-Raphaël,Marseille,Imports,Acier,,,100,,3.3199999,Quintal,30,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,5,,,,,Anthony Rebours,,Unité d'origine Livre,.40000001,,,,,,,,,
2,National toutes directions partenaires manquants,1789,Toulon,Cannes,Marseille,Imports,Acier,,,701,,23.370001,Quintal,30,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,8,,,,,Anthony Rebours,,Unité d'origine Livre,-.1,,,,,,,,,
3,National toutes directions partenaires manquants,1789,Toulon,Saint-Tropez,Marseille,Imports,Amidon,,,106,,3.55,Quintal,30,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,2,,,,,Anthony Rebours,,Unité d'origine Livre,-.5,,,,,,,,,
4,National toutes directions partenaires manquants,1789,Toulon,Cannes,Marseille,Imports,Amidon,,,940,,31.309999,Quintal,30,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,8,,,,,Anthony Rebours,,Unité d'origine Livre,.69999999,,,,,,,,,
5,National toutes directions partenaires manquants,1789,Toulon,Saint-Tropez,Sardaigne,Imports,Ardoises,,,102,,68,Nombre,.75,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,2,,,,,Anthony Rebours,,,51,,,,,,,,,
6,National toutes directions partenaires manquants,1789,Toulon,Cannes,Gênes,Imports,Ardoises pour fenêtre,,,435,,580,Nombre,.75,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,8,,,,,Anthony Rebours,,,0,,,,,,,,,
7,National toutes directions partenaires manquants,1789,Toulon,Cannes,Sardaigne,Imports,Ardoises pour fenêtre,,,105,,137,Nombre,.75,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,8,,,,,Anthony Rebours,,,2.25,,,,,,,,,
8,National toutes directions partenaires manquants,1789,Toulon,Cannes,Marseille,Imports,Balais,,,161,,642,Nombre,.25,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,8,,,,,Anthony Rebours,,,.5,,,,,,,,,
9,National toutes directions partenaires manquants,1789,Toulon,Barcelonette,Etats du roi de Sardaigne,Imports,Bestiaux; Agneaux,,,8364,,1394,Nombre,6,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,13,,,,,Anthony Rebours,,,0,,,,,,,,,
10,National toutes directions partenaires manquants,1789,Toulon,Entreveaux,Etats du roi de Sardaigne,Imports,Bestiaux; Agneaux,,,865,,173,Nombre,5,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,15,,,,,Anthony Rebours,,,0,,,,,,,,,
11,National toutes directions partenaires manquants,1789,Toulon,Barcelonette,Etats du roi de Sardaigne,Imports,Bestiaux; Brebis,,,47496,,3958,Nombre,12,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,13,,,,,Anthony Rebours,,,0,,,,,,,,,
12,National toutes directions partenaires manquants,1789,Toulon,Entreveaux,Etats du roi de Sardaigne,Imports,Bestiaux; Brebis,,,13959,,1551,Nombre,9,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,15,,,,,Anthony Rebours,,,0,,,,,,,,,
13,National toutes directions partenaires manquants,1789,Toulon,Entreveaux,Etats du roi de Sardaigne,Imports,Bestiaux; Bœufs,,,12000,,120,Nombre,100,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,15,,,,,Anthony Rebours,,,0,,,,,,,,,
14,National toutes directions partenaires manquants,1789,Toulon,Cannes,Sardaigne,Imports,Bestiaux; Bœufs,,,1430,,13,Nombre,110,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,8,,,,,Anthony Rebours,,,0,,,,,,,,,
15,National toutes directions partenaires manquants,1789,Toulon,Barcelonette,Etats du roi de Sardaigne,Imports,Bestiaux; Chevres,,,1524,,127,Nombre,12,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,13,,,,,Anthony Rebours,,,0,,,,,,,,,
16,National toutes directions partenaires manquants,1789,Toulon,Entreveaux,Etats du roi de Sardaigne,Imports,Bestiaux; Chevres,,,16641,,1849,Nombre,9,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,15,,,,,Anthony Rebours,,,0,,,,,,,,,
17,National toutes directions partenaires manquants,1789,Toulon,Cannes,Sardaigne,Imports,Bestiaux; Chevres,,,9108,,1012,Nombre,9,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,8,,,,,Anthony Rebours,,,0,,,,,,,,,
18,National toutes directions partenaires manquants,1789,Toulon,Barcelonette,Etats du roi de Sardaigne,Imports,Bestiaux; Cochons,,,891,,27,Nombre,33,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,13,,,,,Anthony Rebours,,,0,,,,,,,,,
19,National toutes directions partenaires manquants,1789,Toulon,Cannes,Sardaigne,Imports,Bestiaux; Cochons petits,,,10540,,620,Nombre,17,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,8,,,,,Anthony Rebours,,,0,,,,,,,,,
20,National toutes directions partenaires manquants,1789,Toulon,Barcelonette,Etats du roi de Sardaigne,Imports,Bestiaux; Divers,,,462,,,,0,sources/National toutes directions partenaires manquants/AN_F12_1667_Toulon_Imports_1789.csv,AN F12 1667,13,,,,,Anthony Rebours,,,462,,,,,,,,,
