source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
National toutes directions partenaires manquants,1789,Lille,Bailleul,etatsdelempereur,Imports,Balais ; de bruyere,,,179,0,,douzaines,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,48,,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Turcoing,etatsdelempereur,Imports,Bestiaux ; bœufs,,,249300,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,50,,249300,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Baisieux,etatsdelempereur,Imports,Bestiaux ; en agneaux,,,234,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,54,,234,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Armentière,etatsdelempereur,Imports,Bestiaux ; genisses,,,986,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,47,,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Douay,etatsdelempereur,Imports,Bestiaux ; porcs,,,784,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,25,,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Dunkerque-Basseville,marseilles,Imports,Amandes ; en cocques,,,168,0,,livres,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,27,,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Subordonnés de Dunkerque,etatsdelempereur,Imports,Arbres ; en plants ; de bois ; d'auban,,,113,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,36,,113,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Dunkerque,hollande,Imports,Argenterie,,,250,0,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,2,,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Steenfort,etatsdelempereur,Imports,Armes ; à feu ; fusils,,,216,0,,livres,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,52,,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Lille,etatsdelempereur,Imports,Balais ; du roi,,,5718,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,41,,5718,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Baisieux,etatsdelempereur,Imports,Bestiaux ; en bœufs,,,500,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,54,,500,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Turcoing,etatsdelempereur,Imports,Bestiaux ; genisses,,,19320,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,50,,19320,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Armentière,etatsdelempereur,Imports,Bestiaux ; moutons,,,13800,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,47,,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Douay,etatsdelempereur,Imports,Bestiaux ; vaches,,,1160,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,25,,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Bailleul,etatsdelempereur,Imports,Beurre,,,24320,0,,livres,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,48,,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Graveline,hollande,Imports,Beurre,,,277,0,,livres,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,57,,277,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Dunkerque-Basseville,etatsdelempereur,Imports,Ardoises,,,10678,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,27,,10678,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Subordonnés de Dunkerque,etatsdelempereur,Imports,Ardoises,,,429,0,,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,36,,429,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Dunkerque,etatsdelempereur,Imports,Armes ; blanches,,,2587,0,,livres,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,2,,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Dunkerque,hollande,Imports,Armes ; blanches,,,1200,0,,livres,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,2,,,,,,Jérémy Hervelin,,,,,,,,,,,
