simplification,nbr_occurences_simpl,obsolete,grains,nbr_occurences_grains
agneau mérinos et métis,7,non,Pas grain (0),827454
agneau mouton commun,1,non,,13751
agnelines et crottelins,36,non,Pas grain (0),827454
agobille,4,non,Pas grain (0),827454
agoutals,4,non,Pas grain (0),827454
agoutals de bois,5,non,Pas grain (0),827454
agrément,15,non,Pas grain (0),827454
agrément au quart,3,non,Pas grain (0),827454
agrément d'argent,2,non,Pas grain (0),827454
agrément d'or,1,non,Pas grain (0),827454
agrément d'or et d'argent,5,non,Pas grain (0),827454
agrément de fil,9,non,Pas grain (0),827454
agrément de fil et de soie,3,non,Pas grain (0),827454
agrément de fleur,1,non,Pas grain (0),827454
agrément de soie,57,non,Pas grain (0),827454
agrément de soie et d'argent,1,non,Pas grain (0),827454
agrément de soie or et argent faux,1,non,Pas grain (0),827454
agrément pour robes,1,non,,13751
agréments de soie et milleret,13,non,Pas grain (0),827454
agréments et milleret,38,non,Pas grain (0),827454
agrès,29,non,Pas grain (0),827454
agrès apparaux de navire et embarcations,6,non,Pas grain (0),827454
agrès apparaux et embarcations,2,non,Pas grain (0),827454
agrès de navire et jeux de voile,14,non,Pas grain (0),827454
agrès et apparaux,2,non,Pas grain (0),827454
agrès et apparaux d'or navire,1,non,Pas grain (0),827454
agrès et bâtiments de mer,10,non,Pas grain (0),827454
agrès et embarcations,8,non,Pas grain (0),827454
agrès et voile de navire,1,oui,Pas grain (0),827454
aigles,4,non,Pas grain (0),827454
aigre de cèdre,16,non,Pas grain (0),827454
aigre de cidre,5,non,Pas grain (0),827454
aigre de vitriol,17,non,Pas grain (0),827454
aigrettes,10,non,Pas grain (0),827454
aigrettes de fil d'or et d'argent,1,non,Pas grain (0),827454
aigrettes de soie,1,non,Pas grain (0),827454
aigrettes de soie et argent,1,non,Pas grain (0),827454
aigrettes de verre,1,non,,13751
aigrettes et bavolets,1,non,Pas grain (0),827454
aiguières d'étain,1,non,Pas grain (0),827454
aiguilles,351,non,Pas grain (0),827454
aiguilles à boîtes,1,non,Pas grain (0),827454
aiguilles à coudre,59,non,Pas grain (0),827454
aiguilles à coudre voiles,1,non,Pas grain (0),827454
aiguilles à ralingue,1,non,Pas grain (0),827454
aiguilles à tabac,1,non,Pas grain (0),827454
aiguilles à toile,1,non,Pas grain (0),827454
aiguilles d'emballage,2,non,Pas grain (0),827454
aiguilles de mercerie fine,4,non,Pas grain (0),827454
aiguilles epars de sapin,1,non,Pas grain (0),827454
aiguilles et épingles,1,non,Pas grain (0),827454
aiguilles et épingles de mercerie fine,3,non,Pas grain (0),827454
aiguilles et mercerie fine,2,non,Pas grain (0),827454
aiguilles grosses,1,non,Pas grain (0),827454
aiguilles pour voile,38,non,Pas grain (0),827454
aiguillettes,1,non,Pas grain (0),827454
aiguillettes de cuir,1,non,,13751
aiguillettes de peau,1,non,,13751
ail,2,oui,Pas grain (0),827454
ailes,17,non,Pas grain (0),827454
ailes de fléaux,3,non,Pas grain (0),827454
ailes de moulins,6,non,Pas grain (0),827454
ailor,0,non,Pas grain (0),827454
ails,295,non,Pas grain (0),827454
ails à fauches,1,non,Pas grain (0),827454
ails blancs à casser,1,non,Pas grain (0),827454
aimant,1,non,Pas grain (0),827454
ains à pêcher,44,non,Pas grain (0),827454
ains et lignes à pêcher,2,non,Pas grain (0),827454
airain,7,non,Pas grain (0),827454
airain non ouvré,4,non,Pas grain (0),827454
ajamis,297,non,Pas grain (0),827454
ajustements,37,non,Pas grain (0),827454
ajustements de femme,5,non,Pas grain (0),827454
ajustements de soie,2,non,Pas grain (0),827454
alambics,17,non,Pas grain (0),827454
alambics d'étain,17,non,Pas grain (0),827454
alambics de cuivre,2,non,Pas grain (0),827454
alambics de terre,1,non,Pas grain (0),827454
alana,2,non,Pas grain (0),827454
alazar,2,non,Pas grain (0),827454
albâtre,5,non,Pas grain (0),827454
albâtre brut,3,non,Pas grain (0),827454
albâtre et marbre brut et poli,21,non,Pas grain (0),827454
albâtre moulé poli ou sculpté,6,non,Pas grain (0),827454
alcalis autre que natron et soudes,2,non,Pas grain (0),827454
alcalis salin,1,non,Pas grain (0),827454
aleine à cordonnier en acier et en fer,1,non,,13751
alènes,5,non,Pas grain (0),827454
alènes à cordonnier en acier et en fer,1,oui,,13751
algue marine,1,non,,13751
ali,0,non,,13751
alibanies,111,non,Pas grain (0),827454
alicot,0,non,Pas grain (0),827454
alizari,31,non,Pas grain (0),827454
alizari et garance,167,non,Pas grain (0),827454
alizari sèche,7,non,Pas grain (0),827454
alkermés,1,non,Pas grain (0),827454
alkermès en grains,25,non,Pas grain (0),827454
allaya,90,non,Pas grain (0),827454
alleaux,1,non,Pas grain (0),827454
allumettes,138,non,Pas grain (0),827454
allumettes à vin,31,non,Pas grain (0),827454
allumettes de coton,1,non,Pas grain (0),827454
allumettes de mêche soufrée,1,non,Pas grain (0),827454
allumettes droguées,3,non,Pas grain (0),827454
allumettes épicée,2,non,Pas grain (0),827454
allumettes opérées et soufrées,1,non,Pas grain (0),827454
allumettes soufrées,13,non,Pas grain (0),827454
almagro ou crayons rouges,2,non,Pas grain (0),827454
almanachs,1,non,Pas grain (0),827454
almanachs brochés,2,non,Pas grain (0),827454
almanachs en blancs,1,non,Pas grain (0),827454
almanachs enjolivés,2,non,Pas grain (0),827454
almanachs reliés,1,non,Pas grain (0),827454
aloès,262,non,Pas grain (0),827454
aloès cabalin,5,non,Pas grain (0),827454
aloès commun,1,non,Pas grain (0),827454
aloès et opium,2,non,Pas grain (0),827454
aloès hépatique,1,non,Pas grain (0),827454
aloès moyen,2,non,Pas grain (0),827454
aloiset,1,non,Pas grain (0),827454
alose,8,non,Pas grain (0),827454
alose fumée,4,non,Pas grain (0),827454
alose salée,5,non,Pas grain (0),827454
aloues,1,non,Pas grain (0),827454
alouettes,5,non,Pas grain (0),827454
alpargate,36,non,Pas grain (0),827454
alphabets,1,non,Pas grain (0),827454
alpiste,22,non,Pas grain (0),827454
alpiste et millet,9,non,Pas grain (0),827454
alquifoux,513,non,Pas grain (0),827454
alquifoux en galène,2,non,Pas grain (0),827454
alquifoux et mine de plomb,36,non,Pas grain (0),827454
alquifoux mine de plomb ou graphite,23,non,Pas grain (0),827454
