simplification,nbr_occurences_simpl,obsolete,grains,nbr_occurences_grains
cardilletrie,3,non,Pas grain (0),827454
cardines,10,non,Pas grain (0),827454
cardines de bois,5,non,Pas grain (0),827454
cardines de sapin,1,non,Pas grain (0),827454
cardon,7,non,Pas grain (0),827454
caret,50,non,Pas grain (0),827454
cargaison,2,oui,Pas grain (0),827454
caril,2,non,Pas grain (0),827454
carillon de fer,4,non,Pas grain (0),827454
carisé,1,non,Pas grain (0),827454
carisé des prises,1,non,Pas grain (0),827454
carisel,28,non,Pas grain (0),827454
carisel blanc,143,non,Pas grain (0),827454
carisel teint,130,non,Pas grain (0),827454
carives vieilles,2,non,Pas grain (0),827454
carlé,2,non,Pas grain (0),827454
carmin,11,non,Pas grain (0),827454
carmin commun,3,non,Pas grain (0),827454
carmin fin,2,non,Pas grain (0),827454
carnasse,16,non,Pas grain (0),827454
carnifié,1,non,Pas grain (0),827454
carny,2,non,Pas grain (0),827454
carols,1,non,Pas grain (0),827454
caroots,2,non,Pas grain (0),827454
carosses et harnais,1,non,,13751
carotte,13,non,Pas grain (0),827454
carotte d'enfant,1,non,Pas grain (0),827454
carou,1,non,Pas grain (0),827454
caroube,1,non,Pas grain (0),827454
carpe,8,non,Pas grain (0),827454
carpe et tanche,1,non,Pas grain (0),827454
carpeaux alevins,5,non,Pas grain (0),827454
carpes,28,non,Pas grain (0),827454
carpes de stockfish,1,non,Pas grain (0),827454
carpes et brochets,115,non,Pas grain (0),827454
carpette,4,non,Pas grain (0),827454
carrabe,2,non,Pas grain (0),827454
carré,62,non,Pas grain (0),827454
carré de fer plat,12,non,Pas grain (0),827454
carreaux,11,non,Pas grain (0),827454
carreaux ???,1,non,Pas grain (0),827454
carreaux à dentelle,4,non,Pas grain (0),827454
carreaux à paver,20,non,Pas grain (0),827454
carreaux à paver de pierre,7,non,Pas grain (0),827454
carreaux à paver de terre,133,non,Pas grain (0),827454
carreaux à vitres,1,non,Pas grain (0),827454
carreaux bleus,2,non,Pas grain (0),827454
carreaux brique et tuiles,2,non,Pas grain (0),827454
carreaux d'ardoise,6,non,Pas grain (0),827454
carreaux d'Île de France,1,non,Pas grain (0),827454
carreaux de Bidache,16,non,Pas grain (0),827454
carreaux de Bidache de pierre,9,non,Pas grain (0),827454
carreaux de brique,47,non,Pas grain (0),827454
carreaux de dentelle,1,non,Pas grain (0),827454
carreaux de faïence,94,non,Pas grain (0),827454
carreaux de genièvre,1,non,Pas grain (0),827454
carreaux de marbre,203,non,Pas grain (0),827454
carreaux de marbre à paver,72,non,Pas grain (0),827454
carreaux de marbre bâtard,4,non,Pas grain (0),827454
carreaux de marbre gros,1,non,Pas grain (0),827454
carreaux de marbre ouvrés,4,non,Pas grain (0),827454
carreaux de marbre pour le Roi,1,non,Pas grain (0),827454
carreaux de moulage,1,non,Pas grain (0),827454
carreaux de pierre,50,non,Pas grain (0),827454
carreaux de pierre de Bidache,1,non,Pas grain (0),827454
carreaux de pierre de terre,1,non,Pas grain (0),827454
carreaux de pierre noire,1,non,Pas grain (0),827454
carreaux de pierres bâtir,1,non,Pas grain (0),827454
carreaux de sera,2,non,Pas grain (0),827454
carreaux de Suède,1,non,Pas grain (0),827454
carreaux de terre cuite,369,non,Pas grain (0),827454
carreaux de terre d'or pied demi en carré,1,non,Pas grain (0),827454
carreaux de terre et tuiles bombées,8,non,Pas grain (0),827454
carreaux de terre grands,1,non,Pas grain (0),827454
carreaux de verre,16,non,Pas grain (0),827454
carreaux de verre à vitre,40,non,Pas grain (0),827454
carreaux démoulés,1,non,Pas grain (0),827454
carreaux des prises,1,non,Pas grain (0),827454
carreaux en nombre,1,oui,Pas grain (0),827454
carreaux et ouvrages de terre cuite,0,non,,13751
carreaux façon de marbre,1,non,,13751
carreaux marbre chaux pierres à bâtir,6,non,,13751
carreaux meulage de Brie,1,non,Pas grain (0),827454
carreaux meulage de France,2,non,Pas grain (0),827454
carreaux moulage,4,non,Pas grain (0),827454
carreaux moulage de Brie,7,non,Pas grain (0),827454
carreaux moulage de France,8,non,Pas grain (0),827454
carreaux noirs,3,non,Pas grain (0),827454
carreaux rouges,10,non,Pas grain (0),827454
carrelet,1,non,Pas grain (0),827454
carres,3,non,Pas grain (0),827454
carriole d'enfant,1,non,Pas grain (0),827454
carrole et crouge,1,non,Pas grain (0),827454
carrosse et chaises roulantes,2,non,,13751
carrosses,202,non,Pas grain (0),827454
carrosses et chaises et phaéton,1,non,,13751
carrosses et harnais,1,non,Pas grain (0),827454
carrosses grands montés sur leur train et harnais riche,1,non,Pas grain (0),827454
carrosses neufs,15,non,Pas grain (0),827454
carrosses usés,1,non,Pas grain (0),827454
carrosses vieux,21,non,Pas grain (0),827454
carrue,1,non,Pas grain (0),827454
cartager,1,non,Pas grain (0),827454
cartame,1,non,Pas grain (0),827454
cartes,8,non,Pas grain (0),827454
cartes à chaperonier,1,non,Pas grain (0),827454
cartes à jouer,832,non,Pas grain (0),827454
cartes de géographie sur toile,1,non,Pas grain (0),827454
cartes de la Martinique,1,non,Pas grain (0),827454
cartes des côtes d'Angleterre,1,non,Pas grain (0),827454
cartes géographiques,101,non,Pas grain (0),827454
cartes géographiques de la Chine,1,non,Pas grain (0),827454
cartes géométriques,1,non,Pas grain (0),827454
cartes marines,38,non,Pas grain (0),827454
cartes marines de pêches,1,non,Pas grain (0),827454
carthame,7,non,Pas grain (0),827454
cartignette,1,non,Pas grain (0),827454
carton,241,non,Pas grain (0),827454
carton à drapier,1,non,Pas grain (0),827454
carton assemblé et coupé,2,non,Pas grain (0),827454
carton en feuilles et lustré à presser le drap,2,non,Pas grain (0),827454
carton gracé,1,non,,13751
carton gris,1,non,,13751
carton lustré à presser le drap,2,non,Pas grain (0),827454
carton moulé,6,non,Pas grain (0),827454
carton peint,1,non,Pas grain (0),827454
cartouches,1,non,Pas grain (0),827454
caruane,1,non,Pas grain (0),827454
carubis,70,non,Pas grain (0),827454
carvi,1,non,Pas grain (0),827454
carzé,0,non,Pas grain (0),827454
casaques,15,non,Pas grain (0),827454
casaques à nègre,14,non,Pas grain (0),827454
casaques de froc,1,non,Pas grain (0),827454
casaques de laine,1,non,Pas grain (0),827454
casaques de peau,2,non,Pas grain (0),827454
casaques du cuir,1,non,Pas grain (0),827454
casaques pour matelot,1,non,Pas grain (0),827454
casaquin,3,non,Pas grain (0),827454
cascarilles,43,non,Pas grain (0),827454
casely,1,non,,13751
casimir,8,non,Pas grain (0),827454
casimir de laine,11,non,Pas grain (0),827454
casimir de laine et mérinos,1,non,Pas grain (0),827454
casimir et mérinos fin de laine,23,non,Pas grain (0),827454
casimir fin de laine,10,non,Pas grain (0),827454
casimirs et mérinos de laine,1,non,Pas grain (0),827454
casques,5,non,Pas grain (0),827454
casques à nègre,1,non,Pas grain (0),827454
casques et cuirasses,2,non,Pas grain (0),827454
cassave,4,non,Pas grain (0),827454
casse,106,non,Pas grain (0),827454
casse de fer,3,non,Pas grain (0),827454
casse de laiton,1,non,Pas grain (0),827454
casse des entrepôts,0,non,Pas grain (0),827454
casse en bâton,3,non,Pas grain (0),827454
casse étoffe,4,non,Pas grain (0),827454
casse garnie,1,non,Pas grain (0),827454
cassedis,1,non,Pas grain (0),827454
casseroles de fer,1,non,Pas grain (0),827454
cassi matia,1,non,Pas grain (0),827454
cassia fistula,3,non,Pas grain (0),827454
cassia lignea,160,non,Pas grain (0),827454
cassia sèche,1,non,Pas grain (0),827454
cassin bazas,1,non,Pas grain (0),827454
cassis,3,non,Pas grain (0),827454
cassoles,2,non,Pas grain (0),827454
cassonade,209,non,Pas grain (0),827454
cassonade des Îles,14,non,Pas grain (0),827454
cassonade et sucre,7,non,,13751
cassonade et sucre brut,2,non,,13751
cassube,2,non,Pas grain (0),827454
castalogne,19,non,Pas grain (0),827454
castine et spath,2,non,Pas grain (0),827454
castor,50,non,Pas grain (0),827454
castor blanc,1,non,Pas grain (0),827454
castor bordé d'argent et d'or,1,non,Pas grain (0),827454
castor gras,25,non,Pas grain (0),827454
castor sec,27,non,Pas grain (0),827454
castoreum,30,non,Pas grain (0),827454
castoreum du ???,1,non,Pas grain (0),827454
castus doux,1,non,Pas grain (0),827454
catadarits,0,non,Pas grain (0),827454
Catalogne de laine,1,non,Pas grain (0),827454
Catalogne de poil,2,non,Pas grain (0),827454
catéchismes,1,non,Pas grain (0),827454
catequin,2,non,Pas grain (0),827454
catlas,2,non,Pas grain (0),827454
caubrune,1,non,Pas grain (0),827454
cauride,0,non,Pas grain (0),827454
caurie,1,non,Pas grain (0),827454
caurier,1,non,Pas grain (0),827454
cauris,332,non,Pas grain (0),827454
cauris de retour,1,non,Pas grain (0),827454
cauris des Indes,1,non,Pas grain (0),827454
cauris en sac,1,non,,13751
cauris pour la traite,1,non,Pas grain (0),827454
cauris salés et verts,1,non,Pas grain (0),827454
cauris vernis,1,non,Pas grain (0),827454
causels de bar,10,non,Pas grain (0),827454
causels de bois,2,non,Pas grain (0),827454
causse de cordes,1,non,Pas grain (0),827454
cautardes,1,non,Pas grain (0),827454
cavelle,13,non,Pas grain (0),827454
cavelle de bois,2,non,Pas grain (0),827454
cavelle pour tonneaux,1,non,Pas grain (0),827454
caves,14,non,Pas grain (0),827454
caves à main,1,non,Pas grain (0),827454
caves à tabac,2,non,Pas grain (0),827454
caves de ??? flacons,1,non,Pas grain (0),827454
caves de 10 flacons,1,non,Pas grain (0),827454
caves de 12 flacons,40,non,Pas grain (0),827454
caves de 15 flacons,8,non,Pas grain (0),827454
caves de 21 flacons,1,non,Pas grain (0),827454
caves de 29 flacons,1,non,Pas grain (0),827454
caves de 6 flacons,107,non,Pas grain (0),827454
caves de 6 flacons pour eau-de-vie,1,non,Pas grain (0),827454
caves de 7 flacons,1,non,Pas grain (0),827454
caves de 8 flacons,2,non,Pas grain (0),827454
caves de 9 flacons,65,non,Pas grain (0),827454
caves de flacons,13,non,Pas grain (0),827454
caves et canevettes avec leurs flacons,1,non,,13751
caves et canevettes de 6 flacons,3,non,Pas grain (0),827454
caves files,1,non,Pas grain (0),827454
caves garnies,125,non,Pas grain (0),827454
caves garnies de flacons,5,non,Pas grain (0),827454
caves garnies de flacons de cristal,1,non,Pas grain (0),827454
caves garnies de leurs flacons,4,non,Pas grain (0),827454
caves non garnies de flacons,1,non,Pas grain (0),827454
caves ou flacons,1,non,Pas grain (0),827454
cavettes de bois,3,non,Pas grain (0),827454
cavettes de grès,4,non,Pas grain (0),827454
cavial,4,non,Pas grain (0),827454
caviers de terre,0,non,Pas grain (0),827454
cavizé,0,non,Pas grain (0),827454
cayette,1,non,Pas grain (0),827454
cazé,0,non,Pas grain (0),827454
cazin bazar,1,non,Pas grain (0),827454
ceaustatille étoffe,1,non,Pas grain (0),827454
cédrat,108,non,Pas grain (0),827454
cédrat frais,0,non,Pas grain (0),827454
cédrat zestes confits,26,non,Pas grain (0),827454
cèdre,7,non,Pas grain (0),827454
ceintures,12,non,Pas grain (0),827454
ceintures brodées,1,non,Pas grain (0),827454
ceintures brodées de soie,1,non,Pas grain (0),827454
ceintures d'argent et d'or,1,non,Pas grain (0),827454
ceintures d'argent fin,1,non,Pas grain (0),827454
ceintures d'épée,1,non,Pas grain (0),827454
ceintures de coton,7,non,Pas grain (0),827454
ceintures de cuir,1,non,Pas grain (0),827454
ceintures de laine,37,non,Pas grain (0),827454
ceintures de laine et de fil,1,non,Pas grain (0),827454
ceintures de robe de chambre,4,non,Pas grain (0),827454
ceintures de soie,21,non,Pas grain (0),827454
ceintures marines,1,non,Pas grain (0),827454
ceintures pour matelot,1,non,Pas grain (0),827454
ceintures pour prêtre,9,non,Pas grain (0),827454
ceinturons,27,non,Pas grain (0),827454
ceinturons brodés,1,non,Pas grain (0),827454
ceinturons brodés d'argent,1,non,Pas grain (0),827454
ceinturons brodés d'or,1,non,Pas grain (0),827454
ceinturons de buffle,3,non,Pas grain (0),827454
ceinturons de chamois,1,non,Pas grain (0),827454
ceinturons de coton,1,non,Pas grain (0),827454
ceinturons de cuir,2,non,Pas grain (0),827454
ceinturons de laine,1,non,Pas grain (0),827454
ceinturons de peau,1,non,Pas grain (0),827454
ceinturons de soie,8,non,Pas grain (0),827454
ceinturons et bandoulières,65,non,Pas grain (0),827454
ceinturons et bandoulières et gibernes,19,non,Pas grain (0),827454
ceinturons et gibernes,1,non,,13751
ceinturons piqués,1,non,Pas grain (0),827454
ceinturons pour épée,1,non,Pas grain (0),827454
ceinturons unis,2,non,Pas grain (0),827454
céleris,35,non,Pas grain (0),827454
cendaline,3,non,Pas grain (0),827454
cendre,440,non,Pas grain (0),827454
cendre ???,2,non,Pas grain (0),827454
cendre à engraisser,16,non,Pas grain (0),827454
cendre à fumer,5,non,Pas grain (0),827454
cendre à fumer terre,29,non,Pas grain (0),827454
cendre à houille,1,non,Pas grain (0),827454
cendre à orfèvre,24,non,Pas grain (0),827454
cendre à savon,1,non,Pas grain (0),827454
cendre barille,3,non,Pas grain (0),827454
cendre barille de soudes,4,non,,13751
cendre blanche,1,non,Pas grain (0),827454
cendre bleue,77,non,Pas grain (0),827454
cendre bleue et verte,5,non,Pas grain (0),827454
cendre bourde,327,non,Pas grain (0),827454
cendre bourre de soudes,4,non,,13751
cendre broyée à l'huile,1,non,Pas grain (0),827454
cendre calcinée,2,non,Pas grain (0),827454
cendre cassant,8,non,Pas grain (0),827454
cendre casseaux,31,non,Pas grain (0),827454
cendre commune,267,non,Pas grain (0),827454
cendre d'Angleterre,6,non,Pas grain (0),827454
cendre d'Égypte,1,non,Pas grain (0),827454
cendre d'os,1,non,Pas grain (0),827454
cendre de barille,20,non,Pas grain (0),827454
cendre de barille en pierre,2,non,Pas grain (0),827454
cendre de barille et fonde,1,non,Pas grain (0),827454
cendre de bois,436,non,Pas grain (0),827454
cendre de bois commune,127,non,Pas grain (0),827454
cendre de bois vive,3,non,Pas grain (0),827454
cendre de chaux,82,non,Pas grain (0),827454
cendre de courbe,3,oui,Pas grain (0),827454
cendre de cuivre,1,non,Pas grain (0),827454
cendre de Damas,1,non,Pas grain (0),827454
cendre de fonde,6,non,Pas grain (0),827454
cendre de frène,14,non,Pas grain (0),827454
cendre de goëmon,2,non,Pas grain (0),827454
cendre de goëmon ou soudes,1,non,Pas grain (0),827454
cendre de grignon,4,non,Pas grain (0),827454
cendre de griguonia,3,non,Pas grain (0),827454
cendre de houille,125,non,Pas grain (0),827454
cendre de lessive,51,non,Pas grain (0),827454
cendre de Lyon,1,non,Pas grain (0),827454
cendre de Malte,3,non,Pas grain (0),827454
cendre de mer,18,non,Pas grain (0),827454
cendre de monnaie,1,non,Pas grain (0),827454
cendre de narc,1,non,,13751
cendre de natron,1,non,Pas grain (0),827454
cendre de paille et de tourbe,1,non,Pas grain (0),827454
cendre de plomb,45,non,Pas grain (0),827454
cendre de Sicile,27,non,Pas grain (0),827454
cendre de tabac,2,non,Pas grain (0),827454
cendre de tourbe,116,non,Pas grain (0),827454
cendre de varech,27,non,Pas grain (0),827454
cendre de varet,6,non,Pas grain (0),827454
cendre de verre,5,non,Pas grain (0),827454
cendre de vitarch,1,non,Pas grain (0),827454
cendre des rois,1,non,Pas grain (0),827454
cendre du Levant,8,non,Pas grain (0),827454
cendre en lest,1,non,,13751
cendre lessivée,2,non,Pas grain (0),827454
cendre mature à saveur de soude,1,non,,13751
cendre menuisée,1,non,Pas grain (0),827454
cendre poland,1,non,Pas grain (0),827454
cendre poreuse,5,non,Pas grain (0),827454
cendre pour manufactures,42,non,Pas grain (0),827454
cendre pour nettoyer les pots,1,non,Pas grain (0),827454
cendre pour verrerie,2,non,Pas grain (0),827454
cendre salicor,1,non,Pas grain (0),827454
cendre saline,4,non,Pas grain (0),827454
cendre soudes,5,non,,13751
cendre soudes d'Égypte ou Natrum,0,non,Pas grain (0),827454
cendre verte,9,non,Pas grain (0),827454
cendres bourde,1,oui,,13751
cendres de nark,1,oui,,13751
cendres de varech,4,oui,Pas grain (0),827454
censes de bâtiments,2,non,Pas grain (0),827454
cercles,133,non,Pas grain (0),827454
cercles à barils,48,oui,Pas grain (0),827454
cercles à barriques,12,oui,Pas grain (0),827454
cercles à bobillons,3,oui,Pas grain (0),827454
cercles à bottes,2,oui,Pas grain (0),827454
cercles à paniers,2,oui,Pas grain (0),827454
cercles à pipes,13,oui,Pas grain (0),827454
cercles à quart,1,oui,Pas grain (0),827454
cercles à quarts,1,oui,,13751
cercles à relier,4,oui,Pas grain (0),827454
cercles à tamis,54,oui,Pas grain (0),827454
cercles à tamis dits standrepen,0,oui,Pas grain (0),827454
cercles à tonneaux,277,oui,Pas grain (0),827454
cercles à tonneaux en roues,2,oui,Pas grain (0),827454
cercles communs,17,non,Pas grain (0),827454
cercles d'osier,85,non,Pas grain (0),827454
cercles de 10 à 12 pieds,41,non,Pas grain (0),827454
cercles de 12 à 16 pieds,58,non,Pas grain (0),827454
cercles de 7 à 11 pieds,17,non,Pas grain (0),827454
cercles de 8 à 10 pieds,48,non,Pas grain (0),827454
cercles de 9 à 12 pieds,31,non,Pas grain (0),827454
cercles de bois,871,non,Pas grain (0),827454
cercles de bois à quarts,1,oui,Pas grain (0),827454
cercles de bois à tonneaux,20,oui,Pas grain (0),827454
cercles de bois et feuillards de bois,40,non,,13751
cercles de bois et osier,1,non,Pas grain (0),827454
cercles de bois pour barils,2,non,Pas grain (0),827454
cercles de bois pour barriques,3,non,Pas grain (0),827454
cercles de bois pour bobillons,1,non,Pas grain (0),827454
cercles de bois pour la mire,0,non,Pas grain (0),827454
cercles de bois pour pipes,2,non,Pas grain (0),827454
cercles de bois pour quarts,1,non,,13751
cercles de bois pour tamis,2,non,Pas grain (0),827454
cercles de bois pour tanier,3,non,Pas grain (0),827454
cercles de bois pour tonneaux,22,non,,13751
cercles de cuivre de poil,1,non,Pas grain (0),827454
cercles de demitte,1,non,Pas grain (0),827454
cercles de douves,1,non,Pas grain (0),827454
cercles de faux,1,non,Pas grain (0),827454
cercles de fer,452,non,Pas grain (0),827454
cercles de fer et feuillardes de fer,3,non,Pas grain (0),827454
cercles de fers,3,non,Pas grain (0),827454
cercles de feuillards,2,non,Pas grain (0),827454
cercles de jonc,7,non,Pas grain (0),827454
cercles de retour,1,non,,13751
cercles et feuillards,1,non,Pas grain (0),827454
cercles ou feuillards de fer,10,non,Pas grain (0),827454
cercles pour barils,48,non,,13751
cercles pour barriques,13,non,,13751
cercles pour barriques de bois,1,non,Pas grain (0),827454
cercles pour bobillons,3,non,,13751
cercles pour bottes,2,non,,13751
cercles pour paniers,2,non,,13751
cercles pour pipes,13,non,,13751
cercles pour quarts,1,non,,13751
cercles pour relier,4,non,,13751
cercles pour tamis,59,non,,13751
cercles pour tamis dits standrepen,86,non,,13751
cercles pour tonneaux,393,non,,13751
cercles pour tonneaux en roues,2,non,,13751
cercocole,1,non,Pas grain (0),827454
céréales,1,non,Céréales inférieures (2),3564
cerf-volant,1,non,Pas grain (0),827454
cerises,32,non,Pas grain (0),827454
cerneaux,1,non,Pas grain (0),827454
céruse,929,non,Pas grain (0),827454
céruse et blanc de plomb,130,non,Pas grain (0),827454
cervelas,99,non,Pas grain (0),827454
cervelas salées et cuisses d'oie salées et langues salèes,4,non,Pas grain (0),827454
cévadille,11,non,Pas grain (0),827454
cha ??,1,non,,13751
chades,1,non,Pas grain (0),827454
chafarcani,5,non,,13751
chafarcany,4,oui,Pas grain (0),827454
chagrin,4,non,Pas grain (0),827454
chagrin de soie,6,non,Pas grain (0),827454
chaînes de fer,40,non,Pas grain (0),827454
chaînes de laiton,1,non,Pas grain (0),827454
chaînes de montres,4,non,Pas grain (0),827454
chaînes de montres serties d'or,1,non,Pas grain (0),827454
chair,7,non,Pas grain (0),827454
chair ???,1,non,Pas grain (0),827454
chair cuite,1,non,Pas grain (0),827454
chair de bœuf,5,non,Pas grain (0),827454
chair de boucherie,6,non,Pas grain (0),827454
chair de gibier et de volailles,8,non,Pas grain (0),827454
chair de morue,1,non,Pas grain (0),827454
chair de porcs,7,non,Pas grain (0),827454
chair de volaille et chair de gibier,28,non,Pas grain (0),827454
chair et lard enfumé et salé,146,non,Pas grain (0),827454
chair et lard frais,133,non,Pas grain (0),827454
chair et poisson,1,non,Pas grain (0),827454
chair fraîche,4,non,Pas grain (0),827454
chair fraîche et salée,15,non,Pas grain (0),827454
chair fumée,30,non,Pas grain (0),827454
chair salée,946,non,Pas grain (0),827454
chair salée de bœuf,4,non,,13751
chair salée de jambon de porcs,1,non,Pas grain (0),827454
chair salée de porcs,25,non,Pas grain (0),827454
chair salée et chair fraîche,208,non,Pas grain (0),827454
chair salée ou lard,1,non,Pas grain (0),827454
chaise garnie de cannes,2,non,Pas grain (0),827454
chaise garnie de maroquin,2,non,Pas grain (0),827454
chaises,20,non,Pas grain (0),827454
chaises à deux roues,17,non,Pas grain (0),827454
chaises à porteur,5,non,Pas grain (0),827454
chaises à rouler les enfants,2,non,Pas grain (0),827454
chaises communes,2,non,Pas grain (0),827454
chaises d'enfant,1,non,Pas grain (0),827454
chaises de bois,16,non,Pas grain (0),827454
chaises de bois de sapin,1,non,Pas grain (0),827454
chaises de canne,52,non,Pas grain (0),827454
chaises de commodité,182,non,Pas grain (0),827454
chaises de commodité et leurs pots,6,non,Pas grain (0),827454
chaises de commodité et leurs pots de faïence,1,non,Pas grain (0),827454
chaises de fer,7,non,Pas grain (0),827454
chaises de fer harnais,1,non,Pas grain (0),827454
chaises de jonc,41,non,Pas grain (0),827454
chaises de maroquin,6,non,Pas grain (0),827454
chaises de noyer,3,non,Pas grain (0),827454
chaises de paille,476,non,Pas grain (0),827454
chaises de paille et canapé,1,non,Pas grain (0),827454
chaises de paille et fauteuils de paille,7,non,Pas grain (0),827454
chaises de poste,20,non,Pas grain (0),827454
chaises de poste et fauteuils de poste,2,non,Pas grain (0),827454
chaises de poste et harnais,1,non,Pas grain (0),827454
chaises de rotin,16,non,Pas grain (0),827454
chaises de rotin et fauteuils,1,non,Pas grain (0),827454
chaises de tapisserie,1,non,Pas grain (0),827454
chaises et cabriolets,118,non,Pas grain (0),827454
chaises et fauteuils,21,non,Pas grain (0),827454
chaises et fauteuils de bois,7,non,Pas grain (0),827454
chaises et fauteuils de canne,6,non,Pas grain (0),827454
chaises et fauteuils de commodité,1,non,Pas grain (0),827454
chaises et fauteuils de jonc,3,non,Pas grain (0),827454
chaises garnies,5,non,Pas grain (0),827454
chaises paillées,1,non,Pas grain (0),827454
chaises pliantes,1,non,Pas grain (0),827454
chaises pliantes de cuir de Russie,1,non,Pas grain (0),827454
chaises pour enfant,1,non,Pas grain (0),827454
chaises roulantes,20,non,Pas grain (0),827454
chaises roulantes avec harnais,1,non,Pas grain (0),827454
chaises roulantes avec leur train,1,non,Pas grain (0),827454
chaises roulantes vieilles,1,non,Pas grain (0),827454
chalbafs,12,non,Pas grain (0),827454
châles brochés et façonnés de laine,2,non,Pas grain (0),827454
châles couvertures et tapis de fleuret,1,non,Pas grain (0),827454
châles de cachemire de poil,1,non,Pas grain (0),827454
châles de laine,43,non,Pas grain (0),827454
châles de laine brochés et façonnés,1,non,Pas grain (0),827454
châles de laine et de poil,46,non,Pas grain (0),827454
châles de percale de coton imprimée,2,non,Pas grain (0),827454
châles des Indes,0,non,Pas grain (0),827454
châles et mouchoirs,15,non,Pas grain (0),827454
châles et mouchoirs de coton,81,non,Pas grain (0),827454
châles et mouchoirs de laine,48,non,Pas grain (0),827454
châles et mouchoirs de soie,156,non,Pas grain (0),827454
chalons,25,non,Pas grain (0),827454
chalons blancs,6,non,Pas grain (0),827454
chalons blancs soufrés,4,non,Pas grain (0),827454
chalons peints,8,non,Pas grain (0),827454
chalotte,1,non,,13751
chaloupe,2,non,Pas grain (0),827454
chaloupe démontée,3,non,Pas grain (0),827454
chambranle de cheminé en marbre,1,non,Pas grain (0),827454
chambre d'enfant,1,non,Pas grain (0),827454
chamois,1,non,Pas grain (0),827454
chamois passé en jaune,6,non,Pas grain (0),827454
chamoisure,1,non,Pas grain (0),827454
champ fleurs,1,non,Pas grain (0),827454
champheuv,1,non,Pas grain (0),827454
champignons,101,non,Pas grain (0),827454
champignons confits,4,non,Pas grain (0),827454
champignons et morilles,2,non,Pas grain (0),827454
champignons et morilles et truffes,1,non,,13751
champignons et truffes,1,non,Pas grain (0),827454
champignons marinés,1,non,Pas grain (0),827454
champignons secs,28,non,Pas grain (0),827454
chandal,1,non,Pas grain (0),827454
chandeliers d'église en or,1,non,Pas grain (0),827454
chandeliers de bois,1,non,Pas grain (0),827454
chandeliers de bois de Nuremberg,1,non,Pas grain (0),827454
chandeliers de cuivre,14,non,Pas grain (0),827454
chandeliers de cuivre argentés,1,non,Pas grain (0),827454
chandeliers de fer,1,non,Pas grain (0),827454
chandeliers de laiton,2,non,Pas grain (0),827454
chandelle,1782,non,Pas grain (0),827454
chandelle à porteur,1,non,Pas grain (0),827454
chandelle de bois,1,non,Pas grain (0),827454
chandelle de canne,4,non,Pas grain (0),827454
chandelle de chanvre et suif,7,non,Pas grain (0),827454
chandelle de commodité,3,non,Pas grain (0),827454
chandelle de jonc,1,non,Pas grain (0),827454
chandelle de paille,9,non,Pas grain (0),827454
chandelle de résines,1,non,Pas grain (0),827454
chandelle de rotin,1,non,Pas grain (0),827454
chandelle de sperme de baleine,1,non,Pas grain (0),827454
chandelle de suif,386,non,Pas grain (0),827454
chandelle de suif et suif,11,non,Pas grain (0),827454
chandelle de suif et suif fondu,1,non,Pas grain (0),827454
chandelle et suif,3,non,,13751
chandelle moitié cire,1,non,Pas grain (0),827454
chandelle moulée,2,non,Pas grain (0),827454
chandelle roulante,1,non,Pas grain (0),827454
changeant,6,non,Pas grain (0),827454
chanoni,1,non,Pas grain (0),827454
chantournés de lit en satin,2,non,Pas grain (0),827454
chantournés de lit en satin brodé,2,non,Pas grain (0),827454
chanvre,4721,non,Pas grain (0),827454
chanvre apprêté,13,non,Pas grain (0),827454
chanvre battu,56,non,Pas grain (0),827454
chanvre brut,54,non,Pas grain (0),827454
chanvre chiné,1,non,,13751
chanvre commun,3,non,Pas grain (0),827454
chanvre cru,1039,non,Pas grain (0),827454
chanvre de masse,9,non,Pas grain (0),827454
chanvre de retour,2,non,,13751
chanvre deuxième qualité,1,non,Pas grain (0),827454
chanvre dit chenevolle,1,non,Pas grain (0),827454
chanvre divers,45,non,Pas grain (0),827454
chanvre écru,16,non,Pas grain (0),827454
chanvre en masses,45,non,Pas grain (0),827454
chanvre en ramade,1,non,Pas grain (0),827454
chanvre en rames,154,non,Pas grain (0),827454
chanvre en rames (c'est à dire du Nord),1,non,Pas grain (0),827454
chanvre en tiges brutes choisie sèches ou vertes,2,non,Pas grain (0),827454
chanvre en tiges brutes sèches roules ou vertes,3,non,Pas grain (0),827454
chanvre et lin,10,non,Pas grain (0),827454
chanvre fin,1,non,Pas grain (0),827454
chanvre frisé,1,non,Pas grain (0),827454
chanvre peigné,666,non,Pas grain (0),827454
chanvre piqué,2,non,,13751
chanvre pour filer,2,non,Pas grain (0),827454
chanvre première qualité,4,non,Pas grain (0),827454
chanvre préparé,3,non,Pas grain (0),827454
chanvre saisir,1,non,Pas grain (0),827454
chanvre taillé et étoupes,3,non,Pas grain (0),827454
chanvre tillé,1,non,Pas grain (0),827454
chanvre tillé et étoupes,7,non,Pas grain (0),827454
chanvre treillé,1,non,,13751
chanvre vieux,1,non,Pas grain (0),827454
chanvreau,1,non,,13751
chanvrier de cuivre,1,non,Pas grain (0),827454
chapeaux,753,non,Pas grain (0),827454
chapeaux ? castor,6,non,Pas grain (0),827454
chapeaux à border,1,non,Pas grain (0),827454
chapeaux a migette,1,non,,13751
chapeaux à nègre,235,non,Pas grain (0),827454
chapeaux à page,2,non,Pas grain (0),827454
chapeaux anglais,2,non,Pas grain (0),827454
