simplification,nbr_occurences_simpl,ulrich,obsolete,nbr_occurences_ulrich
,117,,oui,1091
???,88,out,non,288284
??? blanc,2,out,non,288284
??? brun,2,out,non,288284
??? d'Anjou et de Touraine,1,out,non,288284
??? d'argent,1,out,non,288284
??? d'une valeur moindre de deux mille francs chacun,8,out,non,288284
??? de boutard,1,out,non,288284
??? de fer,2,out,non,288284
??? de morue,1,out,non,288284
??? de nacre de perle,1,out,non,288284
??? des ci-devant provinces d'Alsace,1,out,non,288284
??? des ci-devant provinces de Bourgogne,1,out,non,288284
??? des ci-devant provinces de Provence,1,out,non,288284
??? des ci-devant provinces du Languedoc,1,out,non,288284
??? diverses,4,out,non,288284
??? fer,1,out,non,288284
??? forts de fer,1,out,non,288284
??? gras,1,out,non,288284
??? particulièrement en chevaux,1,out,non,288284
??? pieds,1,out,non,288284
??? pruneaux,1,out,non,288284
??? raisins secs,1,out,non,288284
???sse,1,out,non,288284
?ufs,1,out,non,288284
[non traité],217,,non,1091
[vide],10,,non,1091
à jamis,218,cotton goods,non,9461
à l'aventure,1,,non,1091
à son lest,1,,non,1091
à vide,2,,non,1091
abassis,4,out,non,288284
abats,2,out,non,288284
abattis de morue,1,out,non,288284
abricots confits,1,out,non,288284
absinthe,2,out,non,288284
acacia,3,out,non,288284
acacia germanica,1,out,non,288284
acacia vera,1,out,non,288284
acajou,2,out,non,288284
acétates d'étain,1,out,non,288284
acétates de fer,3,out,non,288284
acétates de plomb,2,out,non,288284
acétates de plomb sel de Saturne,2,out,non,288284
acétates de potasse et de soude,2,out,oui,288284
acétates de potasse et de soudes,2,,non,1091
acétates de sel d'étain,1,out,non,288284
achia,3,out,non,288284
acide arsénieux,4,out,non,288284
acide benzoïque,1,out,non,288284
acide benzoïque et phosphorique,1,out,non,288284
acide borique,2,out,non,288284
acide borique et benzoïque,1,out,non,288284
acide citrique,1,out,non,288284
acide citrique et muriatique et phosphorique,1,out,non,288284
acide citrique et oxalique et tartrique,1,out,non,288284
acide de potasse crème de tartre,2,out,non,288284
acide de potasse lie de vin desséché et liquide,1,out,non,288284
acide de potasse lie de vin desséchée,2,out,non,288284
acide de potasse lie de vin liquide,2,out,non,288284
acide de potasse tartre brut impur,1,out,non,288284
acide muriatique,1,out,non,288284
acide muriatique et nitrique et phosphorique,1,out,non,288284
acide muriatique et nitro-muriatique,1,out,non,288284
acide nitrique,2,out,non,288284
acide oxalique,1,out,non,288284
acide phosphorique,1,out,non,288284
acide succinique,1,out,non,288284
acide tartrique,1,out,non,288284
acide vitriolique,2,out,non,288284
acide vitriolique et huile de vitriol,4,out,non,288284
acier,1215,out,non,288284
acier battu forgé ou laminé,1,out,non,288284
acier brun,1,out,non,288284
acier brut,7,out,non,288284
acier commun,1,out,non,288284
acier en barres,6,out,non,288284
acier en bottes pour la Compagnie des Indes,1,out,non,288284
acier et clous,1,out,non,288284
acier et fer,8,out,non,288284
acier fondu en carreaux ou en tôle,3,out,non,288284
acier fondu forgé,1,out,non,288284
acier forgé,3,out,non,288284
acons,1,out,non,288284
acons démontés,16,out,non,288284
acons démontés en gabare,2,out,non,288284
acorus,3,out,non,288284
acuirson,1,out,non,288284
acume de cuivre,1,out,non,288284
adatais,3,out,non,288284
affûts,2,out,non,288284
affûts de bois,1,out,non,288284
affûts de canons,10,out,non,288284
affûts de fer,1,out,non,288284
affûts de fusils,1,out,non,288284
affûts de fûts à canons,1,out,non,288284
affûts et canons,1,out,non,288284
agaric,93,out,non,288284
agaric amadouvier,2,out,non,288284
agaric amadouvier brut,2,out,non,288284
agaric amadouvier brut et préparé,2,out,non,288284
agaric amadouvier préparé,3,out,non,288284
agaric brut et préparé,1,out,non,288284
agaric de mélèze,3,out,non,288284
agaric fin,1,out,non,288284
agaric gros,2,out,non,288284
agate,5,out,non,288284
agate autre que chique et ouvrages,1,out,non,288284
agate brute,1,out,non,288284
agate en pierres,1,out,non,288284
agate fine,1,out,non,288284
agate montée,1,out,non,288284
agneaux,53,out,non,288284
agneaux communs,3,out,non,288284
agneaux en vie,5,out,non,288284
agneaux et cabris,1,out,non,288284
agneaux mérinos et métis,3,out,non,288284
agnelines et crottelins,1,out,non,288284
agobille,2,out,non,288284
agoutals,4,out,non,288284
agoutals de bois,5,out,non,288284
agrément,4,out,non,288284
agrément au quart,3,out,non,288284
agrément d'argent,2,out,non,288284
agrément d'or,1,out,non,288284
agrément d'or et d'argent,5,out,non,288284
agrément de fil,5,out,non,288284
agrément de fil et de soie,3,out,non,288284
agrément de fleur,1,out,non,288284
agrément de soie,23,out,non,288284
agrément de soie et d'argent,1,out,non,288284
agrément de soie or et argent faux,1,out,non,288284
agréments de soie et milleret,1,out,non,288284
agréments et milleret,1,out,non,288284
agrès,14,out,non,288284
agrès apparaux de navire et embarcations,3,out,non,288284
agrès apparaux et embarcations,1,out,non,288284
agrès de navire et jeux de voile,10,out,non,288284
agrès et apparaux,2,out,non,288284
agrès et apparaux d'or navire,1,out,non,288284
agrès et bâtiments de mer,1,out,non,288284
agrès et embarcations,1,out,non,288284
agrès et voile de navire,1,out,non,288284
aigles,1,out,non,288284
aigre de cèdre,9,out,non,288284
aigre de cidre,5,out,non,288284
aigre de vitriol,8,out,non,288284
aigrettes,3,out,non,288284
aigrettes de fil d'or et d'argent,1,out,non,288284
aigrettes de soie,1,out,non,288284
aigrettes de soie et argent,1,out,non,288284
aigrettes et bavolets,1,out,non,288284
aiguières d'étain,1,out,non,288284
aiguilles,84,out,non,288284
aiguilles à boîtes,1,out,non,288284
aiguilles à coudre,51,out,non,288284
aiguilles à coudre voiles,1,out,non,288284
aiguilles à ralingue,1,out,non,288284
aiguilles à tabac,1,out,non,288284
aiguilles à toile,1,out,non,288284
aiguilles d'emballage,2,out,non,288284
aiguilles de mercerie fine,1,out,non,288284
aiguilles epars de sapin,1,out,non,288284
aiguilles et épingles,1,out,non,288284
aiguilles et épingles de mercerie fine,3,out,non,288284
aiguilles et mercerie fine,1,out,non,288284
aiguilles grosses,1,out,non,288284
aiguilles pour voile,37,out,non,288284
aiguillettes,1,out,non,288284
ail,1,out,non,288284
ailes,3,out,non,288284
ailes de fléaux,1,out,non,288284
ailes de moulins,1,out,non,288284
ailor,1,out,non,288284
ails,133,out,non,288284
ails à fauches,1,out,non,288284
ails blancs à casser,1,out,non,288284
aimant,1,out,non,288284
ains à pêcher,38,out,non,288284
ains et lignes à pêcher,2,out,non,288284
airain,3,out,non,288284
airain non ouvré,1,out,non,288284
ajustements,6,out,non,288284
ajustements de femme,5,out,non,288284
ajustements de soie,2,out,non,288284
alambics,8,out,non,288284
alambics d'étain,17,out,non,288284
alambics de cuivre,2,out,non,288284
alambics de terre,1,out,non,288284
alana,1,out,non,288284
alazar,2,out,non,288284
albâtre,3,out,non,288284
albâtre brut,1,out,non,288284
albâtre et marbre brut et poli,1,out,non,288284
albâtre moulé poli ou sculpté,1,out,non,288284
alcalis autre que natron et soude,2,out,oui,288284
alcalis autre que natron et soudes,1,,non,1091
alcalis salin,1,out,non,288284
alènes,3,out,non,288284
alibanies,91,cotton goods,non,9461
alicot,1,,non,1091
alizari,13,out,non,288284
alizari et garance,5,madder,non,697
alizari sèche,3,out,non,288284
alkermés,1,out,non,288284
alkermès en grains,17,out,non,288284
allaya,68,out,non,288284
alleaux,1,out,non,288284
allemande de poil,10,out,oui,288284
allumettes,32,out,non,288284
allumettes à vin,29,out,non,288284
allumettes de coton,1,cotton goods,non,9461
allumettes de mêche soufrée,1,out,non,288284
allumettes droguées,3,out,non,288284
allumettes épicée,2,out,non,288284
allumettes opérées et soufrées,1,out,non,288284
allumettes soufrées,12,out,non,288284
almagro ou crayon rouge,1,out,non,288284
almanachs,1,out,non,288284
almanachs brochés,2,out,non,288284
almanachs en blancs,1,out,non,288284
almanachs enjolivés,1,out,non,288284
almanachs reliés,1,out,non,288284
aloès,123,out,non,288284
aloès cabalin,6,out,non,288284
aloès commun,1,out,non,288284
aloès et opium,1,out,non,288284
aloès hépatique,1,out,non,288284
aloès moyen,2,out,non,288284
aloiset,1,out,non,288284
alose,2,out,non,288284
alose fumée,1,out,non,288284
alose salée,5,out,non,288284
aloues,1,out,non,288284
alouettes,4,out,non,288284
alpargate,31,out,non,288284
alphabets,1,out,non,288284
alpiste,19,out,non,288284
alpiste et millet,1,out,non,288284
alquifoux,293,out,non,288284
alquifoux en galène,1,out,non,288284
alquifoux et mine de plomb,1,out,non,288284
alquifoux mine de plomb ou graphite,1,out,non,288284
alquifoux ou mine de plomb,1,out,non,288284
alquifoux sable plombifère,1,out,non,288284
alquitra,1,out,non,288284
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,1,out,non,288284
alto basses contrebasses guitare lyres violes violons,1,out,non,288284
alto bassons guitare violons,1,out,non,288284
aluchiabanis,3,out,oui,288284
alun,934,alum,non,959
alun à cordonnier,1,alum,non,959
alun autre que brûlé ou calciné,1,alum,non,959
alun bon,2,alum,non,959
alun brûlé,1,alum,non,959
alun commun,1,alum,non,959
alun de glace,1,alum,non,959
alun de roche,5,alum,non,959
alun de Rome,3,alum,non,959
alun de Rome fin rosé,1,alum,non,959
alun de Rouen,2,alum,non,959
alun de Surde,2,alum,non,959
alun du Levant,1,alum,non,959
alun en dracy,1,alum,non,959
alun en rame,1,alum,non,959
alun gâté,1,alum,non,959
alun ordinaire,1,alum,non,959
alvés,2,out,non,288284
amadou,137,out,non,288284
amadou et agaric amadouvier,1,out,non,288284
amandes,651,out,non,288284
amandes à la praline,4,out,non,288284
amandes amères,1,out,non,288284
amandes arachis noisettes noix noyaux,1,out,non,288284
amandes cassée,3,out,non,288284
amandes cassées,339,out,non,288284
amandes cassées ou en coque,1,out,non,288284
amandes courtes,1,out,non,288284
amandes douces,4,out,non,288284
amandes en coque,251,out,non,288284
amandes et figue et raisin,2,out,non,288284
amandes et pelures et prunes et raisin,1,out,non,288284
amandes et pruneaux,2,out,non,288284
amandes et raisin sec,2,out,non,288284
amandes et raisin sec et savon,1,out,non,288284
amandes et savon,2,out,non,288284
amandes et sucre,1,sugar,non,5869
amandes et verdet,1,out,non,288284
amandes fraîches,1,out,non,288284
amandes longues,1,out,non,288284
amandes mondées,2,out,non,288284
amandes sèches,3,out,non,288284
amandes sèches et figue sèche et ???,1,out,non,288284
amandes sèches et figue sèche et raisin sec,2,out,non,288284
amaril,1,out,oui,288284
amarinage,1,,non,1091
amarine,1,out,non,288284
ambrain à grande barrique,1,out,non,288284
ambre,15,out,non,288284
ambre blanc,1,out,non,288284
ambre brut,1,out,non,288284
ambre carabé,15,out,non,288284
ambre carabé jaune,2,out,non,288284
ambre en grains,1,out,non,288284
ambre et corail,1,out,non,288284
ambre gris,21,out,non,288284
ambre jaune,60,out,non,288284
ambre moulu,1,out,non,288284
ameny,1,out,oui,288284
amer,1,out,non,288284
amer de laine,1,out,non,288284
amertis,3,cotton goods,non,9461
ameublement,2,out,non,288284
ameublement de chitte,1,out,non,288284
ami de toilé,1,out,non,288284
amidon,789,out,non,288284
amidon alun,1,out,non,288284
amidon en grains,1,out,non,288284
amidon en poudre,1,out,non,288284
amidon et poudre à poudrer,1,out,non,288284
ammoniac,7,out,non,288284
ammoniac et sel,4,out,non,288284
ammonium,1,out,non,288284
amomum,10,out,non,288284
amomum et fèves de tonka et noix de ravensara,1,out,non,288284
amomum verum,2,out,non,288284
amurca,2,out,non,288284
anabasse,109,out,non,288284
anabasse bajutapau,3,out,non,288284
anabasse corat nicaneas platille,2,out,non,288284
anacardes,1,out,non,288284
anacoste,3,out,non,288284
ananas,1,out,non,288284
ananas confit,2,out,non,288284
ananas et pommes de grenade,1,out,non,288284
ananas planté,1,out,non,288284
anatomie,1,out,non,288284
anatose,3,out,non,288284
anches de tonneaux,1,out,non,288284
anchois,597,out,non,288284
anchois câpres et olives,10,out,non,288284
anchois câpres etc.,1,out,non,288284
anchois câpres olives,1,out,non,288284
anchois et boutargue,1,out,non,288284
anchois et câpres,5,out,non,288284
anchois et sardes,1,out,non,288284
anchois et sardines,1,out,non,288284
anchois mariné,6,out,non,288284
anchois mariné et salé,8,out,non,288284
anchois salé et mariné,1,out,non,288284
anchois salés,5,out,non,288284
anchois salés et marinés,9,out,non,288284
ancres,4,out,non,288284
ancres de chaudon,1,out,non,288284
ancres de fer,402,out,non,288284
ancres de fer à chaudrons,1,out,non,288284
ancres de fer au-dessus de 250 kilogrammes,1,out,non,288284
ancres de fer de 250 kilogrammes et au-dessous,1,out,non,288284
ancres de fer et embarcations,1,out,non,288284
ancres et embarcations,2,out,non,288284
ancres et grappins de fer,1,out,non,288284
ancres gravelées,1,out,non,288284
ancres neuves,3,out,non,288284
ancres vides,4,out,non,288284
ancres vieilles,1,out,non,288284
ancres vieilles vides,1,out,non,288284
andolium,2,out,non,288284
andouilles,37,out,non,288284
andouillette,1,out,non,288284
ânes,71,out,non,288284
ânes et ânesses,3,out,non,288284
ânes et mulets,1,out,non,288284
ânesses,1,out,non,288284
angélique,19,out,non,288284
angélique du Rozème,1,out,non,288284
anguilles,5,out,non,288284
anguilles et truites,1,out,non,288284
anguilles fraîches,1,out,non,288284
anguilles marinées,1,out,non,288284
anguilles salées,22,out,non,288284
anille,1,out,non,288284
animaux,5,out,non,288284
anis,319,out,non,288284
anis et rac et rhum etc.,2,out,non,288284
anis et sucre,1,sugar,non,5869
anis vert,89,out,non,288284
anis vert à distiller,1,out,non,288284
anisette,101,out,non,288284
anisette au fiasque,6,out,non,288284
anisette de Bordeaux,2,out,non,288284
anneau de cuivre,1,out,non,288284
anneau de fer,2,out,non,288284
anneaux de cuivre,1,out,non,288284
anneaux de fer,1,out,non,288284
ânon,2,out,non,288284
anspects,93,out,non,288284
anspects de 3 à 4 pieds,1,out,non,288284
anspects de bois,25,out,non,288284
anspects de sapin,1,out,non,288284
antale,2,out,non,288284
antale et cauris,1,out,non,288284
antchibanis,9,out,oui,288284
antenelle,1,out,non,288284
antennes,2,out,non,288284
antennes et mâts de bateaux,1,out,non,288284
antimoine,111,out,non,288284
antimoine cru,26,out,non,288284
antimoine métallique et sulfuré,1,out,non,288284
antimoine préparé,2,out,non,288284
antimoine vert,1,out,non,288284
antofle,1,out,non,288284
antofle de girofle,9,out,non,288284
apasier,1,out,non,288284
apier,3,out,non,288284
apios,7,out,non,288284
apparaux,1,,non,1091
apparaux et bâtiments de mer,2,out,non,288284
apprêtée à toiler les livres,1,out,non,288284
apprêtée pour parchemins,1,out,non,288284
apprêts,1,,non,1091
arachis olives fraîches,1,out,non,288284
arains,6,out,non,288284
arak,13,out,non,288284
arbalètes,1,out,non,288284
arbalètrie et cartes marines,1,,non,1091
arbalètrrie et cartes marines,1,out,oui,288284
arbres,7,out,non,288284
arbres à fruits,2,out,non,288284
arbres à planter,45,out,non,288284
arbres châtaignier,1,out,non,288284
arbres d' ???,1,out,non,288284
arbres d'auban,1,out,non,288284
arbres de sapin,1,out,non,288284
arbres et arbrisseaux,2,out,non,288284
arbres et arbrisseaux à fruits,1,out,non,288284
arbres et arbrisseaux sauvages,1,out,non,288284
arbres et arbustes,6,out,non,288284
arbres et plants,1,out,non,288284
arbres fruitiers,87,out,non,288284
arbres marronniers à planter,1,out,non,288284
arbres nains,1,out,non,288284
arbres tilleul,3,out,non,288284
arbrisseaux,8,out,non,288284
arbustes,3,out,non,288284
arcanette,1,out,non,288284
arcanie,1,out,non,288284
arcanson,4,out,non,288284
arcanum duplicatum,2,out,non,288284
archets de violons,1,out,non,288284
archets et violon,1,out,non,288284
archiabanis,2,out,oui,288284
arçons de bas de bois,1,out,non,288284
arçons de bois,1,out,non,288284
arçons de selles,12,out,non,288284
arçons démontés,1,out,non,288284
ardoise,163,out,non,288284
ardoise à piler,1,out,non,288284
ardoise commune,2,out,non,288284
ardoise dite chérubin et à mortier,1,out,non,288284
ardoise dite grande voisine,1,out,non,288284
ardoise dite moyenne voisine,1,out,non,288284
ardoise dite petite voisine,1,out,non,288284
ardoise dite voisine grande moyenne et petite,2,out,non,288284
ardoise en carreaux,1,out,non,288284
ardoise en carreaux et d'1 pied carré,1,out,non,288284
ardoise en carreaux ou en table,2,out,non,288284
ardoise en livret,1,out,non,288284
ardoise encadrée,1,out,non,288284
ardoise encadrée et en livret,1,out,non,288284
ardoise non travaillée,1,out,non,288284
ardoise pour fenêtre,6,out,non,288284
ardoise pour toiture,3,out,non,288284
ardoise pour toiture au kilogramme,1,out,non,288284
ardoise pour toiture au nombre,1,out,non,288284
ardoise verte,1,out,non,288284
ardoises,1,,non,1091
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,1,out,non,288284
arelles de baleine,1,out,non,288284
argent,7,out,non,288284
argent battu,1,out,non,288284
argent battu et en feuille,1,out,non,288284
argent battu filé laminé et tiré,2,out,non,288284
argent brisé et en lingots et en masses,1,out,non,288284
argent brûlé,1,out,non,288284
argent brut,1,out,non,288284
argent brut en lingot et en masse ouvrages détruits,1,out,non,288284
argent carragoux,1,out,non,288284
argent en barils,1,out,non,288284
argent en barres,2,out,non,288284
argent en lingots,11,out,non,288284
argent en lingots par Calais,1,out,non,288284
argent et or,1,out,non,288284
argent et or billon,1,out,non,288284
argent faux,3,out,non,288284
argent faux en fil cantilles etc.,2,out,non,288284
argent faux et or faux,10,out,non,288284
argent faux et or faux traits,1,out,non,288284
argent fin,1,out,non,288284
argent monnayé et nogat d'or,4,out,non,288284
argent vif,1,out,non,288284
argenterie,246,out,non,288284
argenterie épée,3,out,non,288284
argenterie et bijouterie,8,out,non,288284
argenterie et bijouterie et orfèvrerie,1,out,non,288284
argenterie et orfèvrerie,4,out,non,288284
argenterie et orfèvrerie vermeil,2,out,non,288284
argenterie neuve,4,out,non,288284
argenterie vieille,12,out,non,288284
argile et terre pour engrais,2,out,non,288284
arins,1,out,non,288284
aristoloche,51,out,non,288284
armement de tables,3,out,non,288284
armes,24,out,non,288284
armes à feu,212,out,non,288284
armes à feu de guerre,1,out,non,288284
armes à feu de guerre et de traite,1,out,non,288284
armes à feu de guerre portatives,1,out,non,288284
armes à feu de luxe,2,out,non,288284
armes à feu de luxe ou de traite,1,out,non,288284
armes à feu de munitions,2,out,non,288284
armes à feu de munitions fines,4,out,non,288284
armes à feu de traite,1,out,non,288284
armes à feu et artillerie,1,out,non,288284
armes à feu et de traite,1,out,non,288284
armes à feu et fusils,1,out,non,288284
armes armureries,1,out,non,288284
armes autres que de guerre à feu,1,out,non,288284
armes autres que de guerre blanches,1,out,non,288284
armes blanches,102,out,non,288284
armes blanches de guerre,1,out,non,288284
armes blanches de guerre et de traite,1,out,non,288284
armes blanches de luxe,1,out,non,288284
armes blanches de luxe ou de traite,1,out,non,288284
armes blanches de traite,1,out,non,288284
armes de chasse ou de luxe à feu,1,out,non,288284
armes de chasse ou de luxe blanches,1,out,non,288284
armes de guerre,1,out,non,288284
armes différentes,1,out,non,288284
armes et artillerie artillerie en canons pierriers espingoles et mortiers,1,out,non,288284
armes et munitions,1,out,non,288284
armes lames,1,out,non,288284
armes remontrances,1,out,non,288284
armoires,30,out,non,288284
armoires ayant servi,1,out,non,288284
armoires d'acajou,12,out,non,288284
armoires de bois,1,out,non,288284
armoires de bois de noyer,1,out,non,288284
armoires de bois de sapin peintes,1,out,non,288284
armoires de bois des Indes,1,out,non,288284
armoires de chêne,9,out,non,288284
armoires de chêne ornée,1,out,non,288284
armoires de noyer,9,out,non,288284
armoires de sapin,3,out,non,288284
armoires et commodes,1,out,non,288284
armoires vieilles,2,out,non,288284
armoisin,40,out,non,288284
armure de fer,1,out,non,288284
armure vieille,1,out,non,288284
arnas,1,out,non,288284
arpois,1,out,oui,288284
arquebuse,1,out,non,288284
arrangas,1,out,non,288284
arrosoirs,5,out,non,288284
arrosoirs de bois,2,out,non,288284
arrosoirs de cuivre,1,out,non,288284
arrosoirs de fer,1,out,non,288284
arrosoirs de fer-blanc,6,out,non,288284
arrosoirs de sapin,1,out,non,288284
arrosoirs de terre,1,out,non,288284
arrowroot,1,out,non,288284
arséniate de potasse,1,out,non,288284
arsenic,297,out,non,288284
arsenic métallique,1,out,non,288284
artichauts,50,out,non,288284
artichauts champignons et truffes,2,out,non,288284
artichauts confits,65,out,non,288284
artichauts frais,17,out,non,288284
artichauts marinés,2,out,non,288284
artichauts secs,6,out,non,288284
artifice,3,out,non,288284
artifice fusées etc.,1,out,non,288284
artillerie,1,out,non,288284
asa fœtida,92,out,non,288284
asperges,1,out,non,288284
asperges confites,1,out,non,288284
asperges et scorsonères,1,out,non,288284
asphaltum,9,out,non,288284
assiette,1,out,non,288284
assiette de Biarritz,1,out,non,288284
assiette de bois,1,out,non,288284
assiette de faïence,8,out,non,288284
assiette de porcelaine,3,out,non,288284
assiette de porcelaine des Indes,1,out,non,288284
assiette de terre,6,out,non,288284
assiette et plats de terre,1,out,non,288284
asustum,1,out,non,288284
atastes,1,out,non,288284
atchiabanis,14,,non,1091
atlas,2,out,non,288284
atlas à la feuille d'or,1,out,non,288284
atlas et instruments de marine,1,out,non,288284
atlas jaspé,1,out,non,288284
attaches de cuivre,1,out,non,288284
attelles de colliers,8,out,non,288284
aube,1,out,non,288284
auchinoise,1,out,non,288284
auclimes,2,out,non,288284
auf,87,out,non,288284
augemy,2,out,non,288284
auges,3,out,non,288284
auges de carreaux,2,out,non,288284
augustins,2,out,non,288284
aurcsats,1,out,non,288284
aurcsats étoile,1,out,non,288284
aussière,2,out,non,288284
autel de marbre,2,out,non,288284
aux travaux du Roi,2,,non,1091
avelanèdes,8,out,non,288284
avelines,5,out,non,288284
avelines et noisettes sèches,3,out,non,288284
avelines faînes noisettes noix,1,out,non,288284
avelines noisettes noix,2,out,non,288284
avirons,469,out,non,288284
avirons bruts,17,out,non,288284
avirons de 12 pieds,1,out,non,288284
avirons de 18 pieds,1,out,non,288284
avirons de 30 pieds,1,out,non,288284
avirons de 5 pieds,1,out,non,288284
avirons de 8 à 12 pieds,1,out,non,288284
avirons de bois,30,out,non,288284
avirons de bois façonné,1,out,non,288284
avirons de chêne,1,out,non,288284
avirons de sapin,1,out,non,288284
avirons et perches de bois,3,out,non,288284
avirons et rames bruts,1,out,non,288284
avirons et rames de bois,1,out,non,288284
avirons et rames de bois façonné,1,out,non,288284
avirons et rames façonnés,1,out,non,288284
avirons polis,1,out,non,288284
avoine,335,out,non,288284
avoine en gerbes,1,out,non,288284
avoine et haricots,1,out,non,288284
avoine et orge etc.,1,out,non,288284
avoine mondée,1,out,non,288284
avoine moulée,1,out,non,288284
azur,378,out,non,288284
azur commun,200,out,non,288284
azur et bleu de Prusse,1,out,non,288284
azur et cobalt,3,out,non,288284
azur fin,13,out,non,288284
azur gros,22,out,non,288284
babassis,1,out,non,288284
babouches,77,out,non,288284
babouches de maroquin,2,out,non,288284
bacs d'1 aime,1,out,non,288284
bacs de pierre,1,out,non,288284
bacs de pierre bleue,1,out,non,288284
bacs de pierre d'1 aime,1,out,non,288284
bacs de pierre de 4 aimes,1,out,non,288284
bacs de pierre de demi d'aime,1,out,non,288284
bacs de pierre de moindre classe,1,out,non,288284
bacs de pierre de trois-quart d'aime,1,out,non,288284
bacs de pierre en dessous d'1 aime,1,out,non,288284
bacs de pierre en dessus d'1 aime,1,out,non,288284
badiane,16,out,non,288284
baffetas,10,cotton goods,non,9461
baffetas blanc,19,cotton goods,non,9461
baffetas bleu,26,cotton goods,non,9461
baffetas des Indes,1,cotton goods,non,9461
bafs ?,1,,non,1091
bagages,1,,non,1091
bagarot,1,out,non,288284
bagues,2,out,non,288284
bagues à pierres fausses,1,out,non,288284
bagues d'argent,2,out,non,288284
bagues d'or,1,out,non,288284
bagues de cuivre,2,out,non,288284
bagues de laiton,1,out,non,288284
bagues de verre,3,out,non,288284
baguettes,6,out,non,288284
baguettes à chandelle,1,out,non,288284
baguettes à étoffe,2,out,non,288284
baguettes d'étain,2,out,non,288284
baguettes de bois,1,out,non,288284
baguettes de bois doré,1,out,non,288284
baguettes de cuivre,3,out,non,288284
baguettes de fer à fusil,1,out,non,288284
baguettes de fusil,35,out,non,288284
bahuts,19,out,non,288284
baie de laurier,18,out,non,288284
baies de buis,1,out,non,288284
baies de genévrier à distiller,1,out,non,288284
baies de genièvre,2,out,non,288284
baignes,1,out,non,288284
baignoires,2,out,non,288284
baignoires d'acajou,1,out,non,288284
baignoires de cuivre,4,out,non,288284
baignoires de sapin,1,out,non,288284
baignoires de tôle,2,out,non,288284
baigots,1,out,non,288284
baillarge,4,out,non,288284
bailles,1,out,non,288284
baïonnettes,12,out,non,288284
bais de bois de chêne,1,out,non,288284
bajutapau,212,cotton goods,non,9461
bajutapau commun,1,cotton goods,non,9461
bajutapau des Indes,2,cotton goods,non,9461
"bajutapau, canelis, etc.",3,cotton goods,non,9461
balais,36,out,non,288284
balais communs,1,out,non,288284
balais coupés,1,out,non,288284
balais de bois,9,out,non,288284
balais de brandes,1,out,non,288284
balais de bruyère,9,out,non,288284
balais de chanvre,1,out,non,288284
balais de crin,10,out,non,288284
balais de foyer,1,out,non,288284
balais de jonc,36,out,non,288284
balais de jonc petits,1,out,non,288284
balais de laine à laver les planchers,1,out,non,288284
balais de millet,2,out,non,288284
balais de paille,2,out,non,288284
balais de paille de riz,5,out,non,288284
balais de palme,242,out,non,288284
balais de palme petits,1,out,non,288284
balais de plumes,2,out,non,288284
balais de poil,2,out,non,288284
balais de riz,4,out,non,288284
balais de soie,6,out,non,288284
balais de soie de porcs,18,out,non,288284
balais de toile,1,out,non,288284
balais du roi,1,out,non,288284
balais fins,1,out,non,288284
balais grands de palme,2,out,non,288284
balais ou ramons,1,out,non,288284
balais petits,1,out,non,288284
balance,5,out,non,288284
balance à la romaine,1,out,non,288284
balance complète,1,out,non,288284
balance de bois,1,out,non,288284
balance de cuivre,6,out,non,288284
balance de cuivre jaune,1,out,non,288284
balance de fer,3,out,non,288284
balance et poids de cuivre,1,out,non,288284
balance et romaine,2,out,non,288284
balance et ses poids,1,out,non,288284
balance ou fléaux en fer,1,out,non,288284
balance petite,1,out,non,288284
balance romaine,3,out,non,288284
balcon de fer,1,out,non,288284
baleine,13,out,non,288284
baleine apprêtée,1,out,non,288284
baleine coupée,474,out,non,288284
baleine coupée en fanon,1,out,non,288284
baleine coupée et en fanon,4,out,non,288284
baleine de sarde,16,out,non,288284
baleine en fanon,202,out,non,288284
baleine en fanon apprêté,4,,oui,1091
baleine en fanon brut,4,,oui,1091
baleine en fanon brut de pêche étrangère,2,,oui,1091
baleine en fanon brut de pêche française,2,,oui,1091
baleine en fanon de sarde,19,,oui,1091
baleine en fanon et de sarde,1,out,non,288284
baleine non sciée,1,out,non,288284
baleine taillée,1,out,non,288284
balles,2,out,non,288284
balles à jouer,2,out,non,288284
balles d'osier,2,out,non,288284
balles de fer et canons de fer,2,out,non,288284
balles de fer uni,1,out,non,288284
balles de jonc,1,out,non,288284
balles de laine,1,,non,1091
balles de palme,1,out,non,288284
balles de plomb,8,out,non,288284
balles de plumes,1,,non,1091
balles et dragées de plomb,1,out,non,288284
balles vides,1,out,non,288284
ballons de sapin,1,,oui,1091
ballons en sapin,1,,non,1091
ballots,3,,non,1091
ballots d'étoffes,1,,non,1091
balustres,11,out,non,288284
bamboches,1,out,non,288284
bambous,4,out,non,288284
banastron,1,out,non,288284
banc à couper la paille,1,out,non,288284
banc de sapin,1,out,non,288284
bandages,4,out,non,288284
bandages de peaux,5,out,non,288284
bandages pour soldats,1,out,non,288284
bandanas des Indes,1,out,non,288284
bandeaux,2,out,non,288284
banderoles,1,out,non,288284
banderoles de cuir,2,out,non,288284
bandes de cabrouets de fer,3,out,non,288284
bandes de charrettes,1,out,non,288284
bandes de fer,2,out,non,288284
bandes de fer à tombereaux,1,out,non,288284
