simplification,nbr_occurences_simpl,grouping,note,nbr_occurences_grouping
,717,,,717
?,12,????,,217
???,196,????,,217
[vide],2592,[vide],,2592
Afrique,49,Afrique,,13899
Afrique occidentale,34,Afrique,,13899
Alexandrette,37,Levant et Barbarie,,26040
Alger,46,Levant et Barbarie,,26040
Aligre de Marans ou Marennes,1,France,,7836
Allemagne,20079,Allemagne,,24530
Allemagne et Lorraine,125,Allemagne,,24530
Allemagne et Pologne,1317,Allemagne,,24530
"Allemagne, Lorraine et Pays de Liège",1787,Allemagne,,24530
Alsace,632,France,,7836
Alsace et les Trois Évêchés,3,France,,7836
Alsace et Lorraine,6,France,,7836
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",1,France,,7836
Amérique et Inde,1,Outre-mers,,3128
"Amérique, colonies françaises et Inde",1,Outre-mers,,3128
"Amérique, Inde et Turquie",2,Divers,,2350
Amériques,50,Amériques,,64789
Amiens,2,France,,7836
Angleterre,26964,Angleterre,,27081
Angleterre et Cologne,1,Angleterre,,27081
Angleterre et flotte anglaise,49,Angleterre,,27081
Angleterre et Irlande,1,Angleterre,,27081
Antilles et Colonies Françaises,105,Outre-mers,,3128
Archipel,5,Levant et Barbarie,,26040
Asie,79,Asie,,4654
Autriche,2035,Flandre et autres états de l'Empereur,,25848
Barbarie,517,Levant et Barbarie,,26040
Barbarie dans l'Océan,8,Levant et Barbarie,,26040
Barbarie dans l'Océan et Îles françaises d'Amérique,59,Levant et Barbarie,,26040
Barbarie et Levant,441,Levant et Barbarie,,26040
"Barbarie, Empire Ottoman et Levant",123,Levant et Barbarie,,26040
Bayonne,593,France,,7836
Bayonne et ?,1,France,,7836
Bayonne et Dunkerque,3,France,,7836
Bayonne et Lorient,3,France,,7836
Bayonne et Lorient et Petites Îles,2,France,,7836
Bayonne et Marseille,3,France,,7836
Bayonne et Marseille et Petites Îles,1,France,,7836
Bayonne et Marseille et Petites Îles (???),1,France,,7836
Bayonne et Petites Îles,4,France,,7836
"Bayonne, Dunkerque et Marseille",11,France,,7836
"Bayonne, Dunkerque, Lorient et Petites Îles",3,France,,7836
"Bayonne, Lorient et Petites Îles",1,France,,7836
Belgique,67,Flandre et autres états de l'Empereur,,25848
Besançon,2,France,,7836
Bilbao,10,Espagne,,63679
Bilbao et Cadix,3,Espagne,,63679
Brême,9,Nord,,67765
"Brême, Lubeck, Norvège et villes hanséatiques",1,Nord,,67765
Brésil,30,Amériques,,64789
Bruges,16,Flandre et autres états de l'Empereur,,25848
Cadix,6,Espagne,,63679
Canada,38,Amériques,,64789
Candie,5,Levant et Barbarie,,26040
Cannée et Candie,3,Levant et Barbarie,,26040
Cayenne et Guyane,1177,Amériques,,64789
Cayenne et Île Bourbon,1,Outre-mers,,3128
Cayenne et Sénégal,1,Outre-mers,,3128
Chili,15,Amériques,,64789
Chine,93,Asie,,4654
Chypre,17,Levant et Barbarie,,26040
Clermontois,71,France,,7836
Colonies anglaises,132,Outre-mers,,3128
Colonies danoises,90,Outre-mers,,3128
Colonies des États-Unis d'Amérique,143,Outre-mers,,3128
Colonies espagnoles,153,Outre-mers,,3128
Colonies françaises,2242,Outre-mers,,3128
Colonies françaises au-delà du Cap,4,Asie,,4654
Colonies françaises d'Amérique,384,Amériques,,64789
Colonies françaises en-deça du Cap,4,Outre-mers,,3128
Colonies françaises et colonies hollandaises,20,Outre-mers,,3128
Colonies françaises et Inde,1,Outre-mers,,3128
Colonies françaises et Saint-Domingue,1,Outre-mers,,3128
Colonies françaises hors Guyane et Sénégal,3,Outre-mers,,3128
Colonies hollandaises,142,Outre-mers,,3128
Colonies portugaises,27,Outre-mers,,3128
Colonies suédoises,57,Outre-mers,,3128
Commerce de la Compagnie des Indes,133,Asie,,4654
Constantinople,22,Levant et Barbarie,,26040
Corse,144,France,,7836
Courlande et Russie,200,Nord,,67765
Cuba et Porto Rico,20,Amériques,,64789
Danemark,12483,Nord,,67765
Danemark et Norvège,422,Nord,,67765
Duché de Bouillon,108,Divers,,2350
Dunkerque,879,France,,7836
Dunkerque et Lorient,2,France,,7836
Dunkerque et Marseille,2,France,,7836
Dunkerque et Petites Îles,4,France,,7836
"Dunkerque, Lorient et Petites Îles",3,France,,7836
Égypte,53,Levant et Barbarie,,26040
Empire Ottoman,1480,Levant et Barbarie,,26040
Empire Ottoman et Barbarie,2217,Levant et Barbarie,,26040
Empire Ottoman et Levant,214,Levant et Barbarie,,26040
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,France,,7836
Entrepôt,87,Divers,,2350
Épaves et échouements,56,Divers,,2350
Espagne,60140,Espagne,,63679
Espagne et Portugal,1,Divers,,2350
Espagne et ses colonies,3516,Espagne,,63679
Espagne par mer,2,Espagne,,63679
Espagne par terre,2,Espagne,,63679
États ?,8,????,,217
États de l'Empereur,4575,Flandre et autres états de l'Empereur,,25848
États de l'Empereur par mer,2,Flandre et autres états de l'Empereur,,25848
États de l'Empereur par terre,2,Flandre et autres états de l'Empereur,,25848
États du roi,1,????,,217
États ecclésiastiques,1674,Italie,,107044
États ecclésiastiques et Venise,51,Italie,,107044
États romains,64,Italie,,107044
États-Unis d'Amérique,6372,États-Unis d'Amérique,,6372
Europe,16,Divers,,2350
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",479,Divers,,2350
Flandre,19150,Flandre et autres états de l'Empereur,,25848
France,18,France,,7836
Franche Comté,8,France,,7836
Gênes,15564,Italie,,107044
"Gênes, Milan, Toscane et Lucques",4,Italie,,107044
Genève,3220,Suisse,,21148
Genève et Piémont,604,Italie,,107044
Genève et Suisse,2539,Suisse,,21148
"Genève, Suisse et ses alliés",1111,Suisse,,21148
Gibraltar,1,Angleterre,,27081
Gothembourg,10,Nord,,67765
Guadeloupe,2337,Amériques,,64789
Guatemala,2,Amériques,,64789
Guernesey,2,Angleterre,,27081
Guernesey et Dumbarton,1,Angleterre,,27081
Guinée,10366,Afrique,,13899
Guinée et Sénégal,3124,Afrique,,13899
Guyane,11,Amériques,,64789
Guyane anglaise,4,Amériques,,64789
Guyane et Sénégal,2,Outre-mers,,3128
Guyane française,2,Amériques,,64789
Haïti,10,Amériques,,64789
Hambourg,112,Nord,,67765
"Hambourg, Hollande et Livourne",1,Divers,,2350
Hollande,76513,Hollande,,78958
Hollande et Villes hanséatiques,223,Divers,,2350
Île Bourbon,53,Asie,,4654
Île Bourbon et Inde,3,Asie,,4654
Île de Ré,1,France,,7836
Île Maurice,22,Asie,,4654
Îles,7109,Amériques,,64789
Îles de France et de Bourbon,473,Asie,,4654
Îles de l'Amérique,136,Amériques,,64789
Îles et Guinée,2,Outre-mers,,3128
Îles françaises,2011,Amériques,,64789
Îles françaises de l'Amérique,41908,Amériques,,64789
Inconnu,209,Inconnu,,209
Inde étrangère,18,Asie,,4654
Indes,3690,Asie,,4654
Indes anglaises,16,Asie,,4654
Indes et Moka,41,Asie,,4654
Indes françaises,22,Asie,,4654
Indes hollandaises,6,Asie,,4654
Irlande,62,Angleterre,,27081
Italie,38729,Italie,,107044
Levant,20656,Levant et Barbarie,,26040
Levant et Toscane,1,Divers,,2350
Lisbonne,11,Portugal,,15458
Livourne,254,Italie,,107044
Lorient,385,France,,7836
Lorient et Marseille,1,France,,7836
Lorient et Petites Îles,3,France,,7836
Lorient et Petites Îles (???),1,France,,7836
Lorraine,916,Allemagne,,24530
Lorraine et Trois Évêchés,1,France,,7836
Louisiane,7,Amériques,,64789
Lübeck en Norvège,1,Nord,,67765
Marseille,3465,France,,7836
Marseille et Petites Îles,1,France,,7836
Martinique,2929,Amériques,,64789
Mecklembourg-Schwerin,4,Nord,,67765
Mexique,9,Amériques,,64789
Milanais,5,Italie,,107044
Milanais et Toscane,731,Italie,,107044
"Milanais, Toscane et Lucques",1106,Italie,,107044
Milddelbourg,1,Nord,,67765
Monde,4492,Monde,,5018
"Monde (hors Amérique, colonies françaises, Europe et Inde)",1,Monde,,5018
Monde hors Amérique,1,Monde,,5018
Monde hors Amérique et hors Inde,5,Monde,,5018
Monde hors Amérique et hors Inde et hors Piémont,1,Monde,,5018
Monde hors colonies,458,Monde,,5018
Monde hors Europe,52,Monde,,5018
Monde hors Europe et hors colonies,1,Monde,,5018
Monde hors Europe et hors colonies françaises et hors Inde,1,Monde,,5018
Monde hors Europe et hors Sénégal français,2,Monde,,5018
Monde hors Guyanne française,2,Monde,,5018
Monde hors Pays de Gex,1,Monde,,5018
Monde réexports,71,Monde réexports,,71
Monds hors Ports de la Baltique,1,Monde,,5018
Morée,11,Levant et Barbarie,,26040
Nancy,2,France,,7836
Nantes,1,France,,7836
Naples,5529,Italie,,107044
Naples et Sicile,5052,Italie,,107044
"Naples, Sicile et Parme",542,Italie,,107044
Nord,22685,Nord,,67765
Nord (Hanse et Russie),3899,Nord,,67765
Norvège,86,Nord,,67765
Nouvelle-Grenade,3,Amériques,,64789
Pays d'Aunis,1,France,,7836
Pays de Gex,48,France,,7836
Pays de Labour,127,France,,7836
Pays-Bas,1031,Hollande,,78958
Pays-Bas et ses colonies,1408,Hollande,,78958
Pêches à la Baleine,2,Divers,,2350
Pêches à la Morue à Terre-Neuve,2,Divers,,2350
Pêches à la Morue en Islande,1,Divers,,2350
Pêches côtières (Hareng),2,Divers,,2350
Pêches côtières (Maquereaux),2,Divers,,2350
Pêches côtières (Sardines),1,Divers,,2350
Pêches étrangères,17,Divers,,2350
