sitc,sitc_simplEN
0a,Other foodstuffs and live animals
0b,Plantation foodstuffs
1,Drinks and tobacco
2,"Crude materials, inedible, except combustibles"
3,Other
4,Oils
5,Chemical products
6a,"Leather, wood and paper products"
6b,"Leather, wood and paper products"
6c,"Leather, wood and paper products"
6d,Other threads and fabrics
6e,Wool threads and fabrics
6f,Silk threads and fabrics
6g,Coton threads and fabrics
6h,Other threads and fabrics
6i,Other threads and fabrics
6j,Other industrial products
6k,Other industrial products
7,Other industrial products
8,Other industrial products
9a,Precious metals
9b,Other
9c,Other
9d,Other
