marchandises_simplification,grains,obsolete
bonnets de coton et bonnets de fil,Pas grain (0),non
bonnets de coton et fil et laine,,non
bonnets de dentelle,,non
bonnets de femme,Pas grain (0),non
bonnets de fer-blanc à la turc,Pas grain (0),non
bonnets de fil,Pas grain (0),non
bonnets de fil et bas,Pas grain (0),non
bonnets de fil et bonnets de coton,Pas grain (0),non
bonnets de filosel,Pas grain (0),non
bonnets de gaze,Pas grain (0),non
bonnets de grenadine,Pas grain (0),non
bonnets de laine,Pas grain (0),non
bonnets de laine ???,Pas grain (0),non
bonnets de laine commune,Pas grain (0),non
bonnets de laine communs,Pas grain (0),non
bonnets de laine et bonnets de fil et bonnets de coton,Pas grain (0),non
bonnets de laine fin,Pas grain (0),non
bonnets de laine grasse,Pas grain (0),non
bonnets de laine grosse,Pas grain (0),non
bonnets de peau,Pas grain (0),non
bonnets de postillons,Pas grain (0),non
bonnets de prêtre,Pas grain (0),non
bonnets de soie,Pas grain (0),non
bonnets de taffetas,Pas grain (0),non
bonnets de toile,Pas grain (0),non
bonnets de toile cirée,Pas grain (0),non
bonnets de velours,Pas grain (0),non
bonnets de velours brodés,Pas grain (0),non
bonnets écarlates,Pas grain (0),non
bonnets et chaussettes de coton,,non
bonnets grossiers de laine,,non
bonnets montés,Pas grain (0),non
bonnets piqués,Pas grain (0),non
bonnets piqués et carcasse et fer à coiffures,Pas grain (0),non
bonnetterie,Pas grain (0),oui
bonnetterie ???,Pas grain (0),oui
borax,Pas grain (0),non
borax brut,Pas grain (0),non
borax gras,Pas grain (0),non
borax raffiné,Pas grain (0),non
bordage,Pas grain (0),non
bordage de chêne,Pas grain (0),non
bordage de chêne de 27 pieds,,non
bordage de cyprès,Pas grain (0),non
bordage de pin,Pas grain (0),non
bordage de sapin,Pas grain (0),non
bordage de sapin de 20 pieds,Pas grain (0),non
bordage pour navire,Pas grain (0),non
bordures de bois doré,Pas grain (0),non
bordures de tapisseries,,non
bordures dorées,Pas grain (0),non
bottes,Pas grain (0),non
bottes de bergamote,,non
bottes de cuir,Pas grain (0),non
bottes de cuir à matelot,Pas grain (0),non
bottes de cuir fortes,Pas grain (0),non
bottes de sapin,Pas grain (0),non
bottes et bottines,Pas grain (0),non
bottes et souliers,Pas grain (0),non
bottes fortes,Pas grain (0),non
bottes molles,Pas grain (0),non
bottes neuves,Pas grain (0),non
bottines,Pas grain (0),non
bottines de cuir,Pas grain (0),non
bottines de peau,Pas grain (0),non
boucaniers,Pas grain (0),non
boucans en bottes,Pas grain (0),non
boucassin,Pas grain (0),non
boucassin rouge,Pas grain (0),non
boucaud en bottes,Pas grain (0),non
boucaud vide,Pas grain (0),non
bouchie,Pas grain (0),non
bouchons,Pas grain (0),non
bouchons de liège,Pas grain (0),non
bouchons de liège et planches de liège,Pas grain (0),non
bouchons de Liège etc.,,non
boucles,Pas grain (0),non
boucles d'acier,,non
boucles d'argent,Pas grain (0),non
boucles d'oreilles,Pas grain (0),non
boucles de cuivre,Pas grain (0),non
boucles de fer,Pas grain (0),non
boucles de pinsbeck,Pas grain (0),non
boucles de sapin,Pas grain (0),non
boucles de souliers à pierres fausses,Pas grain (0),non
boucles de tombac,Pas grain (0),non
boucs,Pas grain (0),non
boucs en vie,Pas grain (0),non
boucs et chèvres,Pas grain (0),non
boudins de poisson,Pas grain (0),non
bouette de sapin,Pas grain (0),non
bouge,Pas grain (0),non
bougie,Pas grain (0),non
bougie blanche,Pas grain (0),non
bougie de blanc de baleine,Pas grain (0),non
bougie de cire,Pas grain (0),non
bougie de cire blanche,Pas grain (0),non
bougie de cire blanche et cierges de cire blanche,Pas grain (0),non
bougie de cire blanche et jaune et cire blanche et jaune fondue,Pas grain (0),non
bougie de cire jaune,,non
bougie de cire jaunne,Pas grain (0),oui
bougie de cire verte,Pas grain (0),non
bougie de suif,Pas grain (0),non
bougie de tables,Pas grain (0),non
bougie de tables et cierges,Pas grain (0),non
bougie en suif et suif,Pas grain (0),non
bougie et cierges,Pas grain (0),non
bougie jaune,Pas grain (0),non
bougie verte,Pas grain (0),non
bougran,Pas grain (0),non
bouguette,Pas grain (0),non
bouillotte de cuivre,Pas grain (0),non
boulange,Pas grain (0),non
boulans,Pas grain (0),non
boules,Pas grain (0),non
boules d'acier,Pas grain (0),non
boules de bleu inde-plate indique,,non
boules de bois,Pas grain (0),non
boules de buis,Pas grain (0),non
boules de canons,Pas grain (0),non
boules de fer,Pas grain (0),non
boules de mail,Pas grain (0),non
boules de mais,,non
boules de marbre,Pas grain (0),non
boules de marbre pour jouets d'enfant,Pas grain (0),non
boules de métal blanc,Pas grain (0),non
boules de sapin,Pas grain (0),non
boules de terres,Pas grain (0),non
boules de verre,Pas grain (0),non
boules pour jouer,,non
boules vulnéraires,Pas grain (0),non
boulets,Pas grain (0),non
boulets de canon de 4 livre,Pas grain (0),non
boulets de canons,Pas grain (0),non
boulets de canons de fer,Pas grain (0),non
boulets de canons et mitraille,Pas grain (0),non
boulets de fer,Pas grain (0),non
boulets de fer et canons de fer,Pas grain (0),non
boulets et canons,Pas grain (0),non
boulets et canons de fer de fonte,Pas grain (0),non
boulettes de marbre,Pas grain (0),non
bouquets de fleurs artificielles,Pas grain (0),non
bouquets de papier,,non
bouquins à pipes,,non
bouracan,Pas grain (0),non
bouraline,,non
bouralisse,Pas grain (0),non
bouras,Pas grain (0),non
bouras de coton,Pas grain (0),non
bouras de soie,Pas grain (0),non
bouras du Levant,Pas grain (0),non
bourde à bâtier,,non
bourde à cheveux,Pas grain (0),non
bourdilles,Pas grain (0),non
bourdilles à barriques,Pas grain (0),non
bourdillons,Pas grain (0),non
bourdillons à barriques,Pas grain (0),non
bourdillons à quart,Pas grain (0),non
bourdillons à tierçons,Pas grain (0),non
bourds,,non
bourlets,Pas grain (0),non
bourlets de velours,Pas grain (0),non
bourre,Pas grain (0),non
bourre à bâtier,Pas grain (0),non
bourre à bourrer,Pas grain (0),non
bourre à cheveux,,non
bourre chiquette,Pas grain (0),non
bourre d'Alep,,non
bourre d'étoupe,,non
bourre de bœuf,Pas grain (0),non
bourre de bœuf et bourre de vache,Pas grain (0),non
bourre de cerf,Pas grain (0),non
bourre de chèvre,Pas grain (0),non
bourre de chureaux,Pas grain (0),non
bourre de coton,Pas grain (0),non
bourre de coton et fil,,non
bourre de coton et soie,,non
bourre de Damas,,non
bourre de drap,Pas grain (0),non
bourre de fil,Pas grain (0),non
bourre de filoselle,,non
bourre de laine,Pas grain (0),non
bourre de Marseille,,non
bourre de Nîmes,,non
bourre de soie,Pas grain (0),non
bourre de soie et filoselle et soie,Pas grain (0),non
bourre de vache,Pas grain (0),non
bourre du Levant,Pas grain (0),non
bourre rouge,,non
bourre satiné,,non
bourres de laine entière lanice et tontice,,non
bourriques,Pas grain (0),non
bours de poil,Pas grain (0),non
bours de soie,Pas grain (0),non
bours du Levant de soie,Pas grain (0),non
bourse de molleton,,non
bourses,Pas grain (0),non
bourses à cheveux,Pas grain (0),non
bourses à cheveux de soie,Pas grain (0),non
bourses à cheveux de taffetas,Pas grain (0),non
bourses à perruques,Pas grain (0),non
bourses à ressorts,Pas grain (0),non
bourses à tabac,,non
bourses d'or et bourses d'argent,Pas grain (0),non
bourses de bœuf,Pas grain (0),non
bourses de coton,,non
bourses de coton et fil,,non
bourses de cuir à ressorts,Pas grain (0),non
bourses de fil,Pas grain (0),non
bourses de filoselle,Pas grain (0),non
bourses de perruques,Pas grain (0),non
bourses de soie,Pas grain (0),non
bourses de soie et bourses d'or et bourses d'argent,Pas grain (0),non
bourses de taffetas,Pas grain (0),non
bourses du Levant,,non
boussoles,Pas grain (0),non
boutanne,Pas grain (0),non
boutanne de toile,,non
boutargue,Pas grain (0),non
bouteilles,Pas grain (0),non
bouteilles clissées,Pas grain (0),non
bouteilles d'étain à virole,Pas grain (0),non
bouteilles de bois,Pas grain (0),non
bouteilles de composition,Pas grain (0),non
bouteilles de cristal,Pas grain (0),non
bouteilles de cristal et carafes,Pas grain (0),non
bouteilles de grès,Pas grain (0),non
bouteilles de marbre,Pas grain (0),non
bouteilles de pierre et pots de pierre,Pas grain (0),non
bouteilles de terre,Pas grain (0),non
bouteilles de verre,Pas grain (0),non
bouteilles de verre à virole,Pas grain (0),non
bouteilles de verre à virole d'étain,Pas grain (0),non
bouteilles de verre avec roseaux,Pas grain (0),non
bouteilles de verre clissées,Pas grain (0),non
bouteilles de verre garnies de joncs,Pas grain (0),non
bouteilles de verre gros,Pas grain (0),non
bouteilles de verre vides,Pas grain (0),non
bouteilles de verres,Pas grain (0),non
bouteilles petites à virole d'étain,Pas grain (0),non
bouteilles pleines,,non
bouteilles pleines de verres et vides et dame-jeannes de verre,Pas grain (0),non
bouteilles vides,Pas grain (0),non
bouton de cuivre sur bois et de coco et de corne et d'os,,non
boutonnières d'or,Pas grain (0),non
boutonnières de fil,Pas grain (0),non
boutons,Pas grain (0),non
boutons à pierres fausses,Pas grain (0),non
boutons à pierres fausses par douzaines,Pas grain (0),non
boutons blanc étamés,Pas grain (0),non
boutons brodés d'or et d'argent,Pas grain (0),non
boutons brodés de nacre de perles et d'acier,Pas grain (0),non
boutons communs,Pas grain (0),non
boutons d'acier,Pas grain (0),non
boutons d'argent,Pas grain (0),non
boutons d'argent et boutons d'or,Pas grain (0),non
boutons d'argent sur bois,Pas grain (0),non
boutons d'argent trait,Pas grain (0),non
boutons d'étain,Pas grain (0),non
boutons d'or,Pas grain (0),non
boutons d'or en traits,Pas grain (0),non
boutons d'or et boutons d'argent,Pas grain (0),non
boutons d'or et boutons d'argent faux,Pas grain (0),non
boutons d'or et d'argent sur bois,Pas grain (0),non
boutons d'or faux,Pas grain (0),non
boutons d'or vrai,Pas grain (0),non
boutons d'os,Pas grain (0),non
boutons d'os et de corne,Pas grain (0),non
boutons d'uniforme,Pas grain (0),non
boutons de bois,Pas grain (0),non
boutons de coco,Pas grain (0),non
boutons de composition,Pas grain (0),non
boutons de corne,Pas grain (0),non
boutons de coton,Pas grain (0),non
boutons de crin,Pas grain (0),non
boutons de crin 20 lignes,,non
boutons de crin et boutons de poil,Pas grain (0),non
boutons de crin et boutons de poil et boutons de soie,Pas grain (0),non
boutons de cristal,Pas grain (0),non
boutons de cuivre,Pas grain (0),non
boutons de cuivre argenté et doré,Pas grain (0),non
boutons de cuivre d'or,Pas grain (0),non
boutons de cuivre doré,Pas grain (0),non
boutons de cuivre et boutons d'étain,Pas grain (0),non
boutons de cuivre et boutons d'étain argenté,,non
boutons de cuivre et boutons d'étain argentés,Pas grain (0),oui
boutons de cuivre et étain,,non
boutons de cuivre fin,,non
boutons de cuivre sur bois,Pas grain (0),non
boutons de dorure d'argent,Pas grain (0),non
boutons de dorure d'or,Pas grain (0),non
boutons de dorure d'or et d'argent,Pas grain (0),non
boutons de dorure d'or faux,Pas grain (0),non
boutons de dorure d'or fin,Pas grain (0),non
boutons de dorure et de naacre,Pas grain (0),non
boutons de fil,Pas grain (0),non
boutons de fil blanc,Pas grain (0),non
boutons de fil d'argent,Pas grain (0),non
boutons de fil d'or,Pas grain (0),non
boutons de fil d'or et boutons de fil d'argent,Pas grain (0),non
boutons de fil d'or trait,Pas grain (0),non
boutons de fil de poil de chèvre,Pas grain (0),non
"boutons de fil, boutons de soie et boutons d'or",Pas grain (0),non
boutons de forget,Pas grain (0),non
boutons de gay,Pas grain (0),non
boutons de jais,Pas grain (0),non
boutons de jais et collier de jais et dentelle de jais,Pas grain (0),non
boutons de laiton,Pas grain (0),non
boutons de livrée,Pas grain (0),non
boutons de manches,Pas grain (0),non
boutons de métal,Pas grain (0),non
boutons de métal doré,Pas grain (0),non
boutons de nacre,Pas grain (0),non
boutons de nacre de perle et boutons de jais,Pas grain (0),non
boutons de nacre de perles,Pas grain (0),non
boutons de pinsbeck,Pas grain (0),non
boutons de poil,Pas grain (0),non
boutons de poil de chèvre,Pas grain (0),non
boutons de poil de soie,Pas grain (0),non
boutons de soie,Pas grain (0),non
boutons de soie en once,Pas grain (0),non
boutons de tombac,Pas grain (0),non
boutons de tombac doré,Pas grain (0),non
boutons de trait d'argent et d'or fin,,non
boutons de trait d'or et d'argent fin,Pas grain (0),oui
boutons de verre,Pas grain (0),non
boutons de verre émaillés,Pas grain (0),non
boutons en médailles,Pas grain (0),non
boutons et galon d'or,Pas grain (0),non
boutons et galons d'argent et d'or,,non
boutons masquinés,Pas grain (0),non
boutons or trait,Pas grain (0),non
bouts de corne,Pas grain (0),non
bouts de planches et planches de sapin,Pas grain (0),non
boutty,Pas grain (0),non
bouvillons,,non
bouvillons et génisses,,non
bouvillons et génisses et taurillons,,non
boyaux,,non
boyaux de bœuf,,non
boyaux de bœuf salés,Pas grain (0),non
boyaux de mouton,,non
boyaux de mouton salés,Pas grain (0),non
boyaux et nerfs,,non
boyaux préparés et secs,,non
boyaux salés,Pas grain (0),non
bozemin,Pas grain (0),non
braccles,Pas grain (0),non
bracelets,Pas grain (0),non
bracelets de crin,Pas grain (0),non
bracelles,Pas grain (0),non
brai,Pas grain (0),non
brai ???,Pas grain (0),non
brai ??? brai,Pas grain (0),non
brai ??? goudron,Pas grain (0),non
brai ??? goudron résines,Pas grain (0),non
brai ??? pox noire,Pas grain (0),non
brai à brasser,Pas grain (0),non
brai arcanson,,non
brai colophane et sec et résine d'huile,,non
brai de goudron,Pas grain (0),non
brai de poix,Pas grain (0),non
brai de poix blanche et noire,,non
brai de poix noire,Pas grain (0),non
brai de poix résine,,non
brai de poix résines,Pas grain (0),oui
brai eau de raze,Pas grain (0),non
brai et eau de rose,Pas grain (0),non
brai et goudron,Pas grain (0),non
brai et goudron et eau de raze,Pas grain (0),non
brai et goudron et galipot et résines,Pas grain (0),non
brai et goudron et poix,Pas grain (0),non
brai et goudron et poix et résines,Pas grain (0),non
brai et goudron et résines,Pas grain (0),non
brai et goudron et térébenthine,Pas grain (0),non
brai et poix,,non
brai et poix blanche,Pas grain (0),non
brai et poix blanche et poix noire,Pas grain (0),non
brai et poix noire,,non
brai et poix résine,,non
brai et résine,,non
brai et résines,Pas grain (0),non
brai et térébenthine,Pas grain (0),non
brai galipot,,non
brai goudron ???,Pas grain (0),non
brai gras,Pas grain (0),non
brai gras et goudron,Pas grain (0),non
brai gras goudron,,non
brai gras ou goudron,,non
brai gros,Pas grain (0),non
brai gros et goudron,Pas grain (0),non
brai poix de Bourgogne,Pas grain (0),non
brai poix noire,,non
brai raffiné,Pas grain (0),non
brai raze,Pas grain (0),non
brai sec,Pas grain (0),non
brai sec colophane résine d'huile,,non
brai sec en galipot,Pas grain (0),non
brai sec et résines,Pas grain (0),non
brai sec résine d'huile,,non
brancards,Pas grain (0),non
brancards de balance de fer,Pas grain (0),non
brancards de chaises,Pas grain (0),non
brancards de fer,Pas grain (0),non
brancards et leurs escales,Pas grain (0),non
branches de buis,Pas grain (0),non
brandans,Pas grain (0),non
brandebourg,Pas grain (0),non
brandebourg d'or,Pas grain (0),non
brandebourg de fil,Pas grain (0),non
brandebourg de soie,Pas grain (0),non
bras de bois à chandelle,Pas grain (0),non
bras de cheminée,Pas grain (0),non
bras de soie,Pas grain (0),non
braserie,Pas grain (0),non
brasserie,,non
braule,Pas grain (0),non
braux,Pas grain (0),non
brebis,Pas grain (0),non
brebis en vie,,non
brebis et moutons,Pas grain (0),non
brebis et moutons mérinos et métis,,non
Brésil,Pas grain (0),non
brian,Pas grain (0),non
brides,Pas grain (0),non
brides argentées,Pas grain (0),non
brigadis,Pas grain (0),non
brignoles,Pas grain (0),non
brins à tours,Pas grain (0),non
brique,Pas grain (0),non
brique et carreaux et tuiles,Pas grain (0),non
brique et chaux et ciment et pierres et plâtre et pouzzolane et sable et terre et tuiles,Pas grain (0),non
brique et tuile et carreau de terre,Pas grain (0),non
brique et tuile et carreau et pipe,Pas grain (0),non
briques,,non
briques cuites,,non
briques de terre,,non
briques en carreaux de terre,,non
briques en carreaux de terre et tuiles,,non
briques en tuiles plates,,non
briques et briquettes,,non
briques pleines,,non
briquet,Pas grain (0),non
briquettes,Pas grain (0),non
bris d'espars,Pas grain (0),non
brises,,non
brocante,,non
brocard de soie,Pas grain (0),non
brocatelle,Pas grain (0),non
brocatelle de Venise,Pas grain (0),non
brochets,Pas grain (0),non
broderie,Pas grain (0),non
broderie commune,Pas grain (0),oui
bronze,Pas grain (0),non
bronze airain,,non
bronze et cuivre et laiton,Pas grain (0),non
bronze moulu et métal,,non
broole,Pas grain (0),non
brosses,Pas grain (0),non
brosses à cirer,Pas grain (0),non
brosses à goudron,Pas grain (0),non
brosses à peindre,Pas grain (0),non
brosses communes,Pas grain (0),non
brosses et pinceaux,Pas grain (0),non
brosses et vergettes,Pas grain (0),non
brosses ou poutries,Pas grain (0),non
brou de noix,,non
brouettes,Pas grain (0),non
brouettes outillées,Pas grain (0),non
broulas,Pas grain (0),non
broule,,non
brousse fraîche,Pas grain (0),non
brousse salée,,non
broutes chaderdoral,Pas grain (0),non
brugnoles,,non
bruimes d'espars,Pas grain (0),non
brûle-café de fer,Pas grain (0),non
brun,Pas grain (0),non
brun rouge,Pas grain (0),non
brusta visserand,Pas grain (0),non
brustes à tisserand,Pas grain (0),non
brut,Pas grain (0),non
bruyère,Pas grain (0),non
bruyère et racines à vergettes,,non
buffets,Pas grain (0),non
buffets d'acajou,Pas grain (0),non
buffles,Pas grain (0),non
buffles de chamois,Pas grain (0),non
buffletin,Pas grain (0),non
bugues d'argent,Pas grain (0),oui
bulbes et oignons,,non
buldan,Pas grain (0),non
burail,Pas grain (0),non
burail de laine,Pas grain (0),non
burail de laine et étamine de laine,Pas grain (0),non
burat,Pas grain (0),non
burat d'Auvergne,Pas grain (0),non
burat de laine,,non
burat de laine et de soie,Pas grain (0),non
bure,Pas grain (0),non
bure étoffe,Pas grain (0),non
bureau,Pas grain (0),non
bureau d'acajou,Pas grain (0),non
bureau de bois des Indes,Pas grain (0),non
bureau de noyer,Pas grain (0),non
bureau de sapin,Pas grain (0),non
bureau garni de cuivre doré,Pas grain (0),non
bureau verni,Pas grain (0),non
bures de sanglier,,non
burmards et leurs poids,,non
burre,,non
buses pour raffiner le sucre,,non
busquière d'argent,Pas grain (0),non
busquière d'or et busquière d'argent,Pas grain (0),non
bustes de marbre,Pas grain (0),non
buvie,Pas grain (0),non
cabans de palme,,non
cabans ou capotes,Pas grain (0),non
cabans pour café,,non
cabarets,Pas grain (0),non
cabarets à café,Pas grain (0),oui
cabarets de bois vernis,Pas grain (0),non
cabarets de sapin peints,Pas grain (0),non
cabarets garnis,Pas grain (0),non
cabarets peints,Pas grain (0),non
cabarets pour café,,non
cabarets pour thé,,non
cabarets vernis,Pas grain (0),non
cabas,Pas grain (0),non
cabas d'auf,Pas grain (0),non
cabas d'espars,,non
cabas de jonc,Pas grain (0),non
cabas de laine,Pas grain (0),non
cabas de palme,Pas grain (0),non
cabas de palme petits,,non
cabillaud,Pas grain (0),non
cabine de noyer,Pas grain (0),non
cabine de sapin,Pas grain (0),non
cabinet,Pas grain (0),non
cabinet de bois de Faial,Pas grain (0),non
cabinet de bois vernis,,non
cabinet de noyer,Pas grain (0),non
cabinet de sapin,Pas grain (0),non
cabinet du Japon,Pas grain (0),non
cabinet peint,Pas grain (0),non
câble,Pas grain (0),non
câble assorti,Pas grain (0),non
câble de chanvre,,non
câble de navire,Pas grain (0),non
câble de navire moyen,Pas grain (0),non
câble vieux,,non
câbleaux,Pas grain (0),non
caboches,Pas grain (0),non
caboches de fer,Pas grain (0),non
caboches de fer et clous,Pas grain (0),non
caboches de marbre,Pas grain (0),non
cabochon,Pas grain (0),non
cabriolets,Pas grain (0),non
cabriolets de velours de Prusse,Pas grain (0),non
cabrions,Pas grain (0),non
cabrouets,Pas grain (0),non
cacao,Pas grain (0),non
cacao broyé,Pas grain (0),non
cacao brut,,non
cacao brut des entrepôts,,non
cacao de Caracas,Pas grain (0),non
cacao de Guyaquil,,non
cacao des Îles,Pas grain (0),non
cacao du Maranhão,Pas grain (0),non
cacao en graine,Pas grain (0),non
cacao et café et sucre,Pas grain (0),non
cacao et chocolat,Pas grain (0),non
cacao étranger,Pas grain (0),non
cache,Pas grain (0),non
cachets d'argent,Pas grain (0),non
cachets de cuivre,Pas grain (0),non
cachets dorés,Pas grain (0),non
cachou,Pas grain (0),non
cachou brut,Pas grain (0),non
cachou maron,Pas grain (0),oui
cachou marron,,non
cadeas,Pas grain (0),non
cadeligue de laine,Pas grain (0),non
cadenas,Pas grain (0),non
cadenas de fer,Pas grain (0),non
cadenas petits,Pas grain (0),non
cadis,Pas grain (0),non
cadis de coton ratiné,Pas grain (0),non
cadis de Givaudan,,non
cadis de Montauban,Pas grain (0),non
cadis rouge,Pas grain (0),non
cadisson,Pas grain (0),non
cadot,,non
cadrans d'horloge,,non
cadrans de montres,Pas grain (0),non
cadres de bois,Pas grain (0),non
cadres de bois doré,,non
cadres de miroirs,Pas grain (0),non
cadres dorés,Pas grain (0),non
cadres dorés et tableaux,Pas grain (0),non
cadres neufs,,non
cadres petits avec leurs verres,Pas grain (0),non
cadres pour carder,,non
cadres pour tableaux,,non
cafas,Pas grain (0),non
café,Pas grain (0),non
café avarié,,non
café commun,Pas grain (0),non
café commun du Levant,Pas grain (0),non
café de Bourbon,Pas grain (0),non
café de la Martinique,Pas grain (0),non
café de Moka,Pas grain (0),non
café des entrepôts,,non
café des Indes,Pas grain (0),non
café du Levant,Pas grain (0),non
café en parchemin,Pas grain (0),non
café entré par Bordeaux et Le Havre,Pas grain (0),non
café et cacao,Pas grain (0),non
café et provisions,Pas grain (0),non
café et sucre et thé,Pas grain (0),non
café ordinaire,Pas grain (0),non
café pour Genève,,non
café pur,,non
café trié,,non
cafetière de fer-blanc,,non
cafetières,Pas grain (0),non
cafetières d'étain,Pas grain (0),non
cafetières de cuivre,Pas grain (0),non
cafetières de fer-blanc,Pas grain (0),non
cafetières de métal,Pas grain (0),non
cafetières du Levant,Pas grain (0),non
cafetières en or,Pas grain (0),non
cafetou de fer,Pas grain (0),non
caffart,Pas grain (0),non
caffart blanc,Pas grain (0),non
caffart carpette et ligatures,Pas grain (0),non
caffart de damas,,non
caffart de laine,Pas grain (0),non
caffatines,Pas grain (0),non
cages,Pas grain (0),non
cages d'oiseaux,Pas grain (0),oui
cages de poules,Pas grain (0),oui
cages pour oiseaux,,non
cages pour perroquets,,non
cages pour poules,,non
cahouannes,Pas grain (0),non
cailles,Pas grain (0),non
cailloux,Pas grain (0),non
cailloux à faïence ou porcelaine,,non
cailloux et sable à faïence ou porcelaine,,non
caisse,Pas grain (0),non
caisse à carafons,Pas grain (0),non
caisse à finance,Pas grain (0),non
caisse de berline et train,Pas grain (0),non
caisse de carrosses,Pas grain (0),non
caisse de liège,Pas grain (0),non
caisse de sapin,Pas grain (0),non
caisse et têtes de carton,Pas grain (0),non
caisse vide,Pas grain (0),non
cal d'artichaut,Pas grain (0),non
caladaris,Pas grain (0),non
caladaris des Indes,Pas grain (0),non
calames,Pas grain (0),non
calamine,Pas grain (0),non
calamine grillée,Pas grain (0),non
calamine grillée pulvérisée ou non et zinc,,non
calamine pierres calaminaires et zinc,,non
calamus,Pas grain (0),non
calamus aromaticus,Pas grain (0),non
calandrine,Pas grain (0),non
calaurure,Pas grain (0),non
calebasses vides,,non
calèches,Pas grain (0),non
caleçons,Pas grain (0),non
calenderis,,non
caliatour moulu,Pas grain (0),non
calice d'argent,Pas grain (0),non
calicot,Pas grain (0),non
calicot et toile de coton blancs et écrus,,non
calicot et toile de coton imprimés et teints,,non
calicots et percale de coton blanc,,non
callemande,Pas grain (0),non
callemande aune,Pas grain (0),non
callemande d'Amiens,Pas grain (0),non
callemande de laine,Pas grain (0),non
callemande de laine noire,Pas grain (0),non
callemande de Lille,Pas grain (0),non
callemande de poil,Pas grain (0),non
callemande des prises,Pas grain (0),non
callemande étroite de laine,,non
calmotte,Pas grain (0),non
calotte,Pas grain (0),non
calotte de papier,Pas grain (0),non
calotte de peau divine,Pas grain (0),non
calotte de prêtre,Pas grain (0),non
calotte et sacs de papier,Pas grain (0),non
calotte hollandaise,Pas grain (0),non
calpo baljainum,Pas grain (0),non
cambaye,Pas grain (0),non
cambouis,Pas grain (0),non
Cambrai,Pas grain (0),non
camelot,Pas grain (0),non
camelot à mi-soie,Pas grain (0),non
camelot à peu de soie,Pas grain (0),non
camelot au quart,Pas grain (0),non
camelot au sixième de soie,Pas grain (0),non
camelot au-dessous du sixième de soie,,non
camelot aune,Pas grain (0),non
camelot avec soie,Pas grain (0),non
camelot burail,Pas grain (0),non
camelot d'Amiens,Pas grain (0),non
camelot d'Angleterre,Pas grain (0),non
camelot d'Angleterre et de Hollande,Pas grain (0),non
camelot d'angora,Pas grain (0),non
camelot d'Auvergne,Pas grain (0),non
camelot de Bruxelles,Pas grain (0),non
camelot de burail,Pas grain (0),non
camelot de coton,Pas grain (0),non
camelot de Hollande,Pas grain (0),non
camelot de laine,Pas grain (0),non
camelot de laine écru,Pas grain (0),non
camelot de laine et de poil,Pas grain (0),non
camelot de laine et de soie,Pas grain (0),non
camelot de laine et soie,Pas grain (0),non
camelot de laine étroit,Pas grain (0),non
camelot de laine faille,Pas grain (0),non
camelot de laine large,Pas grain (0),non
camelot de laine petit dit de Berlin,Pas grain (0),non
camelot de Lille,Pas grain (0),non
camelot de Lille et autres,Pas grain (0),non
camelot de poil,Pas grain (0),non
camelot de poil de laine,Pas grain (0),non
camelot de poil et de soie,Pas grain (0),non
camelot de soie,Pas grain (0),non
camelot de terrine,,non
camelot des Indes,Pas grain (0),non
camelot écarlate,Pas grain (0),non
camelot et burail de laine,Pas grain (0),non
camelot et panne de laine,Pas grain (0),non
camelot fin,Pas grain (0),non
camelot jaspé,Pas grain (0),non
camelot petit dit Berlin,,non
camelot rayé,Pas grain (0),non
cameramain,,non
camion à garnir voiture,Pas grain (0),non
camisoles,Pas grain (0),non
camisoles de laine,Pas grain (0),non
camisoles et redingotes,,non
camisoles pour nègres,,non
camomille,Pas grain (0),non
Campêche,Pas grain (0),non
camphre,Pas grain (0),non
camphre brut,Pas grain (0),non
camphre brut et raffiné,,non
camphre raffiné,Pas grain (0),non
canades,Pas grain (0),non
canapé,Pas grain (0),non
canapé de canne,Pas grain (0),non
canapé de cuir de Russie,Pas grain (0),non
canapé de maroquin et tables à jouer,Pas grain (0),non
canardières,Pas grain (0),non
canards,Pas grain (0),non
canards en vie,Pas grain (0),non
canaris,,non
canaris ou serins,Pas grain (0),non
canaux,Pas grain (0),non
candetas,,non
cane,Pas grain (0),non
cane garnie,Pas grain (0),non
caneffas,Pas grain (0),non
canefice,Pas grain (0),non
canefice raffiné,Pas grain (0),non
caneficier,Pas grain (0),non
canelle (étoffe),Pas grain (0),non
canena,Pas grain (0),non
canepre,,non
canerelles,Pas grain (0),non
canetilles d'or faux,Pas grain (0),non
canevas,Pas grain (0),non
canevas à 15 sols l'aune,Pas grain (0),non
canevas de fil,Pas grain (0),non
canevas gommée,Pas grain (0),non
canevas tracé,Pas grain (0),non
canevettes,Pas grain (0),non
canevettes à flacons,Pas grain (0),non
canevettes de grès,Pas grain (0),non
canevettes de grès de 6 flacons,,non
canevettes ou caisse de 6 flacons pour la traite,,non
canevettes ou caisse de 6 flcons pour la traite,Pas grain (0),oui
canevettes vides,Pas grain (0),non
canifs,Pas grain (0),non
caniques,Pas grain (0),non
canne à main,,non
cannelle,Pas grain (0),non
cannelle commune,Pas grain (0),non
cannelle commune des entrepôts,,non
cannelle commune et cassia,,non
cannelle commune hors d'Europe,,non
cannelle de bois,Pas grain (0),non
cannelle de bois pour tamis,,non
cannelle de Chine,,non
cannelle de fleurs,Pas grain (0),non
cannelle des Indes,Pas grain (0),non
cannelle et girofle et poivre,Pas grain (0),non
cannelle et girofle et poivre etc,Pas grain (0),non
