marchandises_simplification,grains,obsolete
aiguilles epars de sapin,Pas grain (0),non
aiguilles et épingles,Pas grain (0),non
aiguilles et épingles de mercerie fine,,non
aiguilles et mercerie fine,,non
aiguilles grosses,Pas grain (0),non
ail,,non
ailes,Pas grain (0),non
ailes de fléaux,Pas grain (0),non
ailes de moulins,Pas grain (0),non
ailor,,non
ails,Pas grain (0),non
ails à fauches,Pas grain (0),non
ails blancs à casser,Pas grain (0),non
aimant,Pas grain (0),non
ains à pêcher,Pas grain (0),non
ains et lignes à pêcher,Pas grain (0),non
airain,Pas grain (0),non
airain non ouvré,Pas grain (0),non
ajustements,Pas grain (0),non
ajustements de femme,Pas grain (0),non
ajustements de soie,Pas grain (0),non
alambics,Pas grain (0),non
alambics d'étain,Pas grain (0),non
alambics de cuivre,Pas grain (0),non
alambics de terre,Pas grain (0),non
alana,,non
alazar,,non
albâtre,Pas grain (0),non
albâtre brut,,non
albâtre et marbre brut et poli,Pas grain (0),non
albâtre moulé poli ou sculpté,,non
alcalis autre que natron et soude,,non
alènes,Pas grain (0),non
alibanies,Pas grain (0),non
alizari,Pas grain (0),non
alizari et garance,Pas grain (0),non
alizari sèche,,non
alkermés,Pas grain (0),non
alkermès en grains,,non
allaya,Pas grain (0),non
alleaux,Pas grain (0),non
allemande de poil,Pas grain (0),non
allumettes,Pas grain (0),non
allumettes à vin,Pas grain (0),non
allumettes de coton,Pas grain (0),non
allumettes de mêche soufrée,Pas grain (0),non
allumettes droguées,Pas grain (0),non
allumettes épicée,Pas grain (0),non
allumettes opérées et soufrées,Pas grain (0),non
allumettes soufrées,Pas grain (0),non
almagro ou crayon rouge,Pas grain (0),non
almanachs,Pas grain (0),non
almanachs brochés,Pas grain (0),non
almanachs en blancs,Pas grain (0),non
almanachs enjolivés,Pas grain (0),non
almanachs reliés,Pas grain (0),non
aloès,Pas grain (0),non
aloès cabalin,Pas grain (0),non
aloès commun,Pas grain (0),non
aloès et opium,,non
aloès hépatique,,non
aloès moyen,Pas grain (0),non
aloiset,Pas grain (0),non
alose,Pas grain (0),non
alose fumée,Pas grain (0),non
alose salée,Pas grain (0),non
aloues,,non
alouettes,Pas grain (0),non
alpargate,Pas grain (0),non
alphabets,Pas grain (0),non
alpiste,Pas grain (0),non
alpiste et millet,,non
alquifoux,Pas grain (0),non
alquifoux en galène,,non
alquifoux et mine de plomb,Pas grain (0),non
alquifoux mine de plomb ou graphite,Pas grain (0),non
alquifoux ou mine de plomb,Pas grain (0),non
alquifoux sable plombifère,,non
alquitra,Pas grain (0),non
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,,non
alto basses contrebasses guitares lyres violes violons,,non
alto bassons guitares violons,,non
aluchiabanis,Pas grain (0),non
alun,Pas grain (0),non
alun autre que brûlé ou calciné,,non
alun bon,,non
alun brûlé,,non
alun commun,Pas grain (0),non
alun de roche,Pas grain (0),non
alun de Rome,Pas grain (0),non
alun de Rome fin rosé,,non
alun de Rouen,Pas grain (0),non
alun de Surde,Pas grain (0),non
alun du Levant,Pas grain (0),non
alun en dracy,Pas grain (0),non
alun gâté,Pas grain (0),non
alun ordinaire,,non
alvés,,non
amadou,Pas grain (0),non
amadou et agaric amadouvier,Pas grain (0),non
amandes,Pas grain (0),non
amandes à la praline,Pas grain (0),non
amandes amères,Pas grain (0),non
amandes arachis noisettes noix noyaux,,non
amandes cassée,Pas grain (0),non
amandes cassées,Pas grain (0),non
amandes cassées ou en coque,,non
amandes courtes,Pas grain (0),non
amandes douces,Pas grain (0),non
amandes en coque,Pas grain (0),non
amandes et figue et raisin,Pas grain (0),non
amandes et pelures et prunes et raisin,Pas grain (0),non
amandes et pruneaux,Pas grain (0),non
amandes et raisin sec,Pas grain (0),non
amandes et raisin sec et savon,Pas grain (0),non
amandes et savon,Pas grain (0),non
amandes et sucre,Pas grain (0),non
amandes et verdet,,non
amandes et vert-de-gris,Pas grain (0),oui
amandes fraîches,,non
amandes longues,Pas grain (0),non
amandes mondées,,non
amandes sèches,Pas grain (0),non
amandes sèches et figue sèche et ???,Pas grain (0),non
amandes sèches et figue sèche et raisin sec,Pas grain (0),non
amaril,Pas grain (0),non
ambrain à grande barrique,Pas grain (0),non
ambre,Pas grain (0),non
ambre brut,Pas grain (0),non
ambre carabé,Pas grain (0),non
ambre carabé jaune,,non
ambre et corail,Pas grain (0),non
ambre gris,Pas grain (0),non
ambre gris castoréum civette musc,,non
ambre jaune,Pas grain (0),non
ambre moulu,Pas grain (0),non
amer,Pas grain (0),non
amer de laine,Pas grain (0),non
amertis,Pas grain (0),non
ami de toilé,Pas grain (0),non
amidon,Pas grain (0),non
amidon en grains,Pas grain (0),non
amidon et poudre à poudrer,Pas grain (0),non
ammoniac,Pas grain (0),non
ammoniac et sel,Pas grain (0),non
ammonium,Pas grain (0),non
amomum,,non
amomum et fèves de tonka et noix de ravensara,,non
amomum verum,,non
amurca,,non
anabasse,Pas grain (0),non
anacardes,Pas grain (0),non
anacoste,Pas grain (0),non
ananas,Pas grain (0),non
ananas confit,Pas grain (0),non
ananas et pommes de grenade,Pas grain (0),non
ananas planté,Pas grain (0),non
anatomie,Pas grain (0),non
anches de tonneaux,Pas grain (0),non
anchois,Pas grain (0),non
anchois câpres et olives,,non
anchois câpres etc.,,non
anchois câpres olives,,non
anchois et boutargue,Pas grain (0),non
anchois et câpres,,non
anchois et sardes,Pas grain (0),non
anchois et sardines,Pas grain (0),non
anchois mariné,Pas grain (0),non
anchois mariné et salé,Pas grain (0),non
anchois salé et mariné,Pas grain (0),non
anchois salés,Pas grain (0),non
anchois salés et marinés,Pas grain (0),non
ancres,Pas grain (0),non
ancres de chaudon,Pas grain (0),non
ancres de fer,Pas grain (0),non
ancres de fer à chaudrons,Pas grain (0),non
ancres de fer au-dessus de 250 kilogrammes,,non
ancres de fer de 250 kilogrammes et au-dessous,,non
ancres de fer et embarcations,,non
ancres et embarcations,,non
ancres et grappins de fer,Pas grain (0),non
ancres gravelées,Pas grain (0),non
ancres vides,Pas grain (0),non
ancres vieilles vides,Pas grain (0),non
andolium,Pas grain (0),non
andouilles,Pas grain (0),non
andouillette,Pas grain (0),non
ânes,Pas grain (0),non
ânes et ânesses,Pas grain (0),non
ânes et mulets,Pas grain (0),non
ânesses,,non
angélique,Pas grain (0),non
angélique du Rozème,Pas grain (0),non
anguilles,Pas grain (0),non
anguilles et truites,Pas grain (0),non
anguilles fraîches,Pas grain (0),non
anguilles marinées,,non
anguilles salées,Pas grain (0),non
anille,Pas grain (0),non
animaux,Pas grain (0),non
anis,Pas grain (0),non
anis et rac et rhum etc.,Pas grain (0),non
anis et sucre,Pas grain (0),non
anis étoilé,Pas grain (0),oui
anis vert,Pas grain (0),non
anis vert à distiller,,non
anisette,Pas grain (0),non
anisette au fiasque,Pas grain (0),non
anisette de Bordeaux,Pas grain (0),non
anneau de fer,Pas grain (0),non
anneaux de cuivre,Pas grain (0),non
ânon,Pas grain (0),non
anspects,Pas grain (0),non
anspects de 3 à 4 pieds,,non
anspects de bois,Pas grain (0),non
anspects de sapin,Pas grain (0),non
antale,,non
antale et cauris,,non
antchibanis,Pas grain (0),non
antenelle,,non
antennes,,non
antennes et mâts de bateaux,Pas grain (0),non
antimoine,Pas grain (0),non
antimoine cru,Pas grain (0),non
antimoine métallique et sulfuré,,non
antimoine préparé,,non
antofle,Pas grain (0),non
antofle de girofle,Pas grain (0),non
apasier,,non
apier,Pas grain (0),non
apios,Pas grain (0),non
apparaux et bâtiments de mer,,non
apprêtée à toiler les livres,Pas grain (0),non
apprêtée pour parchemins,Pas grain (0),non
arachis olives fraîches,,non
arains,,non
arak,Pas grain (0),non
arbalètes,Pas grain (0),non
arbalètrrie et cartes marines,Pas grain (0),non
arbres,Pas grain (0),non
arbres à fruits,Pas grain (0),non
arbres à planter,Pas grain (0),non
arbres d' ???,Pas grain (0),non
arbres d'auban,Pas grain (0),non
arbres de sapin,Pas grain (0),non
arbres et arbrisseaux,Pas grain (0),non
arbres et arbrisseaux à fruits,Pas grain (0),non
arbres et arbrisseaux sauvages,Pas grain (0),non
arbres et arbustes,Pas grain (0),non
arbres et plants,Pas grain (0),non
arbres fruitiers,Pas grain (0),non
arbres marronniers à planter,Pas grain (0),non
arbres tilleul,Pas grain (0),non
arbrisseaux,Pas grain (0),non
arbustes,Pas grain (0),non
arcanette,Pas grain (0),non
arcanie,,non
arcanson,Pas grain (0),non
arcanum duplicatum,Pas grain (0),non
archets de violons,Pas grain (0),non
archets et violon,,non
archiabanis,Pas grain (0),non
arçons de bas de bois,Pas grain (0),non
arçons de bois,Pas grain (0),non
arçons de selles,Pas grain (0),non
ardoise,Pas grain (0),non
ardoise à piler,,non
ardoise commune,Pas grain (0),non
ardoise dite chérubin et à mortier,Pas grain (0),non
ardoise dite grande voisine,Pas grain (0),non
ardoise dite moyenne voisine,Pas grain (0),non
ardoise dite petite voisine,Pas grain (0),non
ardoise dite voisine grande moyenne et petite,Pas grain (0),non
ardoise en carreaux,Pas grain (0),non
ardoise en carreaux et d'1 pied carré,Pas grain (0),non
ardoise en carreaux ou en table,,non
ardoise en livret,Pas grain (0),non
ardoise encadrée,Pas grain (0),non
ardoise encadrée et en livret,Pas grain (0),non
ardoise non travaillée,Pas grain (0),non
ardoise pour fenêtre,Pas grain (0),non
ardoise pour toiture,,non
ardoise pour toiture au kilogramme,,non
ardoise pour toiture au nombre,,non
ardoise verte,Pas grain (0),non
ardoises,Pas grain (0),oui
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,Pas grain (0),non
argent,Pas grain (0),non
argent battu,Pas grain (0),non
argent battu et en feuille,,non
argent battu filé laminé et tiré,,non
argent brisé et en lingots et en masses,,non
argent brûlé,Pas grain (0),non
