simplification,nbr_occurences_simpl,africa,note,nbr_occurences_africa
,577,,,577
?,12,????,,226
???,196,????,,226
[vide],2578,[vide],,2578
Afrique,46,Africa,,14032
Afrique occidentale,34,Africa,,14032
Alexandrette,37,Not Outre-mers,,472247
Alger,46,Not Outre-mers,,472247
Aligre de Marans ou Marennes,1,Not Outre-mers,,472247
Allemagne,20070,Not Outre-mers,,472247
Allemagne et Lorraine,125,Not Outre-mers,,472247
Allemagne et Pologne,1208,Not Outre-mers,,472247
"Allemagne, Lorraine et Pays de Liège",1553,Not Outre-mers,,472247
Alsace,359,Not Outre-mers,,472247
Alsace et les Trois Évêchés,3,Not Outre-mers,,472247
Alsace et Lorraine,4,Not Outre-mers,,472247
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",1,Not Outre-mers,,472247
Amérique et Inde,1,Other outre-mers,,70603
"Amérique, colonies françaises et Inde",1,Other outre-mers,,70603
"Amérique, Inde et Turquie",2,Not Outre-mers,,472247
Amériques,50,Other outre-mers,,70603
Amiens,2,Not Outre-mers,,472247
Angleterre,26331,Not Outre-mers,,472247
Angleterre et Cologne,1,Not Outre-mers,,472247
Angleterre et flotte anglaise,49,Not Outre-mers,,472247
Angleterre et Irlande,1,Not Outre-mers,,472247
Antilles et Colonies Françaises,105,Other outre-mers,,70603
Archipel,5,Not Outre-mers,,472247
Asie,79,Other outre-mers,,70603
Autriche,2035,Not Outre-mers,,472247
Barbarie,470,Not Outre-mers,,472247
Barbarie dans l'Océan,8,Not Outre-mers,,472247
Barbarie dans l'Océan et Îles françaises d'Amérique,59,Not Outre-mers,,472247
Barbarie et Levant,34,Not Outre-mers,,472247
"Barbarie, Empire Ottoman et Levant",123,Not Outre-mers,,472247
Bayonne,379,Not Outre-mers,,472247
Bayonne et ?,1,Not Outre-mers,,472247
Bayonne et Dunkerque,3,Not Outre-mers,,472247
Bayonne et Lorient,3,Not Outre-mers,,472247
Bayonne et Marseille,3,Not Outre-mers,,472247
Bayonne et Petites Îles,4,Not Outre-mers,,472247
"Bayonne, Dunkerque et Marseille",11,Not Outre-mers,,472247
"Bayonne, Dunkerque, Lorient et Petites Îles",3,Not Outre-mers,,472247
"Bayonne, Lorient et Petites Îles",1,Not Outre-mers,,472247
Belgique,67,Not Outre-mers,,472247
Besançon,2,Not Outre-mers,,472247
Bilbao,10,Not Outre-mers,,472247
Bilbao et Cadix,3,Not Outre-mers,,472247
Brême,9,Not Outre-mers,,472247
"Brême, Lubeck, Norvège et villes hanséatiques",1,Not Outre-mers,,472247
Brésil,30,Other outre-mers,,70603
Bruges,16,Not Outre-mers,,472247
Cadix,6,Not Outre-mers,,472247
Canada,38,Other outre-mers,,70603
Candie,5,Not Outre-mers,,472247
Cannée et Candie,3,Not Outre-mers,,472247
Cayenne et Guyane,1065,Other outre-mers,,70603
Cayenne et Île Bourbon,1,Other outre-mers,,70603
Chili,15,Other outre-mers,,70603
Chine,42,Other outre-mers,,70603
Chypre,17,Not Outre-mers,,472247
Clermontois,71,Not Outre-mers,,472247
Colonies anglaises,132,Other outre-mers,,70603
