product_simplification,product_sitc_FR,observations_total,années_observées,product_new_classification_revised
acide vitriolique et huile de vitriol,Produits chimiques transformés n.d.a.,106,9,Acide vitriolique et huile de vitriol
huile de vitriol et vitriol,Produits chimiques transformés n.d.a.,24,5,Acide vitriolique et huile de vitriol
essence vitriolique et vitriol huile,Produits chimiques transformés n.d.a.,9,1,Acide vitriolique et huile de vitriol
acier et fer,"Métaux, produits métalliques et outils",347,28,Acier et fer
acier,"Métaux, produits métalliques et outils",22,3,Acier et fer
alquifoux,Matières brutes non-comestibles non transformées n.d.a.,41,7,"Alquifoux, mine de plomb et graphite"
alquifoux et mine de plomb,Matières brutes non-comestibles non transformées n.d.a.,36,6,"Alquifoux, mine de plomb et graphite"
alquifoux mine de plomb ou graphite,Matières brutes non-comestibles non transformées n.d.a.,23,3,"Alquifoux, mine de plomb et graphite"
mine de plomb,Matières brutes non-comestibles non transformées n.d.a.,4,1,"Alquifoux, mine de plomb et graphite"
alun,Produits chimiques transformés n.d.a.,451,28,Alun
agaric amadouvier brut et préparé,Matières brutes non-comestibles non transformées n.d.a.,12,2,Matières premières diverses
amadou et agaric amadouvier,Matières brutes non-comestibles non transformées n.d.a.,7,1,Matières premières diverses
agaric brut et préparé,Matières brutes non-comestibles non transformées n.d.a.,6,1,Matières premières diverses
agaric amadouvier,Matières brutes non-comestibles non transformées n.d.a.,4,1,Matières premières diverses
amadou,Matières brutes non-comestibles non transformées n.d.a.,4,1,Matières premières diverses
amidon,Produits chimiques transformés n.d.a.,60,8,Amidon
antimoine,Matières brutes non-comestibles non transformées n.d.a.,37,4,Drogues médicinales diverses
arbres et arbrisseaux,Matières brutes non-comestibles non transformées n.d.a.,8,1,Arbres et arbrisseaux
orfèvrerie,Articles manufacturés divers n.d.a,195,14,Argenterie et orfèvrerie
argenterie et orfèvrerie,Articles manufacturés divers n.d.a,121,11,Argenterie et orfèvrerie
argenterie,Articles manufacturés divers n.d.a,85,6,Argenterie et orfèvrerie
orfèvrerie d'argent et d'or,Articles manufacturés divers n.d.a,34,3,Argenterie et orfèvrerie
argenterie et orfèvrerie vermeil,Articles manufacturés divers n.d.a,37,2,Argenterie et orfèvrerie
armes,Articles manufacturés divers n.d.a,214,18,Armes et munitions
armes et munitions,Articles manufacturés divers n.d.a,9,2,Armes et munitions
munitions de guerre,Articles manufacturés divers n.d.a,2,2,Armes et munitions
armes de guerre,Articles manufacturés divers n.d.a,2,1,Armes et munitions
munitions de guerre et projectiles,Articles manufacturés divers n.d.a,2,1,Armes et munitions
arsenic,Matières brutes non-comestibles non transformées n.d.a.,10,3,Drogues diverses
avelanèdes,Produits chimiques transformés n.d.a.,50,12,Matières premières diverses
azur,Produits chimiques transformés n.d.a.,127,23,Azur et cobalt
azur et cobalt,Produits chimiques transformés n.d.a.,20,5,Azur et cobalt
badiane,Matières brutes non-comestibles non transformées n.d.a.,3,1,Épiceries diverses
baie de laurier,Matières brutes non-comestibles non transformées n.d.a.,2,1,Baie de laurier
balais,Articles manufacturés divers n.d.a,10,2,Ouvrages divers et mélangés
baleine,Matières brutes non-comestibles non transformées n.d.a.,106,15,Baleine
apparaux et bâtiments de mer,Machines et moyens de transport y compris sellerie,38,6,Bâtiments de mer et apparaux
toile pour voile,Machines et moyens de transport y compris sellerie,44,5,Bâtiments de mer et apparaux
embarcations et autres objets de marine,Machines et moyens de transport y compris sellerie,44,4,Bâtiments de mer et apparaux
bâtiments de mer,Machines et moyens de transport y compris sellerie,17,3,Bâtiments de mer et apparaux
jeux de voile,Machines et moyens de transport y compris sellerie,3,3,Bâtiments de mer et apparaux
embarcations avec agrès,Machines et moyens de transport y compris sellerie,20,2,Bâtiments de mer et apparaux
agrès et bâtiments de mer,Machines et moyens de transport y compris sellerie,10,1,Bâtiments de mer et apparaux
agrès et embarcations,Machines et moyens de transport y compris sellerie,8,1,Bâtiments de mer et apparaux
ancres,Machines et moyens de transport y compris sellerie,1,1,Bâtiments de mer et apparaux
en bâtiments de mer,Machines et moyens de transport y compris sellerie,1,1,Bâtiments de mer et apparaux
bœuf et moutons et porcs et vaches,Autres produits alimentaires et animaux,123,16,Bestiaux
bestiaux,Autres produits alimentaires et animaux,170,12,Bestiaux
bœuf et moutons et porcs et vaches et veaux,Autres produits alimentaires et animaux,67,9,Bestiaux
bœuf et moutons et porcs et vaches etc.,Autres produits alimentaires et animaux,7,1,Bestiaux
bœuf et moutons et vaches et veaux,Autres produits alimentaires et animaux,6,1,Bestiaux
chevaux,Autres produits alimentaires et animaux,111,18,Bêtes de somme
mulets,Autres produits alimentaires et animaux,48,15,Bêtes de somme
ânes,Autres produits alimentaires et animaux,42,13,Bêtes de somme
mules et mulets,Autres produits alimentaires et animaux,41,13,Bêtes de somme
bêtes de somme,Autres produits alimentaires et animaux,124,11,Bêtes de somme
ânes et mulets,Autres produits alimentaires et animaux,11,4,Bêtes de somme
chevaux de labour,Autres produits alimentaires et animaux,21,3,Bêtes de somme
bêtes principalement en mules et mulets,Autres produits alimentaires et animaux,11,2,Bêtes de somme
chevaux de labour et mules et mulets,Autres produits alimentaires et animaux,4,1,Bêtes de somme
chevaux et ânes,Autres produits alimentaires et animaux,4,1,Bêtes de somme
beurre,Autres produits alimentaires et animaux,287,20,Beurre
vinaigre,Autres produits alimentaires et animaux,222,16,"Bière, cidre et vinaigre"
