source,nbr_source,grouping
Agde,203,Agde
Aligre,92,Aligre
Arcey,483,Arcey
Arles,47,Arles
Arles en Roussillon,32,Arles en Roussillon
Armentière,48,Armentière
Aubenton,23,Aubenton
Avranches,8,Avranches
Bailleul,70,Bailleul
Baisieux,247,Baisieux
Barcelonette,45,Barcelonette
Bayonne,225,Bayonne
Beaucaire,163,Beaucaire
Beauvoir-sur-Mer,29,Beauvoir-sur-Mer
Blaye,37,Blaye
"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",213,Divers
"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Redon, Saint-Servan, Port-Louis",453,Divers
Bordeaux,4430,Bordeaux
Boulogne sur Mer,75,Boulogne sur Mer
Bourbonne,89,Bourbonne
Bourg-d'Oisans,15,Bourg-d'Oisans
Brest,1,Brest
Brest et dépendances,132,Brest
Briançon,94,Briançon
Bureaux de terre frontières,5,Bureaux de terre frontières
Caen,12,Caen
Calais,63,Calais
Cannes,425,Cannes
Cette,814,Cette
Chalons sur Marne,12,Chalons-sur-Marne
Charente,83,Tonnay-Charente
Charleville,67,Charleville
Chaumont,45,Chaumont
Cherbourg,39,Cherbourg
Collioure,79,Collioure
Condé,61,Condé
Croisic,29,Croisic
Dieppe,127,Dieppe
Divers Ports,2,Divers
Douay,62,Douay
Dunkerque,1074,Dunkerque
Dunkerque-Basseville,559,Dunkerque
Entreveaux,65,Entreveaux
Envoyé sur les frontières,1,Bureaux de terre frontières
Fécamp,1,Fécamp
Foire de Beaucaire,85,Beaucaire
Givet,307,Givet
Granville,69,Granville
Graveline,100,Graveline
Grenoble,351,Grenoble
Guillestre,3,Guillestre
Honfleur,103,Honfleur
Joinville,42,Joinville
Jougne,51,Jougne
Jussey,60,Jussey
La Ciotat,7,La Ciotat
La Rochelle,639,La Rochelle
Lambesc,87,Lambesc
Langres,130,Langres
Le Havre,2695,Le Havre
Le Légué et dépendances,59,Le Légué
Les Sables d'Olonne,36,Les Sables d'Olonne
Libourne (indépendant),30,Libourne
Lille,718,Lille
Longeray,455,Longeray
Lorient,1,Lorient
Lorient (Commerce particulier),2,Lorient
Lorient (Compagnie),3,Lorient
Marennes,56,Marennes
Marseille,4291,Marseille
Marseille - Domaine d'Occident,1359,Marseille
Marseille - Poids et Casse,202,Marseille
Maubeuge,203,Maubeuge
Monthermé,22,Monthermé
Montlouis,79,Montlouis
Morez,233,Morez
Morlaix,165,Morlaix
Mouzon,106,Mouzon
Nantes,3115,Nantes
Narbonne,71,Narbonne
Oloron,102,Oloron
Penne,71,Penne
Perpignan,117,Perpignan
Pont Esprit,5,Pont Esprit
Pont-de-Beauvoisin,697,Pont-de-Beauvoisin
Pontarlier,300,Pontarlier
Port franc de Bayonne et Saint Jean de Luz,135,Port franc de Bayonne et Saint Jean de Luz
Port franc de Dunkerque,348,Dunkerque
Port franc de Lorient,179,Lorient
Prades,12,Prades
Quimper,46,Quimper
Rochefort,134,Rochefort
Rocroy,81,Rocroy
Ronchamps,40,Ronchamps
Rouen,1329,Rouen
Rouen et Honfleur,5,Rouen et Honfleur
Saint Amant,55,Saint-Amant
Saint Béat,66,Saint-Béat
Saint Dizier,500,Saint-Dizier
Saint Girons,53,Saint-Girons
Saint Malo,2,Saint-Malo
Saint Servan,1,Saint-Servan
Saint-Esprit de Bayonne,699,Bayonne
Saint-Jean-Pied-de-Port,55,Saint-Jean-Pied-de-Port
Saint-Malo,669,Saint-Malo
Saint-Malo et Saint-Servan,1,Saint-Malo et Saint-Servan
Saint-Martin-de-Ré,111,Saint-Martin-de-Ré
Saint-Raphaël,87,Saint-Raphaël
Saint-Servan,7,Saint-Servan
Saint-Tropez,94,Saint-Tropez
Saint-Valery-sur-Somme,40,Saint-Valery-sur-Somme
Sainte Menehoult,503,Sainte Menehoult
Sedan,689,Sedan
Septemes,174,Septemes
Seyssel,136,Seyssel
Steenfort,76,Steenfort
Subordonné de Lorient,98,Lorient
Subordonnés de Dunkerque,261,Dunkerque
Tarascon,75,Tarascon
Tarbes,12,Tarbes
Teste de Buch,1,Teste-de-Buch
Torcy,108,Torcy
Toulon,383,Toulon
Turcoing,144,Turcoing
Valenciennes,320,Valenciennes
Vervins intérieur,13,Vervins intérieur
Ville de Lorient,87,Lorient
Ville neuve les avignons,30,Villeneuve lez Avignon
