customs_region,nbr_occurence,customs_region_simpl,nbr_occurence_simpl,customs_region_grouping,nbr_occurence_grouping,customs_region_province,customs_region_hinterland,remarks_customs_region,nbr_occurence_customs_province
Languedoc,13,Montpellier,4095,Montpellier,4095,Languedoc,Languedoc,,5030
Le Havre,2402,Le Havre,2402,Rouen,29681,Normandie,Normandie,,31394
Lille,3083,Flandre,5473,Flandre,7080,Flandre,Flandre,,7080
Lille - port de Dunkerque - commerce privilégié,352,Dunkerque,660,Flandre,7080,Flandre,Flandre,Port franc,7080
Lorient,542,Lorient,542,Rennes,26526,Bretagne,Bretagne,Port franc,75431
Lyon,1879,Lyon,2286,Lyon,3635,Lyonnais,Lyonnais,,1879
"Lyon, Grenoble et Valence",407,Lyon,2286,Lyon,3635,Inconnu,Inconnu,,1694
Marseille,107736,Marseille,107769,Marseille,108876,Provence,Provence,Port franc,108876
Montpellier,4081,Montpellier,4095,Montpellier,4095,Languedoc,Languedoc,,5030
Nantes,48904,Nantes,48905,Nantes,48905,Bretagne,Bretagne,,75431
Narbonne,936,Narbonne,936,Narbonne,936,Languedoc,Languedoc,,5030
paris,1,Paris,176,France,1485,Île-de-France,Île-de-France,,176
Paris,175,Paris,176,France,1485,Île-de-France,Île-de-France,,176
Passeport du roy,54,France,999,France,1485,Inconnu,Inconnu,,1694
Passeports,113,France,999,France,1485,Inconnu,Inconnu,,1694
Picardie,52,Amiens,1226,Amiens,1226,Picardie,Picardie,,2138
Provence,33,Marseille,107769,Marseille,108876,Provence,Provence,,108876
Rennes,24937,Rennes,24995,Rennes,26526,Bretagne,Bretagne,,75431
Rouen,26877,Rouen,27279,Rouen,29681,Normandie,Normandie,,31394
Roüen,328,Rouen,27279,Rouen,29681,Normandie,Normandie,,31394
Roussillon,1,Montpellier,4095,Montpellier,4095,Roussillon,Roussillon,,1
Saint Malo,1,Saint-Malo,989,Rennes,26526,Bretagne,Bretagne,,75431
Saint Quentin,223,Saint-Quentin,912,Saint-Quentin,912,Picardie,Picardie,,2138
Saint-Malo,988,Saint-Malo,989,Rennes,26526,Bretagne,Bretagne,,75431
Saint-Quentin,689,Saint-Quentin,912,Saint-Quentin,912,Picardie,Picardie,,2138
Soissons,23,Soisson,23,Châlons,2517,Champagne,Champagne,,4754
Toulon,1107,Toulon,1107,Marseille,108876,Provence,Provence,,108876
Valenciennes,947,Valenciennes,947,Flandre,7080,Flandre,Flandre,,7080
