simplification,nbr_occurences_simpl,wars,note,nbr_occurences_wars
,1,,,77
?,12,???,,208
???,196,???,,208
[vide],2648,[vide],,2648
Afrique,49,Afrique,,83
Afrique occidentale,34,Afrique,,83
Alexandrette,37,Levant,,26030
Alger,46,Levant,,26030
Aligre de Marans ou Marennes,1,France,,6138
Allemagne,20072,Allemagne,,23200
Allemagne et Lorraine,125,Allemagne,,23200
Allemagne et Pologne,1216,Allemagne,,23200
"Allemagne, Lorraine et Pays de Liège",1787,Allemagne,,23200
Alsace,359,France,,6138
Alsace et les Trois Évêchés,3,France,,6138
Alsace et Lorraine,4,France,,6138
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",1,France,,6138
Amérique et Inde,1,Amérique et Inde,,4018
"Amérique, colonies françaises et Inde",1,Amérique et Inde,,4018
"Amérique, Inde et Turquie",2,Amérique et Inde,,4018
Amériques,50,Amérique et Inde,,4018
Amiens,2,France,,6138
Angleterre,26626,Angleterre et ses colonies,,26895
Angleterre et Cologne,1,Angleterre et ses colonies,,26895
Angleterre et flotte anglaise,49,Angleterre et ses colonies,,26895
Angleterre et Irlande,1,Angleterre et ses colonies,,26895
Antilles et Colonies Françaises,105,Colonies françaises,,29658
Archipel,5,Levant,,26030
Asie,79,Asie,,172
Autriche,2035,Autriche,,2035
Barbarie,517,Levant,,26030
Barbarie dans l'Océan,8,Levant,,26030
Barbarie dans l'Océan et Îles françaises d'Amérique,59,Levant,,26030
Barbarie et Levant,441,Levant,,26030
"Barbarie, Empire Ottoman et Levant",123,Levant,,26030
Bayonne,438,France,,6138
Bayonne et ?,1,France,,6138
Bayonne et Dunkerque,3,France,,6138
Bayonne et Lorient,3,France,,6138
Bayonne et Lorient et Petites Îles,2,,,77
Bayonne et Marseille,3,France,,6138
Bayonne et Marseille et Petites Îles,1,,,77
Bayonne et Marseille et Petites Îles (???),1,,,77
Bayonne et Petites Îles,4,France,,6138
"Bayonne, Dunkerque et Marseille",11,France,,6138
"Bayonne, Dunkerque, Lorient et Petites Îles",3,France,,6138
"Bayonne, Lorient et Petites Îles",1,France,,6138
Belgique,67,Belgique,,83
Besançon,2,France,,6138
Bilbao,10,Espagne et ses colonies,,64402
Bilbao et Cadix,3,Espagne et ses colonies,,64402
Brême,9,Villes hanséatiques,,4989
"Brême, Lubeck, Norvège et villes hanséatiques",1,Villes hanséatiques,,4989
Brésil,30,Amérique et Inde,,4018
Bruges,16,Belgique,,83
Cadix,6,France,,6138
Canada,38,Colonies françaises,,29658
Candie,5,Levant,,26030
Cannée et Candie,3,Levant,,26030
Cayenne et Guyane,1177,Colonies françaises,,29658
Cayenne et Île Bourbon,1,Colonies françaises,,29658
Cayenne et Sénégal,1,,,77
Chili,15,Amérique et Inde,,4018
Chine,93,Asie,,172
Chypre,17,Levant,,26030
Clermontois,71,France,,6138
Colonies anglaises,132,Angleterre et ses colonies,,26895
Colonies danoises,90,Danemark et ses colonies,,12948
Colonies des États-Unis d'Amérique,143,États-Unis d'Amérique et ses colonies,,6503
Colonies espagnoles,153,Espagne et ses colonies,,64402
Colonies françaises,2242,Colonies françaises,,29658
Colonies françaises au-delà du Cap,4,Colonies françaises,,29658
Colonies françaises d'Amérique,372,Colonies françaises,,29658
Colonies françaises en-deça du Cap,4,Colonies françaises,,29658
Colonies françaises et colonies hollandaises,20,Colonies françaises,,29658
Colonies françaises et Inde,1,Colonies françaises,,29658
Colonies françaises et Saint-Domingue,1,Colonies françaises,,29658
Colonies françaises hors Guyane et Sénégal,3,Colonies françaises,,29658
Colonies hollandaises,142,Hollande et ses colonies,,78923
Colonies portugaises,27,Portugal et ses colonies,,15473
Colonies suédoises,57,Suède et ses colonies,,11577
Commerce de la Compagnie des Indes,133,Amérique et Inde,,4018
Constantinople,22,Levant,,26030
Corse,144,Divers,,6801
Courlande et Russie,185,Nord,,33552
Cuba et Porto Rico,20,Amérique et Inde,,4018
Danemark,12444,Danemark et ses colonies,,12948
Danemark et Norvège,414,Danemark et ses colonies,,12948
Duché de Bouillon,108,Duché de Bouillon,,108
Dunkerque,782,France,,6138
Dunkerque et Lorient,2,France,,6138
Dunkerque et Marseille,2,France,,6138
Dunkerque et Petites Îles,4,France,,6138
"Dunkerque, Lorient et Petites Îles",3,France,,6138
Égypte,53,Levant,,26030
Empire Ottoman,1480,Levant,,26030
Empire Ottoman et Barbarie,2217,Levant,,26030
Empire Ottoman et Levant,214,Levant,,26030
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,Divers,,6801
Entrepôt,87,Divers,,6801
Épaves et échouements,56,Épaves et échouements,,56
Espagne,60052,Espagne et ses colonies,,64402
Espagne et Portugal,1,Divers,,6801
Espagne et ses colonies,4154,Espagne et ses colonies,,64402
Espagne par mer,2,Espagne et ses colonies,,64402
Espagne par terre,2,Espagne et ses colonies,,64402
États ?,8,Divers,,6801
États de l'Empereur,4543,États de l'Empereur,,4547
États de l'Empereur par mer,2,États de l'Empereur,,4547
États de l'Empereur par terre,2,États de l'Empereur,,4547
États du roi,1,États du roi,,1
États ecclésiastiques,1674,États ecclésiastiques,,1791
États ecclésiastiques et Venise,51,États ecclésiastiques,,1791
États romains,64,États ecclésiastiques,,1791
États-Unis d'Amérique,6360,États-Unis d'Amérique et ses colonies,,6503
Europe,16,Divers,,6801
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",479,Divers,,6801
Flandre,19150,Flandre,,19151
France,21,France,,6138
Franche Comté,8,France,,6138
Gênes,15545,Gênes,,15549
"Gênes, Milan, Toscane et Lucques",4,Gênes,,15549
Genève,3220,Genève et Suisse,,20989
Genève et Piémont,604,Divers,,6801
Genève et Suisse,2539,Genève et Suisse,,20989
"Genève, Suisse et ses alliés",957,Genève et Suisse,,20989
Gibraltar,1,Angleterre et ses colonies,,26895
Gothembourg,10,Suède et ses colonies,,11577
Guadeloupe,2337,Colonies françaises,,29658
Guatemala,2,Colonies françaises,,29658
Guernesey,2,Angleterre et ses colonies,,26895
Guernesey et Dumbarton,1,Angleterre et ses colonies,,26895
Guinée,10366,Colonies françaises,,29658
Guinée et Sénégal,3124,Colonies françaises,,29658
Guyane,11,Colonies françaises,,29658
Guyane anglaise,4,Angleterre et ses colonies,,26895
Guyane et Sénégal,2,Colonies françaises,,29658
Guyane française,2,Colonies françaises,,29658
Haïti,10,Colonies françaises,,29658
Hambourg,112,Villes hanséatiques,,4989
"Hambourg, Hollande et Livourne",1,Divers,,6801
Hollande,76329,Hollande et ses colonies,,78923
Hollande et Villes hanséatiques,223,Divers,,6801
Île Bourbon,53,Îles,,52271
Île Bourbon et Inde,3,Îles,,52271
Île de Ré,1,Îles,,52271
Île Maurice,22,Îles,,52271
Îles,7108,Îles,,52271
Îles de France et de Bourbon,469,Îles,,52271
Îles de l'Amérique,136,Îles,,52271
Îles et Guinée,2,Îles,,52271
Îles françaises,2011,Îles,,52271
Îles françaises de l'Amérique,41908,Îles,,52271
Inconnu,209,Divers,,6801
Inde étrangère,18,Divers,,6801
Indes,3685,Amérique et Inde,,4018
Indes anglaises,16,Angleterre et ses colonies,,26895
Indes et Moka,41,Amérique et Inde,,4018
Indes françaises,22,Colonies françaises,,29658
Indes hollandaises,6,Hollande et ses colonies,,78923
Irlande,62,Angleterre et ses colonies,,26895
Italie,38729,Italie,,38729
Levant,20656,Levant,,26030
Levant et Toscane,1,Levant,,26030
Lisbonne,11,Portugal et ses colonies,,15473
Livourne,254,Livourne,,254
Lorient,348,France,,6138
Lorient et Marseille,1,France,,6138
Lorient et Petites Îles,3,France,,6138
Lorient et Petites Îles (???),1,,,77
Lorraine,656,France,,6138
Lorraine et Trois Évêchés,1,France,,6138
Louisiane,7,Colonies françaises,,29658
Lübeck en Norvège,1,Villes hanséatiques,,4989
Marseille,2687,France,,6138
Marseille et Petites Îles,1,France,,6138
Martinique,2929,Colonies françaises,,29658
Mecklembourg-Schwerin,4,Nord,,33552
Mexique,9,Amérique et Inde,,4018
Milanais,4,"Milanais, Toscane et Lucques",,1834
Milanais et Toscane,724,"Milanais, Toscane et Lucques",,1834
"Milanais, Toscane et Lucques",1106,"Milanais, Toscane et Lucques",,1834
Milddelbourg,1,Hollande et ses colonies,,78923
Monde,4481,Divers,,6801
"Monde (hors Amérique, colonies françaises, Europe et Inde)",1,Divers,,6801
Monde hors Amérique,1,Divers,,6801
Monde hors Amérique et hors Inde,5,Divers,,6801
Monde hors Amérique et hors Inde et hors Piémont,1,Divers,,6801
Monde hors colonies,458,Divers,,6801
Monde hors Europe,52,Divers,,6801
Monde hors Europe et hors colonies,1,Divers,,6801
Monde hors Europe et hors colonies françaises et hors Inde,1,Divers,,6801
Monde hors Europe et hors Sénégal français,2,Divers,,6801
Monde hors Guyanne française,2,Divers,,6801
Monde hors Pays de Gex,1,Divers,,6801
Monde réexports,70,,,77
Monds hors Ports de la Baltique,1,Divers,,6801
Morée,11,France,,6138
Nancy,2,France,,6138
Nantes,1,France,,6138
Naples,5527,Naples,,11121
Naples et Sicile,5052,Naples,,11121
"Naples, Sicile et Parme",542,Naples,,11121
Nord,22678,Nord,,33552
Nord (Hanse et Russie),3899,Nord,,33552
Norvège,86,Nord,,33552
Nouvelle-Grenade,3,Espagne et ses colonies,,64402
Pays d'Aunis,1,France,,6138
Pays de Gex,39,France,,6138
Pays de Labour,31,France,,6138
Pays-Bas,1031,Hollande et ses colonies,,78923
Pays-Bas et ses colonies,1408,Hollande et ses colonies,,78923
Pêches à la Baleine,2,Pêches,,69
Pêches à la Morue à Terre-Neuve,2,Pêches,,69
Pêches à la Morue en Islande,1,Pêches,,69
Pêches côtières (Hareng),2,Pêches,,69
Pêches côtières (Maquereaux),2,Pêches,,69
Pêches côtières (Sardines),1,Pêches,,69
Pêches étrangères,17,Pêches,,69
Pêches françaises,42,Pêches,,69
Pérou,6,Amérique et Inde,,4018
Petites Îles,558,Îles,,52271
Philippines,1,Divers,,6801
Piémont,1590,Royaume de Piemont et Sardaigne,,33354
Piémont et Savoie,340,Royaume de Piemont et Sardaigne,,33354
Piémont par mer,1,Royaume de Piemont et Sardaigne,,33354
Piémont par terre,1,Royaume de Piemont et Sardaigne,,33354
Poitou,1,France,,6138
Pologne,305,Pologne,,306
Pologne-Genève,1,Pologne,,306
Ports de la Baltique,1,Pays Baltique,,4
Portugal,15435,Portugal et ses colonies,,15473
Prises et saisies,1305,Prises et saisies,,1305
Prusse,4690,Prusse,,4692
Prusse – par mer,2,Prusse,,4692
Riga,3,Pays Baltique,,4
Rio de la Plata,14,Espagne et ses colonies,,64402
Rome et Venise,2,États ecclésiastiques,,1791
Rotterdam,6,Hollande et ses colonies,,78923
Rouen,1,France,,6138
Royaume d'Étrurie,1153,Royaume d'Étrurie,,1153
Royaume de Sardaigne,5866,Royaume de Piemont et Sardaigne,,33354
Royaume de Sardaigne – par mer,2,Royaume de Piemont et Sardaigne,,33354
Royaume de Sardaigne – par terre,2,Royaume de Piemont et Sardaigne,,33354
Russie,6700,Nord,,33552
Saint-Domingue,5743,Colonies françaises,,29658
Saint-Jean de Luz,9,Espagne et ses colonies,,64402
Saint-Thomas,11,Amérique et Inde,,4018
Salonique,5,Levant,,26030
"Salonique, Archipel et Satali",17,Levant,,26030
Sardaigne,2040,Royaume de Piemont et Sardaigne,,33354
Savoie,12043,Royaume de Piemont et Sardaigne,,33354
Savoie et Piémont,11469,Royaume de Piemont et Sardaigne,,33354
Sénégal,318,Colonies françaises,,29658
Sénégal français,8,Colonies françaises,,29658
Sidon,5,Levant,,26030
Sidon et Acre,15,Levant,,26030
Smyrne,35,Levant,,26030
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,Suède et ses colonies,,11577
Strasbourg,1,France,,6138
Suède,11335,Suède et ses colonies,,11577
Suède et ses colonies,173,Suède et ses colonies,,11577
Suisse,14273,Genève et Suisse,,20989
Tobago,807,Colonies françaises,,29658
Tobago et Sainte-Lucie,2,Colonies françaises,,29658
Toscane,636,Toscane,,636
Tripoli de Syrie,15,Levant,,26030
Trois Évêchés,615,France,,6138
Turquie,34,Levant,,26030
Vénézuela,14,Amérique et Inde,,4018
Venise,1975,Venise,,1975
Villes hanséatiques,4866,Villes hanséatiques,,4989
Voitures diverses,2,Divers,,6801
Ypres,1,Flandre,,19151
