marchandises_norm_ortho,marchandises_simplification
???,???
??? blanc,??? blanc
??? brun,??? brun
??? d'Anjou et de Touraine,??? d'Anjou et de Touraine
??? d'une valeur moindre de deux mille francs chacun,??? d'une valeur moindre de deux mille francs chacun
??? des ci-devant provinces d'Alsace,??? des ci-devant provinces d'Alsace
??? des ci-devant provinces de Bourgogne,??? des ci-devant provinces de Bourgogne
??? des ci-devant provinces de Provence,??? des ci-devant provinces de Provence
??? des ci-devant provinces du Languedoc,??? des ci-devant provinces du Languedoc
??? diverses,??? diverses
??? particulièrement en chevaux,??? particulièrement en chevaux
tanabare ???,tanabare ???
abassis,abassis
abats,abats
abattis de morue,abattis de morue
abricots confits,abricots confits
herbes absinthe,absinthe
acacia,acacia
acacia germanica,acacia germanica
acétates de plomb,acétates de plomb
achia,achia
achia espèce de salade,achia
vitriol huile et acide vitriolique,acide vitrioliques et huile de vitriol
vitriol huile et acide vitrioliques,acide vitrioliques et huile de vitriol
acier,acier
fer acier,acier
acier brun,acier brun
acier brut,acier brut
fer en acier,acier
clous et acier,acier et clous
fer divers et acier,acier et fer
fer et acier,acier et fer
métal fer et acier,acier et fer
acons,acons
acons démontés,acons démontés
acons en gabares démontés,acons démontés en gabare
acons gabares démontés,acons démontés en gabare
acorus,acorus
acuirson,acuirson
cuivre en acume,acume de cuivre
affûts de canons,affûts de canons
affûts de fusils,affûts de fusils
affûts de fûts à canons,affûts de fûts à canons
agaric,agaric
agaric brut et préparé,agaric
agaric amadouvier,agaric et amadouvier
agaric amadouvier brut et préparé,agaric et amadouvier
drogues médicinales agaric gros,agaric gros
agate,agate
agate fine,agate fine
agate montée,agate montée
agneaux,agneaux
bestiaux agneaux,agneaux
bestiaux divers agneaux,agneaux
bestiaux en agneaux,agneaux
bestiaux et bêtes de somme agneaux,agneaux
agneaux et cabris,agneaux et cabris
agnelines et crottelins,agnelines et crottelins
agoutals,agoutals
agoutals de bois,agoutals de bois
agrément,agrément
agrément au quart,agrément au quart
agrément d'argent,agrément d'argent
agrément d'or,agrément d'or
agrément or et argent,agrément d'or et d'argent
agrément de fil,agrément de fil
agrément soie et fil,agrément de fil et de soie
agrément de fleur,agrément de fleur
agrément de soie,agrément de soie
agrément de soie et d'argent,agrément de soie et d'argent
agrément de soie et fil,agrément de soie et fil
agrément de soie or et argent faux,agrément de soie or et argent faux
agrès,agrès
agrès de navire,agrès de navire
agrès de vaisseaux,agrès de navire
agrès de navire en voile,agrès de navire en voile
agrès de navire et jeux de voile,agrès de navire et jeux de voile
agrès de navire jeux de voile,agrès de navire et jeux de voile
agrès et apparaux,agrès et apparaux
agrès et voiles de navire,agrès et voiles de navire
aigles,aigles
aigre de cidre,aigre de cidre
aigre de vitriol,aigre de vitriol
aigrettes,aigrettes
aigrettes de fil or et argent,aigrettes de fil d'or et d'argent
aigrettes de soie,aigrettes de soie
aigrettes de soie et argent,aigrettes de soie et argent
bavolets et aigrettes,aigrettes et bavolets
aiguières d'étain,aiguières d'étain
aiguilles,aiguilles
mercerie en aiguilles,aiguilles
mercerie fine aiguilles,aiguilles
aiguilles à boîtes,aiguilles à boîtes
aiguilles à coudre,aiguilles à coudre
mercerie aiguilles à coudre,aiguilles à coudre
mercerie en aiguilles à coudre,aiguilles à coudre
mercerie fine aiguilles à coudre,aiguilles à coudre
aiguilles à ralingue,aiguilles à ralingue
aiguilles à tabac,aiguilles à tabac
aiguilles à toile,aiguilles à toile
aiguilles à voile,aiguilles à voile
aiguilles d'emballage,aiguilles d'emballage
aiguilles d'emballeur,aiguilles d'emballage
aiguilles espars de sapin,aiguilles epars de sapin
épingles et aiguilles,aiguilles et épingles
aiguilles grosses,aiguilles grosses
ailes,ailes
ailes de fléaux,ailes de fléaux
ailes de moulins,ailes de moulins
ailor,ailor
ails,ails
légumes ails,ails
ails à fauches,ails à fauches
ails blancs à casser,ails blancs à casser
aimant,aimant
ains à pêcher,ains à pêcher
ains et lignes à pêcher,ains et lignes à pêcher
airain,airain
airain non ouvré,airain non ouvré
ajustements,ajustements
ajustements de femme,ajustements de femme
ajustements de soie,ajustements de soie
alambics,alambics
alambics d'étain,alambics d'étain
alambics en cuivre,alambics de cuivre
alambics de terre,alambics de terre
albâtre,albâtre
marbre et albâtre brut et poli,albâtre et marbre brut et poli
lagias,lagias
alènes,alènes
alènes de cordonnier,alènes
alibanies,alibanies
droguerie pour peintures et teinture alizari,alizari
drogues pour la teinture alizari,alizari
drogues pour les peintures et la teinture alizari,alizari
drogues pour les peintures et teinture alizari,alizari
garance et alizari,alizari et garance
alkermés,alkermés
allaya,allaya
alleaux,alleaux
étoffe de poil allemande,allemande de poil
allumettes,allumettes
allumettes à vin,allumettes à vin
allumettes de coton,allumettes de coton
allumettes de mêche soufrée,allumettes de mêche soufrée
allumettes droguées,allumettes droguées
allumettes épicées,allumettes épicée
allumettes opérées et soufrées,allumettes opérées et soufrées
allumettes soufrées,allumettes soufrées
almagro ou crayon rouge,almagro ou crayon rouge
librairie en almanachs brochés,almanachs brochés
librairie en almanachs en blanc,almanachs en blancs
librairie en almanachs reliés,almanachs reliés
almanachs,almanachs
almanachs enjolivés,almanachs enjolivés
aloès,aloès
drogues composées pour ma médecine aloès,aloès
drogues médicinales aloès,aloès
marchandises des Indes aloès,aloès
aloès cabalin,aloès cabalin
drogues médicinales aloès cabalin,aloès cabalin
aloès commun,aloès commun
aloès moyen,aloès moyen
aloiset,aloiset
alose,alose
alose dite elft,alose
alose fumée,alose fumée
alose salée,alose salée
alouettes,alouettes
gibier alouettes,alouettes
alpargate,alpargate
alphabets,alphabets
alpiste,alpiste
alquifoux,alquifoux
droguerie pour peintures et teinture alquifoux,alquifoux
drogues alquifoux,alquifoux
drogues médicinales alquifoux,alquifoux
drogues pour les peintures alquifoux,alquifoux
drogues pour les peintures et la teinture alquifoux,alquifoux
