simplification_classification,nbr_occurences_simpl,very_simplified_classification,note,nbr_occurences_very_simplified
,2580,,,2611
?,14,???,,36
???,22,???,,36
Afrique,46,Afrique,,80
Afrique occidentale,34,Afrique,,80
Alexandrette,5,Levant,,23648
Alger,46,Levant,,23648
Aligre de Marans ou Marennes,1,France,,5624
Allemagne,19959,Allemagne,,22539
Allemagne et Lorraine,125,Allemagne,,22539
Allemagne et Pologne,1208,Allemagne,,22539
"Allemagne, Lorraine et Pays de Liège",1247,Allemagne,,22539
Alsace,359,France,,5624
Alsace et les Trois Évêchés,3,France,,5624
Alsace et Lorraine,4,France,,5624
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",1,France,,5624
Amérique et Inde,1,Amérique et Inde,,3400
"Amérique, colonies françaises et Inde",1,Amérique et Inde,,3400
"Amérique, Inde et Turquie",2,Amérique et Inde,,3400
Amériques,39,Amérique et Inde,,3400
Amiens,2,France,,5624
Angleterre,23991,Angleterre et ses colonies,,24256
Angleterre et Cologne,1,Angleterre et ses colonies,,24256
Angleterre et flotte anglaise,49,Angleterre et ses colonies,,24256
Angleterre et Irlande,1,Angleterre et ses colonies,,24256
Antilles et Colonies Françaises,105,Colonies françaises,,26056
Archipel,5,Levant,,23648
Asie,79,Asie,,84
Autriche,2035,Autriche,,2035
Barbarie,451,Levant,,23648
Barbarie dans l'Océan,4,Levant,,23648
Barbarie dans l'Océan et Îles françaises d'Amérique,31,Levant,,23648
Barbarie et Levant,34,Levant,,23648
"Barbarie, Empire Ottoman et Levant",123,Levant,,23648
Bayonne,379,France,,5624
Bayonne et ?,1,France,,5624
Bayonne et Dunkerque,3,France,,5624
Bayonne et Lorient,3,France,,5624
Bayonne et Marseille,3,France,,5624
Bayonne et Petites Îles,4,France,,5624
"Bayonne, Dunkerque et Marseille",11,France,,5624
"Bayonne, Dunkerque, Lorient et Petites Îles",3,France,,5624
"Bayonne, Lorient et Petites Îles",1,France,,5624
Belgique,67,Belgique,,83
Besançon,2,France,,5624
Bilbao,10,Espagne et ses colonies,,13
Bilbao et Cadix,3,Espagne et ses colonies,,13
Brême,9,Villes hanséatiques,,4873
"Brême, Lubeck, Norvège et villes hanséatiques",1,Villes hanséatiques,,4873
Brésil,30,Amérique et Inde,,3400
Bruges,16,Belgique,,83
Cadix,6,France,,5624
Candie,5,Levant,,23648
Cayenne et Guyane,1065,Colonies françaises,,26056
Cayenne et Île Bourbon,1,Colonies françaises,,26056
Chili,15,Amérique et Inde,,3400
Chine,5,Asie,,84
Chypre,5,Levant,,23648
Clermontois,71,France,,5624
Colonies anglaises,132,Angleterre et ses colonies,,24256
Colonies danoises,90,Danemark et ses colonies,,11539
Colonies des États-Unis d'Amérique,143,États-Unis d'Amérique et ses colonies,,6012
Colonies espagnoles,153,Espagne et ses colonies,,59266
Colonies françaises,2198,Colonies françaises,,26056
Colonies françaises au-delà du Cap,4,Colonies françaises,,26056
Colonies françaises d'Amérique,358,Colonies françaises,,26056
Colonies françaises en-deça du Cap,4,Colonies françaises,,26056
Colonies françaises et colonies hollandaises,20,Colonies françaises,,26056
Colonies françaises et Inde,1,Colonies françaises,,26056
Colonies françaises et Saint-Domingue,1,Colonies françaises,,26056
Colonies françaises hors Guyane et Sénégal,3,Colonies françaises,,26056
Colonies hollandaises,142,Hollande et ses colonies,,70660
Colonies portugaises,27,Portugal et ses colonies,,13725
Colonies suédoises,57,Suède et ses colonies,,9657
Commerce de la Compagnie des Indes,1,Amérique et Inde,,3400
Constantinople,5,Levant,,23648
Corse,123,Divers,,7591
Courlande et Russie,143,Nord,,29082
Cuba et Porto Rico,20,Amérique et Inde,,3400
