simplification_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
,2695,,non,4126
???,90,not raw cotton,non,549530
??? blanc,2,not raw cotton,non,549530
??? brun,2,not raw cotton,non,549530
??? d'Anjou et de Touraine,1,not raw cotton,non,549530
??? d'argent,1,,non,4126
??? d'une valeur moindre de deux mille francs chacun,473,not raw cotton,non,549530
??? de boutard,1,not raw cotton,non,549530
??? de fer,2,,non,4126
??? de morue,1,,non,4126
??? de nacre de perle,1,,non,4126
??? des ci-devant provinces d'Alsace,1,not raw cotton,non,549530
??? des ci-devant provinces de Bourgogne,1,not raw cotton,non,549530
??? des ci-devant provinces de Provence,2,not raw cotton,non,549530
??? des ci-devant provinces du Languedoc,1,not raw cotton,non,549530
??? diverses,4,not raw cotton,non,549530
??? fer,1,not raw cotton,non,549530
??? forts de fer,1,,non,4126
??? gras,1,,non,4126
??? particulièrement en chevaux,6,not raw cotton,non,549530
??? pieds,1,,non,4126
??? pruneaux,1,,non,4126
??? raisins secs,1,,non,4126
???sse,1,not raw cotton,non,549530
?ufs,1,not raw cotton,non,549530
à jamis,276,not raw cotton,non,549530
abassis,4,not raw cotton,non,549530
abats,2,not raw cotton,non,549530
abattis de morue,1,not raw cotton,non,549530
abricots confits,1,not raw cotton,non,549530
absinthe,19,not raw cotton,non,549530
acacia,5,not raw cotton,non,549530
acacia germanica,1,not raw cotton,non,549530
acacia vera,1,not raw cotton,non,549530
acajou,1,not raw cotton,non,549530
acétates d'étain,1,not raw cotton,non,549530
acétates de fer,3,not raw cotton,non,549530
acétates de plomb,29,not raw cotton,non,549530
acétates de plomb sel de Saturne,2,not raw cotton,non,549530
acétates de potasse et de soude,2,not raw cotton,non,549530
acétates de sel d'étain,1,not raw cotton,non,549530
achia,7,not raw cotton,non,549530
acide arsénieux,8,not raw cotton,non,549530
acide benzoïque,1,not raw cotton,non,549530
acide benzoïque et phosphorique,2,not raw cotton,non,549530
acide borique,3,not raw cotton,non,549530
acide borique et benzoïque,2,not raw cotton,non,549530
acide citrique,2,not raw cotton,non,549530
acide citrique et muriatique et phosphorique,2,not raw cotton,non,549530
acide citrique et oxalique et tartrique,2,not raw cotton,non,549530
acide de potasse crème de tartre,5,not raw cotton,non,549530
acide de potasse lie de vin desséché et liquide,4,not raw cotton,non,549530
acide de potasse lie de vin desséchée,3,not raw cotton,non,549530
acide de potasse lie de vin liquide,2,not raw cotton,non,549530
