simplification,nbr_occurences_simpl,beaver,obsolete,nbr_occurences_beaver
,24,,non,2639
???,93,No link with beaver,non,554828
??? blanc,2,No link with beaver,non,554828
??? brun,2,No link with beaver,non,554828
??? d'Anjou et de Touraine,1,No link with beaver,non,554828
??? d'argent,1,No link with beaver,non,554828
??? d'une valeur moindre de deux mille francs chacun,473,No link with beaver,non,554828
??? de boutard,1,No link with beaver,non,554828
??? de fer,2,No link with beaver,non,554828
??? de morue,1,No link with beaver,non,554828
??? de nacre de perle,1,No link with beaver,non,554828
??? des ci-devant provinces d'Alsace,1,No link with beaver,non,554828
??? des ci-devant provinces de Bourgogne,1,No link with beaver,non,554828
??? des ci-devant provinces de Provence,2,No link with beaver,non,554828
??? des ci-devant provinces du Languedoc,1,No link with beaver,non,554828
??? diverses,4,No link with beaver,non,554828
??? fer,1,No link with beaver,non,554828
??? forts de fer,1,No link with beaver,non,554828
??? gras,1,No link with beaver,non,554828
??? particulièrement en chevaux,6,No link with beaver,non,554828
??? pieds,1,No link with beaver,non,554828
??? pruneaux,1,No link with beaver,non,554828
??? raisins secs,1,No link with beaver,non,554828
???sse,1,No link with beaver,non,554828
?ufs,1,No link with beaver,non,554828
[non traité],274,No link with beaver,non,554828
[vide],2417,No link with beaver,non,554828
à jamis,276,,non,2639
à l'aventure,1,No link with beaver,non,554828
à son lest,1,,non,2639
à vide,2,No link with beaver,non,554828
abassis,4,No link with beaver,non,554828
abats,2,No link with beaver,non,554828
abattis de morue,1,No link with beaver,non,554828
abricots confits,1,No link with beaver,non,554828
absinthe,19,No link with beaver,non,554828
acacia,5,No link with beaver,non,554828
acacia germanica,1,No link with beaver,non,554828
acacia vera,1,No link with beaver,non,554828
acajou,2,No link with beaver,non,554828
acétates d'étain,1,No link with beaver,non,554828
acétates de fer,3,No link with beaver,non,554828
acétates de plomb,29,No link with beaver,non,554828
acétates de plomb sel de Saturne,2,No link with beaver,non,554828
acétates de potasse et de soudes,2,No link with beaver,non,554828
acétates de sel d'étain,1,No link with beaver,non,554828
achia,7,No link with beaver,non,554828
acide arsénieux,8,No link with beaver,non,554828
acide benzoïque,1,No link with beaver,non,554828
acide benzoïque et phosphorique,2,No link with beaver,non,554828
acide borique,3,No link with beaver,non,554828
acide borique et benzoïque,2,No link with beaver,non,554828
acide citrique,2,No link with beaver,non,554828
acide citrique et muriatique et phosphorique,2,No link with beaver,non,554828
acide citrique et oxalique et tartrique,2,No link with beaver,non,554828
acide de potasse crème de tartre,5,No link with beaver,non,554828
acide de potasse lie de vin desséché et liquide,4,No link with beaver,non,554828
acide de potasse lie de vin desséchée,3,No link with beaver,non,554828
acide de potasse lie de vin liquide,2,No link with beaver,non,554828
acide de potasse tartre brut impur,2,No link with beaver,non,554828
acide muriatique,1,No link with beaver,non,554828
acide muriatique et nitrique et phosphorique,3,No link with beaver,non,554828
acide muriatique et nitro-muriatique,2,No link with beaver,non,554828
acide nitrique,4,No link with beaver,non,554828
acide oxalique,2,No link with beaver,non,554828
acide phosphorique,2,No link with beaver,non,554828
acide succinique,1,No link with beaver,non,554828
acide tartrique,2,No link with beaver,non,554828
acide vitriolique,4,No link with beaver,non,554828
acide vitriolique et huile de vitriol,109,No link with beaver,non,554828
acier,1742,No link with beaver,non,554828
acier battu forgé ou laminé,1,No link with beaver,non,554828
acier brun,1,No link with beaver,non,554828
acier brut,10,No link with beaver,non,554828
acier commun,1,No link with beaver,non,554828
acier en barres,6,No link with beaver,non,554828
acier en bottes pour la Compagnie des Indes,1,No link with beaver,non,554828
acier et clous,1,No link with beaver,non,554828
acier et fer,356,No link with beaver,non,554828
acier fondu en carreaux ou en tôle,5,No link with beaver,non,554828
acier fondu forgé,1,No link with beaver,non,554828
acier forgé,7,No link with beaver,non,554828
acons,1,No link with beaver,non,554828
acons démontés,20,No link with beaver,non,554828
acons démontés en gabare,2,No link with beaver,non,554828
acorus,5,No link with beaver,non,554828
acuirson,1,No link with beaver,non,554828
acume de cuivre,1,No link with beaver,non,554828
adatais,3,No link with beaver,non,554828
affûts,2,No link with beaver,non,554828
affûts de bois,1,No link with beaver,non,554828
affûts de canons,12,No link with beaver,non,554828
affûts de fer,1,No link with beaver,non,554828
affûts de fusils,1,No link with beaver,non,554828
affûts de fûts à canons,1,No link with beaver,non,554828
affûts et canons,1,No link with beaver,non,554828
agaric,138,No link with beaver,non,554828
agaric amadouvier,6,No link with beaver,non,554828
agaric amadouvier brut,4,No link with beaver,non,554828
agaric amadouvier brut et préparé,12,No link with beaver,non,554828
agaric amadouvier préparé,6,No link with beaver,non,554828
agaric brut et préparé,6,No link with beaver,non,554828
agaric de mélèze,4,No link with beaver,non,554828
agaric fin,1,No link with beaver,non,554828
agaric gros,2,No link with beaver,non,554828
agate,11,No link with beaver,non,554828
agate autre que chique et ouvrages,2,No link with beaver,non,554828
agate brute,4,No link with beaver,non,554828
agate en pierres,1,No link with beaver,non,554828
agate fine,1,No link with beaver,non,554828
agate montée,1,No link with beaver,non,554828
agneaux,117,No link with beaver,non,554828
agneaux communs,8,No link with beaver,non,554828
agneaux en vie,5,No link with beaver,non,554828
agneaux et cabris,1,No link with beaver,non,554828
agneaux mérinos et métis,7,No link with beaver,non,554828
agnelines et crottelins,1,No link with beaver,non,554828
agobille,2,No link with beaver,non,554828
agoutals,4,No link with beaver,non,554828
agoutals de bois,5,No link with beaver,non,554828
agrément,15,No link with beaver,non,554828
agrément au quart,3,No link with beaver,non,554828
agrément d'argent,2,No link with beaver,non,554828
agrément d'or,1,No link with beaver,non,554828
agrément d'or et d'argent,5,No link with beaver,non,554828
agrément de fil,9,No link with beaver,non,554828
agrément de fil et de soie,3,No link with beaver,non,554828
agrément de fleur,1,No link with beaver,non,554828
agrément de soie,57,No link with beaver,non,554828
agrément de soie et d'argent,1,No link with beaver,non,554828
agrément de soie or et argent faux,1,No link with beaver,non,554828
agréments de soie et milleret,1,No link with beaver,non,554828
agréments et milleret,1,No link with beaver,non,554828
agrès,15,No link with beaver,non,554828
agrès apparaux de navire et embarcations,6,No link with beaver,non,554828
agrès apparaux et embarcations,2,No link with beaver,non,554828
agrès de navire et jeux de voile,10,No link with beaver,non,554828
agrès et apparaux,2,No link with beaver,non,554828
agrès et apparaux d'or navire,1,No link with beaver,non,554828
agrès et bâtiments de mer,10,No link with beaver,non,554828
agrès et embarcations,8,No link with beaver,non,554828
agrès et voile de navire,1,No link with beaver,non,554828
aigles,1,No link with beaver,non,554828
aigre de cèdre,9,No link with beaver,non,554828
aigre de cidre,5,No link with beaver,non,554828
aigre de vitriol,17,No link with beaver,non,554828
aigrettes,10,No link with beaver,non,554828
aigrettes de fil d'or et d'argent,1,No link with beaver,non,554828
aigrettes de soie,1,No link with beaver,non,554828
aigrettes de soie et argent,1,No link with beaver,non,554828
aigrettes et bavolets,1,No link with beaver,non,554828
aiguières d'étain,1,No link with beaver,non,554828
aiguilles,209,No link with beaver,non,554828
aiguilles à boîtes,1,No link with beaver,non,554828
aiguilles à coudre,61,No link with beaver,non,554828
aiguilles à coudre voiles,1,No link with beaver,non,554828
aiguilles à ralingue,1,No link with beaver,non,554828
aiguilles à tabac,1,No link with beaver,non,554828
aiguilles à toile,1,No link with beaver,non,554828
aiguilles d'emballage,2,No link with beaver,non,554828
aiguilles de mercerie fine,1,No link with beaver,non,554828
aiguilles epars de sapin,1,No link with beaver,non,554828
aiguilles et épingles,1,No link with beaver,non,554828
aiguilles et épingles de mercerie fine,3,No link with beaver,non,554828
aiguilles et mercerie fine,2,No link with beaver,non,554828
aiguilles grosses,1,No link with beaver,non,554828
aiguilles pour voile,37,No link with beaver,non,554828
aiguillettes,1,No link with beaver,non,554828
ail,2,No link with beaver,non,554828
ailes,4,No link with beaver,non,554828
ailes de fléaux,1,No link with beaver,non,554828
ailes de moulins,1,No link with beaver,non,554828
ailor,1,No link with beaver,non,554828
ails,204,No link with beaver,non,554828
ails à fauches,1,No link with beaver,non,554828
ails blancs à casser,1,No link with beaver,non,554828
aimant,1,No link with beaver,non,554828
ains à pêcher,43,No link with beaver,non,554828
ains et lignes à pêcher,2,No link with beaver,non,554828
airain,6,No link with beaver,non,554828
airain non ouvré,4,No link with beaver,non,554828
ajustements,37,No link with beaver,non,554828
ajustements de femme,5,No link with beaver,non,554828
ajustements de soie,2,No link with beaver,non,554828
alambics,17,No link with beaver,non,554828
alambics d'étain,17,No link with beaver,non,554828
alambics de cuivre,2,No link with beaver,non,554828
alambics de terre,1,No link with beaver,non,554828
alana,2,No link with beaver,non,554828
alazar,2,No link with beaver,non,554828
albâtre,5,No link with beaver,non,554828
albâtre brut,3,No link with beaver,non,554828
albâtre et marbre brut et poli,21,No link with beaver,non,554828
albâtre moulé poli ou sculpté,6,No link with beaver,non,554828
alcalis autre que natron et soudes,2,No link with beaver,non,554828
alcalis salin,1,No link with beaver,non,554828
alènes,5,No link with beaver,non,554828
alibanies,96,No link with beaver,non,554828
alicot,1,No link with beaver,non,554828
alizari,17,No link with beaver,non,554828
alizari et garance,165,No link with beaver,non,554828
alizari sèche,7,No link with beaver,non,554828
alkermés,1,No link with beaver,non,554828
alkermès en grains,23,No link with beaver,non,554828
allaya,84,No link with beaver,non,554828
alleaux,1,No link with beaver,non,554828
allemande de poil,10,No link with beaver,non,554828
allumettes,54,No link with beaver,non,554828
allumettes à vin,29,No link with beaver,non,554828
allumettes de coton,1,No link with beaver,non,554828
allumettes de mêche soufrée,1,No link with beaver,non,554828
allumettes droguées,3,No link with beaver,non,554828
allumettes épicée,2,No link with beaver,non,554828
allumettes opérées et soufrées,1,No link with beaver,non,554828
allumettes soufrées,12,No link with beaver,non,554828
almagro ou crayon rouge,1,No link with beaver,non,554828
almanachs,1,No link with beaver,non,554828
almanachs brochés,2,No link with beaver,non,554828
almanachs en blancs,1,No link with beaver,non,554828
almanachs enjolivés,1,No link with beaver,non,554828
almanachs reliés,1,No link with beaver,non,554828
aloès,229,No link with beaver,non,554828
aloès cabalin,6,No link with beaver,non,554828
aloès commun,1,No link with beaver,non,554828
aloès et opium,2,No link with beaver,non,554828
aloès hépatique,1,No link with beaver,non,554828
aloès moyen,2,No link with beaver,non,554828
aloiset,1,No link with beaver,non,554828
alose,2,No link with beaver,non,554828
alose fumée,1,No link with beaver,non,554828
alose salée,5,No link with beaver,non,554828
aloues,1,No link with beaver,non,554828
alouettes,4,No link with beaver,non,554828
alpargate,37,No link with beaver,non,554828
alphabets,1,No link with beaver,non,554828
alpiste,21,No link with beaver,non,554828
alpiste et millet,9,No link with beaver,non,554828
alquifoux,481,No link with beaver,non,554828
alquifoux en galène,2,No link with beaver,non,554828
alquifoux et mine de plomb,36,No link with beaver,non,554828
alquifoux mine de plomb ou graphite,23,No link with beaver,non,554828
alquifoux ou mine de plomb,1,No link with beaver,non,554828
alquifoux sable plombifère,1,No link with beaver,non,554828
alquitra,3,No link with beaver,non,554828
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,No link with beaver,non,554828
alto basses contrebasses guitare lyres violes violons,2,No link with beaver,non,554828
alto bassons guitare violons,3,No link with beaver,non,554828
alun,1878,No link with beaver,non,554828
alun à cordonnier,1,No link with beaver,non,554828
alun autre que brûlé ou calciné,2,No link with beaver,non,554828
alun bon,2,No link with beaver,non,554828
alun brûlé,1,No link with beaver,non,554828
alun commun,1,No link with beaver,non,554828
alun de glace,1,No link with beaver,non,554828
alun de roche,5,No link with beaver,non,554828
alun de Rome,3,No link with beaver,non,554828
alun de Rome fin rosé,1,No link with beaver,non,554828
alun de Rouen,2,No link with beaver,non,554828
alun de Surde,2,No link with beaver,non,554828
alun du Levant,1,No link with beaver,non,554828
alun en dracy,1,No link with beaver,non,554828
alun en rame,1,No link with beaver,non,554828
alun gâté,1,No link with beaver,non,554828
alun ordinaire,1,No link with beaver,non,554828
alvés,2,No link with beaver,non,554828
amadou,225,No link with beaver,non,554828
amadou et agaric amadouvier,7,No link with beaver,non,554828
amandes,1212,No link with beaver,non,554828
amandes à la praline,4,No link with beaver,non,554828
amandes amères,1,No link with beaver,non,554828
amandes arachis noisettes noix noyaux,2,No link with beaver,non,554828
amandes cassée,6,No link with beaver,non,554828
amandes cassées,386,No link with beaver,non,554828
amandes cassées ou en coque,3,No link with beaver,non,554828
amandes courtes,1,No link with beaver,non,554828
amandes douces,5,No link with beaver,non,554828
amandes en coque,301,No link with beaver,non,554828
amandes et figue et raisin,24,No link with beaver,non,554828
amandes et pelures et prunes et raisin,1,No link with beaver,non,554828
amandes et pruneaux,2,No link with beaver,non,554828
amandes et raisin sec,2,No link with beaver,non,554828
amandes et raisin sec et savon,1,No link with beaver,non,554828
amandes et savon,2,No link with beaver,non,554828
amandes et sucre,1,No link with beaver,non,554828
amandes et verdet,1,No link with beaver,non,554828
amandes fraîches,1,No link with beaver,non,554828
amandes longues,1,No link with beaver,non,554828
amandes mondées,2,No link with beaver,non,554828
amandes sèches,64,No link with beaver,non,554828
amandes sèches et figue sèche et ???,9,No link with beaver,non,554828
amandes sèches et figue sèche et raisin sec,135,No link with beaver,non,554828
amarinage,1,No link with beaver,non,554828
amarine,1,No link with beaver,non,554828
ambrain à grande barrique,1,No link with beaver,non,554828
ambre,42,No link with beaver,non,554828
ambre blanc,1,No link with beaver,non,554828
ambre brut,1,No link with beaver,non,554828
ambre carabé,21,No link with beaver,non,554828
ambre carabé jaune,2,No link with beaver,non,554828
ambre en grains,1,No link with beaver,non,554828
ambre et corail,1,No link with beaver,non,554828
ambre gris,38,No link with beaver,non,554828
ambre jaune,76,No link with beaver,non,554828
ambre moulu,2,No link with beaver,non,554828
amer,3,No link with beaver,non,554828
amer de laine,1,No link with beaver,non,554828
amertis,4,No link with beaver,non,554828
ameublement,2,No link with beaver,non,554828
ameublement de chitte,1,No link with beaver,non,554828
ami de toilé,1,No link with beaver,non,554828
amidon,1173,No link with beaver,non,554828
amidon alun,1,No link with beaver,non,554828
amidon en grains,1,No link with beaver,non,554828
amidon en poudre,1,No link with beaver,non,554828
amidon et poudre à poudrer,1,No link with beaver,non,554828
ammoniac,7,No link with beaver,non,554828
ammoniac et sel,21,No link with beaver,non,554828
ammonium,1,No link with beaver,non,554828
amomum,14,No link with beaver,non,554828
amomum et fèves de tonka et noix de ravensara,2,No link with beaver,non,554828
amomum verum,2,No link with beaver,non,554828
amurca,4,No link with beaver,non,554828
anabasse,121,No link with beaver,non,554828
anabasse ; bajutapau,3,No link with beaver,non,554828
anabasse ; corat ; nicaneas ; platille,2,No link with beaver,non,554828
anacardes,2,No link with beaver,non,554828
anacoste,3,No link with beaver,non,554828
ananas,1,No link with beaver,non,554828
ananas confit,2,No link with beaver,non,554828
ananas et pommes de grenade,1,No link with beaver,non,554828
ananas planté,1,No link with beaver,non,554828
anatomie,1,No link with beaver,non,554828
anatose,3,No link with beaver,non,554828
anches de tonneaux,2,No link with beaver,non,554828
anchois,856,No link with beaver,non,554828
anchois câpres et olives,10,No link with beaver,non,554828
anchois câpres etc.,1,No link with beaver,non,554828
anchois câpres olives,1,No link with beaver,non,554828
anchois et boutargue,13,No link with beaver,non,554828
anchois et câpres,5,No link with beaver,non,554828
anchois et sardes,1,No link with beaver,non,554828
anchois et sardines,5,No link with beaver,non,554828
anchois mariné,6,No link with beaver,non,554828
anchois mariné et salé,39,No link with beaver,non,554828
anchois salé et mariné,2,No link with beaver,non,554828
anchois salés,5,No link with beaver,non,554828
anchois salés et marinés,9,No link with beaver,non,554828
ancres,5,No link with beaver,non,554828
ancres de chaudon,1,No link with beaver,non,554828
ancres de fer,557,No link with beaver,non,554828
ancres de fer à chaudrons,1,No link with beaver,non,554828
ancres de fer au-dessus de 250 kilogrammes,1,No link with beaver,non,554828
ancres de fer de 250 kilogrammes et au-dessous,1,No link with beaver,non,554828
ancres de fer et embarcations,2,No link with beaver,non,554828
ancres et embarcations,5,No link with beaver,non,554828
ancres et grappins de fer,1,No link with beaver,non,554828
ancres gravelées,1,No link with beaver,non,554828
ancres neuves,3,No link with beaver,non,554828
ancres vides,4,No link with beaver,non,554828
ancres vieilles,1,No link with beaver,non,554828
ancres vieilles vides,1,No link with beaver,non,554828
andolium,2,No link with beaver,non,554828
andouilles,43,No link with beaver,non,554828
andouillette,1,No link with beaver,non,554828
ânes,174,No link with beaver,non,554828
ânes et ânesses,9,No link with beaver,non,554828
ânes et mulets,11,No link with beaver,non,554828
ânesses,1,No link with beaver,non,554828
angélique,28,No link with beaver,non,554828
angélique du Rozème,1,No link with beaver,non,554828
anguilles,22,No link with beaver,non,554828
anguilles et truites,1,No link with beaver,non,554828
anguilles fraîches,1,No link with beaver,non,554828
anguilles marinées,1,No link with beaver,non,554828
anguilles salées,22,No link with beaver,non,554828
anille,1,No link with beaver,non,554828
animaux,5,No link with beaver,non,554828
anis,521,No link with beaver,non,554828
anis et rac et rhum etc.,2,No link with beaver,non,554828
anis et sucre,1,No link with beaver,non,554828
anis vert,94,No link with beaver,non,554828
anis vert à distiller,2,No link with beaver,non,554828
anisette,113,No link with beaver,non,554828
anisette au fiasque,6,No link with beaver,non,554828
anisette de Bordeaux,2,No link with beaver,non,554828
anneau de cuivre,1,No link with beaver,non,554828
anneau de fer,2,No link with beaver,non,554828
anneaux de cuivre,1,No link with beaver,non,554828
anneaux de fer,1,No link with beaver,non,554828
ânon,2,No link with beaver,non,554828
anspects,128,No link with beaver,non,554828
anspects de 3 à 4 pieds,1,No link with beaver,non,554828
anspects de bois,27,No link with beaver,non,554828
anspects de sapin,1,No link with beaver,non,554828
antale,3,No link with beaver,non,554828
antale et cauris,1,No link with beaver,non,554828
antenelle,1,No link with beaver,non,554828
antennes,2,No link with beaver,non,554828
antennes et mâts de bateaux,1,No link with beaver,non,554828
antimoine,221,No link with beaver,non,554828
antimoine cru,27,No link with beaver,non,554828
antimoine métallique et sulfuré,2,No link with beaver,non,554828
antimoine préparé,2,No link with beaver,non,554828
antimoine vert,1,No link with beaver,non,554828
antofle,1,No link with beaver,non,554828
antofle de girofle,11,No link with beaver,non,554828
apasier,1,No link with beaver,non,554828
apier,3,No link with beaver,non,554828
apios,7,No link with beaver,non,554828
apparaux,1,No link with beaver,non,554828
apparaux et bâtiments de mer,38,No link with beaver,non,554828
apprêtée à toiler les livres,1,No link with beaver,non,554828
apprêtée pour parchemins,1,No link with beaver,non,554828
apprêts,1,No link with beaver,non,554828
arachis olives fraîches,1,No link with beaver,non,554828
arains,6,No link with beaver,non,554828
arak,17,No link with beaver,non,554828
arbalètes,1,No link with beaver,non,554828
arbalètrie et cartes marines,1,No link with beaver,non,554828
arbres,7,No link with beaver,non,554828
arbres à fruits,2,No link with beaver,non,554828
arbres à planter,142,No link with beaver,non,554828
arbres châtaignier,4,No link with beaver,non,554828
arbres d' ???,1,No link with beaver,non,554828
arbres d'auban,1,No link with beaver,non,554828
arbres de sapin,1,No link with beaver,non,554828
arbres et arbrisseaux,25,No link with beaver,non,554828
arbres et arbrisseaux à fruits,1,No link with beaver,non,554828
arbres et arbrisseaux sauvages,1,No link with beaver,non,554828
arbres et arbustes,6,No link with beaver,non,554828
arbres et plants,1,No link with beaver,non,554828
arbres fruitiers,88,No link with beaver,non,554828
arbres marronniers à planter,1,No link with beaver,non,554828
arbres nains,1,No link with beaver,non,554828
arbres tilleul,3,No link with beaver,non,554828
arbrisseaux,9,No link with beaver,non,554828
arbustes,3,No link with beaver,non,554828
arcanette,1,No link with beaver,non,554828
arcanie,1,No link with beaver,non,554828
arcanson,4,No link with beaver,non,554828
arcanum duplicatum,2,No link with beaver,non,554828
archets de violons,1,No link with beaver,non,554828
archets et violon,1,No link with beaver,non,554828
arçons de bas de bois,1,No link with beaver,non,554828
arçons de bois,1,No link with beaver,non,554828
arçons de selles,14,No link with beaver,non,554828
arçons démontés,1,No link with beaver,non,554828
ardoise,366,No link with beaver,non,554828
ardoise à piler,1,No link with beaver,non,554828
ardoise commune,2,No link with beaver,non,554828
ardoise dite chérubin et à mortier,1,No link with beaver,non,554828
ardoise dite grande voisine,1,No link with beaver,non,554828
ardoise dite moyenne voisine,1,No link with beaver,non,554828
ardoise dite petite voisine,1,No link with beaver,non,554828
ardoise dite voisine grande moyenne et petite,2,No link with beaver,non,554828
ardoise en carreaux,1,No link with beaver,non,554828
ardoise en carreaux et d'1 pied carré,1,No link with beaver,non,554828
ardoise en carreaux ou en table,7,No link with beaver,non,554828
ardoise en livret,1,No link with beaver,non,554828
ardoise encadrée,1,No link with beaver,non,554828
ardoise encadrée et en livret,1,No link with beaver,non,554828
ardoise non travaillée,1,No link with beaver,non,554828
ardoise pour fenêtre,6,No link with beaver,non,554828
ardoise pour toiture,8,No link with beaver,non,554828
ardoise pour toiture au kilogramme,1,No link with beaver,non,554828
ardoise pour toiture au nombre,2,No link with beaver,non,554828
ardoise verte,1,No link with beaver,non,554828
ardoises,1,,non,2639
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,No link with beaver,non,554828
arelles de baleine,1,No link with beaver,non,554828
argent,11,No link with beaver,non,554828
argent battu,1,No link with beaver,non,554828
argent battu et en feuille,2,No link with beaver,non,554828
argent battu filé laminé et tiré,3,No link with beaver,non,554828
argent brisé et en lingots et en masses,1,No link with beaver,non,554828
argent brûlé,1,No link with beaver,non,554828
argent brut,1,No link with beaver,non,554828
argent brut en lingot et en masse ouvrages détruits,2,No link with beaver,non,554828
argent carragoux,2,No link with beaver,non,554828
argent en barils,1,No link with beaver,non,554828
argent en barres,2,No link with beaver,non,554828
argent en lingots,18,No link with beaver,non,554828
argent en lingots par Calais,1,No link with beaver,non,554828
argent et or,237,No link with beaver,non,554828
argent et or billon,1,No link with beaver,non,554828
argent faux,9,No link with beaver,non,554828
argent faux en fil cantilles etc.,2,No link with beaver,non,554828
argent faux et or faux,53,No link with beaver,non,554828
argent faux et or faux traits,1,No link with beaver,non,554828
argent fin,1,No link with beaver,non,554828
argent monnayé et nogat d'or,4,No link with beaver,non,554828
argent vif,3,No link with beaver,non,554828
argenterie,732,No link with beaver,non,554828
argenterie épée,7,No link with beaver,non,554828
argenterie et bijouterie,14,No link with beaver,non,554828
argenterie et bijouterie et orfèvrerie,1,No link with beaver,non,554828
argenterie et orfèvrerie,122,No link with beaver,non,554828
argenterie et orfèvrerie vermeil,37,No link with beaver,non,554828
argenterie neuve,4,No link with beaver,non,554828
argenterie vieille,12,No link with beaver,non,554828
argile et terre pour engrais,15,No link with beaver,non,554828
arins,1,No link with beaver,non,554828
aristoloche,68,No link with beaver,non,554828
armement de tables,3,No link with beaver,non,554828
armes,251,No link with beaver,non,554828
armes à feu,368,No link with beaver,non,554828
armes à feu de guerre,2,No link with beaver,non,554828
armes à feu de guerre et de traite,1,No link with beaver,non,554828
armes à feu de guerre portatives,2,No link with beaver,non,554828
armes à feu de luxe,4,No link with beaver,non,554828
armes à feu de luxe ou de traite,3,No link with beaver,non,554828
armes à feu de munitions,2,No link with beaver,non,554828
armes à feu de munitions fines,4,No link with beaver,non,554828
armes à feu de traite,1,No link with beaver,non,554828
armes à feu et artillerie,1,No link with beaver,non,554828
armes à feu et de traite,1,No link with beaver,non,554828
armes à feu et fusils,1,No link with beaver,non,554828
armes armureries,1,No link with beaver,non,554828
armes autres que de guerre à feu,1,No link with beaver,non,554828
armes autres que de guerre blanches,1,No link with beaver,non,554828
armes blanches,201,No link with beaver,non,554828
armes blanches de guerre,1,No link with beaver,non,554828
armes blanches de guerre et de traite,1,No link with beaver,non,554828
armes blanches de luxe,2,No link with beaver,non,554828
armes blanches de luxe ou de traite,3,No link with beaver,non,554828
armes blanches de traite,1,No link with beaver,non,554828
armes de chasse ou de luxe à feu,2,No link with beaver,non,554828
armes de chasse ou de luxe blanches,2,No link with beaver,non,554828
armes de guerre,2,No link with beaver,non,554828
armes différentes,1,No link with beaver,non,554828
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,No link with beaver,non,554828
armes et munitions,9,No link with beaver,non,554828
armes lames,1,No link with beaver,non,554828
armes remontrances,1,No link with beaver,non,554828
armoires,57,No link with beaver,non,554828
armoires ayant servi,1,No link with beaver,non,554828
armoires d'acajou,12,No link with beaver,non,554828
armoires de bois,2,No link with beaver,non,554828
armoires de bois de noyer,1,No link with beaver,non,554828
armoires de bois de sapin peintes,1,No link with beaver,non,554828
armoires de bois des Indes,1,No link with beaver,non,554828
armoires de chêne,9,No link with beaver,non,554828
armoires de chêne ornée,1,No link with beaver,non,554828
armoires de noyer,9,No link with beaver,non,554828
armoires de sapin,4,No link with beaver,non,554828
armoires et commodes,1,No link with beaver,non,554828
armoires vieilles,2,No link with beaver,non,554828
armoisin,46,No link with beaver,non,554828
armure de fer,1,No link with beaver,non,554828
armure vieille,1,No link with beaver,non,554828
arnas,1,No link with beaver,non,554828
arquebuse,1,No link with beaver,non,554828
arrangas,1,No link with beaver,non,554828
arrosoirs,6,No link with beaver,non,554828
arrosoirs de bois,2,No link with beaver,non,554828
arrosoirs de cuivre,1,No link with beaver,non,554828
arrosoirs de fer,1,No link with beaver,non,554828
arrosoirs de fer-blanc,6,No link with beaver,non,554828
arrosoirs de sapin,1,No link with beaver,non,554828
arrosoirs de terre,1,No link with beaver,non,554828
arrowroot,1,No link with beaver,non,554828
arséniate de potasse,2,No link with beaver,non,554828
arsenic,411,No link with beaver,non,554828
arsenic métallique,6,No link with beaver,non,554828
artichauts,78,No link with beaver,non,554828
artichauts champignons et truffes,2,No link with beaver,non,554828
artichauts confits,68,No link with beaver,non,554828
artichauts frais,17,No link with beaver,non,554828
artichauts marinés,2,No link with beaver,non,554828
artichauts secs,6,No link with beaver,non,554828
artifice,5,No link with beaver,non,554828
artifice fusées etc.,1,No link with beaver,non,554828
artillerie,6,No link with beaver,non,554828
asa fœtida,123,No link with beaver,non,554828
asperges,9,No link with beaver,non,554828
asperges confites,1,No link with beaver,non,554828
asperges et scorsonères,1,No link with beaver,non,554828
asphaltum,19,No link with beaver,non,554828
assiette,1,No link with beaver,non,554828
assiette de Biarritz,1,No link with beaver,non,554828
assiette de bois,1,No link with beaver,non,554828
assiette de faïence,8,No link with beaver,non,554828
assiette de porcelaine,3,No link with beaver,non,554828
assiette de porcelaine des Indes,1,No link with beaver,non,554828
assiette de terre,6,No link with beaver,non,554828
assiette et plats de terre,1,No link with beaver,non,554828
asustum,1,No link with beaver,non,554828
atastes,1,No link with beaver,non,554828
atchiabanis,14,No link with beaver,non,554828
atlas,2,No link with beaver,non,554828
atlas à la feuille d'or,1,No link with beaver,non,554828
atlas et instruments de marine,2,No link with beaver,non,554828
atlas jaspé,1,No link with beaver,non,554828
attaches de cuivre,1,No link with beaver,non,554828
attelles de colliers,14,No link with beaver,non,554828
aube,1,No link with beaver,non,554828
auchinoise,2,No link with beaver,non,554828
auclimes,3,No link with beaver,non,554828
auf,117,No link with beaver,non,554828
augemy,2,No link with beaver,non,554828
auges,3,No link with beaver,non,554828
auges de carreaux,2,No link with beaver,non,554828
augustins,2,No link with beaver,non,554828
aurcsats,1,No link with beaver,non,554828
aurcsats étoile,1,No link with beaver,non,554828
aussière,2,No link with beaver,non,554828
autel de marbre,2,No link with beaver,non,554828
aux travaux du Roi,2,,non,2639
avelanèdes,59,No link with beaver,non,554828
avelines,9,No link with beaver,non,554828
avelines et noisettes sèches,22,No link with beaver,non,554828
avelines faînes noisettes noix,1,No link with beaver,non,554828
avelines noisettes noix,5,No link with beaver,non,554828
avirons,647,No link with beaver,non,554828
avirons bruts,17,No link with beaver,non,554828
avirons de 12 pieds,1,No link with beaver,non,554828
avirons de 18 pieds,1,No link with beaver,non,554828
avirons de 30 pieds,1,No link with beaver,non,554828
avirons de 5 pieds,1,No link with beaver,non,554828
avirons de 8 à 12 pieds,1,No link with beaver,non,554828
