simplification,nbr_occurences_simpl,obsolete,porcelaine,nbr_occurences_porcelaine
delimineas,1,non,Sans lien avec la porcelaine,815441
demi drap de Glaster,2,non,,37165
demi guinée bleue,1,non,,37165
demi-ancres vides,1,non,,37165
demi-barriques cerclées de fer,1,non,Sans lien avec la porcelaine,815441
demi-camelot,1,non,,37165
demi-cuirs de bœuf tannés,16,non,Sans lien avec la porcelaine,815441
demi-cuirs forts tannés,1,non,,37165
demi-cuirs tannés,7,non,,37165
demi-cuirs tannés de vache,0,non,Sans lien avec la porcelaine,815441
demi-drap de Glaster,2,non,,37165
demi-drap de laine,1,non,,37165
demi-écarlatine,2,non,,37165
demi-guinée,2,non,Sans lien avec la porcelaine,815441
demi-guinée bleue,3,non,Sans lien avec la porcelaine,815441
demi-indienne,1,non,,37165
demi-meules de moulin,1,non,,37165
demi-peaux de chevreuil,1,non,Sans lien avec la porcelaine,815441
demi-perpétuane,1,non,,37165
demi-picotte,1,non,,37165
demi-planches,5,non,Sans lien avec la porcelaine,815441
demi-planches de Prusse,6,non,,37165
demi-planches de sapin,23,non,,37165
demi-planches de sapin de 3 à 4 pieds de long et de 1 pouce d'épaisseur,2,non,Sans lien avec la porcelaine,815441
"demi-planches de sapin de 3 à 5 pieds de long et de 1,25 pouce d'épaisseur",2,non,Sans lien avec la porcelaine,815441
"demi-planches de sapin de 3 à 5,5 pieds de long et de 1,5 à 1,35 pouce d'épaisseur",3,non,Sans lien avec la porcelaine,815441
demi-poutres,6,non,Sans lien avec la porcelaine,815441
demi-scarlatine,1,non,,37165
demi-serge d'Aumale,1,non,,37165
demi-siamoise,1,non,,37165
demi-soucis,1,non,,37165
demi-taffetas,1,non,,37165
demitte,186,non,Sans lien avec la porcelaine,815441
demitte et futaine,153,non,,37165
demoiselle,12,non,Sans lien avec la porcelaine,815441
demoiselle de 25 pieds,1,non,,37165
demoiselle de bois,1,non,,37165
demoiselle de sapin,2,non,Sans lien avec la porcelaine,815441
denrées coloniales,17,non,Sans lien avec la porcelaine,815441
denrées coloniales et épicerie,22,non,Sans lien avec la porcelaine,815441
dentelle,325,non,Sans lien avec la porcelaine,815441
dentelle à peu de soie,3,non,Sans lien avec la porcelaine,815441
dentelle blanche,2,non,Sans lien avec la porcelaine,815441
dentelle blonde de soie,1,non,Sans lien avec la porcelaine,815441
dentelle commune,63,non,Sans lien avec la porcelaine,815441
dentelle d'Alençon,1,non,Sans lien avec la porcelaine,815441
dentelle d'Andelys,1,non,Sans lien avec la porcelaine,815441
dentelle d'argent,22,non,Sans lien avec la porcelaine,815441
dentelle d'argent et d'or,62,non,Sans lien avec la porcelaine,815441
dentelle d'argent et d'or faux,2,non,Sans lien avec la porcelaine,815441
dentelle d'argent faux,5,non,Sans lien avec la porcelaine,815441
dentelle d'argent fin,6,non,Sans lien avec la porcelaine,815441
dentelle d'or,8,non,Sans lien avec la porcelaine,815441
dentelle d'or et d'argent,12,non,Sans lien avec la porcelaine,815441
dentelle d'or et d'argent faux,3,non,Sans lien avec la porcelaine,815441
dentelle d'or et d'argent fin,5,non,Sans lien avec la porcelaine,815441
dentelle d'or faux,4,non,Sans lien avec la porcelaine,815441
dentelle d'or fin,8,non,Sans lien avec la porcelaine,815441
dentelle de Bretagne,2,non,Sans lien avec la porcelaine,815441
dentelle de Caen,24,non,Sans lien avec la porcelaine,815441
dentelle de chanvre et de lin,8,non,Sans lien avec la porcelaine,815441
dentelle de coton et blonde de coton,18,non,Sans lien avec la porcelaine,815441
dentelle de Dieppe,1,non,Sans lien avec la porcelaine,815441
dentelle de fer,1,non,Sans lien avec la porcelaine,815441
dentelle de fil,454,non,Sans lien avec la porcelaine,815441
dentelle de fil 2 lignes,1,non,Sans lien avec la porcelaine,815441
dentelle de fil blanc,333,non,Sans lien avec la porcelaine,815441
dentelle de fil blanc commune,1,non,Sans lien avec la porcelaine,815441
dentelle de fil blanc de Lille,1,non,Sans lien avec la porcelaine,815441
dentelle de fil commune,71,non,Sans lien avec la porcelaine,815441
dentelle de fil d'Alençon,1,non,Sans lien avec la porcelaine,815441
dentelle de fil d'or faux,1,non,Sans lien avec la porcelaine,815441
dentelle de fil d'or fin,2,non,Sans lien avec la porcelaine,815441
dentelle de fil de ??? et Reims,2,non,Sans lien avec la porcelaine,815441
dentelle de fil de Bergame,1,non,Sans lien avec la porcelaine,815441
dentelle de fil de Caen,9,non,Sans lien avec la porcelaine,815441
dentelle de fil de crin,2,non,Sans lien avec la porcelaine,815441
dentelle de fil de Flandre,10,non,Sans lien avec la porcelaine,815441
dentelle de fil de laine,1,non,Sans lien avec la porcelaine,815441
dentelle de fil de lin,1,non,Sans lien avec la porcelaine,815441
dentelle de fil de Normandie,4,non,Sans lien avec la porcelaine,815441
dentelle de fil de soie,5,non,Sans lien avec la porcelaine,815441
dentelle de fil de Valenciennes,3,non,,37165
dentelle de fil dorure d'argent,2,non,Sans lien avec la porcelaine,815441
dentelle de fil du Puy,70,non,Sans lien avec la porcelaine,815441
dentelle de fil du Puy et ???,2,non,Sans lien avec la porcelaine,815441
dentelle de fil et de soie,10,oui,Sans lien avec la porcelaine,815441
dentelle de fil et soie,61,non,Sans lien avec la porcelaine,815441
dentelle de fil et tulle,31,non,Sans lien avec la porcelaine,815441
dentelle de fil et Valenciennes,3,oui,Sans lien avec la porcelaine,815441
dentelle de fil fine,24,non,Sans lien avec la porcelaine,815441
dentelle de fil grosse,32,non,Sans lien avec la porcelaine,815441
dentelle de Flandre,10,non,Sans lien avec la porcelaine,815441
dentelle de France,2,non,Sans lien avec la porcelaine,815441
dentelle de gaze,1,non,,37165
dentelle de Gisors,2,non,Sans lien avec la porcelaine,815441
dentelle de Lille,2,non,Sans lien avec la porcelaine,815441
dentelle de Malines,3,non,Sans lien avec la porcelaine,815441
dentelle de Normandie,2,non,Sans lien avec la porcelaine,815441
dentelle de pays,2,non,Sans lien avec la porcelaine,815441
dentelle de Rouen,1,non,Sans lien avec la porcelaine,815441
dentelle de soie,527,non,Sans lien avec la porcelaine,815441
dentelle de soie au quart,1,non,Sans lien avec la porcelaine,815441
dentelle de soie blanche,3,non,Sans lien avec la porcelaine,815441
dentelle de soie blonde,190,non,Sans lien avec la porcelaine,815441
dentelle de soie de Rouen,3,non,Sans lien avec la porcelaine,815441
dentelle de soie et de fil,1,oui,Sans lien avec la porcelaine,815441
dentelle de soie noire,1,non,Sans lien avec la porcelaine,815441
dentelle de toute autre sorte que soie,1,non,Sans lien avec la porcelaine,815441
dentelle de toute sorte,3,oui,,37165
dentelle dorure,5,oui,,37165
dentelle dorure d'argent,12,non,Sans lien avec la porcelaine,815441
dentelle dorure d'argent et d'or,18,non,Sans lien avec la porcelaine,815441
dentelle dorure d'or,7,non,Sans lien avec la porcelaine,815441
dentelle dorure d'or faux,4,non,Sans lien avec la porcelaine,815441
dentelle du Havre,20,non,Sans lien avec la porcelaine,815441
dentelle du pays,2,non,,37165
dentelle du Puy,191,non,Sans lien avec la porcelaine,815441
dentelle du Puy en soie,1,non,,37165
dentelle en coiffures et manchettes,1,non,Sans lien avec la porcelaine,815441
dentelle en dorure,5,oui,Sans lien avec la porcelaine,815441
dentelle et blonde,19,non,Sans lien avec la porcelaine,815441
dentelle et galon et passementerie,54,non,Sans lien avec la porcelaine,815441
dentelle et galon et passementerie et ruban,28,non,Sans lien avec la porcelaine,815441
dentelle fine,31,non,Sans lien avec la porcelaine,815441
dentelle grosse,19,non,Sans lien avec la porcelaine,815441
dentelle mi soie,3,non,Sans lien avec la porcelaine,815441
dentelle moyenne,1,non,Sans lien avec la porcelaine,815441
dents d'éléphant,489,non,Sans lien avec la porcelaine,815441
dents d'éléphant d'hippopotame et autres,2,oui,Sans lien avec la porcelaine,815441
dents d'éléphant entières,4,non,Sans lien avec la porcelaine,815441
dents d'éléphant entières des entrepôts,0,non,Sans lien avec la porcelaine,815441
dents d'éléphant sciées,4,non,Sans lien avec la porcelaine,815441
dents d'éléphants d'hippopotame et autres,2,non,,37165
dents d'ivoire,1,non,,37165
dents de cheval marin,4,non,Sans lien avec la porcelaine,815441
dents de chien marin,2,non,Sans lien avec la porcelaine,815441
dents de morphil,103,oui,Sans lien avec la porcelaine,815441
dents de vache marine,15,non,Sans lien avec la porcelaine,815441
dépêche,1,non,,37165
der demi-plat,1,non,Sans lien avec la porcelaine,815441
derle,82,non,Sans lien avec la porcelaine,815441
dés,1,non,Sans lien avec la porcelaine,815441
dés à coudre,38,non,Sans lien avec la porcelaine,815441
dés à coudre de cuivre,6,non,Sans lien avec la porcelaine,815441
dés à coudre de cuivre et fer,1,non,Sans lien avec la porcelaine,815441
dés à coudre de fer,4,non,Sans lien avec la porcelaine,815441
dés à jouer,13,non,Sans lien avec la porcelaine,815441
dés d'acier,4,non,Sans lien avec la porcelaine,815441
dés de cuivre,34,non,Sans lien avec la porcelaine,815441
dés de fer,28,non,Sans lien avec la porcelaine,815441
dés de laiton,10,non,Sans lien avec la porcelaine,815441
déserteur,1,non,,37165
déshabillé,1,non,Sans lien avec la porcelaine,815441
despeigne,1,non,Sans lien avec la porcelaine,815441
dessins de papier,2,non,Sans lien avec la porcelaine,815441
dessus de souliers brodés,2,non,Sans lien avec la porcelaine,815441
dessus de table de marbre,1,non,Sans lien avec la porcelaine,815441
devant d'autel,1,non,,37165
devant de vestes,48,non,Sans lien avec la porcelaine,815441
devant de vestes de basin,1,non,Sans lien avec la porcelaine,815441
dévidoir,2,non,Sans lien avec la porcelaine,815441
diables de mer,8,non,Sans lien avec la porcelaine,815441
diactamy en fleurs,1,non,Sans lien avec la porcelaine,815441
diagedum,1,non,Sans lien avec la porcelaine,815441
diagrede,1,non,Sans lien avec la porcelaine,815441
dialbequier,1,non,Sans lien avec la porcelaine,815441
diamants,1,non,Sans lien avec la porcelaine,815441
diamants brutes,1,non,Sans lien avec la porcelaine,815441
diamants bruts,3,non,Sans lien avec la porcelaine,815441
diamants fins,2,non,Sans lien avec la porcelaine,815441
diamants perles et pierres fines,50,non,Sans lien avec la porcelaine,815441
diamants perles et pierres fines non montés,13,non,Sans lien avec la porcelaine,815441
diamants taillés,6,non,Sans lien avec la porcelaine,815441
dictame,11,non,Sans lien avec la porcelaine,815441
dictionnaire du commerce,1,non,Sans lien avec la porcelaine,815441
dictionnaire hollandais,1,non,Sans lien avec la porcelaine,815441
digilence comlète,1,oui,,37165
diligence complète,1,non,,37165
dimelle,1,non,Sans lien avec la porcelaine,815441
dimitte et futaine,2,oui,Sans lien avec la porcelaine,815441
dindes,8,non,Sans lien avec la porcelaine,815441
dindonneaux,10,non,Sans lien avec la porcelaine,815441
dindons,37,non,Sans lien avec la porcelaine,815441
dissouchaye,38,non,Sans lien avec la porcelaine,815441
distillats,2,non,Sans lien avec la porcelaine,815441
ditors,2,non,Sans lien avec la porcelaine,815441
divers,9699,non,Sans lien avec la porcelaine,815441
dividivi,1,non,Sans lien avec la porcelaine,815441
doloirs,1,non,Sans lien avec la porcelaine,815441
domino,2,non,Sans lien avec la porcelaine,815441
dominoterie,134,non,Sans lien avec la porcelaine,815441
dominoterie en images,10,non,Sans lien avec la porcelaine,815441
dominoterie et cartes géographiques,2,non,Sans lien avec la porcelaine,815441
doraze,4,non,Sans lien avec la porcelaine,815441
doréas,9,non,Sans lien avec la porcelaine,815441
doréas brodées en couleur,1,non,Sans lien avec la porcelaine,815441
doréas de Zurich,2,non,Sans lien avec la porcelaine,815441
doréas mega,1,non,,37165
dorpins en pierre,0,non,Sans lien avec la porcelaine,815441
dorure,13,non,Sans lien avec la porcelaine,815441
dorure de Zurich,1,non,Sans lien avec la porcelaine,815441
dorure en galon fine,4,non,Sans lien avec la porcelaine,815441
dorure et soie,1,non,Sans lien avec la porcelaine,815441
dorure fausse,78,non,Sans lien avec la porcelaine,815441
dorure fausse en or et argent,5,non,Sans lien avec la porcelaine,815441
dorure fausse en or et argent battu tiré et laminé,8,non,Sans lien avec la porcelaine,815441
dorure fausse en paillettes,1,non,,37165
dorure fausse et fine,1,non,Sans lien avec la porcelaine,815441
dorure fine,780,non,Sans lien avec la porcelaine,815441
dorure fine en galon,2,non,,37165
dorure fine en galon d'or,1,oui,Sans lien avec la porcelaine,815441
dorure fine fil d'or passementerie,1,non,,37165
dorure fine sur soie,1,oui,Sans lien avec la porcelaine,815441
dos gorges et ventres de fouines martes et renard,2,non,Sans lien avec la porcelaine,815441
dos gorges et ventres de petit gris,2,non,Sans lien avec la porcelaine,815441
dospin en pierre,2,non,Sans lien avec la porcelaine,815441
dossiers de chaises,11,non,Sans lien avec la porcelaine,815441
dossiers de lit en satin,2,non,,37165
dossiers de lit en satin brodé,2,non,,37165
doublage de bois de pin,1,non,Sans lien avec la porcelaine,815441
doublures de martre pour habits,3,non,Sans lien avec la porcelaine,815441
doublures de petis gris,1,non,Sans lien avec la porcelaine,815441
douelle de chêne,1,non,,37165
douelles,202,non,Sans lien avec la porcelaine,815441
douelles à barils,17,oui,Sans lien avec la porcelaine,815441
douelles à barricages,2,oui,,37165
douelles à barrique,,oui,Sans lien avec la porcelaine,815441
douelles à barriques,83,oui,Sans lien avec la porcelaine,815441
douelles à barriques 3m 1/8,1,oui,Sans lien avec la porcelaine,815441
douelles à barriques neuves,1,oui,,37165
douelles à barriques vieilles,3,oui,Sans lien avec la porcelaine,815441
douelles à bottes,1,oui,Sans lien avec la porcelaine,815441
douelles à bure,1,oui,,37165
douelles à buses,2,oui,Sans lien avec la porcelaine,815441
douelles à cave,1,oui,Sans lien avec la porcelaine,815441
douelles à cuve,1,oui,Sans lien avec la porcelaine,815441
douelles à fond,12,oui,Sans lien avec la porcelaine,815441
douelles à fonds,9,oui,,37165
douelles à pièce,1,oui,Sans lien avec la porcelaine,815441
douelles à pipes,70,oui,Sans lien avec la porcelaine,815441
douelles à poinçons,1,oui,,37165
douelles à quart,7,oui,Sans lien avec la porcelaine,815441
douelles à tierçons,3,oui,Sans lien avec la porcelaine,815441
douelles à tonneau,167,oui,Sans lien avec la porcelaine,815441
douelles à tonneau vieilles,1,oui,Sans lien avec la porcelaine,815441
douelles de 4 pieds,1,non,,37165
douelles de 5 pieds,1,non,,37165
douelles de chêne,3,non,Sans lien avec la porcelaine,815441
douelles de chêne de 3 pieds,1,non,,37165
douelles de chêne de 4 pieds,1,non,,37165
douelles de chêne de 5 pieds,1,non,,37165
douelles de sapin,15,non,Sans lien avec la porcelaine,815441
douelles de sapin de 3 pieds,1,non,,37165
douelles en barriques,1,oui,Sans lien avec la porcelaine,815441
douelles fonçaille,2,non,Sans lien avec la porcelaine,815441
douelles fonçaille 2m 1/2,1,oui,Sans lien avec la porcelaine,815441
douelles ganivelles,6,oui,Sans lien avec la porcelaine,815441
douelles merrains à quart,1,oui,,37165
douelles merrains pour quarts,1,oui,,37165
douelles pour barils,52,non,,37165
douelles pour barricages,1,non,,37165
douelles pour barrique,2,non,Sans lien avec la porcelaine,815441
douelles pour barriques,337,non,,37165
douelles pour barriques 3m 1/8,1,non,,37165
douelles pour barriques neuves,1,non,,37165
douelles pour barriques vieilles,3,non,,37165
douelles pour bœuf,2,non,,37165
douelles pour bordage,1,non,,37165
douelles pour bottes,2,non,,37165
douelles pour bure,1,non,,37165
douelles pour buses,3,non,,37165
douelles pour cave,1,non,,37165
douelles pour cuve,1,non,,37165
douelles pour fonds,18,non,Sans lien avec la porcelaine,815441
douelles pour pièce,1,non,,37165
douelles pour pipes,286,non,,37165
douelles pour poinçons,1,non,,37165
douelles pour quarts,51,non,,37165
douelles pour tierçons,16,non,,37165
douelles pour tonneau,10,non,,37165
douelles pour tonneaux,165,non,,37165
douelles pour tonneaux vieilles,1,non,,37165
douelles vieilles,3,non,Sans lien avec la porcelaine,815441
douelles vieilles à barriques,3,oui,Sans lien avec la porcelaine,815441
douelles vieilles pour barriques,3,non,,37165
dousoutis,1,non,,37165
doutis,8,non,Sans lien avec la porcelaine,815441
doutis blancs,2,non,Sans lien avec la porcelaine,815441
doutis bleus,1,non,Sans lien avec la porcelaine,815441
douvain,1,non,Sans lien avec la porcelaine,815441
douvelles,1,non,Sans lien avec la porcelaine,815441
douvelles de sapin,1,non,Sans lien avec la porcelaine,815441
douves,3,non,Sans lien avec la porcelaine,815441
douves à tonneaux,4303,non,Sans lien avec la porcelaine,815441
douves de deux pouces,2,non,Sans lien avec la porcelaine,815441
douves de la foire de Beaucaire,1,non,,37165
douves vielles,1,non,,37165
dracodium,1,non,Sans lien avec la porcelaine,815441
dragées,139,non,Sans lien avec la porcelaine,815441
dragées de Keyser,3,non,Sans lien avec la porcelaine,815441
dragonnes,3,non,Sans lien avec la porcelaine,815441
dragonnes d'épée,1,non,Sans lien avec la porcelaine,815441
drague de bière,2,non,Sans lien avec la porcelaine,815441
drague de soie,1,non,,37165
drap,1422,non,Sans lien avec la porcelaine,815441
drap ???,1,non,,37165
drap 20 lignes,1,oui,Sans lien avec la porcelaine,815441
drap à doubler,4,non,Sans lien avec la porcelaine,815441
drap à la valeur,1,oui,Sans lien avec la porcelaine,815441
drap à matelot,1,non,Sans lien avec la porcelaine,815441
drap à nègre,2,non,Sans lien avec la porcelaine,815441
drap à sucre,6,non,Sans lien avec la porcelaine,815441
drap anglais,1,non,Sans lien avec la porcelaine,815441
drap au ??? de soie,0,non,,37165
drap au quart de soie,3,non,,37165
drap au sixième de soie,7,non,Sans lien avec la porcelaine,815441
drap avarié,7,non,Sans lien avec la porcelaine,815441
drap blanc,126,non,Sans lien avec la porcelaine,815441
drap blanc d'Espagne,3,non,Sans lien avec la porcelaine,815441
drap blanc de Bremer,4,non,Sans lien avec la porcelaine,815441
drap blanc de douzaine,26,non,Sans lien avec la porcelaine,815441
drap blanc de douzaine aune,1,oui,Sans lien avec la porcelaine,815441
drap blanc de Hollande,1,non,Sans lien avec la porcelaine,815441
drap blanc de laine,1,oui,Sans lien avec la porcelaine,815441
drap blanc du Nord,3,non,Sans lien avec la porcelaine,815441
drap blanc et écarlate,1,non,Sans lien avec la porcelaine,815441
drap blanc fin,2,non,Sans lien avec la porcelaine,815441
drap blanc par aune,2,oui,Sans lien avec la porcelaine,815441
drap bleu,2,non,Sans lien avec la porcelaine,815441
drap bleu gros,1,non,,37165
drap bouthouchou,1,non,,37165
drap brodé au ciseau en soie,1,non,Sans lien avec la porcelaine,815441
drap brodé de soie,20,non,Sans lien avec la porcelaine,815441
drap brodé en or et argent,5,non,Sans lien avec la porcelaine,815441
drap brodé en soie,3,oui,Sans lien avec la porcelaine,815441
drap buras,1,non,Sans lien avec la porcelaine,815441
drap bure,1,non,Sans lien avec la porcelaine,815441
drap cad ???,1,non,Sans lien avec la porcelaine,815441
drap cammise,2,non,Sans lien avec la porcelaine,815441
drap commun,326,non,Sans lien avec la porcelaine,815441
drap commun d'Angleterre,1,non,Sans lien avec la porcelaine,815441
drap cordeillat,41,oui,Sans lien avec la porcelaine,815441
drap cordeillat de Colmar,2,oui,Sans lien avec la porcelaine,815441
drap cosinis,1,non,Sans lien avec la porcelaine,815441
drap crêpe,2,non,Sans lien avec la porcelaine,815441
drap crêpe de Reims,4,non,Sans lien avec la porcelaine,815441
drap d',3,non,,37165
drap d'Abbeville,115,non,Sans lien avec la porcelaine,815441
drap d'Abbeville Valenciennes,1,non,,37165
drap d'Amboise,1,non,Sans lien avec la porcelaine,815441
drap d'Amiens,38,non,Sans lien avec la porcelaine,815441
drap d'Andelis,,oui,Sans lien avec la porcelaine,815441
drap d'Andelys,28,non,Sans lien avec la porcelaine,815441
drap d'Angleterre,36,non,Sans lien avec la porcelaine,815441
drap d'Angleterre aune,1,oui,Sans lien avec la porcelaine,815441
drap d'Angleterre des prises,3,non,Sans lien avec la porcelaine,815441
drap d'Angleterre et drap d'Espagne et drap de Hollande,11,non,,37165
drap d'Angleterre noir,1,non,Sans lien avec la porcelaine,815441
drap d'argent et d'or et de soie,1,non,Sans lien avec la porcelaine,815441
drap d'Arnetal,40,non,Sans lien avec la porcelaine,815441
drap d'aucrin,1,non,Sans lien avec la porcelaine,815441
drap d'Aumale,2,non,Sans lien avec la porcelaine,815441
drap d'Auvergne,1,non,,37165
drap d'Elbeuf,608,non,Sans lien avec la porcelaine,815441
drap d'Elbeuf de retour,2,non,Sans lien avec la porcelaine,815441
drap d'Elbeuf de velours,1,non,Sans lien avec la porcelaine,815441
drap d'Espagne,18,non,Sans lien avec la porcelaine,815441
drap d'Espagne aune,1,oui,Sans lien avec la porcelaine,815441
drap d'Espagne teint,3,non,Sans lien avec la porcelaine,815441
drap d'estames,1,non,Sans lien avec la porcelaine,815441
drap d'étoupes,1,oui,,37165
drap d'or et d'argent fin,2,non,Sans lien avec la porcelaine,815441
drap Damas,1,non,Sans lien avec la porcelaine,815441
drap dauphine,113,non,Sans lien avec la porcelaine,815441
drap de ?,0,non,Sans lien avec la porcelaine,815441
drap de 20 lignes,1,non,,37165
drap de Beauvais,12,non,Sans lien avec la porcelaine,815441
drap de Bergopzoom,1,non,Sans lien avec la porcelaine,815441
drap de billard,2,non,Sans lien avec la porcelaine,815441
drap de Bolbec,1,non,Sans lien avec la porcelaine,815441
drap de Bourbon,1,non,Sans lien avec la porcelaine,815441
drap de bourbon peint,1,non,Sans lien avec la porcelaine,815441
drap de Carcassonne,218,non,Sans lien avec la porcelaine,815441
drap de Carcassonne de 20 aunes,1,non,,37165
drap de Carcassonne et écarlate,1,non,Sans lien avec la porcelaine,815441
drap de Carcassonne fin,1,non,,37165
drap de castor,83,non,Sans lien avec la porcelaine,815441
drap de castor par aune,2,oui,Sans lien avec la porcelaine,815441
drap de cave à l'homme,1,non,,37165
drap de cérémonie,2,non,Sans lien avec la porcelaine,815441
drap de Champagne,1,non,Sans lien avec la porcelaine,815441
drap de Cherbourg,1,non,Sans lien avec la porcelaine,815441
drap de Cobras gros,1,non,Sans lien avec la porcelaine,815441
drap de Colmar,6,non,Sans lien avec la porcelaine,815441
drap de cordeillat,3,oui,Sans lien avec la porcelaine,815441
drap de coton,21,non,Sans lien avec la porcelaine,815441
drap de coton de Rouen,1,non,,37165
drap de coton et de fil,2,non,Sans lien avec la porcelaine,815441
drap de coton et étoffe de coton,25,non,Sans lien avec la porcelaine,815441
drap de coton et teint,1,non,Sans lien avec la porcelaine,815441
drap de coton et velours,1,non,,37165
drap de coton et velours de coton,5,non,Sans lien avec la porcelaine,815441
drap de coton imprimé,4,non,Sans lien avec la porcelaine,815441
drap de Cours,1,non,,37165
drap de Darnétal,26,non,,37165
drap de dauphine,1,non,Sans lien avec la porcelaine,815441
drap de dorure et soie,1,non,Sans lien avec la porcelaine,815441
drap de douzaine,15,non,Sans lien avec la porcelaine,815441
drap de douzaine et teint,1,oui,Sans lien avec la porcelaine,815441
drap de douzaine teint,13,non,,37165
drap de douzaine teint aune,1,oui,Sans lien avec la porcelaine,815441
drap de droguet,18,oui,Sans lien avec la porcelaine,815441
drap de Falaise,3,non,Sans lien avec la porcelaine,815441
drap de fil rouge,1,non,,37165
drap de fil vieux,1,non,Sans lien avec la porcelaine,815441
drap de France,92,non,Sans lien avec la porcelaine,815441
drap de Glasier,1,oui,Sans lien avec la porcelaine,815441
drap de Glaster,4,non,Sans lien avec la porcelaine,815441
drap de glaster,0,oui,Sans lien avec la porcelaine,815441
drap de glastes,2,oui,Sans lien avec la porcelaine,815441
drap de Glates,1,oui,Sans lien avec la porcelaine,815441
drap de Glouster,0,oui,Sans lien avec la porcelaine,815441
drap de Hollande,12,non,Sans lien avec la porcelaine,815441
drap de Hollande teint,11,non,Sans lien avec la porcelaine,815441
drap de julienne,22,non,Sans lien avec la porcelaine,815441
drap de Korook,1,non,Sans lien avec la porcelaine,815441
drap de la Bouille,2,non,Sans lien avec la porcelaine,815441
drap de laie,3,oui,,37165
drap de laine,11,non,Sans lien avec la porcelaine,815441
drap de laine ???,1,oui,,37165
drap de laine au ??? de soie,0,oui,Sans lien avec la porcelaine,815441
drap de laine au quart de soie,3,oui,Sans lien avec la porcelaine,815441
drap de laine avarié,1,oui,Sans lien avec la porcelaine,815441
drap de laine brodé de soie,1,oui,Sans lien avec la porcelaine,815441
drap de laine capots capots,1,oui,,37165
drap de laine commun,273,oui,Sans lien avec la porcelaine,815441
drap de laine cordeillat,25,oui,Sans lien avec la porcelaine,815441
drap de laine d'Amiens,10,oui,Sans lien avec la porcelaine,815441
drap de laine d'Andelys,9,oui,Sans lien avec la porcelaine,815441
drap de laine d'Angleterre,2,oui,,37165
drap de laine d'Auvergne,1,oui,,37165
drap de laine d'Elbeuf,212,oui,Sans lien avec la porcelaine,815441
drap de laine de 20 lignes,1,oui,,37165
drap de laine de Beauvais,5,oui,Sans lien avec la porcelaine,815441
drap de laine de Carcassonne,1,oui,,37165
drap de laine de cordeillat,5,oui,Sans lien avec la porcelaine,815441
drap de laine de Cours,1,oui,Sans lien avec la porcelaine,815441
drap de laine de dorure et soie,1,oui,,37165
drap de laine de Lille,15,oui,Sans lien avec la porcelaine,815441
drap de laine de Louviers,123,oui,Sans lien avec la porcelaine,815441
drap de laine de Lyon,2,oui,,37165
drap de laine de Montauban,21,oui,,37165
drap de laine de Nanrabais,4,oui,Sans lien avec la porcelaine,815441
drap de laine de Poitou,1,oui,,37165
drap de laine de Reims,1,oui,,37165
drap de laine de Saint-Robert,12,oui,Sans lien avec la porcelaine,815441
drap de laine de Sedan,0,oui,Sans lien avec la porcelaine,815441
drap de laine de Van Robais,51,oui,Sans lien avec la porcelaine,815441
drap de laine de Vir,1,oui,Sans lien avec la porcelaine,815441
drap de laine des prises,1,oui,,37165
drap de laine diverse,0,oui,Sans lien avec la porcelaine,815441
drap de laine draperie diverse,0,oui,Sans lien avec la porcelaine,815441
drap de laine du Languedoc,2,oui,,37165
drap de laine écarlate,7,oui,,37165
drap de laine élastique,1,non,,37165
drap de laine en échantillon et lisères,1,oui,,37165
drap de laine et de soie,1,non,Sans lien avec la porcelaine,815441
drap de laine et petits et étoffe,66,oui,Sans lien avec la porcelaine,815441
drap de laine fin,108,oui,Sans lien avec la porcelaine,815441
drap de laine fin et drap de laine,1,oui,,37165
drap de laine fin ordinaire et petit,1,oui,,37165
drap de laine frac,2,oui,,37165
drap de laine gros,2,oui,Sans lien avec la porcelaine,815441
drap de laine grossier,4,oui,,37165
drap de laine iada,1,oui,,37165
drap de laine layette,5,oui,,37165
drap de laine londrin,79,oui,Sans lien avec la porcelaine,815441
drap de laine molleton,47,oui,,37165
drap de laine motton,8,oui,,37165
drap de laine moutade,1,oui,,37165
drap de laine ordinaire,387,oui,,37165
drap de laine peint,2,oui,,37165
drap de laine petit,704,oui,,37165
drap de laine pour billau,1,oui,,37165
drap de laine pour doublures,3,oui,,37165
drap de laine pour les troupes,4,oui,Sans lien avec la porcelaine,815441
drap de laire grossier,2,oui,,37165
drap de Languedoc,150,non,Sans lien avec la porcelaine,815441
drap de Languedoc de velours,1,non,,37165
drap de Languedoc ordinaire,1,non,Sans lien avec la porcelaine,815441
drap de Languenan,1,non,Sans lien avec la porcelaine,815441
drap de Latte,1,non,Sans lien avec la porcelaine,815441
drap de Lille,34,non,Sans lien avec la porcelaine,815441
drap de Limbourg,16,non,Sans lien avec la porcelaine,815441
drap de Limoux,3,non,Sans lien avec la porcelaine,815441
drap de lin,13,non,Sans lien avec la porcelaine,815441
drap de lin ayant servi,2,non,Sans lien avec la porcelaine,815441
drap de lin vieux,8,non,Sans lien avec la porcelaine,815441
drap de linge commun,1,non,Sans lien avec la porcelaine,815441
drap de lit,70,non,Sans lien avec la porcelaine,815441
drap de lit ayant servi,2,non,Sans lien avec la porcelaine,815441
drap de lit commun,1,non,Sans lien avec la porcelaine,815441
drap de lit de lin,1,non,Sans lien avec la porcelaine,815441
drap de lit neuf,1,non,Sans lien avec la porcelaine,815441
