simplification,nbr_occurences_simpl,obsolete,porcelaine,nbr_occurences_porcelaine
agate ouvrée,,oui,Sans lien avec la porcelaine,815441
agneau,118,non,Sans lien avec la porcelaine,815441
agneau commun,7,non,Sans lien avec la porcelaine,815441
agneau en vie,5,non,Sans lien avec la porcelaine,815441
agneau et cabris,122,non,Sans lien avec la porcelaine,815441
agneau mérinos et métis,7,non,Sans lien avec la porcelaine,815441
agneau mouton commun,1,non,,37165
agnelines et crottelins,36,non,Sans lien avec la porcelaine,815441
agobille,4,non,,37165
agoutals,4,non,Sans lien avec la porcelaine,815441
agoutals de bois,5,non,Sans lien avec la porcelaine,815441
agrément,15,non,Sans lien avec la porcelaine,815441
agrément au quart,3,non,Sans lien avec la porcelaine,815441
agrément d'argent,2,non,Sans lien avec la porcelaine,815441
agrément d'or,1,non,Sans lien avec la porcelaine,815441
agrément d'or et d'argent,5,non,Sans lien avec la porcelaine,815441
agrément de fil,9,non,Sans lien avec la porcelaine,815441
agrément de fil et de soie,3,non,Sans lien avec la porcelaine,815441
agrément de fleur,1,non,Sans lien avec la porcelaine,815441
agrément de soie,57,non,Sans lien avec la porcelaine,815441
agrément de soie et d'argent,1,non,Sans lien avec la porcelaine,815441
agrément de soie or et argent faux,1,non,Sans lien avec la porcelaine,815441
agréments de soie et milleret,13,non,Sans lien avec la porcelaine,815441
agréments et milleret,38,non,Sans lien avec la porcelaine,815441
agrès,29,non,Sans lien avec la porcelaine,815441
agrès apparaux de navire et embarcations,6,non,Sans lien avec la porcelaine,815441
agrès apparaux et embarcations,2,non,Sans lien avec la porcelaine,815441
agrès de navire et jeux de voile,14,non,Sans lien avec la porcelaine,815441
agrès et apparaux,2,non,Sans lien avec la porcelaine,815441
agrès et apparaux d'or navire,1,non,,37165
agrès et bâtiments de mer,10,non,Sans lien avec la porcelaine,815441
agrès et embarcations,8,non,Sans lien avec la porcelaine,815441
agrès et voile de navire,1,oui,Sans lien avec la porcelaine,815441
aigles,4,non,Sans lien avec la porcelaine,815441
aigre de cèdre,9,non,Sans lien avec la porcelaine,815441
aigre de cidre,5,non,Sans lien avec la porcelaine,815441
aigre de vitriol,17,non,Sans lien avec la porcelaine,815441
aigrettes,10,non,Sans lien avec la porcelaine,815441
aigrettes de fil d'or et d'argent,1,non,Sans lien avec la porcelaine,815441
aigrettes de soie,1,non,Sans lien avec la porcelaine,815441
aigrettes de soie et argent,1,non,Sans lien avec la porcelaine,815441
aigrettes et bavolets,1,non,Sans lien avec la porcelaine,815441
aiguières d'étain,1,non,Sans lien avec la porcelaine,815441
aiguilles,349,non,Sans lien avec la porcelaine,815441
aiguilles à boîtes,1,non,Sans lien avec la porcelaine,815441
aiguilles à coudre,59,non,Sans lien avec la porcelaine,815441
aiguilles à coudre voiles,1,non,Sans lien avec la porcelaine,815441
aiguilles à ralingue,1,non,Sans lien avec la porcelaine,815441
aiguilles à tabac,1,non,Sans lien avec la porcelaine,815441
aiguilles à toile,1,non,Sans lien avec la porcelaine,815441
aiguilles à voile,,oui,Sans lien avec la porcelaine,815441
aiguilles d'emballage,2,non,Sans lien avec la porcelaine,815441
aiguilles de mercerie fine,4,non,Sans lien avec la porcelaine,815441
aiguilles epars de sapin,1,non,Sans lien avec la porcelaine,815441
aiguilles et épingles,1,non,Sans lien avec la porcelaine,815441
aiguilles et épingles de mercerie fine,3,non,Sans lien avec la porcelaine,815441
aiguilles et mercerie fine,2,non,Sans lien avec la porcelaine,815441
aiguilles grosses,1,non,Sans lien avec la porcelaine,815441
aiguilles pour voile,38,non,,37165
aiguillettes,1,non,Sans lien avec la porcelaine,815441
