goods_simpl_classification,nbr_occurences_simpl,edentreaty_classification,obsolete,nbr_occurences_edentreaty
,3118,,non,483234
???,90,,non,483234
??? blanc,2,,non,483234
??? brun,2,,non,483234
??? d'Anjou et de Touraine,1,,non,483234
??? d'argent,1,,non,483234
??? d'une valeur moindre de deux mille francs chacun,473,,non,483234
??? de boutard,1,,non,483234
??? de fer,2,,non,483234
??? de morue,1,,non,483234
??? de nacre de perle,1,,non,483234
??? des ci-devant provinces d'Alsace,1,,non,483234
??? des ci-devant provinces de Bourgogne,1,,non,483234
??? des ci-devant provinces de Provence,2,,non,483234
??? des ci-devant provinces du Languedoc,1,,non,483234
??? diverses,4,,non,483234
??? fer,1,,non,483234
??? forts de fer,1,,non,483234
??? gras,1,,non,483234
??? particulièrement en chevaux,6,,non,483234
??? pieds,1,,non,483234
??? pruneaux,1,,non,483234
??? raisins secs,1,,non,483234
???sse,1,,non,483234
?ufs,1,,non,483234
à jamis,276,,non,483234
abassis,4,,non,483234
abats,2,,non,483234
abattis de morue,1,,non,483234
abricots confits,1,,non,483234
absinthe,19,,non,483234
acacia,5,,non,483234
acacia germanica,1,,non,483234
acacia vera,1,,non,483234
acajou,1,,non,483234
acétate d'étain,0,,oui,483234
acétate de fer,0,,oui,483234
acétates d'étain,1,,non,483234
acétates de fer,3,,non,483234
acétates de plomb,29,,non,483234
acétates de plomb sel de Saturne,2,,non,483234
acétates de potasse et de soude,2,,non,483234
acétates de sel d'étain,1,,non,483234
achia,7,,non,483234
acide arsénieux,8,,non,483234
acide benzoïque,1,,non,483234
acide benzoïque et phosphorique,2,,non,483234
acide borique,3,,non,483234
acide borique et benzoïque,2,,non,483234
acide citrique,2,,non,483234
acide citrique et muriatique et phosphorique,2,,non,483234
acide citrique et oxalique et tartrique,2,,non,483234
acide de potasse crème de tartre,5,,non,483234
acide de potasse crème de tartre et tartrate,0,,oui,483234
acide de potasse lie de vin desséché et liquide,4,,non,483234
acide de potasse lie de vin desséché et liquide et tartrate,0,,oui,483234
acide de potasse lie de vin desséchée,3,,non,483234
acide de potasse lie de vin desséchée et tartrate,0,,oui,483234
acide de potasse lie de vin liquide,2,,non,483234
acide de potasse lie de vin liquide et tartrate,0,,oui,483234
acide de potasse tartre brut impur,2,,non,483234
acide de potasse tartre brut impur et tartrate,0,,oui,483234
acide muriatique,1,,non,483234
acide muriatique et nitrique et phosphorique,3,,non,483234
acide muriatique et nitro-muriatique,2,,non,483234
acide nitrique,4,,non,483234
acide oxalique,2,,non,483234
acide phosphorique,2,,non,483234
acide succinique,1,,non,483234
acide tartrique,2,,non,483234
acide vitriolique,4,,non,483234
acide vitriolique et huile de vitriol,109,,non,483234
acide vitrioliques et huile de vitriol,0,,oui,483234
acier,1679,,non,483234
acier battu forgé ou laminé,1,,non,483234
acier battu forgé ou laminé et fer carbonaté,0,,oui,483234
acier brun,1,,non,483234
acier brut,10,,non,483234
acier commun,1,,non,483234
acier en barres,6,,non,483234
acier en bottes pour la Compagnie des Indes,1,,non,483234
acier et clous,1,,non,483234
acier et fer,356,,non,483234
acier fondu en carreaux ou en tôle,5,,non,483234
acier fondu forgé,1,,non,483234
acier fondu forgé et fer carbonaté,0,,oui,483234
acier forgé,7,,non,483234
acons,1,,non,483234
acons démontés,20,,non,483234
acons démontés en gabare,2,,non,483234
acorus,5,,non,483234
acuirson,1,,non,483234
acume de cuivre,1,,non,483234
adatais,3,,non,483234
affûts,2,,non,483234
affûts de bois,1,,non,483234
affûts de canons,11,,non,483234
affûts de fer,1,,non,483234
affûts de fusils,1,,non,483234
affûts de fûts à canons,1,,non,483234
affûts et canons,1,,non,483234
agaric,138,,non,483234
agaric amadouvier,6,,non,483234
agaric amadouvier brut,4,,non,483234
agaric amadouvier brut et préparé,12,,non,483234
agaric amadouvier préparé,6,,non,483234
agaric brut et préparé,6,,non,483234
agaric de mélèze,4,,non,483234
agaric et amadouvier,0,,oui,483234
agaric fin,1,,non,483234
agaric gros,2,,non,483234
agate,11,,non,483234
agate autre que chique et ouvrages,2,,non,483234
agate autre que chique et ouvrée,0,,oui,483234
agate brute,4,,non,483234
agate chique et ouvrée,0,,oui,483234
agate en pierres,1,,non,483234
agate fine,1,,non,483234
agate montée,1,,non,483234
agate ouvrée,0,,oui,483234
agneaux,117,,non,483234
agneaux communs,8,,non,483234
agneaux en vie,5,,non,483234
agneaux et cabris,1,,non,483234
agneaux mérinos et métis,7,,non,483234
agnelines et crottelins,1,,non,483234
agobille,1,,non,483234
agoutals,4,,non,483234
agoutals de bois,5,,non,483234
agrément,15,,non,483234
agrément au quart,3,,non,483234
agrément d'argent,2,,non,483234
agrément d'or,1,,non,483234
agrément d'or et d'argent,5,,non,483234
agrément de fil,9,,non,483234
agrément de fil et de soie,3,,non,483234
agrément de fleur,1,,non,483234
agrément de soie,57,,non,483234
agrément de soie et d'argent,1,,non,483234
agrément de soie et fil,0,,oui,483234
agrément de soie or et argent faux,1,,non,483234
agréments de soie et milleret,1,,non,483234
agréments et milleret,1,,non,483234
agrès,12,,non,483234
agrès apparaux de navire et embarcations,6,,non,483234
agrès apparaux et embarcations,2,,non,483234
agrès de navire,0,,oui,483234
agrès de navire en voile,0,,oui,483234
agrès de navire et jeux de voile,10,,non,483234
agrès et apparaux,1,,non,483234
agrès et apparaux d'or navire,1,,non,483234
agrès et bâtiments de mer,10,,non,483234
agrès et embarcations,8,,non,483234
agrès et voile de navire,1,,non,483234
agrès et voiles de navire,0,,oui,483234
aigles,1,,non,483234
aigre de cèdre,9,,non,483234
aigre de cidre,5,,non,483234
aigre de vitriol,17,,non,483234
aigrettes,10,,non,483234
aigrettes de fil d'or et d'argent,1,,non,483234
aigrettes de soie,1,,non,483234
aigrettes de soie et argent,1,,non,483234
aigrettes et bavolets,1,,non,483234
aiguières d'étain,1,,non,483234
aiguilles,209,,non,483234
aiguilles à boîtes,1,,non,483234
aiguilles à coudre,61,,non,483234
aiguilles à coudre voiles,1,,non,483234
aiguilles à ralingue,1,,non,483234
aiguilles à tabac,1,,non,483234
aiguilles à toile,1,,non,483234
aiguilles d'emballage,2,,non,483234
aiguilles de mercerie fine,1,,non,483234
aiguilles epars de sapin,1,,non,483234
aiguilles et épingles,1,,non,483234
aiguilles et épingles de mercerie fine,3,,non,483234
aiguilles et mercerie fine,2,,non,483234
aiguilles grosses,1,,non,483234
aiguilles pour voile,37,,non,483234
aiguillettes,1,,non,483234
ail,2,,non,483234
ailes,4,,non,483234
ailes de fléaux,1,,non,483234
ailes de moulins,1,,non,483234
ailor,1,,non,483234
ails,204,,non,483234
ails à fauches,1,,non,483234
ails blancs à casser,1,,non,483234
aimant,1,,non,483234
ains à pêcher,43,,non,483234
