orthographic,nbr_occurences_ortho,simplification,nbr_occurences_simpl
,217,[non traité],217
???,86,???,88
??? blanc,2,??? blanc,2
??? brun,2,??? brun,2
??? d'Anjou et de Touraine,1,??? d'Anjou et de Touraine,1
??? d'une valeur moindre de deux mille francs chacun,8,??? d'une valeur moindre de deux mille francs chacun,8
??? de boutard,1,??? de boutard,1
??? de fer,2,??? de fer,2
??? de morue,1,??? de morue,1
??? de nacre de perle,1,??? de nacre de perle,1
??? des ci-devant provinces d'Alsace,1,??? des ci-devant provinces d'Alsace,1
??? des ci-devant provinces de Bourgogne,1,??? des ci-devant provinces de Bourgogne,1
??? des ci-devant provinces de Provence,1,??? des ci-devant provinces de Provence,1
??? des ci-devant provinces du Languedoc,1,??? des ci-devant provinces du Languedoc,1
??? diverses,4,??? diverses,4
??? fer,1,??? fer,1
??? forts de fer,1,??? forts de fer,1
??? gras,1,??? gras,1
??? particulièrement en chevaux,1,??? particulièrement en chevaux,1
??? pieds,1,??? pieds,1
??? pruneaux,1,??? pruneaux,1
??? raisins secs,1,??? raisins secs,1
???sse,1,???sse,1
?ufs,1,?ufs,1
... d'argent,1,??? d'argent,1
[vide],10,[vide],10
à jamis,218,à jamis,218
à l'aventure,1,à l'aventure,1
à son lest,1,à son lest,1
à vide,2,à vide,2
abassis,4,abassis,4
abats,2,abats,2
abattis de morue,1,abattis de morue,1
abricots confits,1,abricots confits,1
acacia,3,acacia,3
acacia germanica,1,acacia germanica,1
acacia vera,1,acacia vera,1
acajou,1,acajou,2
acétates de cuivre cristallisé,1,verdet cristallisé,4
acétates de cuivre cristallisé (verdet),1,verdet cristallisé,4
acétates de cuivre non cristallisé,1,verdet non cristallisé,2
acétates de cuivre non cristallisé (vert de gris) sec,1,verdet non cristallisé sec,1
acétates de cuivre non cristallisés et cristallisés (verdet),1,verdet cristallisé et non cristallisé,1
acétates de fer,2,acétates de fer,3
acétates de plomb,2,acétates de plomb,2
acétates de plomb sel de Saturne,2,acétates de plomb sel de Saturne,2
acétates de potasse et de soudes,1,acétates de potasse et de soudes,2
acétates de sel d'étain,1,acétates de sel d'étain,1
achia,2,achia,3
achia espèce de salade,1,achia,3
acide arsenieux,2,acide arsénieux,4
acide arsenieux (acide blanc),2,acide arsénieux,4
acide benzoïque,1,acide benzoïque,1
acide borique,2,acide borique,2
acide borique et benzoïque,1,acide borique et benzoïque,1
acide citrique,1,acide citrique,1
acide citrique et tartrique et oxalique,1,acide citrique et oxalique et tartrique,1
"acide citrique, muriatique et phosphorique",1,acide citrique et muriatique et phosphorique,1
acide muriatique,1,acide muriatique,1
acide muriatique et nitro-muriatique,1,acide muriatique et nitro-muriatique,1
acide nitrique,2,acide nitrique,2
"acide nitrique, muriatique et phosphorique",1,acide muriatique et nitrique et phosphorique,1
acide oxalique,1,acide oxalique,1
acide phosphorique,1,acide phosphorique,1
acide phosphorique et benzoïque,1,acide benzoïque et phosphorique,1
acide succinique,1,acide succinique,1
acide sulfurique,2,acide vitriolique,2
"acide sulfurique (acide vitriolique, esprit ou huile de vitriol)",1,acide vitriolique et huile de vitriol,4
acide tartrique,1,acide tartrique,1
acier,1214,acier,1215
acier brun,1,acier brun,1
acier brut,6,acier brut,7
acier commun,1,acier commun,1
acier en barres,6,acier en barres,6
acier en bottes pour la Compagnie des Indes,1,acier en bottes pour la Compagnie des Indes,1
acier non ouvré,1,acier brut,7
acier ouvré,3,ouvrages d'acier,8
acons,1,acons,1
acons démontés,16,acons démontés,16
acons en gabares démontés,1,acons démontés en gabare,2
acons gabares démontés,1,acons démontés en gabare,2
acorus,3,acorus,3
acuirson,1,acuirson,1
adatais,3,adatais,3
affûts,2,affûts,2
affûts de bois,1,affûts de bois,1
affûts de canons,10,affûts de canons,10
affûts de fer,1,affûts de fer,1
affûts de fusils,1,affûts de fusils,1
