item,group
???,not a medical product
??? blanc,not a medical product
??? brun,not a medical product
??? d'Anjou et de Touraine,not a medical product
??? d'une valeur moindre de deux mille francs chacun,not a medical product
??? des ci-devant provinces d'Alsace,not a medical product
??? des ci-devant provinces de Bourgogne,not a medical product
??? des ci-devant provinces de Provence,not a medical product
??? des ci-devant provinces du Languedoc,not a medical product
??? diverses,not a medical product
??? particulièrement en chevaux,not a medical product
abassis,not a medical product
abats,not a medical product
abattis de morue,not a medical product
abricots confits,not a medical product
absinthe,not a medical product
acacia,not a medical product
acacia germanica,not a medical product
acétates de plomb,not a medical product
achia,not a medical product
acide vitrioliques et huile de vitriol,not a medical product
acier,not a medical product
acier brun,not a medical product
acier brut,not a medical product
acier et clous,not a medical product
acier et fer,not a medical product
acons,not a medical product
acons démontés,not a medical product
acons démontés en gabare,not a medical product
acorus,broad medical product
acume de cuivre,not a medical product
affûts de canons,not a medical product
affûts de fusils,not a medical product
affûts de fûts à canons,not a medical product
agaric,narrow medical product
agaric et amadouvier,not a medical product
agaric gros,narrow medical product
agate,not a medical product
agate fine,not a medical product
agate montée,not a medical product
agneaux,not a medical product
agneaux et cabris,not a medical product
agnelines et crottelins,not a medical product
agoutals,not a medical product
agoutals de bois,not a medical product
agrément,not a medical product
agrément au quart,not a medical product
agrément d'argent,not a medical product
agrément d'or,not a medical product
agrément d'or et d'argent,not a medical product
agrément de fil,not a medical product
agrément de fil et de soie,not a medical product
agrément de fleur,not a medical product
agrément de soie,not a medical product
agrément de soie et d'argent,not a medical product
agrément de soie et fil,not a medical product
agrément de soie or et argent faux,not a medical product
agrès,not a medical product
agrès de navire,not a medical product
agrès de navire en voile,not a medical product
agrès de navire et jeux de voile,not a medical product
agrès et apparaux,not a medical product
agrès et voiles de navire,not a medical product
aigles,not a medical product
aigre de cidre,not a medical product
aigre de vitriol,narrow medical product
aigrettes,not a medical product
aigrettes de fil d'or et d'argent,not a medical product
aigrettes de soie,not a medical product
aigrettes de soie et argent,not a medical product
aigrettes et bavolets,not a medical product
aiguières d'étain,not a medical product
aiguilles,not a medical product
aiguilles à boîtes,not a medical product
aiguilles à coudre,not a medical product
aiguilles à ralingue,not a medical product
aiguilles à tabac,not a medical product
aiguilles à toile,not a medical product
aiguilles à voile,not a medical product
aiguilles d'emballage,not a medical product
aiguilles epars de sapin,not a medical product
aiguilles et épingles,not a medical product
aiguilles grosses,not a medical product
ailes,broad medical product
ailes de fléaux,not a medical product
ailes de moulins,not a medical product
ails,not a medical product
ails à fauches,not a medical product
ails blancs à casser,not a medical product
aimant,not a medical product
ains à pêcher,not a medical product
ains et lignes à pêcher,not a medical product
airain,not a medical product
airain non ouvré,not a medical product
ajustements,not a medical product
ajustements de femme,not a medical product
ajustements de soie,not a medical product
alambics,not a medical product
alambics d'étain,not a medical product
alambics de cuivre,not a medical product
alambics de terre,not a medical product
albâtre,not a medical product
albâtre et marbre brut et poli,not a medical product
alènes,not a medical product
alibanies,not a medical product
alizari,not a medical product
alizari et garance,not a medical product
alkermés,narrow medical product
allaya,not a medical product
alleaux,not a medical product
allemande de poil,not a medical product
allumettes,not a medical product
allumettes à vin,not a medical product
allumettes de coton,not a medical product
allumettes de mêche soufrée,not a medical product
allumettes droguées,not a medical product
allumettes épicée,not a medical product
allumettes opérées et soufrées,not a medical product
allumettes soufrées,not a medical product
almagro ou crayon rouge,not a medical product
almanachs,not a medical product
almanachs brochés,not a medical product
almanachs en blancs,not a medical product
almanachs enjolivés,not a medical product
almanachs reliés,not a medical product
aloès,narrow medical product
aloès cabalin,narrow medical product
aloès commun,narrow medical product
aloès moyen,narrow medical product
aloiset,not a medical product
alose,not a medical product
alose fumée,not a medical product
alose salée,not a medical product
alouettes,not a medical product
alpargate,not a medical product
alphabets,not a medical product
alpiste,not a medical product
alquifoux,not a medical product
alquifoux et mine de plomb,not a medical product
alquifoux mine de plomb ou graphite,not a medical product
alquifoux ou mine de plomb,not a medical product
alquitra,not a medical product
aluchiabanis,not a medical product
alun,broad medical product
alun commun,broad medical product
alun de roche,not a medical product
alun de Rome,broad medical product
alun de Rouen,broad medical product
alun de Surde,broad medical product
alun du Levant,broad medical product
alun en dracy,broad medical product
alun gâté,not a medical product
amadou,not a medical product
amadou et agaric amadouvier,not a medical product
amandes,not a medical product
amandes à la praline,not a medical product
amandes amères,not a medical product
amandes cassée,not a medical product
amandes cassées,not a medical product
amandes courtes,not a medical product
amandes douces,not a medical product
amandes en coque,not a medical product
amandes et figue et raisin,not a medical product
amandes et pelures et prunes et raisin,not a medical product
amandes et pruneaux,not a medical product
amandes et raisin sec,not a medical product
amandes et raisin sec et savon,not a medical product
amandes et savon,not a medical product
amandes et sucre,not a medical product
amandes et vert-de-gris,not a medical product
amandes longues,not a medical product
amandes sèches,not a medical product
amandes sèches et figue sèche et ???,not a medical product
amandes sèches et figue sèche et raisin sec,not a medical product
amaril,not a medical product
ambrain à grande barrique,not a medical product
ambre,not a medical product
ambre brut,not a medical product
ambre carabé,not a medical product
ambre et corail,not a medical product
ambre gris,not a medical product
ambre jaune,not a medical product
ambre moulu,not a medical product
amer,not a medical product
amer de laine,not a medical product
amertis,not a medical product
ami de toilé,not a medical product
amidon,not a medical product
amidon en grains,not a medical product
amidon et poudre à poudrer,not a medical product
ammoniac,narrow medical product
ammoniac et sel,broad medical product
ammonium,narrow medical product
anabasse,not a medical product
anacardes,not a medical product
anacoste,not a medical product
ananas,not a medical product
ananas confit,not a medical product
ananas et pommes de grenade,not a medical product
ananas planté,not a medical product
anatomie,not a medical product
anches de tonneaux,not a medical product
anchois,not a medical product
anchois et boutargue,not a medical product
anchois et sardes,not a medical product
anchois et sardines,not a medical product
anchois mariné,not a medical product
anchois mariné et salé,not a medical product
anchois salé et mariné,not a medical product
anchois salés,not a medical product
anchois salés et marinés,not a medical product
ancres,not a medical product
ancres de chaudon,not a medical product
ancres de fer,not a medical product
ancres de fer à chaudrons,not a medical product
ancres et grappins de fer,not a medical product
ancres gravelées,not a medical product
ancres vides,not a medical product
ancres vieilles vides,not a medical product
andolium,not a medical product
andouilles,not a medical product
andouillette,not a medical product
ânes,not a medical product
ânes et ânesses,not a medical product
ânes et mulets,not a medical product
angélique,narrow medical product
angélique du Rozème,narrow medical product
anguilles,not a medical product
anguilles et truites,not a medical product
anguilles fraîches,not a medical product
anguilles salées,not a medical product
anille,not a medical product
animaux,not a medical product
anis,not a medical product
anis et rac et rhum etc.,not a medical product
anis et sucre,not a medical product
anis étoilé,not a medical product
anis vert,not a medical product
anisette,not a medical product
anisette au fiasque,not a medical product
anisette de Bordeaux,not a medical product
anneau de fer,not a medical product
anneaux de cuivre,not a medical product
ânon,not a medical product
anspects,not a medical product
anspects de bois,not a medical product
anspects de sapin,not a medical product
antchibanis,not a medical product
antennes et mâts de bateaux,not a medical product
antimoine,broad medical product
antimoine cru,broad medical product
antofle,not a medical product
antofle de girofle,not a medical product
apier,not a medical product
apios,not a medical product
apprêtée à toiler les livres,not a medical product
apprêtée pour parchemins,not a medical product
arak,not a medical product
arbalètes,not a medical product
arbalètrrie et cartes marines,not a medical product
arbres,not a medical product
arbres à fruits,not a medical product
arbres à planter,not a medical product
arbres d' ???,not a medical product
arbres d'auban,not a medical product
arbres de sapin,not a medical product
arbres et arbrisseaux,not a medical product
arbres et arbrisseaux à fruits,not a medical product
arbres et arbrisseaux sauvages,not a medical product
arbres et arbustes,not a medical product
arbres et plants,not a medical product
arbres fruitiers,not a medical product
arbres marronniers à planter,not a medical product
arbres tilleul,not a medical product
arbrisseaux,not a medical product
arbustes,not a medical product
arcanette,not a medical product
arcanson,not a medical product
arcanum duplicatum,not a medical product
archets de violons,not a medical product
archiabanis,not a medical product
arçons de bas de bois,not a medical product
arçons de bois,not a medical product
arçons de selles,not a medical product
ardoise,not a medical product
ardoise commune,not a medical product
ardoise dite chérubin et à mortier,not a medical product
ardoise dite grande voisine,not a medical product
ardoise dite moyenne voisine,not a medical product
ardoise dite petite voisine,not a medical product
ardoise dite voisine grande moyenne et petite,not a medical product
ardoise en carreaux,not a medical product
ardoise en carreaux et d'1 pied carré,not a medical product
ardoise en livret,not a medical product
ardoise encadrée,not a medical product
ardoise encadrée et en livret,not a medical product
ardoise non travaillée,not a medical product
ardoise pour fenêtre,not a medical product
ardoise verte,not a medical product
ardoises,not a medical product
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,not a medical product
argent,not a medical product
argent battu,not a medical product
argent brûlé,not a medical product
argent brut,not a medical product
argent carragoux,not a medical product
argent en barils,not a medical product
argent en barres,not a medical product
argent en lingots,not a medical product
argent en lingots par Calais,not a medical product
argent et or,not a medical product
argent et or billon,not a medical product
argent faux,not a medical product
argent faux et or faux,not a medical product
argent faux et or faux traits,not a medical product
argent fin,not a medical product
argent monnayé et nogat d'or,not a medical product
argent talari,not a medical product
argent vif,broad medical product
argenterie,not a medical product
argenterie épée,not a medical product
argenterie et bijouterie,not a medical product
argenterie et bijouterie et orfèvrerie,not a medical product
argenterie et orfévrerie,not a medical product
argenterie et orfèvrerie,not a medical product
argenterie et orfèvrerie vermeil,not a medical product
argenterie vieille,not a medical product
argile et terre pour engrais,not a medical product
aristoloche,narrow medical product
armement de tables,
armes,not a medical product
armes à feu,not a medical product
armes à feu de munitions,not a medical product
armes à feu de munitions fines,not a medical product
armes à feu et artillerie,not a medical product
armes blanches,not a medical product
armes de guerre,not a medical product
armes et artillerie artillerie en canons pierriers espingoles et mortiers,not a medical product
armes et munitions,not a medical product
armes lames,not a medical product
armes remontrances,not a medical product
armoires,not a medical product
armoires ayant servi,not a medical product
armoires d'acajou,not a medical product
armoires de bois des Indes,not a medical product
armoires de chêne,not a medical product
armoires de chêne ornée,not a medical product
armoires de noyer,not a medical product
armoires de sapin,not a medical product
armoisin,not a medical product
armure de fer,not a medical product
armure vieille,not a medical product
arpois,not a medical product
arquebuse,not a medical product
arrosoirs,not a medical product
arrosoirs de bois,not a medical product
arrosoirs de cuivre,not a medical product
arrosoirs de fer-blanc,not a medical product
arrosoirs de sapin,not a medical product
arsenic,broad medical product
artichauts,not a medical product
artichauts confits,not a medical product
artichauts frais,not a medical product
artichauts marinés,not a medical product
artichauts secs,not a medical product
artifice,not a medical product
artifice fusées etc.,not a medical product
artillerie,not a medical product
asa fœtida,narrow medical product
asperges,not a medical product
asperges et scorsonères,not a medical product
asphaltum,broad medical product
assiette,not a medical product
assiette de Biarritz,not a medical product
assiette de bois,not a medical product
assiette de faïence,not a medical product
assiette de porcelaine,not a medical product
assiette de terre,not a medical product
assiette et plats de terre,not a medical product
asustum,narrow medical product
attaches de cuivre,not a medical product
attelles de colliers,not a medical product
aube,not a medical product
auchinoise,not a medical product
auclimes,not a medical product
auf,not a medical product
auf ouvré,not a medical product
auf travaillé,not a medical product
augemy,not a medical product
auges,not a medical product
auges de carreaux,not a medical product
augustins,not a medical product
aurcsats,not a medical product
autel de marbre,not a medical product
avelanèdes,not a medical product
