goods_simpl_classification,nbr_occurences_simpl,canada_classification,details_provenance,obsolete,imports_des_colonies,nbr_occurences_canada
agrès et voile de navire,1,,,non,0,386384
agrès et voiles de navire,0,,,oui,0,386384
aigles,1,,,non,0,386384
aigre de cèdre,9,,,non,0,386384
aigre de cidre,5,,,non,0,386384
aigre de vitriol,17,,,non,0,386384
aigrettes,10,,,non,0,386384
aigrettes de fil d'or et d'argent,1,,,non,0,386384
aigrettes de soie,1,,,non,0,386384
aigrettes de soie et argent,1,,,non,0,386384
aigrettes et bavolets,1,,,non,0,386384
aiguières d'étain,1,,,non,0,386384
aiguilles,209,,,non,0,386384
aiguilles à boîtes,1,,,non,0,386384
aiguilles à coudre,61,Hors Canada,,non,1,154362
aiguilles à coudre voiles,1,,,non,0,386384
aiguilles à ralingue,1,,,non,0,386384
aiguilles à tabac,1,,,non,0,386384
aiguilles à toile,1,,,non,0,386384
aiguilles d'emballage,2,,,non,0,386384
aiguilles de mercerie fine,1,,,non,0,386384
aiguilles epars de sapin,1,,,non,0,386384
aiguilles et épingles,1,,,non,0,386384
aiguilles et épingles de mercerie fine,3,,,non,0,386384
aiguilles et mercerie fine,2,,,non,0,386384
aiguilles grosses,1,,,non,0,386384
aiguilles pour voile,37,,,non,0,386384
aiguillettes,1,,,non,0,386384
ail,2,,,non,0,386384
ailes,4,,,non,0,386384
ailes de fléaux,1,,,non,0,386384
ailes de moulins,1,,,non,0,386384
ailor,1,,,non,0,386384
ails,204,,,non,0,386384
ails à fauches,1,,,non,0,386384
ails blancs à casser,1,,,non,0,386384
aimant,1,,,non,0,386384
ains à pêcher,43,,,non,0,386384
ains et lignes à pêcher,2,,,non,0,386384
airain,6,,,non,0,386384
airain non ouvré,4,,,non,0,386384
ajustements,37,,,non,0,386384
ajustements de femme,5,,,non,0,386384
ajustements de soie,2,,,non,0,386384
alambics,17,,,non,0,386384
alambics d'étain,17,,,non,0,386384
alambics de cuivre,2,,,non,0,386384
alambics de terre,1,,,non,0,386384
alana,2,,,non,0,386384
alazar,2,,,non,0,386384
albâtre,5,,,non,0,386384
albâtre brut,3,,,non,0,386384
albâtre et marbre brut et poli,21,,,non,0,386384
albâtre moulé poli ou sculpté,6,,,non,0,386384
alcalis autre que natron et soude,2,,,non,0,386384
alcalis salin,1,,,non,0,386384
alènes,5,,,non,0,386384
alibanies,97,,,non,0,386384
alizari,16,,,non,0,386384
alizari et garance,165,Hors Canada,,non,1,154362
alizari sèche,7,,,non,0,386384
alkermés,1,,,non,0,386384
alkermès en grains,23,,,non,0,386384
allaya,84,,,non,0,386384
alleaux,1,,,non,0,386384
allemande de poil,10,,,non,0,386384
allumettes,54,,,non,0,386384
allumettes à vin,29,,,non,0,386384
allumettes de coton,1,,,non,0,386384
allumettes de mêche soufrée,1,,,non,0,386384
allumettes droguées,3,,,non,0,386384
allumettes épicée,2,,,non,0,386384
allumettes opérées et soufrées,1,,,non,0,386384
allumettes soufrées,12,,,non,0,386384
almagro ou crayon rouge,1,,,non,0,386384
almanachs,1,,,non,0,386384
almanachs brochés,2,,,non,0,386384
almanachs en blancs,1,,,non,0,386384
almanachs enjolivés,1,,,non,0,386384
almanachs reliés,1,,,non,0,386384
aloès,229,,,non,1,386384
aloès cabalin,6,,,non,1,386384
aloès commun,1,,,non,0,386384
aloès et opium,2,,,non,0,386384
aloès hépatique,1,,,non,0,386384
aloès moyen,2,,,non,0,386384
aloiset,1,,,non,0,386384
alose,2,,,non,0,386384
alose fumée,1,,,non,0,386384
alose salée,5,,,non,0,386384
aloues,1,,,non,0,386384
alouettes,4,,,non,0,386384
alpargate,37,,,non,0,386384
alphabets,1,,,non,0,386384
alpiste,20,,,non,0,386384
alpiste et millet,9,,,non,0,386384
alquifoux,479,,,non,0,386384
alquifoux en galène,2,,,non,0,386384
alquifoux et mine de plomb,36,,,non,0,386384
alquifoux mine de plomb ou graphite,23,,,non,0,386384
alquifoux ou mine de plomb,1,,,non,0,386384
alquifoux sable plombifère,1,,,non,0,386384
alquitra,3,,,non,0,386384
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,,,non,0,386384
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,0,,,oui,0,386384
alto basses contrebasses guitare lyres violes violons,2,,,non,0,386384
alto basses contrebasses guitares lyres violes violons,0,,,oui,0,386384
alto bassons guitare violons,3,,,non,0,386384
alto bassons guitares violons,0,,,oui,0,386384
aluchiabanis,3,,,non,0,386384
alun,1872,Hors Canada,,non,1,154362
alun à cordonnier,1,,,non,0,386384
alun autre que brûlé ou calciné,2,,,non,0,386384
alun bon,2,,,non,0,386384
alun brûlé,1,,,non,0,386384
alun commun,1,,,non,0,386384
alun de glace,1,,,non,0,386384
alun de roche,5,,,non,0,386384
alun de Rome,3,,,non,0,386384
alun de Rome fin rosé,1,,,non,0,386384
alun de Rouen,2,,,non,0,386384
alun de Surde,2,,,non,0,386384
alun du Levant,1,,,non,0,386384
alun en dracy,1,,,non,0,386384
alun en rame,1,,,non,,386384
alun gâté,1,,,non,0,386384
alun ordinaire,1,,,non,0,386384
alvés,2,,,non,0,386384
amadou,225,,,non,0,386384
amadou et agaric amadouvier,7,,,non,0,386384
amandes,1207,,,non,0,386384
amandes à la praline,4,,,non,0,386384
amandes amères,1,,,non,0,386384
amandes arachis noisettes noix noyaux,2,,,non,0,386384
amandes cassée,6,,,non,0,386384
amandes cassées,384,,,non,0,386384
amandes cassées ou en coque,3,,,non,0,386384
amandes courtes,1,,,non,0,386384
amandes douces,4,,,non,0,386384
amandes en coque,300,,,non,0,386384
amandes et figue et raisin,24,Hors Canada,,non,1,154362
amandes et pelures et prunes et raisin,1,,,non,0,386384
amandes et pruneaux,2,,,non,0,386384
amandes et raisin sec,2,,,non,0,386384
amandes et raisin sec et savon,1,,,non,0,386384
amandes et savon,2,,,non,0,386384
amandes et sucre,1,,,non,0,386384
amandes et verdet,1,,,non,0,386384
amandes et vert-de-gris,0,,,oui,0,386384
amandes fraîches,1,,,non,0,386384
amandes longues,1,,,non,0,386384
amandes mondées,2,,,non,0,386384
amandes sèches,64,,,non,0,386384
amandes sèches et figue sèche et ???,9,,,non,0,386384
amandes sèches et figue sèche et raisin sec,135,,,non,0,386384
amaril,1,,,oui,0,386384
amarine,1,,,non,0,386384
ambrain à grande barrique,1,,,non,0,386384
ambre,42,,,non,1,386384
ambre blanc,1,,,non,0,386384
ambre brut,1,,,non,0,386384
ambre carabé,21,,,non,0,386384
ambre carabé jaune,2,,,non,0,386384
ambre en grains,1,,,non,,386384
ambre et corail,1,,,non,0,386384
ambre gris,36,,,non,0,386384
ambre gris castoréum civette musc,0,,,oui,0,386384
ambre jaune,72,Hors Canada,,non,1,154362
ambre moulu,2,,,non,0,386384
ameny,1,,,non,0,386384
amer,3,,,non,0,386384
amer de laine,1,,,non,0,386384
amertis,4,,,non,0,386384
ameublement,2,,,non,0,386384
ameublement de chitte,1,,,non,,386384
ami de toilé,1,,,non,0,386384
amidon,1166,,,non,1,386384
amidon alun,1,,,non,,386384
amidon en grains,1,,,non,0,386384
amidon en poudre,1,,,non,,386384
amidon et poudre à poudrer,1,,,non,0,386384
ammoniac,7,,,non,0,386384
ammoniac et sel,21,,,non,0,386384
ammonium,5,,,non,0,386384
amomum,10,,,non,0,386384
amomum et fèves de tonka et noix de ravensara,2,,,non,0,386384
amomum verum,2,,,non,0,386384
amurca,4,,,non,0,386384
anabasse,121,,,non,0,386384
anabasse ; bajutapau,3,,,non,,386384
anabasse ; corat ; nicaneas ; platille,2,,,non,,386384
anacardes,2,,,non,0,386384
anacoste,3,,,non,0,386384
ananas,1,,,non,0,386384
ananas confit,2,Hors Canada,,non,1,154362
ananas et pommes de grenade,1,,,non,0,386384
ananas planté,1,Hors Canada,,non,1,154362
anatomie,1,,,non,0,386384
anatose,3,,,non,0,386384
anches de tonneaux,2,,,non,0,386384
anchois,851,,,non,0,386384
anchois câpres et olives,10,,,non,0,386384
anchois câpres etc.,1,,,non,0,386384
anchois câpres olives,1,,,non,0,386384
anchois et boutargue,13,,,non,0,386384
anchois et câpres,5,,,non,0,386384
anchois et sardes,1,,,non,0,386384
anchois et sardines,5,,,non,0,386384
anchois mariné,6,,,non,0,386384
anchois mariné et salé,39,,,non,0,386384
anchois salé et mariné,2,,,non,0,386384
anchois salés,5,,,non,0,386384
anchois salés et marinés,9,,,non,0,386384
