goods_simpl_classification,nbr_occurences_simpl,canada_classification,details_provenance,obsolete,imports_des_colonies,nbr_occurences_canada
chardons cardiers,12,,,non,0,386384
chardons de drapier,0,,,oui,0,386384
charfarcani,3,,,non,0,386384
charge en fer-blanc,1,,,non,0,386384
chari salée,0,,,oui,0,386384
chariots,13,,,non,0,386384
chariots à feu,1,,,non,0,386384
chariots neufs,1,,,non,0,386384
chariots tombereaux et voitures à échelles,3,,,non,0,386384
charlotonne,2,,,non,0,386384
charnière de marbre,1,,,non,,386384
charonies,1,,,non,0,386384
charonin,1,,,non,0,386384
charpente démontée,1,,,non,0,386384
charpie,1,,,non,0,386384
charpie et drilles en feuille,2,,,non,0,386384
charrée,6,,,non,0,386384
charrettes,4,,,non,0,386384
charrettes neuves,1,,,non,0,386384
charrettes vieilles,1,,,non,0,386384
charrues,16,,,non,0,386384
charrues de fer,1,,,non,0,386384
chaselade,0,,,oui,0,386384
chaselas des Indes,2,,,non,0,386384
chasse-mouches,1,,,non,0,386384
chasselas,179,,,non,0,386384
châssis de bois,1,,,non,0,386384
chasuble,8,,,non,0,386384
châtaignes,711,,,non,0,386384
châtaignes biscotes,0,,,oui,0,386384
châtaignes biscuites,11,,,non,0,386384
châtaignes blanches,10,,,non,0,386384
châtaignes confites,1,,,non,0,386384
châtaignes et marrons,10,,,non,0,386384
châtaignes et marrons et noix,8,,,non,0,386384
châtaignes et marrons frais,11,,,non,0,386384
châtaignes et noix,1,,,non,0,386384
châtaignes fraîches,25,,,non,0,386384
châtaignes fraîches et marrons frais,19,,,non,0,386384
châtaignes sèche,17,,,non,0,386384
châtaignes sèches,37,,,non,0,386384
châtaigniers,1,,,non,0,386384
chateis,1,,,non,0,386384
chatons,1,,,non,0,386384
chau ???,1,,,non,0,386384
chaud,1,,,non,0,386384
chaud de cuivre,1,,,non,0,386384
chaudière à brai,1,,,non,0,386384
chaudière à distiller,2,,,non,,386384
chaudière à guildives,3,,,non,0,386384
chaudière à nègre,1,,,non,0,386384
chaudière à sucre,2,,,non,0,386384
chaudière de cuivre,69,,,non,0,386384
chaudière de cuivre à sucre,1,,,non,0,386384
chaudière de cuivre et sa serpentine,1,,,non,0,386384
chaudière de cuivre et ustensiles,1,,,non,0,386384
chaudière de cuivre grande,1,,,non,0,386384
chaudière de cuivre jaune,1,,,non,,386384
chaudière de cuivre rouge et foudre de cuivre rouge,2,,,non,0,386384
chaudière de fer,141,,,non,0,386384
chaudière de fer et marmites de fer,1,,,non,0,386384
chaudière de fonte,10,,,non,0,386384
chaudière de marmites de potin,2,,,non,0,386384
chaudière de patine,1,,,non,0,386384
chaudière de potier,1,,,non,0,386384
chaudière de potin,4,,,non,0,386384
chaudière et marmites et étuve de fonte,5,,,non,0,386384
chaudières de fonte,21,,,non,0,386384
chaudières de fonte et marmites de fonte,5,,,non,0,386384
chaudières et marmites de ???,4,,,non,0,386384
chaudron,3,,,non,0,386384
chaudron d'airain,2,,,non,0,386384
chaudron de cuivre,174,,,non,0,386384
chaudron de cuivre et bassin de cuivre,1,,,non,0,386384
chaudron de cuivre et neptune de cuivre,1,,,non,0,386384
chaudron de cuivre jaune,4,,,non,0,386384
chaudron de cuivre pour l'entrepôt de la Compagnie de Guinée,1,,,non,0,386384
chaudron de cuivre rouge,1,,,non,0,386384
chaudron de fer,3,,,non,0,386384
chaudron de potin,1,,,non,0,386384
chaudron en cuivre,0,,,oui,0,386384
chauffe-pieds,32,,,non,0,386384
chauffe-pieds ganis,0,,,oui,,386384
chauffe-pieds garnis,1,,,non,,386384
chaufferettes,1,,,non,0,386384
chaufferettes de bois,1,,,non,0,386384
chauffete,0,,,oui,0,386384
chausse-pieds,34,,,non,0,386384
chausse-pieds avec leurs terrasses,1,,,non,0,386384
chausseterie,1,,,non,0,386384
chaussetterie de laine,1,,,non,0,386384
chaussettes,14,,,non,0,386384
chaussettes de coton,2,,,non,0,386384
chaussettes de fil,114,,,non,0,386384
chaussettes de fil par paires,1,,,non,0,386384
chaussettes de toile,3,,,non,0,386384
chaussons de carisee et drap à laver maison,1,,,non,0,386384
chaussons de fil,2,,,non,0,386384
chaussons de laine,3,,,non,0,386384
chaussons de laine de Ségovie,1,,,non,,386384
chaussures pour tisserand,1,,,non,0,386384
chaux,234,,,non,0,386384
chaux à bâtir,4,,,non,0,386384
chaux calcinée ou cuite,2,,,non,0,386384
chaux en pierre ou éteinte,1,,,non,0,386384
chaux et cendre,1,,,non,0,386384
chaux et cendre de chaux mêlées,1,,,non,0,386384
chaux et pierres et plâtre,14,,,non,0,386384
chaux et plâtre et ciment,48,,,non,0,386384
chaux éteinte,14,,,non,0,386384
chaux fondue,1,,,non,0,386384
chaux vive,6,,,non,0,386384
chavonis,3,,,non,0,386384
chazetas,0,,,oui,0,386384
chelöes,2,,,non,0,386384
cheminée de marbre,5,,,non,0,386384
cheminée de pierre de liere,0,,,oui,0,386384
cheminée de pierre de lierre,1,,,non,0,386384
cheminée statues etc.,1,,,non,0,386384
chemises,212,,,non,0,386384
chemises à fumer,1,,,non,0,386384
chemises à nègre,81,,,non,0,386384
chemises assorties,1,,,non,0,386384
chemises blanches ouvrées,1,,,non,0,386384
chemises bleues,2,,,non,0,386384
chemises bretonnes,68,,,non,0,386384
chemises bretonnes garnies,1,,,non,0,386384
chemises bretonnes unies,1,,,non,0,386384
chemises brodées,2,,,non,,386384
chemises communes,71,,,non,0,386384
chemises communes non garnies,1,,,non,0,386384
chemises communes unies,1,,,non,0,386384
chemises d'homme,2,,,non,0,386384
chemises de batiste,1,,,non,0,386384
chemises de Bretagne,5,,,non,0,386384
chemises de chanvre de Riello,1,,,non,0,386384
chemises de coton,1,,,non,0,386384
chemises de fil de coton,1,,,non,0,386384
chemises de grosse toile à nègre,3,,,non,0,386384
chemises de guingan,20,,,non,0,386384
chemises de Laval,3,,,non,0,386384
chemises de lin,18,,,non,0,386384
chemises de lin garnies,4,,,non,0,386384
chemises de lin garnies de batiste,1,,,non,,386384
chemises de lin garnies unies,3,,,non,,386384
chemises de nègre,1,,,non,0,386384
chemises de siamoise,1,,,non,0,386384
chemises de soldat,1,,,non,0,386384
chemises de toile,7,,,non,0,386384
chemises de toile bleue,1,,,non,0,386384
chemises de toile bretonne,4,,,non,0,386384
chemises de toile communes,2,,,non,0,386384
chemises de toile de Bretagne,11,,,non,0,386384
chemises de toile de Bretagne diverses,1,,,non,0,386384
chemises de toile de Bretagne garnies,1,,,non,0,386384
chemises de toile de Bretagne rayée,1,,,non,0,386384
chemises de toile de coton,4,,,non,1,386384
chemises de toile de Laval,2,,,non,0,386384
chemises de toile de Laval garnies,1,,,non,0,386384
chemises de toile de lin,17,,,non,0,386384
chemises de toile de lin garnies,6,,,non,0,386384
chemises de toile de Morlaix,1,,,non,0,386384
chemises de toile de Saint-Jean,1,,,non,0,386384
chemises de toile garnies,1,,,non,,386384
chemises de toile rayée,2,,,non,0,386384
chemises fines,36,,,non,0,386384
chemises garnies,239,,,non,0,386384
chemises garnies de Batiste,2,,,non,0,386384
chemises garnies de mousseline,4,,,non,0,386384
chemises garnies de paille,1,,,non,0,386384
chemises garnies et fines,3,,,non,0,386384
chemises garnies pour femme,1,,,non,0,386384
chemises garnies pour homme,1,,,non,0,386384
chemises grosses,1,,,non,0,386384
chemises grosses de toile à nègre,3,,,non,0,386384
chemises moins communes,2,,,non,0,386384
chemises neutres,1,,,non,0,386384
chemises neuves,1,,,non,0,386384
chemises non garnies,4,,,non,0,386384
chemises ordinaires,1,,,non,0,386384
chemises pour homme,2,,,non,0,386384
chemises pour homme communes,1,,,non,,386384
chemises pour soldat,1,,,non,0,386384
chemises royales,1,,,non,0,386384
chemises unies,90,,,non,0,386384
chemises vieilles,8,,,non,0,386384
chemisettes,2,,,non,0,386384
chemisier,1,,,non,,386384
chemisons garnis,1,,,non,0,386384
chêne en blocs,1,,,non,0,386384
chenille,1,,,non,0,386384
chenille au quart,1,,,non,0,386384
chenille de bois,3,,,non,0,386384
chenille de chêne,3,,,non,0,386384
chenille de flavret,1,,,non,0,386384
chenille de soie,18,,,non,0,386384
cheval de bois,1,,,non,0,386384
chévaque,1,,,non,0,386384
chevaux,542,,,non,0,386384
chevaux à bas prix,16,,,non,0,386384
chevaux à haut prix,11,,,non,0,386384
chevaux à moyen prix,5,,,non,0,386384
chevaux anglais,1,,,non,0,386384
chevaux arabes,1,,,non,0,386384
chevaux d'Espagne,1,,,non,0,386384
chevaux d'un an,1,,,non,0,386384
chevaux de Barbarie,1,,,non,0,386384
chevaux de bois,5,,,non,0,386384
chevaux de labour,93,,,non,0,386384
chevaux de labour et mules et mulets,4,,,non,0,386384
chevaux de selle,2,,,non,0,386384
chevaux de trois ans,1,,,non,0,386384
chevaux et ânes,4,,,non,0,386384
chevaux et mulets,2,,,non,0,386384
chevaux et poulains,1,,,non,,386384
chevaux hongres,10,,,non,0,386384
chevaux petits,1,,,non,0,386384
chevaux poulains de lait,1,,,non,0,386384
chevaux pour enfant,1,,,non,0,386384
chevaux pour le haras,1,,,non,0,386384
chevaux vieux,1,,,non,0,386384
cheveux,331,,,non,0,386384
cheveux à perruques,1,,,non,0,386384
cheveux apprêtés,1,,,non,0,386384
cheveux communs,35,,,non,0,386384
cheville,1,,,non,0,386384
cheville de bois,10,,,non,0,386384
cheville de chêne,2,,,non,0,386384
cheville de fer,3,,,non,0,386384
chevillères,0,,,oui,0,386384
chevillères à tresser,0,,,oui,0,386384
chevillères de bois,0,,,oui,0,386384
chevillères de fil,0,,,oui,0,386384
chevilles et masses de fer,1,,,non,0,386384
chevillières,1,,,non,0,386384
chevillières à tresser,1,,,non,0,386384
chevillières de fil,2,,,non,0,386384
chevreaux,12,,,non,0,386384
chevreaux à moyen prix,1,,,non,0,386384
chèvres,179,,,non,0,386384
chèvres boucs,0,,,oui,0,386384
chèvres et boucs,0,,,oui,0,386384
chevreuil,1,,,non,0,386384
chevreuil en chamois et peaux de cerf,1,,,non,0,386384
chevrons,76,,,non,0,386384
chevrons d'acajou,11,Hors Canada,tropiques,non,1,154362
chevrons de 10 pieds,1,,,non,0,386384
chevrons de 12 pieds,1,,,non,0,386384
chevrons de 16 pieds,1,,,non,0,386384
chevrons de 18 pieds,3,,,non,0,386384
chevrons de 25 pieds,1,,,non,0,386384
chevrons de 26 pieds,1,,,non,0,386384
chevrons de 45 à 50 pieds,1,,,non,0,386384
chevrons de 5 pieds en acajou,1,Hors Canada,tropiques,non,1,154362
chevrons de 6 pieds en acajou,1,Hors Canada,tropiques,non,1,154362
chevrons de 8 pieds,1,,,non,0,386384
chevrons de 8 pieds en acajou,1,Hors Canada,tropiques,non,1,154362
chevrons de bois,11,,,non,0,386384
chevrons de bois de noyer de 12 pieds de long,1,,,non,,386384
chevrons de cèdre,1,Hors Canada,,non,1,154362
chevrons de chêne,9,,,non,0,386384
chevrons de chêne de 10 pieds,1,,,non,0,386384
chevrons de chêne de 11 pieds,1,,,non,0,386384
chevrons de chêne de 12 à 18 pieds,1,,,non,0,386384
chevrons de chêne de 12 pieds,1,,,non,0,386384
chevrons de chêne de 15 pieds,1,,,non,0,386384
chevrons de chêne de 16 pieds,2,,,non,0,386384
chevrons de chêne de 18 pieds,3,,,non,0,386384
chevrons de chêne de 22 pieds,1,,,non,0,386384
chevrons de chêne de 5 à 6 pieds,1,,,non,0,386384
chevrons de chêne de 6 pieds,1,,,non,0,386384
chevrons de chêne de 7 pieds,1,,,non,0,386384
chevrons de chêne de 8 pieds,1,,,non,0,386384
chevrons de chêne de 9 pieds,1,,,non,0,386384
chevrons de merisier,1,Hors Canada,,non,1,154362
chevrons de pin,1,,,non,0,386384
chevrons de planches,1,,,non,0,386384
chevrons de sapin,84,,,non,0,386384
chevrons de sapin 12 pieds,1,,,non,0,386384
chevrons de sapin 24 pieds,1,,,non,0,386384
chevrons de sapin de 10 pieds,1,,,non,0,386384
chevrons de sapin de 12 pieds,3,,,non,0,386384
chevrons de sapin de 14 à 15 pieds,1,,,non,0,386384
chevrons de sapin de 14 pieds,2,,,non,0,386384
chevrons de sapin de 15 à 20 pieds,1,,,non,0,386384
chevrons de sapin de 15 pieds,3,,,non,0,386384
chevrons de sapin de 16 pieds,4,,,non,0,386384
chevrons de sapin de 18 pieds,3,,,non,0,386384
chevrons de sapin de 20 pieds,3,,,non,0,386384
chevrons de sapin de 22 pieds,1,,,non,0,386384
chevrons de sapin de 24 pieds,5,,,non,0,386384
chevrons de sapin de 25 pieds,1,,,non,0,386384
chevrons de sapin de 26 pieds,1,,,non,0,386384
chevrons de sapin de 28 pieds,1,,,non,0,386384
chevrons de sapin de 29 pieds,1,,,non,0,386384
chevrons de sapin de 3 à 4 pieds,1,,,non,0,386384
chevrons de sapin de 30 pieds,1,,,non,0,386384
chevrons de sapin de 36 pieds,3,,,non,0,386384
chevrons de sapin de 40 pieds,1,,,non,0,386384
chevrons de sapin de 6 à 7 pieds,1,,,non,0,386384
chevrons de sapin de 7 à 8 pieds,1,,,non,0,386384
chevrons de sapin de 7 pieds,1,,,non,0,386384
chevrons de sapin de 8 pieds,2,,,non,0,386384
chevrons de sapin de 9 à 10 pieds,1,,,non,0,386384
chevrons de sapin de 9 pieds,1,,,non,0,386384
chialar,1,,,non,0,386384
chicas,0,,,oui,0,386384
chicorée moulue,48,,,non,0,386384
chicorée sèche ou torréfiée,2,,,non,0,386384
chicotin,9,,,non,0,386384
chiendent,1,,,non,0,386384
chiens,42,,,non,0,386384
chiens courants de chasse,1,,,non,0,386384
chiens de chasse,6,,,non,0,386384
chiffons,17,,,non,0,386384
chiffons vieux,1,,,non,0,386384
chilas,0,,,oui,0,386384
chillas,48,,,non,0,386384
chillas palma,1,,,non,0,386384
chima calin,1,,,non,0,386384
china kaolin,0,,,oui,0,386384
chine,2,,,non,0,386384
chinois,3,,,non,0,386384
chiques,4,,,non,0,386384
chiques de pierre,7,,,non,0,386384
chiquette des prises,1,,,non,0,386384
chirederis,1,,,non,0,386384
chise de fourneaux,1,,,non,0,386384
chitspamabage,0,,,oui,0,386384
chitte,71,,,non,1,386384
chitte anglaise,1,,,non,0,386384
chitte d'Amedabad,1,,,non,0,386384
chitte étoffe,2,,,non,0,386384
chitte Keabadis,1,,,non,0,386384
chitte patenas,1,,,non,0,386384
chitte rouge,1,,,non,,386384
chivelles,1,,,non,0,386384
chocolat,944,Hors Canada,,non,1,154362
chocolat en pâte,1,Hors Canada,,non,1,154362
chocolat en patte,0,,,oui,0,386384
chocolat et cacao broyé,4,,,non,0,386384
chocolat et sorbet,1,,,non,0,386384
choises garnies,0,,,oui,0,386384
choix de bœuf salé,2,,,non,0,386384
cholas,1,,,non,0,386384
chomettes de terre,1,,,non,0,386384
chouclas,0,,,oui,0,386384
chouclas des Indes,2,,,non,0,386384
chourales,1,,,non,0,386384
choux,21,,,non,0,386384
choux à planter,6,,,non,0,386384
choux cabus,1,,,non,0,386384
choux confits,3,,,non,0,386384
choux marinés,2,,,non,0,386384
choux salés,1,,,non,0,386384
choux-fleurs,14,,,non,0,386384
choux-fleurs et cabus et artichauts,2,,,non,0,386384
christ d'ivoire,3,,,non,0,386384
christ d'ivoire monté sur velours,1,,,non,0,386384
chromate de plomb,4,,,non,0,386384
chromate de potasse,1,,,non,0,386384
chuquelas,41,,,non,0,386384
cidre,342,,,non,0,386384
cidre jaune,1,,,non,0,386384
cidre poiré et verjus,4,,,non,0,386384
cierge,0,,,oui,0,386384
cierges,7,,,non,0,386384
cierges de cire blanche,8,,,non,0,386384
cierges de cire et bougie de cire,4,,,non,0,386384
cierges de fer,2,,,non,0,386384
cierges et bougie,14,,,non,,386384
cierges et bougies,0,,,oui,0,386384
cierges et flambeau,1,,,non,0,386384
cigares,1,,,non,,386384
cigares par autorisation,1,,,non,0,386384
cikous,1,,,non,0,386384
cime,1,,,non,0,386384
ciment,27,,,non,0,386384
ciment et chaux et pierres et plâtre,8,,,non,0,386384
ciment ou tiras,1,,,non,0,386384
cin de ville,0,,,oui,0,386384
cinabre,207,,,non,0,386384
cinabre broyé,27,,,non,0,386384
cinabre de pierres,6,,,non,0,386384
cinabre en roche,1,,,non,0,386384
cinabre et vermillon,60,Hors Canada,,non,1,154362
cinabre fin,1,,,non,0,386384
cinabre naturel,1,,,non,0,386384
ciradille,1,,,non,0,386384
cirage pour chaussures,1,,,non,0,386384
circaras,0,,,oui,0,386384
circks,1,,,non,0,386384
cire,32,Hors Canada,,non,1,154362
cire à cacheter,111,,,non,0,386384
cire blanche,582,,,non,0,386384
cire blanche de bougie,1,,,non,0,386384
cire blanche et jaune,501,Hors Canada,,non,1,154362
cire blanche et jaune non ouvrée,23,,,non,0,386384
cire blanche non ouvrée,1,,,non,0,386384
cire blanche ouvrée,0,,,oui,0,386384
cire brune,1,,,non,0,386384
cire brune non clarifiée,1,,,non,1,386384
cire brune non clarifiée du Sénégal,1,,,non,0,386384
cire brute,1,,,non,0,386384
cire brute blanche,6,,,non,0,386384
cire brute brune ou jaune,2,,,non,0,386384
cire brute en crasse,0,,,oui,0,386384
cire brute jaune,21,Hors Canada,,non,1,154362
cire brute jaune des entrepôts,1,,,non,0,386384
cire d'Espagne,82,,,non,0,386384
cire d'Espagne à cacheter,1,,,non,0,386384
cire de bougie,5,,,non,0,386384
cire de bougie jaune,1,,,non,0,386384
cire diverse,13,,,non,0,386384
cire en branche,2,,,non,0,386384
cire en crasse,0,,,oui,0,386384
cire en pain,5,,,non,0,386384
cire et chandelle de cire,1,,,non,0,386384
cire grasse,1,,,non,0,386384
cire jaune,1412,Hors Canada,,non,1,154362
cire jaune du levant,1,,,non,0,386384
cire jaune en bougie et chandelle,1,,,non,0,386384
cire jaune en cierge et flambeaux,0,,,oui,0,386384
cire jaune en cierges et flambeaux,1,,,non,,386384
cire jaune en pain,2,,,non,0,386384
cire jaune ouvrée,0,,,oui,,386384
cire moitié cire et moitié suif,1,,,non,0,386384
cire ouvrée,0,,,oui,0,386384
cire ouvrée blanche,0,,,oui,0,386384
cire ouvrée jaune,0,,,oui,0,386384
cire verte,10,Hors Canada,,non,1,154362
cire vierge,6,,,non,0,386384
cirsaca,61,,,non,1,386384
cirsaka,2,,,non,0,386384
cirsaka de coton et de soie,2,,,non,0,386384
ciseaux,20,,,non,0,386384
ciseaux à élaguer,2,,,non,0,386384
citrate de chaux,1,,,non,0,386384
citronniers,1,,,non,0,386384
citrons,3,,,non,0,386384
citrons aigres,14,,,non,0,386384
citrons avariés,2,,,non,0,386384
citrons confits,105,Hors Canada,,non,1,154362
citrons et limons,683,Hors Canada,,non,1,154362
citrons et orange,362,Hors Canada,,non,1,154362
citrons et orange frais,197,Hors Canada,,non,1,154362
citrons et oranges frais,0,,,oui,0,386384
citrons étrangers,2,,,non,0,386384
citrons frais,60,,,non,0,386384
citrons frais et orange fraîche et amandes sèches et figue sèches et raisin sec,29,,,non,0,386384
citrons frais et orange fraîche et amandes sèches et figues sèches et raisin sec,0,,,oui,0,386384
citrons orange et leurs variétés,7,,,non,0,386384
citrons vert,20,,,non,0,386384
citrouilles,1,,,non,0,386384
civadille,100,,,non,0,386384
civette,6,,,non,0,386384
clafou,1,,,non,0,386384
clafou de bois,1,,,non,0,386384
clafou de bois ou merrains de bois,1,,,non,0,386384
clafou en blocs,1,,,non,0,386384
clairons,1,,,non,0,386384
clairons etc.,1,,,non,0,386384
claphout,0,,,oui,0,386384
claphout en blocs,0,,,oui,0,386384
clappes ou douves à barils,1,,,non,0,386384
clappes ou douves à barils de sapin,1,,,non,0,386384
clarges des prises,1,,,non,0,386384
clarifiant,1,,,non,0,386384
clarinette haut-bois,3,,,non,0,386384
clavecin,19,,,non,0,386384
clavecin et épinettes et orgues,0,,,oui,0,386384
clavecin vieux,1,,,non,0,386384
clavecins épinettes orgues,2,,,non,0,386384
clayes à parquer,1,,,non,0,386384
clefs à uin,0,,,oui,0,386384
clefs à vin,1,,,non,0,386384
clefs de fer,2,,,non,0,386384
clinquant d'or faux,1,,,non,0,386384
clinquant en papier,1,,,non,,386384
cloches,18,,,non,0,386384
cloches de bronze,1,,,non,0,386384
cloches de cuivre,1,,,non,0,386384
cloches de fer,1,,,non,0,386384
cloches de fonte,67,,,non,1,386384
cloches de fonte vieilles,1,,,non,,386384
cloches de métal,73,Hors Canada,,non,1,154362
cloches de métal et de plomb et de zinc,0,,,oui,0,386384
cloches de plomb et de zinc,12,,,non,0,386384
cloches de verre,3,,,non,0,386384
cloches vieilles,1,Hors Canada,,non,1,154362
clochettes,12,,,non,0,386384
clochettes de cuivre,6,,,non,0,386384
clochettes de fonte,4,,,non,0,386384
cloportes,2,,,non,0,386384
clous,15,,,non,0,386384
clous à têtes de cuivre doré petits,1,,,non,0,386384
clous de caboche,4,,,non,0,386384
clous de cuivre,11,,,non,0,386384
clous de cuivre doré,4,,,non,0,386384
clous de cuivre jaune,1,,,non,0,386384
clous de fer,1614,,,non,0,386384
clous de fer à barriques,1,,,non,,386384
clous de fer à charrettes,1,,,non,0,386384
clous de fer gonds,1,,,non,0,386384
clous de fer neufs,1,,,non,0,386384
clous de fer ordinaires,1,,,non,0,386384
clous de fer vieux,2,,,non,0,386384
clous de girofle,15,Hors Canada,,non,1,154362
clous de girofle et griffes,3,,,non,1,386384
clous de girofle fleurs,5,,,non,1,386384
clous de girofle fleurs des entrepôts,1,,,non,0,386384
clous de laiton,10,,,non,0,386384
clous dorés,46,,,non,0,386384
clous et acier,1,,,non,0,386384
clous vieux,2,,,non,0,386384
cloutaille,1,,,non,0,386384
cloutiers,1,,,non,0,386384
cmelot au-dessous du sixième de soie,0,,,oui,0,386384
coak,1,,,non,0,386384
coas de soie,1,,,non,0,386384
coati,1,,,non,0,386384
cobalt grillé,4,,,non,0,386384
cobalt métal,3,,,non,0,386384
cobalt métal et minerai,2,,,non,0,386384
cobalt minerai,1,,,non,0,386384
cobalt minéral,1,,,non,0,386384
cocalum,2,,,non,0,386384
cocax,2,,,non,0,386384
cochelis,19,,,non,0,386384
cochenille,1079,Hors Canada,,non,1,154362
cochenille Campêchane,1,,,non,0,386384
cochenille Campêche,1,,,non,0,386384
cochenille et indigo,1,,,non,0,386384
cochenille fil verte,1,,,non,0,386384
cochenille fine,23,,,non,0,386384
cochenille mesteque,0,Hors Canada,,oui,0,154362
cochenille mestèque,68,,,non,1,386384
cochenille mustack,2,,,non,0,386384
cochenille sylvestre,50,,,non,1,386384
cochon,19,,,non,0,386384
cochon confit,0,,,oui,0,386384
cochon de lait,1,,,non,0,386384
cochon de lait au-dessous de 3 mois,0,,,oui,0,386384
cochon petit,2,,,non,0,386384
cochon salé,0,,,oui,0,386384
cochon salé et petit salé,10,,,non,0,386384
cochons de lait,0,,,oui,0,386384
coclearia,11,,,non,0,386384
coco des Indes,0,,,oui,0,386384
coco du Levant,1,,,non,0,386384
coco plate,1,,,non,0,386384
cocoa,0,,,oui,0,386384
cocons,5,,,non,0,386384
cocons de soie,140,,,non,0,386384
cocons de vers à soie,3,,,non,0,386384
cocos,80,Hors Canada,antilles,non,1,154362
cocos caroubes frais,2,,,non,0,386384
cocos des Indes,2,,,non,0,386384
cocos du Levant,2,,,non,0,386384
cocos petits,1,,,non,0,386384
cocos verts,3,Hors Canada,antilles,non,1,154362
coctif,1,,,non,0,386384
cocullus,1,,,non,0,386384
coddes blancs,1,,,non,0,386384
coëtif,11,,,non,0,386384
cœurs de bœuf,3,,,non,0,386384
coffres,7,,,non,0,386384
coffres à étuve,2,,,non,0,386384
coffres à garniture de peau,1,,,non,0,386384
coffres à perruque,1,,,non,0,386384
coffres à thé,1,,,non,0,386384
coffres à vin,1,,,non,0,386384
coffres de bois,24,,,non,0,386384
coffres de chimie,1,,,non,,386384
coffres de chirurgie,116,,,non,0,386384
coffres de commodité,4,,,non,0,386384
coffres de fer,25,,,non,0,386384
coffres de fer et berses,1,,,non,0,386384
coffres de fonte,1,,,non,,386384
coffres de gaz,1,,,non,,386384
coffres de noyer,1,,,non,0,386384
coffres de sapin,2,,,non,0,386384
coffres peints,2,,,non,0,386384
coffres vides,1,,,non,0,386384
coffres vieux,1,,,non,0,386384
coffres-forts,21,,,non,0,386384
coffres-forts de fer,12,,,non,0,386384
cognac,1,,,non,0,386384
cognées de bois,1,,,non,,386384
coiffes,1,,,non,0,386384
coiffes à perruque,2,,,non,0,386384
coiffes blondes,6,,,non,0,386384
coiffes blondes et de gaze,1,,,non,,386384
coiffes blondes et palatine,1,,,non,,386384
coiffes brodées,1,,,non,,386384
coiffes de chapeaux,13,,,non,0,386384
coiffes de dentelle,1,,,non,,386384
coiffes de dentelle de soie,1,,,non,0,386384
coiffes de gaze,10,,,non,0,386384
coiffes de Marly,1,,,non,,386384
coiffes de tambou,1,,,non,0,386384
coiffes et palatines,2,,,non,,386384
coiffes pour chapeaux et coiffes de perruques,1,,,non,,386384
coiffes pour femme,2,,,non,,386384
coiffures,1,,,non,0,386384
coiffures à dentelles,4,,,non,0,386384
coiffures blondes,0,,,oui,0,386384
coiffures blondes et de gaze,0,,,oui,0,386384
coiffures blondes et palatine,0,,,oui,0,386384
coiffures de gaze,0,,,oui,0,386384
coiffures de Marly,0,,,oui,0,386384
coiffures et palatines,0,,,oui,0,386384
coiffures pour chapeaux et coiffes de perruques,0,,,oui,0,386384
coiffures pour femme,0,,,oui,0,386384
coignées de bois,0,,,oui,0,386384
coing fruit,1,,,non,,386384
coins fruit,0,,,oui,0,386384
coïtif,1,,,non,0,386384
çoka,1,,,non,0,386384
col à femme,1,,,non,0,386384
colins,1,,,non,0,386384
colis,1,,,non,0,386384
colle,222,Hors Canada,,non,1,154362
colle à papetier,12,,,non,0,386384
colle à papier,4,,,non,0,386384
colle à poisson,1,,,non,0,386384
colle claire,1,,,non,0,386384
colle commune,70,,,non,0,386384
colle de Flandre,37,,,non,0,386384
colle de papetier,1,,,non,0,386384
colle de peau d'âne,1,,,non,1,386384
colle de poisson,496,Hors Canada,,non,1,154362
colle faible,1,,,non,0,386384
colle forte,651,,,non,0,386384
colle forte de Flandre,1,,,non,0,386384
colle forte de poisson,2,,,non,0,386384
colle poisson,1,,,non,0,386384
collets toile de lin,1,,,non,0,386384
colliers d'ambre,1,,,non,0,386384
colliers de chevaux,8,,,non,0,386384
colliers de corail,1,,,non,0,386384
colliers de femme,3,,,non,0,386384
colliers de grenat,7,,,non,0,386384
colliers de grenat faux,1,,,non,0,386384
colliers de jais,2,,,non,0,386384
colliers de nacre de perles,1,,,non,0,386384
colliers de perles,2,,,non,0,386384
colliers de perles fausses,19,,,non,0,386384
colliers de verre,3,,,non,0,386384
colombine,242,,,non,0,386384
colonne,2,,,non,0,386384
colonne de noyer,1,,,non,0,386384
colophane ou Spingler,1,,,non,0,386384
coloquinte,161,,,non,0,386384
colorant et verdet,1,,,non,0,386384
colorant et vert-de-gris,0,,,oui,0,386384
cols,1,,,non,0,386384
colza navettes et autres,1,,,non,0,386384
combustible,1,,,non,,386384
comestibles,65,,,non,0,386384
comestibles saindoux,3,,,non,0,386384
commode,49,,,non,0,386384
commode avec dessus de marbre,9,,,non,0,386384
commode d'acajou,4,,,non,0,386384
commode de bois,5,,,non,0,386384
commode de bois violet,1,,,non,0,386384
commode de marqueterie,1,,,non,0,386384
commode de noyer,7,,,non,0,386384
commode de sapin,9,,,non,0,386384
commode de sapin peinte,1,,,non,,386384
commode de sapin vernie,1,,,non,,386384
commode ornée,1,,,non,0,386384
commodes,0,,,oui,0,386384
commodes de bois,1,,,non,0,386384
communes,1,,,non,0,386384
compas,3,,,non,0,386384
compas de cuivre,2,,,non,0,386384
compas de fer,2,,,non,0,386384
compas de mer,5,,,non,0,386384
compas de route,4,,,non,0,386384
compas et cartes de nommantes,0,,,oui,0,386384
compas et cartes de nouveautés,1,,,non,0,386384
compas et horloge de sable,1,,,non,0,386384
